sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
"15","15화","RA-003","바뀐 미래 확인과 감독 재회","필립과 타임머신 농담을 나누며 회귀 비밀을 감추는 가벼운 압박 뒤 함께 웨이트를 한다. 말미에는 조 매든이 직접 인사하고, 주혁에게 투수·타자 두 번의 기회를 줬던 전생 인연과 탬파 재건사가 이어져 관계 보상은 높지만 당장 로스터 보상은 아직 없다.","4","6","6","8","4","9","7","5","보상 범위=친구와 감독을 앞당겨 되찾는 관계·커리어 층위; 필립과 타임머신 농담을 나누며 회귀 비밀을 감추는 가벼운 압박 뒤 함께 웨이트를 한다. 말미에는 조 매든이 직접 인사하고, 주혁에게 투수·타자 두 번의 기회를 줬던 전생 인연과 탬파 재건사가 이어져 관계 보상은 높지만 당장 로스터 보상은 아직 없다."
"16","16화","RA-003","5선발 목표 선언과 경쟁자 특정","매든 앞에서 명예의 전당과 당해 선발을 말하고, 제프 니만의 수술로 실제 5선발 자리가 열렸음을 확인한다. 마지막에는 AAA 12승의 마르코스 페레이라를 가장 강한 경쟁자로 특정해 막연한 포부가 사람과 기록을 가진 선발전으로 바뀐다.","5","5","6","9","5","6","6","6","보상 범위=스프링캠프 선발 경쟁의 공식 진입 층위; 매든 앞에서 명예의 전당과 당해 선발을 말하고, 제프 니만의 수술로 실제 5선발 자리가 열렸음을 확인한다. 마지막에는 AAA 12승의 마르코스 페레이라를 가장 강한 경쟁자로 특정해 막연한 포부가 사람과 기록을 가진 선발전으로 바뀐다."
"17","17화","RA-003","투타 재능의 공개","불펜에서 포심·체인지업은 칭찬받고 커브는 약점으로 남은 뒤, 프리배팅에서 베테랑 같은 히팅 포인트를 보여 선수들의 시선을 바꾼다. 말미에는 필립이 그 홈런 상대가 1,200만 달러 계약의 호르헤 페르난데스였다고 밝혀 주혁의 타격 가치가 소문을 넘어선다.","5","6","6","7","8","6","5","7","보상 범위=캠프 내부 평가와 투타 활용 가능성 층위; 불펜에서 포심·체인지업은 칭찬받고 커브는 약점으로 남은 뒤, 프리배팅에서 베테랑 같은 히팅 포인트를 보여 선수들의 시선을 바꾼다. 말미에는 필립이 그 홈런 상대가 1,200만 달러 계약의 호르헤 페르난데스였다고 밝혀 주혁의 타격 가치가 소문을 넘어선다."
"18","18화","RA-003","시범경기 첫 등판의 불신 조성","타격 평판을 올린 뒤 양키스전에서 프라이스가 4실점한 마운드를 이어받지만, 팬 기대와 달리 첫 두 포심이 92·93마일에 그친다. 아직 100마일이나 삼진 보상을 주지 않은 채 관중의 실망으로 끊어 실제 구속 조절 반전을 다음 화에 남긴다.","6","4","8","7","6","4","6","5","보상 범위=캠프 평판과 첫 실전 시험 진입 층위; 타격 평판을 올린 뒤 양키스전에서 프라이스가 4실점한 마운드를 이어받지만, 팬 기대와 달리 첫 두 포심이 92·93마일에 그친다. 아직 100마일이나 삼진 보상을 주지 않은 채 관중의 실망으로 끊어 실제 구속 조절 반전을 다음 화에 남긴다."
"19","19화","RA-003","완급 반전 뒤 첫 선발 고조","체인지업 뒤 96·100마일을 풀어 양키스 타자를 삼진 잡고 네 경기 7.1이닝 무실점으로 첫 선발까지 얻는다. 피츠버그전 4회 퍼펙트 6K를 만든 뒤 5회 첫 타자로 타석에 서고, 투수가 쉽게 줄 96마일 바깥 공을 장타로 볼 수 있다는 지점에서 멈춘다.","7","7","8","7","9","4","7","7","보상 범위=시범경기 연속 호투와 5선발 경쟁 층위; 체인지업 뒤 96·100마일을 풀어 양키스 타자를 삼진 잡고 네 경기 7.1이닝 무실점으로 첫 선발까지 얻는다. 피츠버그전 4회 퍼펙트 6K를 만든 뒤 5회 첫 타자로 타석에 서고, 투수가 쉽게 줄 96마일 바깥 공을 장타로 볼 수 있다는 지점에서 멈춘다."
"20","20화","RA-003","첫 선발 투타 폭발과 추가 기회 확정","타구는 464피트 반대 방향 홈런이 되고, 마운드에서는 5이닝 1피안타 무실점 7K를 기록해 투타 한 경기의 보상을 모두 받는다. 끝에서 웨이드 데이비스의 무릎 공백을 논의한 코칭스태프가 주혁을 차기 선발로 택하므로 단순 경기 보상보다 로스터 파급이 크다.","7","9","6","7","10","5","8","9","보상 범위=한 시범경기 승리에서 메이저리그 선발 커리어 기회로 확장되는 층위; 타구는 464피트 반대 방향 홈런이 되고, 마운드에서는 5이닝 1피안타 무실점 7K를 기록해 투타 한 경기의 보상을 모두 받는다. 끝에서 웨이드 데이비스의 무릎 공백을 논의한 코칭스태프가 주혁을 차기 선발로 택하므로 단순 경기 보상보다 로스터 파급이 크다."
"21","21화","RA-003","도발을 경기력으로 제압","제이크 로드리게스에게 2루타를 치고 침 뱉는 모욕을 받지만 몸쪽 보복 대신 체인지업 세 개로 삼진을 빼앗는다. 끝은 결과 요약보다 이시카와 테츠야가 주혁의 배짱과 재능, 제이크의 진짜 분노를 관찰하는 시점이라 외부 평가 보상이 남는다.","8","7","5","5","9","7","8","7","보상 범위=한 경기의 투타 우위와 동료·상대 평가 층위; 제이크 로드리게스에게 2루타를 치고 침 뱉는 모욕을 받지만 몸쪽 보복 대신 체인지업 세 개로 삼진을 빼앗는다. 끝은 결과 요약보다 이시카와 테츠야가 주혁의 배짱과 재능, 제이크의 진짜 분노를 관찰하는 시점이라 외부 평가 보상이 남는다."
"22","22화","RA-003","캠프 경쟁의 공식 결산","도발 대처를 정리한 뒤 보스턴전까지 7경기 21.1이닝 무실점 26K로 캠프를 마치고 마이너를 건너뛴 25인 로스터가 확정된다. 마지막은 곧 첫 등판을 보여주지 않고 알렉스 먼트의 우려와 ‘완성된 패스트볼’ 평가를 다음 화 첫 문장에 넘기는 기사형 여진이다.","5","9","4","9","5","5","6","10","보상 범위=스프링캠프 전체 기록과 메이저리그 개막 로스터 층위; 도발 대처를 정리한 뒤 보스턴전까지 7경기 21.1이닝 무실점 26K로 캠프를 마치고 마이너를 건너뛴 25인 로스터가 확정된다. 마지막은 곧 첫 등판을 보여주지 않고 알렉스 먼트의 우려와 ‘완성된 패스트볼’ 평가를 다음 화 첫 문장에 넘기는 기사형 여진이다."
"23","23화","RA-004","메이저리거 도착과 클럽하우스 관계 형성","트로피카나 필드에서 꿈을 이룬 감격으로 울고 브라이언 무어에게 ‘위퍼’ 별명을 얻어, 지위 보상을 생활 관계로 바꾼다. 마지막은 개막전 결승타를 친 무어가 주혁 집에 자겠다고 따라붙고 주혁이 택시비를 주겠다고 버티는 가벼운 실랑이라 훅은 낮다.","3","8","4","6","4","9","9","8","보상 범위=메이저리그 개막 체감과 팀 내부 소속감 층위; 트로피카나 필드에서 꿈을 이룬 감격으로 울고 브라이언 무어에게 ‘위퍼’ 별명을 얻어, 지위 보상을 생활 관계로 바꾼다. 마지막은 개막전 결승타를 친 무어가 주혁 집에 자겠다고 따라붙고 주혁이 택시비를 주겠다고 버티는 가벼운 실랑이라 훅은 낮다."
"24","24화","RA-004","일상 여진에서 데뷔 최대 위기로 급전환","무어의 매트리스 소동과 불펜·6선발 대기 설명으로 느슨하게 출발하지만 볼티모어전 그랜트 발포어가 무사 만루를 만들며 데뷔 조건이 극단적으로 바뀐다. 마지막은 조 매든이 주혁에게 바라는 단 한 가지를 아직 말하지 않은 채 마운드에 세워 긴장과 훅이 최고다.","9","3","10","6","8","6","8","5","보상 범위=메이저리그 데뷔 기회 자체, 아직 결과 없는 경기 층위; 무어의 매트리스 소동과 불펜·6선발 대기 설명으로 느슨하게 출발하지만 볼티모어전 그랜트 발포어가 무사 만루를 만들며 데뷔 조건이 극단적으로 바뀐다. 마지막은 조 매든이 주혁에게 바라는 단 한 가지를 아직 말하지 않은 채 마운드에 세워 긴장과 훅이 최고다."
"25","25화","RA-004","데뷔 위기 완전 보상","애덤 존스를 100마일로 삼진, 루크 스캇을 체인지업 병살로 잡아 inherited runners를 모두 지운 뒤 타선의 6득점으로 10대7 승리 투수가 된다. 말미에는 필립의 미래 아내 레이첼과 첫 인터뷰를 잘 마치고 ‘연습했느냐’는 질문을 받아 경기 고점 뒤 관계 씨앗으로 착지한다.","9","9","4","5","10","7","8","9","보상 범위=한 이닝 무사 만루 탈출에서 메이저리그 첫 승·미디어 데뷔로 확장되는 층위; 애덤 존스를 100마일로 삼진, 루크 스캇을 체인지업 병살로 잡아 inherited runners를 모두 지운 뒤 타선의 6득점으로 10대7 승리 투수가 된다. 말미에는 필립의 미래 아내 레이첼과 첫 인터뷰를 잘 마치고 ‘연습했느냐’는 질문을 받아 경기 고점 뒤 관계 씨앗으로 착지한다."
"26","26화","RA-004","불펜 정착과 생활 기반 마련","6경기 7이닝 무실점과 1승 2홀드를 정리한 뒤 장타 허용 약점을 짚고, 후반은 케빈 마이클스가 맞춤 글러브를 구해 오는 노동 관계에 머문다. 경기 압력보다 메이저리거의 생활 기반을 얻는 화라 관계 리본이 가장 높다.","3","5","2","6","4","8","5","5","보상 범위=불펜 연속 무실점과 클럽하우스 관계가 만드는 일상·보직 층위; 6경기 7이닝 무실점과 1승 2홀드를 정리한 뒤 장타 허용 약점을 짚고, 후반은 케빈 마이클스가 맞춤 글러브를 구해 오는 노동 관계에 머문다. 경기 압력보다 메이저리거의 생활 기반을 얻는 화라 관계 리본이 가장 높다."
"27","27화","RA-004","첫 선발 발탁과 비축 구속 발견","데이비스의 이탈과 마르코스의 부진으로 첫 선발이 주어지고, 윤주혁은 통증 없이 최고 출력 약 10구를 쓸 수 있음을 불펜에서 확인한다. 말미에는 애런 루이스가 장타 구장 쿠어스와 제한된 구종을 걱정해 기회와 위험을 함께 남긴다.","5","7","6","8","7","5","6","8","보상 범위=불펜에서 정규 선발로 올라서는 보직·커리어 층위; 데이비스의 이탈과 마르코스의 부진으로 첫 선발이 주어지고, 윤주혁은 통증 없이 최고 출력 약 10구를 쓸 수 있음을 불펜에서 확인한다. 말미에는 애런 루이스가 장타 구장 쿠어스와 제한된 구종을 걱정해 기회와 위험을 함께 남긴다."
"28","28화","RA-005","첫 선발 운영과 첫 홈런 지급","완급을 아껴 5이닝 9탈삼진 무실점을 만든 뒤 두 번째 타석에서 키겔의 몸쪽 높은 공을 예측한다. 마지막은 타구가 담장을 향하는 데서 멈추지 않고 최종 목적지를 본 윤주혁이 `해냈다`고 확신하므로 첫 홈런 보상을 이 화에 지급한다.","6","8","4","6","9","3","7","8","보상 범위=한 경기 선발 적응과 메이저리그 첫 타격 홈런 층위; 완급을 아껴 5이닝 9탈삼진 무실점을 만든 뒤 두 번째 타석에서 키겔의 몸쪽 높은 공을 예측한다. 마지막은 타구가 담장을 향하는 데서 멈추지 않고 최종 목적지를 본 윤주혁이 `해냈다`고 확신하므로 첫 홈런 보상을 이 화에 지급한다."
"29","29화","RA-005","첫 선발 완결과 지명타자 논의 점화","6회 마지막 타자에게 98·99·101마일을 연달아 던져 6이닝 무실점 12탈삼진을 닫고, 홈런까지 합쳐 전국적 평가를 받는다. 여진은 건강한 어깨가 준 두 번째 커리어 가능성을 짚은 뒤 조 매든과 브라이언 무어가 보스턴전 좌타 지명타자 공백을 논하는 장면으로 이동한다.","6","9","5","7","9","4","8","9","보상 범위=경기 승리·투타 기록과 다음 보직 논의 층위; 6회 마지막 타자에게 98·99·101마일을 연달아 던져 6이닝 무실점 12탈삼진을 닫고, 홈런까지 합쳐 전국적 평가를 받는다. 여진은 건강한 어깨가 준 두 번째 커리어 가능성을 짚은 뒤 조 매든과 브라이언 무어가 보스턴전 좌타 지명타자 공백을 논하는 장면으로 이동한다."
"30","30화","RA-005","지명타자 기용의 명분 확정","감독은 투수의 타격 출전이 벤치 야수의 자존심을 건드릴 비용을 계산하고, 카를로스 페냐는 자기 배트를 건네며 실력으로 선택을 납득시키라고 요구한다. 말미는 경기가 아니라 윤주혁이 피로 없는 몸을 경계하며 투수로 오래 뛰겠다고 다짐하는 낮은 압력의 준비 장면이다.","4","6","3","8","4","8","5","7","보상 범위=한 경기 지명타자 출전권과 클럽하우스 인정 층위; 감독은 투수의 타격 출전이 벤치 야수의 자존심을 건드릴 비용을 계산하고, 카를로스 페냐는 자기 배트를 건네며 실력으로 선택을 납득시키라고 요구한다. 말미는 경기가 아니라 윤주혁이 피로 없는 몸을 경계하며 투수로 오래 뛰겠다고 다짐하는 낮은 압력의 준비 장면이다."
"31","31화","RA-005","지명타자 첫 출루와 득점권 압박","구심 밥 멜슨의 성향과 마쓰자카의 흔들리는 커맨드를 이용해 첫 타석 볼넷을 얻고, 4회 1사 2루에는 강판을 부를 한 점을 책임진다. 마지막은 승부 결과를 넘기지 않고 초구 컷패스트볼이 모서리에 꽂혀 0-1이 된 순간에서 멈춘다.","6","5","7","8","7","4","6","5","보상 범위=한 타석 출루와 두 번째 득점권 기회 층위; 구심 밥 멜슨의 성향과 마쓰자카의 흔들리는 커맨드를 이용해 첫 타석 볼넷을 얻고, 4회 1사 2루에는 강판을 부를 한 점을 책임진다. 마지막은 승부 결과를 넘기지 않고 초구 컷패스트볼이 모서리에 꽂혀 0-1이 된 순간에서 멈춘다."
"32","32화","RA-005","지명타자 시험 대결산","1타점 2루타로 마쓰자카를 내리고 2사 만루에서 다시 2타점 2루타를 쳐 세 타석 전부 출루한다. 기사와 감독의 추가 제안까지 받은 뒤에도 후보 선수의 기회를 먼저 주자고 정해, 개인 성취를 팀 관계 판단으로 닫는다.","6","9","3","6","9","8","7","9","보상 범위=한 경기 3타점과 팀 공격 카드로서의 보직 층위; 1타점 2루타로 마쓰자카를 내리고 2사 만루에서 다시 2타점 2루타를 쳐 세 타석 전부 출루한다. 기사와 감독의 추가 제안까지 받은 뒤에도 후보 선수의 기회를 먼저 주자고 정해, 개인 성취를 팀 관계 판단으로 닫는다."
"33","33화","RA-006","추신우와 첫 정면 승부","같은 한국인이라는 관심보다 경기 집중을 앞세워 추신우의 체인지업 예상을 98마일 몸쪽 높은 포심으로 깨고 삼진을 잡는다. 말미에는 추신우가 무시당했다고 오해하지 않고 후배의 프로 의식을 인정한 뒤 다음 승부를 위해 눈빛을 다잡는다.","6","6","5","6","8","7","6","6","보상 범위=타자 한 명 제압과 한국인 메이저리거 사이의 경쟁 관계 층위; 같은 한국인이라는 관심보다 경기 집중을 앞세워 추신우의 체인지업 예상을 98마일 몸쪽 높은 포심으로 깨고 삼진을 잡는다. 말미에는 추신우가 무시당했다고 오해하지 않고 후배의 프로 의식을 인정한 뒤 다음 승부를 위해 눈빛을 다잡는다."
"34","34화","RA-006","피홈런 회복에서 위험구 충돌로 전환","존 제이소의 농담과 타선의 7득점으로 첫 피홈런을 흘려보낸 뒤, 제구가 거친 조나스 바르가스가 롱고리아 머리 쪽으로 공을 반복한다. 마지막 공이 실제로 머리에 맞으며 개인 성적보다 동료 보호가 앞서는 고강도 충돌로 바뀐다.","8","5","9","5","8","8","9","5","보상 범위=한 경기 투구 회복과 동료 안전 위기 층위; 존 제이소의 농담과 타선의 7득점으로 첫 피홈런을 흘려보낸 뒤, 제구가 거친 조나스 바르가스가 롱고리아 머리 쪽으로 공을 반복한다. 마지막 공이 실제로 머리에 맞으며 개인 성적보다 동료 보호가 앞서는 고강도 충돌로 바뀐다."
"35","35화","RA-006","보복 승리와 무거운 여진","윤주혁은 팀 분위기를 위해 추신우의 엉덩이에 101마일 보복구를 던지고 6이닝 2실점 9탈삼진으로 11대4 승리를 얻는다. 승리 뒤에는 페냐·롱고리아 이탈과 추신우의 3경기 결장, 직접 사과하지 못한 죄책감이 남아 보상보다 관계 비용이 오래 간다.","9","7","3","4","9","10","9","7","보상 범위=한 경기 승리와 팀 충성, 추신우에게 진 관계 비용 층위; 윤주혁은 팀 분위기를 위해 추신우의 엉덩이에 101마일 보복구를 던지고 6이닝 2실점 9탈삼진으로 11대4 승리를 얻는다. 승리 뒤에는 페냐·롱고리아 이탈과 추신우의 3경기 결장, 직접 사과하지 못한 죄책감이 남아 보상보다 관계 비용이 오래 간다."
"36","36화","RA-006","팀 공백을 메우는 출전 선택","브라이언 앞에서 프리 배팅으로 회복력을 증명하고 지명타자 출전을 자청하지만, 이 화의 핵심은 무모한 희생이 아니라 팬·중계·상품 수익과 로스터 보장을 함께 계산하는 윤주혁의 자기 관리다. 말미도 홈런 결과가 아니라 부상당한 선수를 구단이 오래 대우하지 않는다는 냉정한 결론에 머문다.","4","5","2","8","5","7","5","7","보상 범위=다음 한 경기 출전권과 구단 안에서의 장기 생존 전략 층위; 브라이언 앞에서 프리 배팅으로 회복력을 증명하고 지명타자 출전을 자청하지만, 이 화의 핵심은 무모한 희생이 아니라 팬·중계·상품 수익과 로스터 보장을 함께 계산하는 윤주혁의 자기 관리다. 말미도 홈런 결과가 아니라 부상당한 선수를 구단이 오래 대우하지 않는다는 냉정한 결론에 머문다."
