sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"571","법보다 주먹(완전판) 571화","힐러리 공개회담과 푸틴의 배신자","박동철은 백악관 회담이 밀린 틈에 비밀리에 찾아온 힐러리의 욕망을 읽는다.","상대 진영의 실세를 공개 무대로 끌어내 트럼프를 양면 압박하는 정치 반격","힐러리와 러시아 측 약점을 엮어 북한 공격 전에 트럼프의 국내 기반을 흔든다.","박동철은 힐러리와 회담 중임을 현지 언론에 공개시키고 조명득은 푸틴 최측근이 유대계 자본에 매수된 자료를 찾아낸다.","힐러리도 박동철을 이용하려 하며 민정수석 등 공식 동행자조차 완전히 믿을 수 없는 첩보 비용이 있다.","러시아-트럼프 공모의 마지막 고리 대신 푸틴 내부 배신자라는 더 큰 거래 카드가 나온다.","힐러리 회담 뉴스가 확산되고 일본 욱일회까지 미군 제주 주둔을 막으려 미국에 반대하게 된다.","정보·세력","박동철의 반전쟁 연합이 중국에서 힐러리·일본까지 넓어진다.","욱일회 회주가 아베에게 도요타 철수까지 걸고 미국 공격을 막으라 명령한다.","힐러리 접촉 성사","푸틴 거래 카드, 일본 반대 성명, 트럼프 디데이","워싱턴 선제공격 저지와 러시아 X파일","high"
"572","법보다 주먹(완전판) 572화","아베의 반미 성명과 오늘 밤 공격","욱일회는 제주를 미국에 빼앗길까 두려워 일본 정부까지 움직인다.","적의 탐욕을 이용해 미국 최측근 일본마저 공개 반대편에 세우는 역설적 보상","국제 여론과 힐러리 카드를 한꺼번에 터뜨려 트럼프가 공격 명령을 못 내리게 한다.","아베는 주일미군 철수까지 거론하는 반대 성명을 발표하고, 박동철은 힐러리 회담을 언론에 키우며 조명득의 새 자료를 받는다.","공개 압박이 트럼프의 오기와 결합해 오히려 공격 시간을 오늘 밤으로 앞당긴다.","트럼프가 긴급 국무회의를 부르고 미군 구호를 인용해 오늘 밤 공격을 선언한다.","중국·일본 양국의 공식 반대와 힐러리 뉴스가 동시에 백악관을 포위한다.","세계·시간","외교 압박은 완성되지만 남은 시간이 수일에서 수시간으로 급감한다.","박동철의 휴대전화에 조명득이 찾은 결정적 자료가 도착한다.","일본 공식 반대 확보","두 시간 내 공격 저지와 조명득 자료 활용","워싱턴 선제공격 저지와 러시아 X파일","high"
"573","법보다 주먹(완전판) 573화","디데이 두 시간 전의 맞대면","힐러리 회담으로 여론을 만든 박동철에게 조명득의 유대계 배신 자료가 전달된다.","전쟁 통보를 하려던 트럼프를 오히려 궁지에 몰아넣는 정상급 대치","남은 두 시간 안에 트럼프가 공격보다 자기 생존을 선택하게 만든다.","힐러리에게 다음 날 추가 공개를 예고한 뒤 백악관으로 들어가 트럼프 앞에서 장기출에게 미 스텔스기를 격추하라는 통화를 일부러 들려준다.","트럼프는 이미 공격을 통보하기로 결심했고 유대계 조직은 성공을 확신한다.","대한민국이 미군기와 교전할 수도 있다는 박동철의 벼랑 끝 메시지에 트럼프가 처음 당황한다.","힐러리 회담이 뉴스로 확산되어 트럼프가 박동철을 무시할 수 없게 된다.","관계·세계","한미 관계가 우방 외교에서 전쟁 직전의 강대강 담판으로 전환된다.","장기출이 대한민국 공군으로 미 스텔스기 격추는 불가능하다고 답하고 트럼프가 분노한다.","힐러리 1차 회담","트럼프 생존 거래와 공격 명령 취소","워싱턴 선제공격 저지와 러시아 X파일","high"
"574","법보다 주먹(완전판) 574화","핸드폰 번호를 건 정보 도박","박동철은 미군기 격추 협박으로 트럼프의 평정을 무너뜨렸다.","무력 대신 정보 한 장으로 세계 최강 대통령의 손을 떨게 만드는 역전","유대계 조직과 러시아 내통의 실체를 대가로 전쟁 취소를 받아낸다.","박동철은 눈이 뒤집힐 정보를 공짜로 주겠다며 트럼프에게 직접 번호를 찍게 하고, 중국 외교장관의 3차대전 경고까지 회담장에 도착하자 미국 측 통역을 내보낸다.","도박이 실패하면 평양이 불바다가 되고 정보 공개 뒤 박동철 자신이 암살 대상이 될 수 있다.","트럼프가 자기 통역관까지 물리고 박동철의 비밀 브리핑을 단둘이 듣기로 한다.","박동철이 대등한 협상자로 자리를 뒤집고 공격 직전의 시간을 멈춰 세운다.","지위·정보","홀대받던 특사가 트럼프의 개인 생존을 쥔 정보 공급자로 격상된다.","박동철이 백악관 주도 공작의 전모를 트럼프에게 설명하기 시작한다.","트럼프 기선 제압","공격 취소 조건과 유대계 실세 제거","워싱턴 선제공격 저지와 러시아 X파일","high"
"575","법보다 주먹(완전판) 575화","전쟁 취소와 유 파이어","트럼프는 자신이 사위와 유대계 조직에 이용됐다는 박동철의 자료를 접한다.","전쟁을 막고 미국 권력의 숨은 끈을 끊어내는 외교 결산","트럼프에게 공격 중단과 내부 숙청을 선택시키고 다음 실세 재러드 카시너를 압박한다.","박동철은 자료를 막아주는 대신 전쟁 취소를 요구해 악수하고, 백악관 밖에서 사위의 차를 기다리는 한편 트럼프는 재러드에게 유 파이어를 외친다.","CIA 암살 위험과 미국 내 권력전쟁이라는 새 장기 비용이 박동철에게 붙는다.","트럼프가 사위를 백악관에서 즉시 축출해 박동철의 정보가 실제 권력 행동으로 환전된다.","북한 선제공격이 멈추고 홀대하던 트럼프가 박동철과 화목하게 악수한다.","세계·지위","한반도 전쟁 시계가 멈추고 트럼프-유대계 조직의 내부전쟁이 시작된다.","쫓겨난 재러드 카시너 앞을 박동철의 차가 막을 준비를 한다.","북한 공격 저지","재러드 추적, 푸틴 거래, CIA 감시","워싱턴 선제공격 저지와 러시아 X파일","high"
"576","법보다 주먹(완전판) 576화","재러드 압박과 푸틴 직통전화","전쟁을 멈춘 직후 쫓겨난 재러드 카시너가 백악관을 빠져나온다.","미국과 러시아의 최고 권력자들을 연쇄로 흔드는 국제 첩보 보상","재러드에게 유대계 조직의 공작이 노출됐음을 알리고 푸틴에게 내부 배신자를 거래한다.","박동철은 재러드 차를 세워 경고한 뒤 호텔에서 비밀 번호로 푸틴에게 전화해 최측근 매수 사실과 천연가스 남하 이익을 흘린다.","영어·러시아어 장벽과 CIA 도청, 러시아 정보국이 청명회를 역추적할 위험이 따른다.","푸틴은 자기 비밀 번호와 심복의 배신을 아는 박동철에게 충격받지만 즉답을 피한다.","백악관 통역관까지 제주 이주를 결심할 만큼 박동철의 새 지위와 정보력이 사회적으로 목격된다.","정보·지위","박동철의 작전 반경이 미 대통령을 넘어 푸틴 내부 숙청과 가스 거래로 확장된다.","푸틴의 회신이 오지 않아 청명회가 러시아 보복을 받을 가능성이 남는다.","재러드에게 경고 전달","푸틴의 선택과 러시아 보복","워싱턴 선제공격 저지와 러시아 X파일","high"
"577","법보다 주먹(완전판) 577화","첫 청명회 살인명령","푸틴의 답을 기다리는 호텔에 정체불명 백인 접촉자가 찾아온다.","주인공의 힘이 국경 밖에서도 즉각 집행되는 어두운 권력 보상","접촉자를 통해 정보를 확인하되 자신의 정체와 청명회망을 노출할 위험을 제거한다.","박동철은 백인을 만나 보낸 뒤 청명회 회칙대로 처리하라고 전화로 명령한다.","자신의 지시로 첫 살인을 저질러 선악의 저울이 14대86으로 기울고 돌이킬 수 없는 도덕 비용을 진다.","전쟁을 막은 영웅적 외교 직후 박동철이 직접 암살 명령을 내리는 반전이 발생한다.","청명회의 해외 실행력이 박동철 개인 명령으로 작동한다는 위압적 보상이 지급된다.","능력·도덕","박동철은 국가를 구한 특사에서 국외 암살까지 명하는 비선 권력자로 넘어간다.","트럼프가 CIA·FBI 국장에게 미국을 움직이는 진짜 힘이 누구냐고 묻는다.","정체불명 접촉자 처리 결정","트럼프 내부전쟁과 박동철의 도덕 하락","워싱턴 선제공격 저지와 러시아 X파일","high"
"578","법보다 주먹(완전판) 578화","트럼프의 내부전쟁과 푸틴의 회신","트럼프는 사위 배후 조직에 굴복할지 맞설지 CIA·FBI 수장에게 선택을 묻는다.","박동철이 건넨 칼로 적들이 서로를 베기 시작하는 간접 응징","미국의 숨은 전쟁을 미국 손으로 치르게 하고 푸틴과 직접 담판할 기회를 얻는다.","트럼프는 CIA 국장에게 내부의 적 처리를 명령하고 백악관 경호팀은 재러드를 따라 유대계 비밀저택을 찾으며, 욱일회는 이를 돈의 전쟁으로 오판한다.","트럼프 가족과 미 정보기관의 희생이 예상되고 욱일회·중국·유대계 자본의 제주 쟁탈전은 계속된다.","늦게 푸틴의 영상전화가 박동철에게 걸려와 러시아 담판이 열린다.","미국의 비밀조직 위치가 CIA에 노출되고 북한 공격 중지가 일본에도 확인된다.","세력·세계","한반도 전쟁은 취소되지만 미국·러시아·일본 내부 숙청과 자본전쟁으로 비용이 전이된다.","박동철이 통역사를 급히 부르며 푸틴 영상전화를 받는다.","북한 선제공격 취소 확인","푸틴 담판과 유대계 저택 습격","워싱턴 선제공격 저지와 러시아 X파일","high"
"579","법보다 주먹(완전판) 579화","메모지를 먹는 푸틴 담판","박동철이 명한 백인 접촉자 제거가 심장마비로 위장되고 푸틴은 격분한 채 영상통화한다.","암살 흔적을 지우고 러시아 대통령까지 정보로 굴복시키는 첩보 쾌감","푸틴에게 유대계 매수자를 밝히고 한반도 전쟁·가스관 문제에서 협조를 얻는다.","박동철은 러시아의 주인은 유대계 자본이라고 도발하며 필담으로 배신자 정보를 건네고 강한석과 메모지를 전부 씹어 삼킨다.","푸틴의 보복과 CIA 도청 위험, 박동철 자신의 살인 지시라는 비용이 계속 누적된다.","같은 밤 CIA 국장은 FBI 국장을 암살하고 무장헬기로 유대계 저택을 포위한다.","푸틴과의 거래 내용을 도청·물증 없이 끝내고 청명회 해외 암살도 사고사로 봉합한다.","정보·세계","러시아 내부 배신 청산과 미국 내부 숙청이 동시에 개시된다.","트럼프는 타깃 A 박동철과 푸틴 통화 사실만 파악하고 불길함을 느낀다.","푸틴에게 배신자 정보 전달","러시아 보복, CIA 저택 공격, 박동철 감시","워싱턴 선제공격 저지와 러시아 X파일","high"
"580","법보다 주먹(완전판) 580화","유대계 저택 초토화와 모스크바행","전쟁 취소 직후 미국 내부에서는 박동철 정보가 촉발한 숙청이 폭발한다.","숨은 전쟁 세력을 한밤에 무너뜨리고 한반도 공격 취소를 사실상 결산하는 대규모 응징","미국을 빠져나가 푸틴과 후속 담판을 하되 러시아 영공 암살에 대비한다.","CIA는 무장헬기로 유대계 저택을 초토화하고 지도부를 사살하며, 푸틴은 매수된 정보국장에게 유대계 비밀계좌를 털게 하고 박동철은 모스크바행을 택한다.","FBI 국장·재러드 등 대량 죽음, CIA의 박동철 감시명령, 대한항공 007편식 격추 가능성이 장기 비용으로 남는다.","공항 뉴스로 재러드의 즉사와 FBI 국장 의문사를 본 박동철이 트럼프가 칼을 뽑았음을 확신한다.","북한 선제공격 주도 세력은 제거되고 CIA가 호텔을 뒤져도 먹어버린 메모 탓에 증거를 찾지 못한다.","세계·생존","한반도 전쟁은 멈췄으나 박동철은 미국과 러시아 양쪽의 감시·암살 후보가 된다.","박동철이 대한항공 007편을 떠올리며 목숨을 걸고 모스크바로 향한다.","미국발 북한 선제공격 저지와 유대계 지도부 제거","푸틴 대면과 러시아 영공 생존","워싱턴 선제공격 저지와 러시아 X파일","high"
"581","법보다 주먹(완전판) 581화","러시아 전투기 다섯 대의 호위","박동철은 푸틴이 대한항공 007편처럼 자기 전세기를 격추할 수 있다고 예상한다.","죽음의 위협을 역이용해 국가급 예우와 담판 자리를 얻는 배짱 보상","러시아 영공을 살아 통과해 푸틴에게 007편 사과와 가스 사업 거래를 요구한다.","러시아 국적 민항기를 골라 타고 모든 가능성을 계산하며 진입하자 푸틴은 한때 격추를 명령했다가 최신 전투기 다섯 대의 위협성 호위로 바꾼다.","민항기 탑승자 전원의 목숨과 약소국의 과거 상처를 협상판에 올리는 극단적 비용이 있다.","푸틴은 박동철을 훗날 대한민국 수장으로 보고 제거할지 국가수반급으로 대할지 양면 지시한다.","박동철은 전투기 포위 속에서도 살아 모스크바 공항에 착륙한다.","생존·지위","박동철이 푸틴에게도 제거를 고민하게 만드는 국가수반급 변수로 격상된다.","푸틴이 북한 핫라인을 연결해 자국 민항기 격추 공작을 따로 준비한다.","러시아 영공 진입","푸틴 비밀 담판과 007편 사과","푸틴 가스 거래와 KAL007 사과","high"
"582","법보다 주먹(완전판) 582화","푸틴의 자작 격추와 국가수반 예우","푸틴은 박태수에게 러시아 민항기를 서해에서 격추시키라는 기괴한 명령을 내린다.","공중 위협 뒤 동등한 의자와 의장대로 주인공의 격을 공개 확인하는 보상","푸틴의 이중 함정을 간파하면서 비공식 회담의 주도권을 잡는다.","박태수는 통화를 녹음한 뒤 명령 이행을 결심하고, 박동철은 공항 의장대의 국가수반급 환영을 받은 뒤 크렘린에서 푸틴과 탐색전을 벌인다.","푸틴의 자작극이 북한에 국제 비난을 씌울 수 있고 장기출조차 박동철의 돌출 외교를 완전히 통제하지 못한다.","위협 비행은 제거 실패가 아니라 푸틴이 공포와 예우를 섞은 협상 연출이었음이 드러난다.","미국의 홀대와 반대로 러시아가 박동철에게 대통령급 의전과 동등한 자리를 제공한다.","지위·외교","박동철은 공식 특사 범위를 넘어 푸틴과 개인 대 개인 거래를 할 위치에 들어선다.","장기출은 외교부 장관까지 욱일회 부역자인지 의심한다.","러시아 입국과 공식 예우","푸틴 거래조건·북한 자작 격추 음모","푸틴 가스 거래와 KAL007 사과","high"
"583","법보다 주먹(완전판) 583화","외교부 장관의 욱일회 보고와 생존자 이주","박동철-푸틴 회담 소식이 한국과 일본의 숨은 권력망을 흔든다.","적 내부의 불안을 보여주고 과거 피해자들을 다가올 사죄 현장으로 모으는 준비 보상","욱일회 부역망을 교란하고 국가 사과를 받을 생존 증언자를 제주로 보호한다.","외교부 장관은 박동철 동선을 욱일회에 누설하고, 조명득과 한수선은 전국의 옛 사건 생존 할머니들을 최은희 이름으로 설득해 제주 이주를 준비한다.","대한민국 외교수장까지 부역자라는 조직 침투와 고령 생존자들의 불신·건강 문제가 따른다.","장기출의 의심대로 외교부 장관이 욱일회 부역자임이 확인되고 러시아 변수가 회주를 불안하게 한다.","사죄를 실제 피해자가 받을 수 있도록 첫 생존자가 제주행을 받아들인다.","관계·정보","국가 외교 조직의 배신선과 박동철 측 피해자 보호선이 동시에 선명해진다.","조명득과 한수선이 다음 생존자를 찾아 강원도 횡성으로 향한다.","외교부 장관 부역 사실 공개","생존자 20명 이주와 푸틴 사과","푸틴 가스 거래와 KAL007 사과","high"
"584","법보다 주먹(완전판) 584화","가스관 5퍼센트의 당근","조명득은 전국 생존자 스무 명을 제주로 옮기고 박동철은 푸틴과 비공식 본론에 들어간다.","개인 탐욕을 정확히 찔러 국가 사과와 초대형 사업을 맞바꾸는 협상 쾌감","러시아 가스를 북한·대한민국·일본으로 연결하고 007편 사과를 받아 제주 독립 여론을 끌어올린다.","박동철은 공식 특사가 아닌 제주 도지사 자격을 밝히고 통역을 내보낸 뒤 푸틴 개인계좌에 총이익 5퍼센트를 주겠다고 번역기로 제안한다.","부패 거래가 드러날 경우 외교 파국과 박동철의 도덕·법적 비용이 막대하다.","국가 이익뿐 아니라 푸틴 개인 몫을 세 번째 당근으로 내놓아 협상이 노골적 비밀거래로 바뀐다.","푸틴이 황당해하면서도 제안을 거절하지 않고 계산에 들어간다.","돈·세계","제주 가스전과 대륙횡단 가스관이 러시아 최고권력의 개인 이익과 결박된다.","5퍼센트 제안 뒤 푸틴의 선택만 남는다.","푸틴 단독 협상 진입","007편 사과와 가스관 승인","푸틴 가스 거래와 KAL007 사과","high"
