sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
291,"291화","법보다 주먹(완전판)! 291화","박동철은 이유 모를 눈물과 함께 깨어나 최문탁이 임페리얼 클럽에 있다는 답을 듣는다.","기억 대가를 완전히 잃지 않으려는 재치와 조명득의 목숨 건 우정을 보상한다.","박동철은 지워진 기억의 흔적을 복구하면서 최문탁·국정원 정보원을 차례로 만나려 한다.","통화 녹음에서 아버지의 국밥 말을 듣고 블랙박스 흔적을 확인하며 조명득은 국정원을 해킹해 연길 담당 박명국을 찾는다.","기억 자체는 삭제됐고 임페리얼 클럽은 칠승파 심장부이며 등시펑도 입국 저지를 준비한다.","조명득은 박동철 보호를 위해 청명회 100명을 근거리 대기시키고 박동철을 자기 삶이라고 고백한다.","삭제 기억의 음성 파편과 조명득의 절대적 우정이라는 이중 감정 보상이 지급된다.","관계","박동철은 최문탁 뒤에 박명국이라는 두 번째 거래 상대를 얻고 청명회 보호망도 가동된다.","등시펑이 박동철과 한철의 관계를 캐며 그가 중국에 오지 못하게 하려 한다.","최문탁 위치와 국정원 연길 담당자 신원이 확인된다.","등시펑의 입국 봉쇄와 임페리얼 클럽 잠입이 열린다.","지워진 국밥 기억과 임페리얼 클럽 혈투","high"
292,"292화","법보다 주먹(완전판)! 292화","등시펑은 박동철 입국을 막으라 지시하고 박동철은 임페리얼 클럽 앞에 도착한다.","호랑이 굴에 혼자 들어가는 박동철과 뒤에서 100명을 준비한 조명득의 긴장을 건다.","박동철은 최문탁과 직접 만나 연길 조직 정보를 거래하려 한다.","두려움을 누르고 클럽 입구를 밀고 들어가 최문탁을 찾으며 조명득은 청명회 투입 태세를 확인한다.","칠승파 심장부라 살해돼도 이상하지 않고 등시펑은 비행기까지 멈출 권력으로 연결고리를 끊으려 한다.","입구 실장은 젊은 조직원이 검사에게 무례하자 따귀를 때리고 영감님이라 사죄하게 한다.","박동철의 이름만으로 조폭의 태도가 뒤집히는 사회적 목격·위압 보상을 지급한다.","지위","박동철은 칠승파가 함부로 건드릴 수 없는 검사로 인정받지만 안쪽 진입은 막힌다.","실장이 최문탁은 없다고 하며 귀가를 요구한다.","클럽 입구의 신원 확인은 끝난다.","최문탁 면담을 둘러싼 실장·은천재 계파 충돌이 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
293,"293화","법보다 주먹(완전판)! 293화","임페리얼 클럽 실장이 최문탁 부재를 주장하며 박동철의 길을 막는다.","칠승파 내부 권력투쟁이 박동철의 방문 때문에 폭발하고 결국 물리 충돌로 번질 것을 약속한다.","박동철은 거짓말을 뚫고 최문탁 앞까지 가려 한다.","돌아가라는 요구를 거부해 압박하고 안쪽에서는 최문탁이 합법 사업 전환과 은천재 계파 축소를 논의한다.","박치수 등 은천재 잔당은 최문탁에게 충성을 증명하려고 박동철의 목을 노린다.","최문탁이 박동철 방문을 이용해 반대 계파를 솎으려 하면서 박치수에게 사실상 공격을 허용한다.","박동철 한 사람의 등장이 칠승파 회의와 충성 구도를 흔드는 존재감 보상이 나온다.","지위","최문탁파와 은천재 잔당의 균열이 공개되고 박동철은 그 시험대 한가운데 선다.","박치수 측이 검사 목을 따고 회장에게 충성하겠다며 움직인다.","최문탁이 클럽 안에 있다는 의심이 사실상 확인된다.","박치수 패거리의 집단 공격이 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
294,"294화","법보다 주먹(완전판)! 294화","박치수가 부하들과 박동철을 막으러 나가고 최문탁은 그 충돌을 내부 장악에 이용한다.","박동철이 조직 전체 앞에서 몸으로 길을 열고 숨은 계파 균열을 읽는 장면을 준비한다.","박동철은 박치수의 위협을 밀어내고 최문탁에게 도달하려 한다.","최문탁은 심복에게 상황을 분석하고 박동철은 실장과 박치수의 포위를 정면으로 받는다.","은천재 계파가 칼을 들 가능성이 있고 최문탁은 직접 구해 주지 않은 채 결과를 본다.","박동철은 자신을 막는 자들이 최문탁 명령을 빙자한 은천재 잔당이며 조직 장악이 불완전함을 간파한다.","적진에서도 권력 구조를 즉시 읽고 물러서지 않는 주도권 보상을 준다.","세계","칠승파 내부의 최문탁파·은천재파 구분이 선명해지고 박동철의 싸움이 숙청 도구가 된다.","대화로 끝나지 않을 포위 속에서 박동철이 싸울 태세를 잡는다.","클럽이 단일하게 최문탁 명령으로 움직인다는 오해가 닫힌다.","집단 혈투와 최문탁의 관전 의도가 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
295,"295화","법보다 주먹(완전판)! 295화","박동철은 임페리얼 클럽 복도에서 박치수 패거리에게 완전히 포위된다.","다수의 조폭과 칼을 상대로 한 장기 육탄전의 체감 피로와 잔혹한 응징을 지급한다.","박동철은 지치기 전에 포위를 깨고 최문탁에게 가려 한다.","한꺼번에 덤비라 도발해 맨몸과 빼앗은 사시미로 조폭들을 연달아 쓰러뜨린다.","박치수는 교대로 힘을 빼라 지시하고 박동철도 체력이 떨어지며 살상선까지 몰린다.","밖에서는 조명득의 청명회 100명이 30분 뒤 돌입하고 박동철에게 일이 생기면 최문탁 목부터 따라는 명령을 받는다.","칼 든 조폭을 갈비뼈가 나가도록 제압하고 적진 한가운데 버티는 액션 보상이 지급된다.","능력","박동철의 압도적 전투력에도 피로와 살상 선택이라는 실제 비용이 누적된다.","최악이면 사시미를 살상용으로 고쳐 잡겠다고 결심한다.","말로 통과할 가능성이 닫힌다.","혈투의 생사선과 청명회 강제 개입 시한이 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
296,"296화","법보다 주먹(완전판)! 296화","최문탁은 특실에서 박동철이 여전히 버틴다는 보고를 받고 그는 복도 혈투를 이어 간다.","소문으로만 듣던 박동철의 완력을 최문탁과 조직이 목격하고 끝내 협상 자리를 열게 한다.","박동철은 마지막 저항을 꺾고 불법 도박 서버를 지렛대로 최문탁에게 연길 정보를 요구한다.","사시미 공격을 피하며 조직원들을 쓰러뜨린 뒤 특실에 들어가 계좌·서버 수사 가능성을 제시한다.","심하게 지쳤고 서버를 건드리면 최문탁의 돈줄과 조직 장악까지 흔들어 전면 적대가 될 수 있다.","최문탁은 어린 시절부터 알던 박동철이라 반드시 자기 앞에 올 거라 확신했고 실제로 하대 없이 협상한다.","수십 명의 저지를 뚫어 최문탁 앞에 서고 불법 돈줄을 정확히 찌르는 위압 보상을 지급한다.","지위","박동철은 침입자가 아니라 최문탁과 대등하게 조건을 말하는 협상자로 올라선다.","최문탁이 왜 이렇게까지 하느냐고 묻는다.","임페리얼 클럽 진입과 복도 혈투가 박동철 승리로 닫힌다.","은사의 아들 구명 이유와 불법 서버 유예 거래가 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
297,"297화","법보다 주먹(완전판)! 297화","박동철은 최문탁 앞에서 서버 폐쇄 시간을 조건으로 연길 마약 정보를 요구한다.","법을 어기는 거래까지 감수한 구명 의리와 서로를 이용하는 두 강자의 긴장을 결산한다.","박동철은 일주일 안에 한철을 구할 구체 정보를 받아내려 한다.","은사 아들 때문임을 밝히고 최문탁에게 일주일간 서버·이익금 이동 시간을 주겠다고 제안한다.","검사가 불법 사업 도피를 묵인하는 장기 도덕 비용을 지고 최문탁의 숨은 계략도 감수해야 한다.","최문탁은 정보를 모두 주겠다고 하면서도 은천재가 박동철 미행을 지시하게 유도한 뒤 제거할 차도살인을 설계한다.","적대 관계인 최문탁에게서 협조 약속을 받고 무사히 클럽을 빠져나오는 보상이 지급된다.","관계","박동철과 최문탁은 서버 유예와 연길 정보의 조건부 거래 관계가 된다.","박동철은 이번에는 박명국 국정원 요원과 거래하려고 전화를 건다.","최문탁 대면과 클럽 생환이 닫힌다.","최문탁의 은천재 차도살인과 박명국 정보 교환이 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
298,"298화","법보다 주먹(완전판)! 298화","박동철은 최문탁이 보낸 연길 조직 자료를 받고 박명국과 한강 공원에서 만나기로 한다.","조폭·국정원 두 정보망을 교차해 중국 원정의 실체와 위험을 손에 넣는다.","박동철은 홍설매·간첩단 자료와 맞바꿀 연길 마약 조직 정보를 확보한다.","최문탁 자료에서 백산파와 북한 생산 정황을 읽고 한강 공원에서 박명국에게 증거를 내민다.","북한산 마약·조선족 위장 조직이라 상대가 넓고 중국 현지의 공안·군인·조선족·한국인 누구도 믿기 어렵다.","백산파가 실은 북한 사람들일 가능성과 한철 사건 뒤의 북한 마약선이 구체화된다.","최문탁의 신상명세와 박명국의 현지 첩보를 동시에 얻어 중국행 준비가 현실화된다.","세계","한철의 누명이 북한산 마약을 옮기는 백산파 유통망과 연결되고 박동철은 현지 위험지도를 얻는다.","박명국이 중국에서는 그 누구도 믿지 말라고 경고한다.","최문탁·박명국 정보 거래가 모두 성사된다.","북한 백산파 추적과 중국 현지의 전면 불신이 열린다.","임페리얼 클럽 혈투와 최문탁·박명국 거래","high"
299,"299화","법보다 주먹(완전판)! 299화","박동철은 중국행 정보를 모았고 등시펑은 한철이 그의 은사 아들임을 확인한다.","국가 외교가 외면한 사건에 박동철이 비공식 수사관으로 선발되는 전환을 약속한다.","박동철은 직접 중국에 가 한철을 구하겠다는 승인을 얻으려 한다.","등시펑은 사건이 계획 밖으로 꼬였음을 보고받고 박치수는 교도소의 은천재를 찾아 박동철 미행을 유도한다.","중국은 공식 파견을 계속 거부하고 외교부는 대선 여론 때문에 유학생을 희생시킬 수 있다.","한국 정부가 비공식 수사관 파견으로 방향을 틀며 검찰이 사람을 선정하게 된다.","박동철이 부장검사에게 중국행을 직언해 사건의 수동적 피해자에서 구출자로 전환한다.","지위","박동철의 개인 구명 의지가 국가가 필요로 하는 비공식 임무 후보와 겹친다.","부장검사가 용빼는 재주가 있냐고 막지만 박동철은 뭐든 해봐야 한다고 맞선다.","국내 정보 수집 단계가 닫힌다.","검찰총장의 중국 파견 결정과 은천재 미행 지시가 열린다.","비공식 중국 파견과 등시펑의 입국 봉쇄","high"
300,"300화","법보다 주먹(완전판)! 300화","부장검사는 박동철의 중국행을 말리지만 검찰총장이 그를 따로 부른다.","무모한 개인행이 국가의 비공식 임무로 승인되는 영웅적 선택과 중국 측 함정을 교차한다.","박동철은 공식 보호 없이도 중국에서 진범을 잡고 한철을 살리겠다고 수락하려 한다.","부장검사와 논쟁한 뒤 총장실에 가 비공식 파견 요청을 듣고 즉시 받아들인다.","등시펑은 담당자가 되어 박동철 입국을 막고 한철의 혈액을 재검사해 사건을 조작할 여지가 있다.","한철과 함께 잡힌 다른 유학생 혈액에서 마약 성분이 나왔다는 이유로 한철도 정밀 재검사를 받는다.","검찰총장이 여러 후보 중 박동철을 신뢰해 임무를 맡기고 그는 검사답게 위험을 택한다.","지위","박동철은 은사의 제자이자 비공식 국가 수사관으로 중국 사건의 전면에 선다.","박동철이 총장의 파견 요청에 예라고 답한다.","중국에 갈 권한을 얻느냐는 질문이 닫힌다.","한철 혈액 조작 위험과 등시펑과의 정면 대결이 열린다.","비공식 중국 파견과 등시펑의 입국 봉쇄","high"
301,"301화","법보다 주먹(완전판)! 301화","검찰총장은 박동철에게 복직·안전·명예 어떤 보상도 보장할 수 없는 비공식 임무를 제안했다.","국가가 책임지지 못하는 원정에 박동철과 조명득이 동행해 직접 진범을 잡는 시작을 지급한다.","박동철은 한철과 다른 유학생을 살릴 증거와 진범을 중국에서 확보하려 한다.","검사직 사직을 감수하고 총장에게 충성 경례를 한 뒤 조명득과 즉시 연길행 비행기에 오른다.","은천재가 보낸 미행조가 따라붙고 중국은 두 유학생 혈액의 마약 양성까지 공식 발표한다.","최은희와 조명득이 말리지 않고 박동철의 결정을 지지하며 조명득은 동행을 선언한다.","보상 없는 임무를 자원하는 영웅적 선택과 두 친구의 공동 출국이 보상으로 지급된다.","지위","박동철은 현직 검사라는 법적 방패를 내려놓고 중국에서 행동하는 민간 구출자로 바뀐다.","연길 입국에 성공한 박동철이 등시펑도 납득할 진범·증거가 필요하다고 판단한다.","중국 입국 허가 여부와 조명득 동행 여부가 닫힌다.","진범 추적·혈액 양성 반박·은천재 미행조가 열린다.","연길 잠입과 판도식 생포","high"
302,"302화","법보다 주먹(완전판)! 302화","박동철·조명득은 연길에서 판도식을 통해 림채언을 찾으려 하고 뒤에는 한국 조폭이 붙어 있다.","최문탁의 이중계략을 선악의 저울로 읽고 적의 미행을 역으로 활용하는 보상을 준다.","박동철은 미행자의 배후를 가리고 등시펑과 접촉해 수사의 첫발을 떼려 한다.","판도식 소재를 물색하며 등시펑에게 전화하고 조명득의 감시망으로 옆방 조폭의 대화를 듣는다.","등시펑은 전화를 받지 않고 입국 금지 조치를 추진하며 은천재 조폭들은 으슥한 곳에서 박동철을 죽이려 한다.","박동철은 최문탁의 악의 수치가 자신을 죽이는 동시에 은천재를 정리하려는 차도살인임을 간파한다.","추적당하는 쪽이 이미 추적자를 모두 보고 있다는 정보 우위의 보상이 지급된다.","세계","최문탁은 은천재 잔당을 박동철에게 붙여 양쪽을 제거하려는 칠승파 완전 장악 단계로 간다.","박동철이 한국에 전화해 은천재 상태를 확인하겠다고 한다.","등시펑의 입국 금지는 박동철의 선입국으로 실패한다.","은천재 숙청 확인과 미행조 역습이 열린다.","연길 잠입과 판도식 생포","high"
303,"303화","법보다 주먹(완전판)! 303화","은천재는 교도소에서 박동철 복수를 꿈꾸고 박동철은 연길에서 첫 단서를 찾는다.","최문탁의 차도살인이 실제 숙청으로 결산되고 박동철이 법 밖 응징을 예고한다.","박동철은 최문탁의 배신을 확인한 뒤 림채언을 찾을 연결고리 판도식을 추적하려 한다.","부장검사에게 전화해 은천재 사망을 확인하고 청명회 정보망으로 연길 식당을 찾는다.","은천재는 최문탁이 사주한 형우에게 목욕탕 익사로 위장 살해되고 판도식은 이미 풀려나 숨어 있다.","판도식이 감옥이 아니라 연길 식당에서 자유롭게 움직이는 모습이 드러난다.","최문탁 계략의 실체를 정확히 읽은 박동철이 귀국 후 법이 안 되면 주먹으로 갚겠다고 목표를 세운다.","관계","은천재가 제거돼 최문탁이 칠승파를 독점하고 박동철과 최문탁의 거래 관계는 복수 대상으로 뒤집힌다.","박동철과 조명득이 판도식이 방금 떠난 개고기 식당에서 뒤를 쫓는다.","은천재의 생존·복수 루프가 죽음으로 닫힌다.","판도식 추격과 최문탁 응징의 장기 빚이 열린다.","연길 잠입과 판도식 생포","high"
304,"304화","법보다 주먹(완전판)! 304화","박동철·조명득은 식당 종업원에게서 판도식의 행방을 듣고 골목으로 추적한다.","연길 뒷골목의 무법성과 판도식이 준비한 매복을 정면으로 열어 액션 기대를 높인다.","박동철은 판도식을 놓치지 않고 림채언·한철 사건 연결선을 캐려 한다.","종업원에게 큰 팁을 주고 골목으로 나선 뒤 조명득과 갈라져 판도식을 혼자 따라간다.","뒤에는 은천재 미행조가 있고 앞의 판도식은 부하들에게 연장을 챙겨 박동철을 죽이라 지시한다.","판도식은 미행을 눈치채 일부러 막다른 골목의 자기 세력 안으로 박동철을 유인했다.","감옥에 있어야 할 판도식을 현장에서 찾아내 대면하는 수사 진전이 지급된다.","세계","추적전은 공식 수사가 닿지 않는 조선족 조직의 막다른 골목 결투로 전환된다.","판도식이 곧 죽을 놈이 말이 많다며 자신 있게 입구를 막는다.","판도식 소재 확인이 닫힌다.","판도식 부하들의 집단 매복과 조명득의 후방 처리가 열린다.","연길 잠입과 판도식 생포","high"
305,"305화","법보다 주먹(완전판)! 305화","판도식은 중식도와 연장을 든 조선족 20여 명으로 박동철을 막다른 골목에 가둔다.","연길이라는 법 밖 공간에서 박동철·조명득의 쌍검 액션과 사생결단을 지급한다.","박동철은 포위를 뚫고 판도식을 생포하려 한다.","중식도를 빼앗아 조선족들을 상대하고 조명득은 뒤따르던 은천재 조폭을 제압해 청명회 아지트로 보낸다.","상대 수가 많고 칼·망치까지 들었으며 중국에서는 정당방위도 기대할 수 없다.","조명득이 긴 곡도를 들고 합류해 박동철과 나란히 판도식 세력에 맞선다.","미행조를 역으로 납치하고 두 친구가 칼을 맞잡는 강한 액션·우정 보상이 지급된다.","능력","한국에서의 검찰 수사는 완전히 중국 뒷골목의 생존전으로 변한다.","망치를 든 조선족이 박동철에게 돌진한다.","후방 미행조의 즉각 위협이 조명득에게 제압돼 닫힌다.","20여 명과의 본격 혈투와 판도식 생포가 열린다.","연길 잠입과 판도식 생포","high"
