sequence,visible_label,title,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"11","11화","법보다 주먹(완전판)! 11화","전교생이 지켜보는 운동장에서 동철과 이창명의 결투가 계속된다.","이길 힘이 있는 동철이 일부러 과거의 길을 버리는 역설적 보상을 준다.","은 실장에게 선택되는 승자의 길을 이창명에게 넘긴다.","실력으로 이창명을 몰아붙이다 마지막에 일부러 맞고 패배를 연출한다.","학교 통의 전설과 공개 평판을 잃고 학생들의 싸늘한 시선을 감수한다.","은 실장은 이창명을 서울로 데려가며 동철이 걸었던 조폭 인생을 대신 걷게 한다; 최문탁만 고의 패배를 의심한다.","동철은 주먹으로 먹고살 운명에서 벗어났다는 홀가분함을 얻는다.","지위","학교 통의 공개 전설은 꺾였지만 대학에 집중할 선택권을 얻는다.","오득현이 젖은 동철에게 체육복을 건네며 새 관계가 싹튼다.","이창명과의 결투; 은 실장의 승자 선발","이창명의 서울행 결과; 동철의 공부 성과","일부러 꺾은 주먹의 전설","high"
"12","12화","법보다 주먹(완전판)! 12화","주먹의 전설을 내려놓은 동철은 새벽 5시 등교와 암기 공부를 일주일 이어간다.","꼴등이 실제 점수로 첫 계단을 오르는 시험 보상을 예고한다.","첫 모의고사에서 최소 50명을 제친다.","과목 1등들이 찍어 준 문제와 공식을 통째로 외우고 시험에 들어간다.","기초 이해가 부족해 외운 유형 밖 문제는 풀 수 없고 전교 500등이라는 출발점이 무겁다.","명득은 밤마다 노숙자 함 씨에게 10원짜리를 모으라 시키며 별도 계획을 움직인다.","동철은 공부 루틴을 습관으로 만들고 공개 내기 덕에 성적 상승이 사회적 이벤트가 된다.","능력","전무하던 학습 능력이 암기와 반복으로 실제 문제를 풀 수준까지 오른다.","전교생의 내기 속에서 동철이 답안지를 채우기 시작한다.","공부 루틴 정착","모의고사 순위; 명득의 10원짜리 계획","전교 꼴등의 첫 모의고사","high"
"13","13화","법보다 주먹(완전판)! 13화","동철은 첫 모의고사에서 외운 문제와 정체불명의 빛나는 답을 마주한다.","깡으로 외운 노력이 예상 밖의 압도적 성적으로 환전된다.","아는 문제를 직접 풀고 첫 시험을 완주한다.","수리와 언어 영역에서 외운 문제를 풀고 나머지는 답에서 반짝이는 표시를 따라 체크한다.","답의 빛이 왜 보이는지 모르고 부정행위로 오해받을 위험이 있다.","채점 결과 동철의 답안은 만점이며 학생주임은 기적을 확인하고 용봉철에게도 보여준다.","전교 꼴등 동철이 첫 시험 만점이라는 숨은 성취를 얻는다.","능력","회귀 뒤 정답이 빛나 보이는 초현실적 시험 능력이 처음 확인된다.","월요일 성적 공개와 학생들의 매타작이 예고된다.","첫 모의고사 응시","정답 발광 능력의 원인; 공식 성적 공개","빛나는 정답과 만점 답안","high"
"14","14화","법보다 주먹(완전판)! 14화","모의고사 결과가 공개되는 월요일 학교 전체가 내기 벌칙으로 술렁인다.","전교 꼴등의 전교 1등이라는 통쾌한 사회적 목격 보상을 지급한다.","성과를 인정받고 기말고사까지 공부 분위기를 이어간다.","동철의 만점이 발표되고 내기에 진 학생들이 맞는 가운데 동철은 어린 선생들과 공부를 계속한다.","기적이 초능력 덕분이라는 사실은 숨겨야 하고 명득은 동철 탓에 맞았다며 반발한다.","동철의 성공에 자극받은 명득도 남들을 이기기 위한 놀이로 공부를 시작한다.","학교에 똥철이의 기적이라는 신조어가 생기고 동철은 공부의 전설이 된다.","지위","폭력으로 군림하던 학교 통이 전교 1등이자 학습 분위기를 바꾼 상징으로 재평가된다.","기말고사를 앞두고 동철이 과목 1등 열 명의 빵 셔틀을 자처한다.","첫 모의고사 순위; 50명 추월 목표","기말고사; 명득의 성적 경쟁; 초능력 은폐","전교 꼴등의 전교 1등","high"
"15","15화","법보다 주먹(완전판)! 15화","기말고사를 앞두고 이사장은 아들 현철의 서울대 내신을 위해 용봉철에게 부정한 구실을 요구한다.","동철의 공부 성장선 옆에 학교 내부의 성적·성착취 악을 세운다.","ARS가 지목한 불의를 확인하고 막는다.","용봉철을 찾아가다 그가 오미선을 과학실에서 성적으로 착취하며 시험문제를 주는 장면을 엿본다.","용봉철은 이사장의 비호를 받고 오미선은 성적 때문에 저항할 방법이 없다고 체념한다.","ARS가 불의를 외면할지 맞설지 묻고 동철은 2번을 선택한다.","동철은 부정 시험과 성착취의 현장을 알아내고 개입 명분을 얻는다.","세계","학교의 성적 경쟁 뒤에 이사장·용봉철의 조작과 학생 착취 구조가 있음을 알게 된다.","용봉철이 오미선에게 다시 예전처럼 있으라고 강요한다.","ARS의 불의 선택","오미선 구출; 용봉철 처벌; 이사장 아들 내신 조작","용봉철의 과학실 범죄","high"
"16","16화","법보다 주먹(완전판)! 16화","동철은 과학실 밖에서 용봉철의 범죄를 목격한다.","주먹만이 아니라 소문과 증거로 교사를 사냥하는 행동 지능을 보여준다.","용봉철의 반복 범행과 피해자를 확인한다.","창문을 깨 주의를 돌린 뒤 명득을 조수로 삼고 최은희에게 여자 3학년 소문을 묻는다.","피해 학생들이 성적과 수치심 때문에 입을 닫고 있으며 동철도 확실한 증거가 없다.","최은희가 오미선과의 접촉을 주선하고 동철에게 감정 어린 신뢰를 보낸다.","동철은 오미선에게 직접 확인할 통로와 최은희·명득이라는 조사팀을 얻는다.","관계","최은희가 단순 목격자에서 동철의 공조자이자 호감을 드러내는 인물로 가까워진다.","약속 장소인 옥상에 오미선이 보이지 않고 불길한 기운만 감돈다.","용봉철 범행 목격","오미선 생존과 증언; 처벌 증거","옥상에서 사라진 오미선","high"
"17","17화","법보다 주먹(완전판)! 17화","오미선은 학교 옥상 난간에서 추락을 생각하고 있다.","동철이 피해자의 생명을 붙잡고 가해자를 잡을 구체 작전을 만든다.","오미선을 살리고 용봉철을 함정으로 끌어낸다.","난간에서 오미선을 끌어내 설득하고 은하수 모텔 약속 정보를 받아 명득과 쥐덫 계획을 짠다.","오미선은 동철을 믿기 어렵고 용봉철의 비호와 보복을 두려워한다.","오미선이 용봉철과 모텔에서 만나기로 했다는 사실이 덫의 시간·장소가 된다.","오미선은 투신을 멈추고 오늘이 마지막일 수 있다는 희망을 얻는다.","관계","동철은 오미선에게 가해자를 끝내 줄 보호자이자 증거 설계자로 자리 잡는다.","동철과 명득이 은하수 모텔에서 사기를 칠 준비를 시작한다.","오미선의 투신 위기","용봉철 함정; 모텔 증거 제작; 명득의 10원짜리 계획","옥상 구조와 은하수 모텔 덫","high"
"18","18화","법보다 주먹(완전판)! 18화","동철·명득·최은희는 은하수 모텔 앞에서 용봉철을 기다린다.","악질 교사가 파 놓은 덫을 되돌려 자신이 빠지게 만든다.","용봉철을 들키지 않게 제압하고 오미선을 빼낸다.","명득이 물품을 준비하고 최은희가 보조하는 동안 동철은 마취제 손수건을 꺼내 용봉철의 동선을 노린다.","용봉철은 학생주임 술에 수면제를 타며 먼저 음모를 실행하고 언제 모텔에 올지 불확실하다.","용봉철이 학생주임을 무너뜨리려 했다는 추가 악행과 최문탁이 조직 장학사업 때문에 마산에 내려온 사정이 드러난다.","동철 일행은 용봉철의 도착을 포착하고 선수를 칠 위치를 잡는다.","관계","최은희와 동철의 공조에 풋풋한 호감이 섞이고 명득은 평생 갈 조수처럼 자리한다.","마취제 손수건을 든 동철이 용봉철에게 접근한다.","모텔 덫 준비","용봉철 제압; 학생주임 수면제 음모; 오미선 구출","모텔 앞의 마취제","high"
"19","19화","법보다 주먹(완전판)! 19화","용봉철이 오미선이 있는 모텔로 향하고 동철 일행이 뒤를 밟는다.","가해자를 물리적으로 제압해 피해자의 공포를 즉시 끝낸다.","용봉철을 기절시키고 오미선과 합류한다.","동철이 마취제와 주먹으로 용봉철을 쓰러뜨려 306호로 끌고 가고 명득이 그의 뺨을 때린다.","들키면 학생인 네 사람 모두 처벌받을 수 있고 오미선은 여전히 울며 무너져 있다.","최문탁은 은 실장의 급한 서울 호출이 자신을 똥개처럼 쓰는 명령임을 알아차린다.","오미선은 용봉철의 손에서 구출되고 직접 응징 현장을 목격한다.","관계","오미선이 고립된 피해자에서 동철·은희·명득의 작전에 함께하는 증인이 된다.","동철이 기절한 용봉철을 상대로 영화를 찍자고 한다.","용봉철 물리 제압; 오미선 구조","조작 사진의 용도; 용봉철의 공적 퇴출; 최문탁의 서울 호출","306호의 정의 영화","high"
"20","20화","법보다 주먹(완전판)! 20화","기절한 용봉철과 네 학생이 은하수 모텔 306호에 있다.","가해자의 성적 위선을 공개 위험으로 바꿔 학교에서 제거한다.","신분을 감춘 채 용봉철의 퇴출을 강제한다.","용봉철에게 여성 속옷을 입히고 명득과 사진을 만든 뒤 교장·교육청에 협박성 제보를 보낸다.","사진 조작이 들키면 학생들이 역으로 처벌받고 이사장은 아들의 내신 때문에 사건을 막으려 한다.","교육청 감사실까지 사진이 전달되어 언론 공개를 피하려면 즉각 대기발령해야 하는 판이 만들어진다.","용봉철은 자신도 모르는 사이 교직에서 쫓겨날 위기에 놓이고 피해 학생들은 반복 착취에서 벗어난다.","지위","용봉철의 교사 권력이 교육청 제보 한 번으로 붕괴 직전이 된다.","아무것도 모른 채 출근한 용봉철이 절망할 교무실로 향한다.","모텔 증거 제작과 배포","용봉철 최종 처분; 학생주임 수면제 피해; 이사장 대응","교육청까지 간 조작 사진","high"
"21","21화","법보다 주먹(완전판)! 21화","교육청 제보 다음 날 용봉철은 교무실에서 경멸과 사표 요구를 받는다.","사회적 매장 뒤에도 피해자를 노리는 악인을 끝까지 추적한다.","용봉철이 오미선에게 보복하지 못하게 한다.","기말고사를 앞두고도 용봉철의 동선을 살피고 은희와 나눠 옥상·주차장으로 움직인다.","이사장에게 버림받은 용봉철이 오미선을 범인으로 의심해 납치하듯 끌고 간다.","사진을 본 이사장은 매수된 다른 국어 교사로 아들 내신을 지킬 수 있어 용봉철을 소모품처럼 버린다.","용봉철은 교직 인생을 잃고 동철·은희는 서로를 믿는 ‘우리’가 된다.","지위","용봉철은 선생에서 사표를 강요받는 퇴출자로 추락한다.","동철은 주차장으로, 은희는 옥상으로 향해 마지막 결산을 나눈다.","교육청 처분 개시","오미선 보복 차단; 용봉철의 최후","퇴출된 교사의 마지막 발악","high"
"22","22화","법보다 주먹(완전판)! 22화","용봉철이 옥상에서 오미선을 위협하고 동철은 그의 차로 간다.","법 밖의 설계로 가해자의 재발 가능성을 영구히 끊는다.","오미선을 구하고 용봉철을 다시는 돌아오지 못하게 한다.","송곳으로 차 앞바퀴를 찌른 뒤 옥상에서 용봉철을 두들겨 패고 과속해 달아나게 만든다.","의도한 교통사고는 회귀 후 동철의 첫 범죄이며 살인이라는 되돌릴 수 없는 비용을 남긴다.","공기 빠진 차가 전복되고 안전띠를 안 맨 용봉철이 튕겨 나가 사망한다.","오미선의 멈춘 늦봄이 끝나고 용봉철의 위협도 완전히 사라진다.","세계","동철은 검사 지망생이면서 악인을 죽게 만드는 사적 처단자라는 이중선을 넘는다.","다음 날 동철은 용봉철의 죽음을 확인하기도 전에 기말고사에 들어간다.","용봉철 최종 응징; 오미선 보복 차단","첫 살인의 장기 비용; 기말고사 결과","펑크 난 바퀴와 용봉철의 죽음","high"
"23","23화","법보다 주먹(완전판)! 23화","용봉철 사건을 끝낸 뒤 동철과 명득은 기말고사와 연애 문제를 맞는다.","죽음의 긴장 뒤 두 커플 성립과 명득의 비밀 돈벌이라는 생활 보상을 준다.","은희와의 감정을 확인하고 친구들의 관계도 존중한다.","최은희에게 고백해 사귀고 명득이 오미선을 좋아한다는 마음을 오해했다가 사과한다.","성적 압박과 어른의 잣대로 명득의 감정을 재단한 실수가 관계를 흔든다.","명득이 노숙자들을 시켜 모은 10원짜리를 동괴로 바꿔 두 배 수익을 챙기는 사업 수완이 밝혀진다.","동철·은희와 명득·미선 두 커플이 나란히 성립한다.","관계","네 사람의 구조 공조가 두 연인 관계와 오래 갈 동료 관계로 굳어진다.","명득이 동철에게 숨긴 돈벌이와 노숙자 네트워크의 규모가 열린다.","두 커플 고백","기말고사 성적; 명득의 동괴 사업과 과거","용봉철 뒤의 첫사랑과 동괴","high"
"24","24화","법보다 주먹(완전판)! 24화","용봉철의 죽음을 곱씹으며 혼자 귀가한 동철에게 새 시야가 열린다.","초능력을 공부와 범죄 판단에 전용하는 성장 보상을 지급한다.","새 능력의 규칙을 확인하고 가족 문제를 파악한다.","동네 사람들의 머리 위 선악 수치를 관찰하고 객관식은 능력, 주관식은 암기로 공부 방향을 바꾼다.","선악을 숫자로 재도 사람은 고정된 선악이 아니며 능력 사용의 도덕적 위험이 있다.","용봉철 처단 뒤 ‘진실의 눈/선악의 저울’이 생겼고 집에서는 엄마의 도박 문제가 심각하다는 말을 엿듣는다.","동철은 검사에게 강력한 범죄 감별 수단과 시험 전략을 얻는다.","능력","정답 발광에 이어 사람의 선악 비율을 보는 능력이 의식적으로 정착한다.","돝섬 데이트 중 양아치들이 약자를 괴롭히는 장면을 목격한다.","새 능력 확인","엄마의 도박; 돝섬 양아치 개입","선악의 저울과 엄마의 비밀","high"
"25","25화","법보다 주먹(완전판)! 25화","돝섬에서 동철 일행은 젊은 여성들을 희롱하는 신포동 양아치들을 본다.","데이트를 망칠 위험을 감수하고 목격한 폭력을 그냥 넘기지 않는다.","여성들을 구하고 섬을 무사히 빠져나간다.","양아치 무리를 제압하고 구조한 여성 윤미정에게 조심하라 한 뒤 막배 선착장으로 향한다.","신포동 성인 양아치와 사창가 기도가 뒤를 막고, 한편 엄마는 합성동 도박장에서 5천만 원 꽁지를 권유받는다.","학생 싸움이 아니라 조직 성인들이 개입하면서 작은 구조가 지역 조폭 충돌로 커진다.","피해 여성들은 벗어나고 은희는 동철의 행동을 다시 목격한다.","관계","동철은 윤미정에게 생명의 빚을 만들지만 신포동 세력과 원한도 맺는다.","선착장에서 기도가 동철에게 위협을 가하고 엄마의 도박 빚도 파국으로 치닫는다.","돝섬 여성 구출","신포동 보복; 엄마의 5천만 원 도박빚","돝섬 구조와 선착장 봉쇄","high"
"26","26화","법보다 주먹(완전판)! 26화","신포동 기도들이 막배 앞에서 동철 일행을 둘러싼다.","더 큰 주먹의 개입으로 지역 양아치의 체면을 꺾고 빚을 기회로 바꾼다.","친구들을 지키고 엄마의 도박장을 깨뜨릴 힘을 빌린다.","성인 양아치와 맞서다 현장에 나타난 최문탁의 도움으로 위기를 끝내고 저녁 사무실에서 도박장 습격을 부탁한다.","조폭에게 도움을 청하면 다시 과거 세계에 빚지고 엄마 문제까지 드러내야 한다.","동철이 구한 윤미정이 최문탁이 모시는 조직 회장의 딸이라 최문탁이 목숨 빚을 인정한다.","신포동 세력은 물러나고 동철은 최문탁의 명함과 부산 타짜 깔치의 지원을 얻는다.","관계","동철과 최문탁은 우연한 조우에서 서로 빚을 계산하는 협력 관계가 된다.","노숙자가 ‘붕어빵’ 동철의 출입을 감시해 명득에게 보고하고 깔치가 도박장을 특정한다.","신포동 선착장 충돌","엄마 도박 구출; 최문탁과의 빚; 감시자 명득","윤미정의 목숨 빚과 도박장 부탁","high"
"27","27화","법보다 주먹(완전판)! 27화","최문탁은 부산 타짜 깔치와 조카 광수를 불러 엄마의 하우스를 공략한다.","동철·명득·최문탁 세 사람의 숨은 설계가 한 도박장으로 수렴한다.","엄마를 도박에서 빼내고 빚을 정확히 결산한다.","깔치에게 가족 사정을 설명하고 지옥 구경을 감수하며 하우스로 향한다.","깔치는 도박 중독자가 스스로 멈추지 않으면 잔혹한 대가를 치르게 하려 하고 동철도 원망하지 않겠다고 약속한다.","명득은 노숙자 함 씨에게 쪽방을 마련하고 녹음기를 최문탁에게 넘겨 학교 재단까지 별도로 압박한다.","최문탁은 동철의 엄마를 꺼내고 3억만 따 가겠다고 하우스장을 공포로 제압한다.","관계","깔치·광수가 동철의 가족 구출 작전에 합류하고 명득의 독자 정보망이 드러난다.","하우스장이 최문탁의 이름을 알아보고 굳으며 설계 도박이 시작된다.","도박장 위치 확인","엄마의 중독 선택; 3억 판; 학교 재단 녹취","깔치의 지옥 구경","high"
"28","28화","법보다 주먹(완전판)! 28화","최문탁과 깔치가 합성동 하우스를 장악하고 엄마를 시험할 판을 깐다.","가족이 스스로 유혹을 끊는 선택으로 돈보다 큰 감정 보상을 준다.","엄마의 빚을 없애고 도박을 완전히 끊게 한다.","깔치가 엄마에게 빚만큼 일부러 잃어주고 원금 회수를 요구해 더 할지 멈출지 선택시킨다.","엄마가 계속하면 동철의 신체 포기 각서까지 갈 수 있는 잔혹한 시험이며 최문탁에게 큰 빚을 진다.","엄마는 딴 돈으로 노름빚을 갚고 ‘저 엄마예요’라며 판을 떠난 뒤 경찰에 자수한다.","가족에게 봄날이 돌아오고 동철은 선악이 움직이며 악한 도구도 쓰는 사람에 따라 달라짐을 배운다.","관계","무너졌던 엄마가 가족을 택해 돌아오고 동철은 깔치·광수에게 훗날 한 번 봐주겠다고 약속한다.","깔치는 광수에게 동철에게 잘 보이라 예언하고 최문탁과의 빚잔치는 끝난다.","엄마 도박빚; 하우스 시험","광수와의 미래 약속; 능력의 도구화","엄마의 ‘저 엄마예요’","high"
"29","29화","법보다 주먹(완전판)! 29화","엄마가 돌아온 뒤 최문탁은 명득의 녹취로 학교 이사장을 몰아세운다.","가족 회복과 학교 구조 개선이 조폭의 힘으로 동시에 지급된다.","기말 성적을 확인하고 다시 공부에 집중한다.","동철은 가족의 아침을 맞고 학교에서 성적표를 받으며 선생의 벌을 감수한다.","엄마에 대한 신뢰는 아직 완전히 회복되지 않았고 기말 순위가 19등으로 떨어져 19대 벌을 맞게 된다.","최문탁이 비리 재단을 7억에 인수하고 용봉철 후임 영어 교사 윤미정이 동철의 학교로 온다.","동철은 꼴등에서 전교 19등, 명득은 170등까지 올라 실력 성장을 증명한다.","지위","최문탁이 이사장이 되어 학교 급식·교원 개선의 권한을 얻고 동철은 상위권 학생이 된다.","학생주임이 체육복을 덧댄 동철의 꼼수를 간파하고 바지를 벗으라 한다.","엄마 귀환; 이사장 인수","윤미정의 역할; 동철·명득의 다음 성적","최문탁의 학교 인수와 19등","high"
