sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
161,161화,S1B-A02,결산,CL카드 현금서비스 중단 뒤 고승택과 2조 원·부채 인수안을 협상하고 김태중을 불러 정부·채권단의 탕감을 끌어낸다; 외환카드까지 현금서비스를 멈추자 채권단이 태도를 바꾸고 태우에 더 좋은 조건을 제시한다; 태우카드를 포함한 업계 1위 CL카드를 되찾을 계약과 대규모 부채 탕감을 확보한다,7,9,9,6,8,8,5,9,결산 구간. 태우카드를 포함한 업계 1위 CL카드를 되찾을 계약과 대규모 부채 탕감을 확보한다; 다음 압력은 인수 뒤 남은 20조 원대 카드채와 연체금을 어떻게 정상화할지가 남는다
162,162화,S1B-A03,진입,CL카드 인수를 마무리하고 태우증권 자금으로 만기 채권을 막으면서 이영한의 추심망을 붙여 연체금을 회수한다; 겉으로 드러난 손실 외에 2조 원이 넘는 숨은 부실과 20조 원 카드채가 확인되지만 자금력으로 버틴다; 카드업계 1위와 태우카드를 되찾고 삼진카드가 따라올 수 없는 현금·추심 우위를 세운다,6,6,8,8,8,4,5,9,진입 구간. 카드업계 1위와 태우카드를 되찾고 삼진카드가 따라올 수 없는 현금·추심 우위를 세운다; 다음 압력은 2002년 월드컵과 외환은행을 동시에 먹기 위한 새 판을 짠다
163,163화,S1B-A03,진입,불법 대선자금을 끊고 월드컵 대표팀·히딩크·선수들과 미리 광고 계약을 맺으며 공식 스폰서 대신 응원단을 만든다; 회귀 지식으로 한국의 4강 성적과 광고 문구를 먼저 계약해 값이 오르기 전 브랜드 권리를 잠근다; 월드컵 열기를 태우 브랜드 보상으로 바꿀 독점 광고권을 얻는다,6,6,8,6,5,4,5,6,진입 구간. 월드컵 열기를 태우 브랜드 보상으로 바꿀 독점 광고권을 얻는다; 다음 압력은 다이먼이 외환은행 BIS가 6.16으로 조작됐다는 증거를 들고 온다
164,164화,S1B-A03,확장,금감원 내부자 이일석의 BIS 조작 증언을 감사원·청와대 수사로 연결하고 CES에서 아이패드·아이폰S·스마트TV 공개를 준비한다; 론스타 매각용으로 낮춘 BIS가 폭로되어 외환은행 기존 매각판이 무너진다; 외환은행을 정당하게 인수할 공적 명분과 애플 공동제품의 세계 무대를 확보한다,7,7,8,8,8,4,5,9,확장 구간. 외환은행을 정당하게 인수할 공적 명분과 애플 공동제품의 세계 무대를 확보한다; 다음 압력은 스티브가 마지막 제품으로 애플·태우 스마트TV를 무대에 올린다
165,165화,S1B-A03,확장,CES에서 애플·태우 공동 로고의 스마트TV와 콘텐츠 생태계를 공개하고 외환은행장 이수현에게 다이먼을 경쟁 입찰자처럼 접근시킨다; 제품 발표로 태우전자 주가가 오르는 동안 이수현은 다이먼의 자금과 자문직 제안에 넘어간다; 스마트TV 선도 이미지와 외환은행 인수 내부 협상선을 동시에 얻는다,7,7,8,6,8,4,5,9,확장 구간. 스마트TV 선도 이미지와 외환은행 인수 내부 협상선을 동시에 얻는다; 다음 압력은 다이먼이 론스타보다 높은 1조5천억 원 입찰로 은행 인수를 끝내려 한다
166,166화,S1B-A03,확장,다이먼이 1조5천억 원을 제시해 론스타를 누르고 외환은행을 인수하고 태우 계열사를 주거래 고객으로 붙인다; BIS 조작 폭로와 경쟁 입찰 연기가 결합해 외국 투기자본 대신 태우 금융망이 은행을 차지한다; 외환은행과 글로벌 결제 거점을 얻고 스마트TV 흥행으로 태우 가전 매출도 20% 이상 뛴다,7,7,8,8,8,4,5,9,확장 구간. 외환은행과 글로벌 결제 거점을 얻고 스마트TV 흥행으로 태우 가전 매출도 20% 이상 뛴다; 다음 압력은 신입사원 이력서에서 빚과 성추행 위기에 놓인 천민정을 발견한다
167,167화,S1B-A03,전환,채용 자료 속 S급 프로그래밍·알고리즘 능력자 천민정을 찾아 강 대위에게 술집에서 즉시 구출·영입하게 한다; 천민정의 실력보다 가난과 검사 아들의 괴롭힘 때문에 기회가 막혔다는 사실이 드러난다; 미래 AI·암호기술을 맡길 천재를 현실의 위험에서 빼내 태우 품으로 들인다,8,8,9,6,8,8,5,6,전환 구간. 미래 AI·암호기술을 맡길 천재를 현실의 위험에서 빼내 태우 품으로 들인다; 다음 압력은 가해자 검사 가족이 권력을 이용해 다시 천민정을 압박하려 한다
168,168화,S1B-A03,전환,강 대위가 천민정을 지키고 민재가 정수 검사 라인을 승진시켜 가해 검사 가족을 눌러 아들을 해외로 보낸다; 개인의 권력보다 태우가 만든 검찰 인맥이 더 강하다는 사실을 가해자에게 각인시킨다; 천민정과 가족의 안전을 확보하고 보호 약속을 실제 권력 보상으로 갚는다,8,8,9,6,5,8,8,6,전환 구간. 천민정과 가족의 안전을 확보하고 보호 약속을 실제 권력 보상으로 갚는다; 다음 압력은 민재가 천민정에게 국가도 은행도 통제하지 못할 전자화폐 개발을 맡긴다
169,169화,S1B-A03,압박,천민정과 암호학자 팀을 꾸려 비트코인 구조를 설명하고 채굴·분산장부 개발을 극비 프로젝트로 시작한다; 천민정이 난제를 두려워하기보다 새 화폐의 가능성에 흥분하며 즉시 합류한다; 회귀 전 세계를 바꾼 암호화폐를 태우가 창조 단계부터 소유할 기반을 얻는다,9,7,9,6,5,8,5,6,압박 구간. 회귀 전 세계를 바꾼 암호화폐를 태우가 창조 단계부터 소유할 기반을 얻는다; 다음 압력은 월드컵이 시작되고 미리 계약한 대표팀 광고가 실제 성적을 기다린다
170,170화,S1B-A03,압박,월드컵 대표팀·히딩크의 발언과 승리를 실시간 광고로 전환하고 붉은 응원단을 태우 브랜드에 연결한다; 한국이 16강·8강으로 오르며 미리 싼값에 산 광고권이 전국적 감정 보상으로 폭발한다; 태우를 월드컵 신화와 결합한 국민 브랜드로 만들고 계약 선수들의 가치도 끌어올린다,9,7,9,6,5,4,5,6,압박 구간. 태우를 월드컵 신화와 결합한 국민 브랜드로 만들고 계약 선수들의 가치도 끌어올린다; 다음 압력은 4강 결산 뒤 천민정이 코코아톡 결함과 자신의 빚 문제를 안고 민재를 찾는다
171,171화,S1B-A03,결산,한국 4강과 광고 계약을 결산하고 천민정의 부친 사채를 정리한 뒤 코코아톡 문제를 고치게 하고 다음 AI 과제를 준다; 돈을 벌기 위한 성과급 집착 뒤에 가족 빚이 있음을 알고 회사가 안전망이 되어 준다; 월드컵 투자 보상과 천민정의 충성·메신저 개선을 동시에 회수한다,7,9,9,6,5,8,8,6,결산 구간. 월드컵 투자 보상과 천민정의 충성·메신저 개선을 동시에 회수한다; 다음 압력은 힌톤 AI팀에 합류한 천민정이 개인 맞춤 광고와 알림 알고리즘을 제안한다
172,172화,S1B-A04,진입,천민정을 힌톤 AI팀에 붙이고 밤샘 통화로 사용자별 광고·추천·푸시 알고리즘을 제품화한다; 논문 연구에 머물던 AI가 SNS·메신저 매출을 만드는 실용 엔진으로 바뀐다; 태우 플랫폼이 이용자 데이터를 수익으로 바꿀 개인화 기술을 선점한다,6,6,8,6,5,8,5,9,진입 구간. 태우 플랫폼이 이용자 데이터를 수익으로 바꿀 개인화 기술을 선점한다; 다음 압력은 밤샘 아이디어 회의가 두 사람의 연애 소문으로 번진다
173,173화,S1B-A04,진입,젊은 자문위원 서정준을 몰아낸 안상수와 동조 임원을 조사해 베트남 현장 승진이라는 방식으로 본사에서 축출한다; 외환위기를 함께 넘긴 충성파라도 낡은 위계로 인재를 죽이면 보호하지 않는다는 원칙을 세운다; 태우 내부 구태를 걷어 내고 젊은 전문가가 목소리 낼 조직 신호를 만든다,6,6,8,8,5,8,5,6,진입 구간. 태우 내부 구태를 걷어 내고 젊은 전문가가 목소리 낼 조직 신호를 만든다; 다음 압력은 천민정과의 잦은 심야 통화가 사내에서 민재의 열애설로 굳어진다
174,174화,S1B-A04,확장,천민정에게 열애설 상대가 자신임을 알려 오해를 풀고 계속 아이디어 회의를 하며 메신저에 금융을 결합하는 안을 받는다; 다른 여성일까 불안해하던 천민정이 자신이 소문의 주인공임을 알고 관계를 긍정적으로 받아들인다; 두 사람의 신뢰와 감정선을 진전시키고 코코아톡 금융이라는 사업 씨앗을 얻는다,7,7,8,6,5,8,5,6,확장 구간. 두 사람의 신뢰와 감정선을 진전시키고 코코아톡 금융이라는 사업 씨앗을 얻는다; 다음 압력은 페이스북과 코코아톡 출시를 위해 거액 데이터센터가 필요해진다
175,175화,S1B-A04,확장,"페이스북·코코아톡을 무료 출시하고 알고리즘 광고·금융 수익모델을 설계하며 5천억~1조 원 데이터센터 입지를 정치적으로 고른다; 무료 서비스의 막대한 서버 비용을 지역 일자리와 정치 동맹으로 되돌릴 수 있음을 깨닫는다; SNS·메신저의 초기 사용자와 차세대 금융 플랫폼, 지역 정치 지렛대를 함께 만든다",7,7,8,6,5,4,5,9,"확장 구간. SNS·메신저의 초기 사용자와 차세대 금융 플랫폼, 지역 정치 지렛대를 함께 만든다; 다음 압력은 KS 세이월드가 저작권·사용자 이탈로 흔들리고 서광수가 다시 민재를 찾는다"
176,176화,S1B-A04,확장,KS에 빼앗겼던 서광수와 핵심 직원들을 페이스북 한국 책임자로 영입해 세이월드를 정면으로 무너뜨린다; 박동희의 강압 계약이 오히려 인재와 사용자 모두를 태우로 보내는 독이 된다; 세이월드 복수 약속을 창업자·직원 회수와 페이스북 우위로 갚는다,7,7,8,6,8,4,8,6,확장 구간. 세이월드 복수 약속을 창업자·직원 회수와 페이스북 우위로 갚는다; 다음 압력은 김태중이 천민정을 따로 만나 손자와의 관계를 묻는다
177,177화,S1B-A04,전환,김태중이 천민정의 배경을 따지지 않고 손자 곁을 지지하며 민재는 호텔 회의실에서 그녀와 AI·금융 프로젝트를 계속한다; 천민정이 해고나 신분 차별을 예상했지만 조부가 오히려 가족 후보로 받아들인다; 민재가 잃지 않으려 했던 가족이 새 관계까지 품는 정서적 보상을 얻는다,8,8,9,6,5,8,8,6,전환 구간. 민재가 잃지 않으려 했던 가족이 새 관계까지 품는 정서적 보상을 얻는다; 다음 압력은 미국에서 페이팔 매각전이 열리자 민재가 다이먼과 즉시 출국한다
178,178화,S1B-A04,전환,이베이보다 5억 달러 높은 20억 달러로 페이팔을 인수하고 일론 머스크를 만나 전기차·에너지·우주 사업 구상을 듣는다; 결제 기술만 사려던 거래가 미래 산업을 이끌 머스크와의 직접 동맹으로 확장된다; 글로벌 결제망과 전기차·우주 창업자라는 두 미래 자산을 한 번에 확보한다,8,8,9,6,8,4,5,9,전환 구간. 글로벌 결제망과 전기차·우주 창업자라는 두 미래 자산을 한 번에 확보한다; 다음 압력은 머스크가 실행할 수 있도록 얼마나 큰 초기 자금을 댈지 결정해야 한다
179,179화,S1B-A04,압박,머스크에게 100억 달러급 장기 투자를 약속하고 귀국해 페이팔 기술을 코코아톡 인터넷은행과 결합한다; 게임·중국 수익에 더해 메신저가 결제와 예금을 흡수할 수 있는 금융 구조가 열린다; 전기차·우주 사업 지분과 국내 핀테크 선점권을 동시에 얻는다,9,7,9,6,5,4,5,9,압박 구간. 전기차·우주 사업 지분과 국내 핀테크 선점권을 동시에 얻는다; 다음 압력은 대선 결과와 미국 이라크전이 새 정치 방벽의 필요성을 키운다
180,180화,S1B-A04,압박,AI 연구·핀테크 진행을 점검하고 힌톤·세계 교수진을 끌어올 IIT 한국 캠퍼스 구상을 세운다; 기업 내부 연구소만으로는 인재 공급이 부족해 대학 자체를 한국에 옮겨야 한다는 목표 전환이 일어난다; AI·반도체·IT 인재를 장기 공급할 교육 거점 설계와 정치 명분을 확보한다,9,7,9,6,5,4,5,6,압박 구간. AI·반도체·IT 인재를 장기 공급할 교육 거점 설계와 정치 명분을 확보한다; 다음 압력은 대통령이 2% 차로 당선되자 야당의 재검표와 재벌 불법자금 수사가 시작된다
181,181화,S1B-A04,결산,KS회장의 불법 대선자금을 강 대위에게 조사시키고 김정빈 검찰총장 라인으로 재벌 정치자금 전면 수사를 점화한다; 여야 어느 쪽에도 불법자금을 주지 않은 태우만 수사 칼날 밖에 남고 경쟁 그룹이 줄줄이 표적이 된다; 독립 노선을 지킨 대가로 정치적 청렴과 경쟁사 압박이라는 최고의 방벽을 얻는다,7,9,9,8,8,4,5,6,결산 구간. 독립 노선을 지킨 대가로 정치적 청렴과 경쟁사 압박이라는 최고의 방벽을 얻는다; 다음 압력은 KS해운 현금차량 사진이 확보되어 수사가 기업 전반으로 번진다
182,182화,S1B-A05,진입,KS해운의 1천억 선거자금·2천억 비자금과 현금차량 사진을 검찰에 넘겨 수사를 확정하고 세이월드 몰락을 확인한다; 증언뿐이던 불법자금 의혹이 사진과 장부를 갖춘 공개 형사사건으로 바뀐다; KS의 정치 방패와 박동희의 자리를 무너뜨려 SNS 복수를 완결한다,6,6,8,8,8,4,8,6,진입 구간. KS의 정치 방패와 박동희의 자리를 무너뜨려 SNS 복수를 완결한다; 다음 압력은 수사가 삼진·CL·현재까지 번지는 동안 태우는 새 숏폼 플랫폼을 준비한다
183,183화,S1B-A05,진입,재벌 수사에서 깨끗한 태우의 위치를 굳히고 하두리 서문영 팀에 짧은 영상 SNS 틱탁톡 개발을 맡겨 CES 비밀제품과 함께 보안한다; 불법 정치자금이 경쟁사 발목을 잡는 사이 태우는 다음 플랫폼 개발 시간을 번다; 청렴 브랜드와 숏폼 SNS 선점 기회를 동시에 얻는다,6,6,8,6,8,4,5,6,진입 구간. 청렴 브랜드와 숏폼 SNS 선점 기회를 동시에 얻는다; 다음 압력은 비트코인을 게임 경제에 심을 구체적 유통 실험이 시작된다
184,184화,S1B-A05,확장,비트코인 팀과 게임사들을 묶어 게임 아이템·국경 없는 결제에 암호화폐를 쓰게 하고 샌프란시스코 WWDC에 참석한다; 아무 쓸모 없던 실험 화폐가 실제 사용자와 거래처를 얻는 첫 응용단계에 들어간다; 비트코인 채굴·결제 생태계의 초기 수요를 만들고 애플 발표 무대에 설 기회를 얻는다,7,7,8,6,5,4,5,6,확장 구간. 비트코인 채굴·결제 생태계의 초기 수요를 만들고 애플 발표 무대에 설 기회를 얻는다; 다음 압력은 스티브가 예고 없이 민재를 공동 연설자로 무대에 올린다
185,185화,S1B-A05,확장,"WWDC 무대에서 스티브와 시리 AI 비서, 태우 가전 IoT, 자동차 원격 시동을 실시간 시연한다; 스마트폰 기능 발표가 집·차를 연결하는 통합 생태계 선언으로 뒤집힌다; 세계 관객 앞에서 태우를 AI·가전·자동차 융합기업으로 각인시킨다",7,7,8,6,5,4,5,6,확장 구간. 세계 관객 앞에서 태우를 AI·가전·자동차 융합기업으로 각인시킨다; 다음 압력은 폭발적 주문을 감당할 생산능력과 차세대 웨어러블 구상이 과제로 남는다
186,186화,S1B-A05,확장,발표 뒤 스티브와 노이즈캔슬링 이어폰·건강·지도·음성 기능 스마트워치를 10년 앞서 공동 기획한다; 시리 성공 보상이 단일 스마트폰을 넘어 귀와 손목의 새 하드웨어 시장으로 확장된다; 에어팟·스마트워치급 제품의 개념과 애플 공동개발 선두권을 확보한다,7,7,8,6,5,4,5,6,확장 구간. 에어팟·스마트워치급 제품의 개념과 애플 공동개발 선두권을 확보한다; 다음 압력은 한국에 돌아오자 태우 가전 품절과 우성일의 생산계획 실패가 드러난다
187,187화,S1B-A05,전환,세계 주문 폭증과 생산 부족을 점검해 우성일에게 책임을 묻고 베트남·인도 해외공장 증설을 지시한다; 애플·아노르 협업이 실제 판매 폭발로 증명되지만 낙관한 기존 생산체계가 성장의 병목임이 드러난다; 태우 브랜드 가치와 기록적 매출을 숫자로 회수하고 글로벌 생산거점 필요성을 확정한다,8,8,9,6,5,4,5,9,전환 구간. 태우 브랜드 가치와 기록적 매출을 숫자로 회수하고 글로벌 생산거점 필요성을 확정한다; 다음 압력은 인도 공장과 IIT 캠퍼스를 동시에 얻기 위해 차기 총리 후보를 만나러 간다
188,188화,S1B-A05,전환,데이비드와 인도 차기 총리 후보 미모안 싱을 만나 대규모 태우공장과 선거 지원을 약속하고 IIT 한국 캠퍼스를 요구한다; 단순 공장 인허가 협상이 인도의 자부심인 IIT 해외 이전과 총선 승부를 묶은 거래로 커진다; 인도 생산기지와 세계급 공대·교수진을 한국으로 가져올 정치 약속을 확보한다,8,8,9,6,5,4,5,6,전환 구간. 인도 생산기지와 세계급 공대·교수진을 한국으로 가져올 정치 약속을 확보한다; 다음 압력은 인도 국민 여론을 움직일 한류 콘텐츠와 문화 명분이 필요해진다
189,189화,S1B-A05,압박,인도에서 허준·허황후 계보를 활용한 다큐와 한류 캠페인을 추진하고 가전 품절 해소와 함께 아노르 가문에 더 큰 협업을 타진한다; 정치 후원만으로 부족한 IIT 이전을 문화적 친밀감과 10조 원대 투자 명분으로 보강한다; 인도 여론·공장·교육 협상의 기반과 프리미엄 브랜드 확장 기회를 함께 만든다,9,7,9,6,5,4,5,9,압박 구간. 인도 여론·공장·교육 협상의 기반과 프리미엄 브랜드 확장 기회를 함께 만든다; 다음 압력은 베르나르 아노르의 딸 델핀이 직접 한국으로 와 민재를 평가한다
190,190화,S1B-A05,압박,델핀에게 태우의 미래 가전·AI 기술을 보여 주고 중국 허가 문제를 최고위 인맥으로 즉시 해결해 아노르 가문의 신뢰를 산다; 단순 브랜드 담당자였던 델핀이 민재 개인과 태우를 가문의 장기 파트너·혼인 후보로 보기 시작한다; 명품가문과 프리미엄 가전 동맹을 굳히고 유럽 상류층 시장으로 들어갈 문을 연다,9,7,9,6,5,4,5,6,압박 구간. 명품가문과 프리미엄 가전 동맹을 굳히고 유럽 상류층 시장으로 들어갈 문을 연다; 다음 압력은 아노르 가문이 델핀과 민재의 결합까지 검토한다
191,191화,S1B-A05,결산,아노르 가문과 한국 유통·프리미엄 전략을 논의하고 검찰의 불법자금 수사에서 태우의 청렴성을 다시 확인한다; 외부 명문가의 신뢰와 국내 정치권의 빈틈이 동시에 드러나 태우 자체 정치세력 필요성이 명확해진다; 유럽 브랜드 동맹과 독자 정치방벽 구상의 명분을 얻는다,7,9,9,8,8,4,5,6,결산 구간. 유럽 브랜드 동맹과 독자 정치방벽 구상의 명분을 얻는다; 다음 압력은 기존 양당과 다른 50명 규모의 경제정치 연합을 만들기로 한다
192,192화,S1B-A06,진입,기존 정당의 꼭두각시가 아닌 경제 중심 정치연합을 설계하고 경호 보고로 천민정의 동생 민우가 학교폭력을 당함을 확인한다; 국가급 정치 구상 한가운데서 태우가 보호하기로 한 직원 가족이 당장 권력형 폭력에 노출됐다는 사실이 드러난다; 정치 방벽 목표를 추상 제도가 아니라 가족·직원 생존 문제로 구체화한다,6,6,8,8,5,8,8,6,진입 구간. 정치 방벽 목표를 추상 제도가 아니라 가족·직원 생존 문제로 구체화한다; 다음 압력은 검사 아버지를 둔 가해 학생 추가영이 보복을 준비한다
193,193화,S1B-A06,진입,강 대위 경호원을 학교에 보내 민우를 구하고 추가영의 폭행·교사 묵인을 증거로 모은다; 가해 학생이 반성하기보다 검사 아버지와 재벌 외가를 믿고 사건을 뒤집으려 한다; 민우의 즉각적 안전과 학교폭력의 권력 배후를 확인한다,6,6,8,8,5,4,8,6,진입 구간. 민우의 즉각적 안전과 학교폭력의 권력 배후를 확인한다; 다음 압력은 학부모 회의에서 가해자 가족이 천민정을 역으로 몰아붙이려 한다
194,194화,S1B-A06,확장,학부모 회의에 직접 나타나 민우를 보호하고 학교 조사·동문·검찰 상급자 라인을 동시에 움직인다; 평범한 직원 가족이라 얕본 가해자 측이 상대가 태우 부회장임을 알고도 외가 기업을 믿고 버틴다; 천민정 가족에게 회사의 보호 약속이 빈말이 아님을 공개적으로 증명한다,7,7,8,8,8,8,8,6,확장 구간. 천민정 가족에게 회사의 보호 약속이 빈말이 아님을 공개적으로 증명한다; 다음 압력은 민재가 가해자 외가 화원정밀과 태우 거래망을 조사한다
195,195화,S1B-A06,확장,화원정밀을 태우 거래망에서 제외하고 검사 상급자까지 압박해 가해 학생과 부모가 무릎 꿇고 사과·전학하게 한다; 검사 한 명과 중견 협력사의 권력보다 핵심인재 한 명을 지키는 가치가 더 크다고 선언한다; 민우의 학교폭력 루프를 끝내고 천민정의 절대적 신뢰를 얻는다,7,7,8,6,8,8,8,6,확장 구간. 민우의 학교폭력 루프를 끝내고 천민정의 절대적 신뢰를 얻는다; 다음 압력은 천민정이 평생 은혜를 갚겠다고 하자 민재는 그녀의 딥러닝을 국가 성장축으로 키운다
196,196화,S1B-A06,확장,천민정의 딥러닝을 4차 산업혁명으로 규정하고 최재석 지역구 부산에 데이터센터를 약속해 경제정치 연합을 맡긴다; 김태중이 직접 최재석을 설득하고 손자의 법적 위험을 대신 짊어지며 결혼까지 재촉한다; 가족 보호가 국민경제당 창당·데이터센터·AI 국가전략이라는 제도적 방벽으로 확장된다,7,7,8,6,5,8,8,6,"확장 구간. 가족 보호가 국민경제당 창당·데이터센터·AI 국가전략이라는 제도적 방벽으로 확장된다; 다음 압력은 델핀과의 프리미엄 사업, 최재석의 정치세력 모집이 동시에 시작된다"
197,197화,S1B-A06,전환,델핀과 프리미엄 가전 디자인을 발전시키는 동안 김태중이 최재석을 만나 깨끗한 의원 50명 이상을 모은 경제정당 창당을 제안한다; 정경유착이 아니라 국가 발전 사업만 지원한다는 조건을 최재석이 받아들인다; 국민경제당의 지도자와 창당 원칙을 확보하고 조부가 손자의 정치 부담을 나눠 든다,8,8,9,6,5,8,5,6,전환 구간. 국민경제당의 지도자와 창당 원칙을 확보하고 조부가 손자의 정치 부담을 나눠 든다; 다음 압력은 데이터센터를 지역구에 약속하는 대신 전국 정치판을 실제로 움직여야 한다
