sequence,visible_label,start_line,end_line,status,fields_changed,evidence_lines,reason,before_after
13,13화,2513,2676,PASS,"",prev L2503~L2512; hard L2513~L2676; next L2677~L2686,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
14,14화,2677,2851,PASS,"",prev L2667~L2676; hard L2677~L2851; next L2852~L2861,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
15,15화,2852,3024,PASS,"",prev L2842~L2851; hard L2852~L3024; next L3025~L3034,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
16,16화,3025,3210,PASS,"",prev L3015~L3024; hard L3025~L3210; next L3211~L3220,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
17,17화,3211,3402,PASS,"",prev L3201~L3210; hard L3211~L3402; next L3403~L3412,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
18,18화,3403,3587,EDIT,turn_or_reveal;paid_reward;opened_loops,prev L3393~L3402; hard L3403~L3587; next L3588~L3597,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 3개를 교정했다.,"[MANAGER_FOLLOWUP] turn_or_reveal=[SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 CL·현재·현진의 후계 분쟁을 일으켜 알짜 계열사를 먹을 후보로 고른다.] => [SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 청년경제포럼의 재벌 2·3세들 가운데 승계 분쟁을 일으킬 표적을 찾는다.] || paid_reward=[강인식의 충성, 일본 기업·은행의 대규모 파생계약, 재계 후계자 첫 공식 인맥과 다섯 기업 먹잇감을 확보한다.] => [강인식의 충성, 일본 기업·은행의 대규모 파생계약과 재계 후계자 첫 공식 인맥을 확보한다. 구체 표적 가문은 아직 고르지 않았다.] || opened_loops=[CL·현재·현진 승계 분열; 고베 지진 파생 결산; 공장 내부 제보] => [재벌가 승계 분열 표적 선정; 고베 지진 파생 결산; 공장 내부 제보] || [MANAGER_FOLLOWUP] turn_or_reveal=[SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 CL·현재·현진의 후계 분쟁을 일으켜 알짜 계열사를 먹을 후보로 고른다.] => [SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 청년경제포럼의 재벌 2·3세들 가운데 승계 분쟁을 일으킬 표적을 찾는다.] || paid_reward=[강인식의 충성, 일본 기업·은행의 대규모 파생계약, 재계 후계자 첫 공식 인맥과 다섯 기업 먹잇감을 확보한다.] => [강인식의 충성, 일본 기업·은행의 대규모 파생계약과 재계 후계자 첫 공식 인맥을 확보한다. 구체 표적 가문은 아직 고르지 않았다.] || opened_loops=[CL·현재·현진 승계 분열; 고베 지진 파생 결산; 공장 내부 제보] => [재벌가 승계 분열 표적 선정; 고베 지진 파생 결산; 공장 내부 제보]"
19,19화,3588,3812,PASS,"",prev L3578~L3587; hard L3588~L3812; next L3813~L3822,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
20,20화,3813,4009,PASS,"",prev L3803~L3812; hard L3813~L4009; next L4010~L4019,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
21,21화,4010,4174,PASS,"",prev L4000~L4009; hard L4010~L4174; next L4175~L4184,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
22,22화,4175,4371,EDIT,action;state_change;opened_loops,prev L4165~L4174; hard L4175~L4371; next L4372~L4381,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 3개를 교정했다.,"[MANAGER_FOLLOWUP] action=[김택훈에게 정수철·이준수·광화문 곰 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.] => [김택훈에게 이준수 상무와 명동 4인방의 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.] || state_change=[창원 개인 비리가 감사팀 정수철·이준수·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.] => [창원 개인 비리가 감사팀 이준수 상무·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.] || opened_loops=[애플·포드 지분 협상; 명동 유착 제거; 감사팀 장악] => [돈으로 사기 힘든 기업지분 협상; 명동 유착 제거; 감사팀 장악] || [MANAGER_FOLLOWUP] action=[김택훈에게 정수철·이준수·광화문 곰 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.] => [김택훈에게 이준수 상무와 명동 4인방의 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다.] || state_change=[창원 개인 비리가 감사팀 정수철·이준수·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.] => [창원 개인 비리가 감사팀 이준수 상무·명동 차입금의 구조적 유착으로 넓고 SAVE는 일본 정부 상대 연합을 설계한다.] || opened_loops=[애플·포드 지분 협상; 명동 유착 제거; 감사팀 장악] => [돈으로 사기 힘든 기업지분 협상; 명동 유착 제거; 감사팀 장악]"
23,23화,4372,4561,PASS,"",prev L4362~L4371; hard L4372~L4561; next L4562~L4571,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
24,24화,4562,4738,EDIT,ending_hook,prev L4552~L4561; hard L4562~L4738; next L4739~L4748,다음 화의 구체 결과를 현재 마지막 프레임의 실제 질문으로 되돌렸다.,ending_hook=[윤일섭이 김민재의 태우 체질개선 방향이 자기 뜻과 같다고 믿고 창원 공장을 뒤집으러 간다.] => [윤일섭의 충성과 김민재 직속 TF가 창원 공장에서 정수철·이준수 라인의 비협조를 실제로 뚫을 수 있는가?]
25,25화,4739,4931,EDIT,turn_or_reveal;ending_hook;opened_loops,prev L4729~L4738; hard L4739~L4931; next L4932~L4941,8천억 원 전체가 아니라 절반 이상이 명동 자금이며 4천억 원 상환 제안은 다음 화에 나온다. 현재 화에는 차입 지배 구조와 회수 질문만 남겼다.,turn_or_reveal=[박권흠은 창원 공장 건설비 8천억 원 중 절반 이상이 명동 돈이고 김태중이 빚 대신 확장을 택해 자신이 허수아비가 됐다고 밝힌다.] => [박권흠은 창원 공장이 명동 사채자금으로 지어졌고 김태중이 빚 상환보다 확장을 택해 공장을 빼앗긴 셈이 됐다고 밝힌다.] || ending_hook=[김민재는 명동에 갚을 4천억 원을 자신이 마련하면 박권흠이 공장을 다시 맡겠는지 묻는다.] => [명동 차입금을 갚기 전까지 김태중도 손쓸 수 없는 창원 공장의 실권을 어떻게 되찾을 것인가?] || opened_loops=[명동 4천억 상환; 이준수·노조 증거; 박권흠 회복] => [창원 명동 차입금 규모; 이준수·노조 증거; 박권흠 회복]
26,26화,4932,5107,PASS,"",prev L4922~L4931; hard L4932~L5107; next L5108~L5117,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
27,27화,5108,5302,PASS,"",prev L5098~L5107; hard L5108~L5302; next L5303~L5312,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
28,28화,5303,5469,PASS,"",prev L5293~L5302; hard L5303~L5469; next L5470~L5479,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
29,29화,5470,5654,PASS,"",prev L5460~L5469; hard L5470~L5654; next L5655~L5664,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
30,30화,5655,5818,PASS,"",prev L5645~L5654; hard L5655~L5818; next L5819~L5828,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
31,31화,5819,6005,PASS,"",prev L5809~L5818; hard L5819~L6005; next L6006~L6015,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
32,32화,6006,6176,PASS,"",prev L5996~L6005; hard L6006~L6176; next L6177~L6186,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
33,33화,6177,6342,PASS,"",prev L6167~L6176; hard L6177~L6342; next L6343~L6352,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
34,34화,6343,6525,PASS,"",prev L6333~L6342; hard L6343~L6525; next L6526~L6535,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
35,35화,6526,6684,PASS,"",prev L6516~L6525; hard L6526~L6684; next L6685~L6694,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
36,36화,6685,6859,PASS,"",prev L6675~L6684; hard L6685~L6859; next L6860~L6869,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
37,37화,6860,7040,PASS,"",prev L6850~L6859; hard L6860~L7040; next L7041~L7050,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
38,38화,7041,7213,EDIT,state_change,prev L7031~L7040; hard L7041~L7213; next L7214~L7223,이선일이 약 15퍼센트 지분을 모아 주겠다고 약속한 단계다. 태우전자 지배력을 이미 얻은 상태로 바꾸지 않았다.,"state_change=[이선일은 김민재 정보로 명동 통일을, 김민재는 이선일 인맥으로 태우전자 지배력을 얻는 상호 의존 관계가 된다.] => [이선일은 김민재의 정보로 명동 통일을 노리고, 김민재는 이선일의 인맥으로 태우전자 지분을 모을 약속을 얻는 상호 의존 관계가 된다.]"
39,39화,7214,7390,PASS,"",prev L7204~L7213; hard L7214~L7390; next L7391~L7400,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
40,40화,7391,7563,PASS,"",prev L7381~L7390; hard L7391~L7563; next L7564~L7573,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
41,41화,7564,7753,PASS,"",prev L7554~L7563; hard L7564~L7753; next L7754~L7763,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
42,42화,7754,7933,PASS,"",prev L7744~L7753; hard L7754~L7933; next L7934~L7943,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
43,43화,7934,8120,PASS,"",prev L7924~L7933; hard L7934~L8120; next L8121~L8130,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
44,44화,8121,8294,PASS,"",prev L8111~L8120; hard L8121~L8294; next L8295~L8304,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
45,45화,8295,8488,PASS,"",prev L8285~L8294; hard L8295~L8488; next L8489~L8498,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
46,46화,8489,8672,EDIT,opened_loops,prev L8479~L8488; hard L8489~L8672; next L8673~L8682,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 1개를 교정했다.,[MANAGER_FOLLOWUP] opened_loops=[독일 박람회; 이노폰 판매; 박진훈 축출] => [독일 박람회; 폴더폰 공개·판매; 박진훈 축출] || [MANAGER_FOLLOWUP] opened_loops=[독일 박람회; 이노폰 판매; 박진훈 축출] => [독일 박람회; 폴더폰 공개·판매; 박진훈 축출]
47,47화,8673,8861,PASS,"",prev L8663~L8672; hard L8673~L8861; next L8862~L8871,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
48,48화,8862,9027,PASS,"",prev L8852~L8861; hard L8862~L9027; next L9028~L9037,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
49,49화,9028,9209,PASS,"",prev L9018~L9027; hard L9028~L9209; next L9210~L9219,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
50,50화,9210,9397,EDIT,action;protagonist_goal;paid_reward;state_change;closed_loops,prev L9200~L9209; hard L9210~L9397; next L9398~L9407,거짓 자료·돈의 전달 주체를 박진훈→우성일→박 기자로 바로잡고 강인식의 증거 확보와 3국 시연 준비를 같은 화에 귀속했다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 5개를 교정했다.,"action=[박진훈이 거짓 결함 자료를 기자에게 넘기자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다] => [박진훈이 우성일에게 거짓 결함 자료와 돈을 건네 박 기자에게 전달하게 하자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다.] || [MANAGER_FOLLOWUP] protagonist_goal=[이노폰 신뢰가 무너지기 전에 보도 공작의 증거를 보전하고 공개 검증 무대를 준비한다] => [이노폰 신뢰가 무너지기 전에 허위 결함을 반박하고 공개 검증 무대를 준비한다.] || action=[박진훈이 우성일에게 거짓 결함 자료와 돈을 건네 박 기자에게 전달하게 하자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다.] => [박진훈이 우성일에게 거짓 결함 자료를 만들고 기자에게 넘기라고 지시한 뒤 1면 기사가 나오자, 김민재는 SAVE 반박자료를 제시하고 한국·미국·독일 동시 이벤트를 준비한다.] || paid_reward=[SAVE의 반박 자료와 돈 전달 사진·녹취를 확보해 허위보도를 뒤집을 수단을 갖춘다] => [허위 결함을 반박할 SAVE 자료와 세 나라 공개 이벤트 계획을 확보한다. 돈·자료 전달의 사진과 녹취는 아직 없다.] || state_change=[박진훈이 언론의 선수를 친 국면에서 김민재가 반박 증거와 세 나라 공개 검증의 주도권을 잡는다] => [박진훈이 언론의 선수를 친 국면에서 김민재가 내부 반박자료와 세 나라 공개검증 계획으로 대응 주도권을 잡는다.] || closed_loops=[박진훈에서 박 기자로 이어진 돈·거짓 자료 전달 경로를 확인하고 증거를 보전한다] => [기사의 결함 주장이 허위임을 내부 자료로 확인; 세 나라 공개 이벤트 결정]"
51,51화,9398,9578,EDIT,action;turn_or_reveal;paid_reward,prev L9388~L9397; hard L9398~L9578; next L9579~L9588,계획·검토·계약 전 상태를 실행·지급 완료와 분리했다.,action=[타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 체험시키고 우성일과 박 기자를 박진훈 고발 증인으로 돌린다] => [타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 체험시키고 우성일의 공작 시인과 박 기자의 돈·거짓 자료 기사화 약속을 받아낸다.] || turn_or_reveal=[체험장에서 결함이 재현되지 않자 우성일이 공작을 증언하고 박 기자도 돈을 받은 사실을 기사에 넣기로 한다] => [세 나라 공개 체험에서 결함이 없다는 반응이 나오고 우성일은 지시받은 공작을 시인하며 박 기자는 받은 돈과 자료를 기사로 쓰겠다고 약속한다.] || paid_reward=[허위보도의 신빙성을 무너뜨리고 정정기사·박진훈 고발로 이어질 두 증언 통로를 확보한다] => [1천 대 이상 실물 검증과 정정·고발로 이어질 우성일·박 기자의 협조 약속을 얻는다.]
52,52화,9579,9758,PASS,"",prev L9569~L9578; hard L9579~L9758; next L9759~L9768,현재 action·turn·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고 인접 화의 구체 결과를 선취하지 않는다.,""
53,53화,9759,9940,EDIT,turn_or_reveal;ending_hook;opened_loops,prev L9749~L9758; hard L9759~L9940; next L9941~L9950,L9927~L9940에는 SAVE 차입 미끼와 현재그룹 위기 가능성만 열린다. 구체적인 태우 지분 회수 결과를 당기지 않았다.,turn_or_reveal=[정부가 막은 현재그룹의 돈줄과 장 회장의 차입 욕심이 장차 태우 지분·계열사 거래에 쓸 약점으로 드러난다] => [정부가 현재그룹의 돈줄을 막은 가운데 장 회장의 차입 욕심이 SAVE 차입 미끼에 걸릴 약점으로 드러난다.] || ending_hook=[SAVE의 정체를 감춘 채 현재그룹의 차입 욕심을 태우 지분 회수에 이용할 수 있는가?] => [SAVE 차입 미끼가 현재그룹의 자금 위기를 더 키울 것인가?] || opened_loops=[첫 출근의 생산·인사 개혁과 현재그룹 차입 미끼의 실제 집행이 열려 있다] => [첫 출근 생산·인사 개혁; SAVE 차입 미끼의 실제 실행과 현재그룹 반응]
54,54화,9941,10126,EDIT,action;paid_reward,prev L9931~L9940; hard L9941~L10126; next L10127~L10136,"L10051~L10065의 1,500명은 사무직·연구원·개발팀 전체 검토 대상이고 실제 이동은 아직 미래형 약 500명 가능성이다. 완료형 재배치를 전수 검토·산정으로 고쳤다.","action=[첫 출근에 공장 세 곳 전환·불량품 전면교환·직원 1천5백 명 능력 재배치를 지시한다] => [첫 출근에 공장 세 곳 전환·불량품 전면교환을 지시하고 사무직·연구원·개발팀 1,500명을 전수 검토해 적성 인사 이동 규모를 산정한다.] || paid_reward=[공장 세 곳 전환·불량품 전면교환·적성 인사라는 개혁 기준과 산업스파이 후보를 확보한다] => [불량품 전면교환 원칙과 공장 세 곳 생산 전환, 1,500명 전수 검토에 따른 인사 이동 기준을 세운다.]"
55,55화,10127,10326,EDIT,action;paid_reward,prev L10117~L10126; hard L10127~L10326; next L10327~L10336,"L10176~L10184의 실제 이동은 사무직 20퍼센트, 원문 표현 수백 명이다. 500명 초과 완료 서술을 제거했다.","action=[강인식이 산업스파이의 계좌·신축아파트를 찾아 중국 유출선을 입증하고 김민재가 500명 넘는 직원을 적성에 맞게 옮기는 사이 샌디 웨일과 다이먼의 후계 갈등이 폭발한다] => [산학 협력과 아파트 지원을 내걸어 연구 인재를 모으고 정보 유출자를 찾아낸 뒤 사무직 20퍼센트인 수백 명을 적성에 맞는 새 보직으로 옮긴다.] || paid_reward=[유출자 처분 근거와 500명 이상의 새 보직을 마련해 태우전자 내부 보안·인사 정비를 실제로 시작한다] => [정보 유출자 처분 근거와 사무직 20퍼센트·수백 명의 새 보직, 연구 인재 확보 조건을 얻는다.]"
56,56화,10327,10491,EDIT,paid_reward;opened_loops,prev L10317~L10326; hard L10327~L10491; next L10492~L10501,계획·검토·계약 전 상태를 실행·지급 완료와 분리했다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 1개를 교정했다.,"paid_reward=[다이먼의 합류 약속과 잡스 복귀에 필요한 이사회 과반을 얻는다] => [잡스와 이사들의 찬성 전환, 다이먼·우성자동차 판돈, 태우전자의 이노폰 생산 계약을 얻는다.] || [MANAGER_FOLLOWUP] opened_loops=[넥스트 인수금·소프트웨어 권리·잡스의 실제 CEO 복귀는 남아 있다] => [넥스트 인수금 부담주체·대가; 잡스의 실제 CEO 복귀]"
57,57화,10492,10663,EDIT,paid_reward,prev L10482~L10491; hard L10492~L10663; next L10664~L10673,계획·검토·계약 전 상태를 실행·지급 완료와 분리했다.,"paid_reward=[잡스의 CEO 복귀와 애플 미래 소프트웨어 권리, 태우 구조조정 설계자를 모두 확보한다] => [NEXT 5억 달러 계약·잡스 CEO 복귀·미래 소프트웨어 권리와 다이먼이 짚은 태우 지분의 취약성을 얻는다.]"
58,58화,10664,10840,EDIT,ending_hook;opened_loops,prev L10654~L10663; hard L10664~L10840; next L10841~L10850,은행 지분 술자리 준비 뒤 마지막 프레임은 거래가 조손 관계를 돌이킬 수 없게 만들 수 있다는 민재의 자각이다.,ending_hook=[김민재는 내일부터 한국 은행가들과 술자리를 돌 데이비드에게 다시 두둑한 보너스를 약속한다] => [은행 지분 술자리를 준비하면서 민재는 이번 거래가 할아버지와의 관계를 돌이킬 수 없게 만들 수도 있음을 자각한다.] || opened_loops=[은행들이 맡은 태우중공업 지분을 얼마나 더 내놓을지와 현재그룹 거래가 김태중에게 숨겨질지는 미정이다] => [6개 은행의 태우 지분 계약; 조손 관계의 비용; 살만의 사우디 협상]
