sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
29,29화,DCA-N02,N02·창원 장부와 명동 4천억 절단,7,6,8,0.24,0.20,0.36,0.12,0.08,이준수의 변명과 명동 오만을 노출해 사장단 마음을 돌리고 CT 법인장을 들여 관계 전환에 오래 머문다.,L5470~L5654
30,30화,DCA-N02,N02·창원 장부와 명동 4천억 절단,8,8,7,0.17,0.29,0.21,0.08,0.25,CT은행 저리대출로 명동 차입금 4천억 원을 갚고 이준수를 공장에서 끌어낸다. 곧바로 광화문 곰을 찾아 통일 문제를 꺼내 실물 승리가 다음 정치·북방 거래로 이어진다.,L5655~L5818
31,31화,DCA-N02,N02·창원 장부와 명동 4천억 절단,6,5,7,0.20,0.18,0.31,0.18,0.13,이선일이 이준수를 거두고 47명 징계가 확정된 뒤 사장단이 연구소 유배를 모의해 관계 후폭풍과 다음 훅이 높다.,L5819~L6005
32,32화,DCA-N03,N03·이노폰과 박진훈 축출,5,7,8,0.28,0.18,0.31,0.08,0.15,연구소 독립성과 20명 채용권을 확보한 뒤 후쿠다를 직접 만난다. 조직의 빈칸을 채울 첫 인재 앞에서 조건표가 사람의 선택 문제로 바뀐다.,L6006~L6176
33,33화,DCA-N03,N03·이노폰과 박진훈 축출,6,6,6,0.32,0.22,0.22,0.06,0.18,30개 계열사 매각·자동차 중심 재편을 밝히고 40명 특허팀을 꾸려 전략 정보와 조직 구축에 체류한다.,L6177~L6342
34,34화,DCA-N03,N03·이노폰과 박진훈 축출,6,7,7,0.24,0.20,0.39,0.08,0.09,박준일·장학생·조나단을 50명 특허팀에 묶고 폰 디자인 경쟁을 시작한다. 연구소의 빈자리가 이름 있는 사람과 팀으로 채워지며 기술개발이 실제 조직의 속도를 얻는다.,L6343~L6525
35,35화,DCA-N03,N03·이노폰과 박진훈 축출,5,6,8,0.37,0.19,0.18,0.05,0.21,대량 특허와 조나단 디자인을 확보한 뒤 소프트웨어·배터리 외부조달을 결정해 기술 정보와 자산 선택이 앞선다.,L6526~L6684
36,36화,DCA-N03,N03·이노폰과 박진훈 축출,6,7,9,0.27,0.17,0.35,0.08,0.13,아마존 지분을 점검하고 구디너프 성과를 받은 뒤 잡스 복귀를 제안해 인재 관계와 기술 정보에 머문다.,L6685~L6859
37,37화,DCA-N03,N03·이노폰과 박진훈 축출,7,8,8,0.23,0.24,0.29,0.06,0.18,잡스와 NEXT OS 80퍼센트 계약을 체결하고 다이먼·일본 공격 씨앗을 심어 계약 관계와 다음 확장이 강하다.,L6860~L7040
38,38화,DCA-N03,N03·이노폰과 박진훈 축출,7,6,7,0.31,0.24,0.20,0.08,0.17,"한일은행·삼풍 붕괴 정보를 건넨 대가로 이선일의 5퍼센트와 명동의 태우전자 지분 약 15퍼센트를 1,500억 원에 모으는 거래를 오래 맞춘다. 집으로 돌아온 뒤 폴더폰을 김태중에게 보여 줄 성과이자 사장 취임 카드로 정하는 짧은 가족 장면이 다음 목표를 연다.",L7041~L7213
39,39화,DCA-N03,N03·이노폰과 박진훈 축출,7,7,7,0.19,0.31,0.21,0.10,0.19,보너스로 제작을 24일로 당겨 실물 폴더폰을 김태중에게 보여 주므로 실행과 제품 보상이 높다.,L7214~L7390
40,40화,DCA-N03,N03·이노폰과 박진훈 축출,8,7,8,0.18,0.26,0.34,0.13,0.09,기술과 규모를 두고 김태중과 부딪친 끝에 박진훈에게 팀·공장·자금 전권을 받아낸다. 말싸움의 승리가 독립 개발조건으로 바뀌지만 박진훈과의 권력 충돌은 더 선명해진다.,L7391~L7563
41,41화,DCA-N03,N03·이노폰과 박진훈 축출,6,5,7,0.30,0.21,0.31,0.07,0.11,에이스 30명·이석준을 직속으로 묶고 이선일의 태우전자 주식 수집을 확인해 조직 관계와 지분 정보가 앞선다.,L7564~L7753
42,42화,DCA-N03,N03·이노폰과 박진훈 축출,6,6,8,0.29,0.24,0.20,0.06,0.21,한보 부도와 일본 특허 협상을 배치한 뒤 황영철의 MP3 구상을 잡아 기술 정보와 선점 행동에 체류한다.,L7754~L7933
43,43화,DCA-N03,N03·이노폰과 박진훈 축출,5,7,7,0.18,0.20,0.32,0.07,0.23,황영철에게 개발비 10억 원과 지분대금 98억 원을 지급해 49퍼센트를 얻으므로 계약 관계와 자산 보상이 크다.,L7934~L8120
44,44화,DCA-N03,N03·이노폰과 박진훈 축출,7,5,7,0.23,0.32,0.16,0.08,0.21,잡스 소프트웨어를 받은 두 공장을 3교대로 돌려 출시 전 재고 27만 대를 쌓는다. 생산 숫자가 빠르게 불어날수록 아직 팔지 못한 물량의 위험도 함께 커진다.,L8121~L8294
45,45화,DCA-N03,N03·이노폰과 박진훈 축출,9,7,9,0.18,0.39,0.18,0.17,0.08,톰슨 특허 매입 직후 태우건설·병원을 밀어 삼풍 붕괴 구조에 들어가 긴박한 행동과 생존 감정이 솟는다.,L8295~L8488
46,46화,DCA-N03,N03·이노폰과 박진훈 축출,8,8,8,0.17,0.24,0.20,0.20,0.19,삼풍 사망자를 전생의 절반으로 줄인 보상과 태우전자 사장 도전 선언이 감정·평판·지위 봉우리를 만든다.,L8489~L8672
47,47화,DCA-N03,N03·이노폰과 박진훈 축출,6,8,7,0.16,0.35,0.18,0.09,0.22,잡스의 이노폰 시연 뒤 중앙 부스와 바이어 상담이 폭발해 공개 행동과 주문 기대에 오래 머문다.,L8673~L8861
48,48화,DCA-N03,N03·이노폰과 박진훈 축출,7,6,8,0.22,0.33,0.27,0.11,0.07,선행특허 판정으로 기술 우위를 확인한 뒤 사장단 앞에서 박진훈의 경영방식을 정면으로 공격한다. 법적 승리를 누릴 틈 없이 공개 권력투쟁으로 넘어가 누가 태우전자를 이끌지가 전면에 선다.,L8862~L9027
49,49화,DCA-N03,N03·이노폰과 박진훈 축출,8,5,8,0.30,0.28,0.24,0.11,0.07,박진훈의 결함 유포를 거짓 자료와 감시증거로 되받고 조 차장을 이중 통로로 만든다. 공개반박보다 누가 돈과 자료를 건넸는지 좁혀 가는 추적이 긴장을 붙든다.,L9028~L9209
50,50화,DCA-N03,N03·이노폰과 박진훈 축출,8,7,9,0.25,0.34,0.20,0.10,0.11,"강 대위의 보고로 우성일이 이노폰 자료를 기자에게 넘기는 영상과 음성 녹음이 이미 확보된다. 1면 허위기사에 SAVE 반박자료와 한국·미국·독일 동시 검증을 맞붙이는 리듬이라, 증거 지급 뒤 공개 시연의 성패가 훅으로 남는다.",L9210~L9397
51,51화,DCA-N03,N03·이노폰과 박진훈 축출,8,8,8,0.16,0.38,0.24,0.10,0.12,"타임스퀘어·강남·독일에서 이노폰 1천 대 이상을 동시에 만지게 하는 공개 실험이 빠르게 이어진다. 결함이 재현되지 않자 우성일이 공작을 시인하고 박 기자도 받은 돈을 기사화하겠다고 돌아서지만, 실제 정정 지면은 아직 남겨 둔다.",L9398~L9578
52,52화,DCA-N03,N03·이노폰과 박진훈 축출,8,10,9,0.14,0.28,0.22,0.10,0.26,"정정기사 뒤 이노폰 국내 재고 30만 대가 팔리고 미국 30만·유럽 10만·한국 10만 주문이 붙는다. 박진훈 축출과 사장 추천까지 받은 뒤 김민재가 사장직이 아니라 지분을 요구해, 판매 절정이 곧 소유권 질문으로 꺾인다.",L9579~L9758
53,53화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,10,7,0.13,0.17,0.28,0.14,0.28,"김태중의 지분 상속과 이사회 만장일치로 태우전자 사장 자리가 한꺼번에 지급되어 조손 승인과 지위 상승이 가장 무겁다. 후반의 현재그룹 자금난과 SAVE 차입 미끼는 이미 받은 경영권 다음에 붙는 새 위험일 뿐, 태우 지분 회수 결과까지 나아가지는 않는다.",L9759~L9940
54,54화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,6,8,0.25,0.26,0.30,0.11,0.08,"공장 세 곳 전환과 불량품 교환을 지시한 뒤 사무직·연구원·개발팀 1,500명을 전수 검토한다. 실제 이동 규모는 아직 산정 단계라 조직 정보와 관계 체류가 앞선다.",L9941~L10126
55,55화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,7,8,0.20,0.22,0.34,0.16,0.08,"산업스파이의 금전 흔적을 잡고 사무직 20퍼센트, 원문 표현 수백 명을 적성에 맞춰 옮긴다. 조사 결과가 실제 자리 이동으로 이어지지만 스파이 배후와 후속 처벌은 남는다.",L10127~L10326
56,56화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,9,8,0.19,0.18,0.40,0.12,0.11,"웨일에서 모욕당한 다이먼에게 독립 금융회사와 전권을 내밀어 영입하고, 곧바로 애플 이사회에서 잡스 복귀 표를 모은다. SAVE의 3년 뒤 주가 보증이 이사들을 돌려세운 뒤 넥스트 인수금 5억 달러의 부담 주체가 미지급 질문으로 남는다.",L10327~L10491
57,57화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,8,9,0.19,0.22,0.31,0.07,0.21,SAVE가 넥스트 인수금 5억 달러를 내고 미래 소프트웨어 권리를 챙기는 계약으로 잡스의 CEO 복귀를 결산한다. 귀국 뒤 다이먼이 태우중공업의 그룹 27퍼센트·김태중 개인 10퍼센트 지분을 훑는 후반은 축하보다 적대인수 설계에 빠르게 무게를 옮긴다.,L10492~L10663
58,58화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,6,9,0.28,0.17,0.28,0.13,0.14,명동 13퍼센트와 현재그룹 구매력·태우 주식 교환을 설계해 지분 정보와 40퍼센트 인수전 준비가 앞선다.,L10664~L10840
59,59화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,5,7,0.29,0.13,0.30,0.09,0.19,6개 은행과 지분 양도 가능성·10억 달러 예금 조건·다음 날 날인 일정을 맞추는 장면이다. 소유권 지급 전이라 협상 정보와 관계에 오래 머문다.,L10841~L11024
60,60화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,8,8,0.18,0.26,0.31,0.08,0.17,"살만에게 표트르 대제의 검을 건네 아람코 협력의 온도를 올린 뒤, 아크만 명의로 태우 중소계열사 세 곳의 경영권을 실제 가져온다. 다이먼이 비리 자료를 지렛대로 제안하는 끝에서는 가족을 다치지 않게 하면서 남은 지분을 얻어야 한다는 제약이 승리감을 눌러 준다.",L11025~L11199
61,61화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,8,7,8,0.22,0.22,0.20,0.07,0.29,아크만 36퍼센트 지분 우위와 사우디 5조 정유사 안을 동시에 내밀어 지분·사업 규모가 압박을 만든다.,L11200~L11399
62,62화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,8,8,0.20,0.25,0.27,0.08,0.20,사우디 직인 계약서로 김태중을 설득해 태우조선 분리와 오강철 처리권을 얻어 협상·권력관계가 앞선다.,L11400~L11547
63,63화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,7,7,0.28,0.18,0.15,0.06,0.33,다이먼이 태우조선을 1조2천억 원에 사들이며 부채와 태우전자의 이자절감 수치를 바로 계산한다. 인수금보다 숫자를 해부하는 속도가 빨라 새 자산이 그룹 현금흐름에 어떻게 꽂히는지가 선명해진다.,L11548~L11745
64,64화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,5,8,0.27,0.21,0.34,0.12,0.06,애플 주식 교환·공동브랜드로 김태중의 검토 승인을 얻지만 오강철 파업이 떠 관계 협상과 훅이 강하다.,L11746~L11893
65,65화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,8,6,8,0.18,0.36,0.25,0.08,0.13,하청비리를 검찰에 넘기고 현진·삼진·현재를 경쟁시켜 파업 진압과 입찰 행동에 오래 머문다.,L11894~L12073
66,66화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,6,8,0.18,0.32,0.27,0.13,0.10,오강철·하청업체를 제거해 조선을 정리했지만 김태중이 휴대폰 매각을 거부해 행동 보상 뒤 관계 긴장이 남는다.,L12074~L12283
67,67화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,8,5,9,0.23,0.25,0.36,0.12,0.04,김태중 허락 없이 주총 의결을 택하고 우호표를 모아 조손 감정보다 공식 권력관계 대결에 체류한다.,L12284~L12471
68,68화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,9,8,7,0.16,0.27,0.29,0.10,0.18,국민연금·명동·은행 표를 합쳐 이사회에서 30대25를 만들고 김태중의 반대를 넘어선다. 표결 숫자가 김민재의 독립경영권으로 환전돼 조손 대립의 결론을 눈앞에서 보여 준다.,L12472~L12681
69,69화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,5,8,7,0.17,0.29,0.20,0.08,0.26,슬라이드폰·TV·엠피맨 수상과 주문폭주가 연달아 터진 뒤 애플 인수안이 올라온다. 제품 승리의 환호를 길게 누리지 않고 훨씬 큰 소유권 질문으로 회차를 꺾는다.,L12682~L12849
70,70화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,9,6,0.18,0.18,0.21,0.06,0.37,애플 10퍼센트 교환·공동로고와 구글 49퍼센트 매입이 이어져 계약 자산과 지배블록 지급이 절정이다.,L12850~L13024
71,71화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,5,6,7,0.20,0.19,0.31,0.12,0.18,"500대도 못 판 엠피맨 뒤 황영철이 디지털케이스 지분 전량을 넘기겠다고 하고, 김민재는 직원 보너스용 50억 원을 당일 입금하겠다고 약속한다. 직원·황영철의 애플 재출발, MCA 지분 협상 출발, 기획실 이동 동의가 이어지지만 사장 임명·기획실 발령·MCA 지분 취득은 아직 전이라 보상은 합의와 담당 확정에 둔다.",L13025~L13225
72,72화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,6,7,0.31,0.19,0.29,0.07,0.14,사장급 본부장 자리에서 루마니아차의 중국 판매를 설계하다 쩡훙친의 숨겨진 아들을 읽어 낸다. 자동차 유통회의가 중국 권력층의 가족비밀을 쥔 인맥전으로 변한다.,L13226~L13417
73,73화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,7,8,0.20,0.21,0.41,0.09,0.09,중국 권력자의 아들 안전과 체면을 지켜 준 대가로 판매허가와 관세우대를 받는다. 이어 포드 합작을 꺼내 가족비밀에서 시작한 거래를 자동차 시장의 공식 조건으로 넓힌다.,L13418~L13604
74,74화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,5,6,7,0.34,0.20,0.18,0.05,0.23,포드 지위와 MCA 레코드로 음원구매·전기차·배터리 연구를 설계해 사업 정보와 자산 기반에 머문다.,L13605~L13786
75,75화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,8,7,0.18,0.24,0.30,0.06,0.22,중국 판매실적을 근거로 포드·태우·상하이차 합작을 체결한다. 앞서 쥔 허가와 관세우대가 공장·수출 계약으로 굳어져 중국 진입의 영수증이 된다.,L13787~L13971
76,76화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,5,7,7,0.32,0.18,0.24,0.06,0.20,합작 출범 뒤 전자상거래·HTS 보고서를 김태중에게 올려 계열사 인터넷 전환과 개발 승인을 받는다.,L13972~L14141
77,77화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,7,7,0.18,0.28,0.40,0.08,0.06,IT 인재와 자유출퇴근 팀을 만든 뒤 제프리가 낡은 보고·결재 구조를 30분 만에 뒤엎는다. 새 사람을 뽑는 데서 멈추지 않고 일하는 방식 자체가 즉시 바뀐다.,L14142~L14342
78,78화,DCA-N06,N06·외환위기 무부채와 사우디 정유,7,5,8,0.31,0.21,0.27,0.08,0.13,중국·미국 판매성과와 일본 차입위험을 김태중에게 한 표에서 대조한다. 가족 경영보고가 끝나자 조지가 태국 공격을 제안해 자동차 성장의 여운이 다시 환율전 경계로 꺾인다.,L14343~L14507
79,79화,DCA-N06,N06·외환위기 무부채와 사우디 정유,8,6,7,0.27,0.25,0.25,0.06,0.17,SAVE 150억 달러와 퀀텀 자금을 태국에 걸고 이선일의 한보 전 정리를 확인해 투자 행동·명동 관계가 균형을 이룬다.,L14508~L14696
80,80화,DCA-N06,N06·외환위기 무부채와 사우디 정유,8,6,7,0.38,0.18,0.29,0.11,0.04,대마불사 신화와 국가부도 가능성을 김태중에게 설명해 무리한 인수를 멈추고 야당 지원을 끌어낸다. 조손 설득이 국가위기 판단과 맞물려 돈을 쓰지 않는 결정 자체가 보상이 된다.,L14697~L14870
81,81화,DCA-N06,N06·외환위기 무부채와 사우디 정유,6,8,7,0.22,0.20,0.24,0.06,0.28,후원회장 펀드를 열 배로 키워 100억 원을 합법 수익처럼 지급하고 200억 달러를 현금화해 자금 보상이 크다.,L14871~L15040
82,82화,DCA-N06,N06·외환위기 무부채와 사우디 정유,5,7,7,0.28,0.16,0.34,0.12,0.10,"잡스와 냅스터를 먼저 띄우는 음원전략 논의는 비교적 짧고, 재계 총수들이 침묵한 김태중을 차기 전경련 회장으로 일제히 추대하는 반전이 후반을 차지한다. 정부 빅딜 창구가 될 가능성은 열리지만 당사자의 수락은 아직 들리지 않는다.",L15041~L15242
83,83화,DCA-N06,N06·외환위기 무부채와 사우디 정유,6,8,8,0.18,0.16,0.40,0.18,0.08,조선·휴대폰 매각대금 3조 원을 위기기업 인수금으로 돌리고 김태중의 지휘권을 되살린다. 자산매각의 상실감보다 살아난 총수가 다시 선택하는 장면이 외환위기 반전을 확인한다.,L15243~L15431
84,84화,DCA-N06,N06·외환위기 무부채와 사우디 정유,7,9,9,0.18,0.22,0.16,0.07,0.37,환율 정점에 100억 달러를 옮겨 모든 부채를 갚고 SS오일을 협상해 재무 지위 보상이 절정이다.,L15432~L15607
85,85화,DCA-N06,N06·외환위기 무부채와 사우디 정유,6,8,8,0.20,0.22,0.31,0.06,0.21,김태중이 압둘라에게서 6조 원 정유계약과 원유 공급을 받아낸다. 왕실 친분이 말뿐인 환대가 아니라 계약서와 물량으로 환전되는 회차다.,L15608~L15801
86,86화,DCA-N06,N06·외환위기 무부채와 사우디 정유,5,9,8,0.19,0.27,0.24,0.07,0.23,IMF 앞에서 무부채 신뢰를 얻는 동안 아이팟은 사흘 만에 완판되고 애플 주가는 두 배가 된다. 장부상의 생존과 매장 안 제품반응이 동시에 나타나 태우의 선택이 시장에서 검증된다.,L15802~L15983
87,87화,DCA-N07,N07·카이자동차 51%와 카를로스 곤 독립경영,6,6,8,0.27,0.24,0.27,0.06,0.16,다이먼을 불러 카이자동차 인수를 시작하고 베리뮤직 순위를 지시해 전략 정보·실행팀 관계가 균형을 이룬다.,L15984~L16165
88,88화,DCA-N07,N07·카이자동차 51%와 카를로스 곤 독립경영,7,8,9,0.17,0.25,0.24,0.06,0.28,현재자동차의 출자전환안과 맞붙은 채권단 회의에서 김태중이 달러 현금 3조5천억 원을 못 박는 순간이 협상의 봉우리다. 가장 강한 조건과 후계 신뢰는 얻었으나 카이자동차 지분 51퍼센트의 최종 이전은 다음 판단으로 남는다.,L16166~L16347
