sequence,visible_label,source_lines,note_status,score_status,ribbon_status,boundary_status,next_source_lines,before_note,after_note,retained_scores,retained_ribbon,source_readback,boundary_readback
88,88화,L16166~L16347,EDIT,PASS,PASS,PASS,L16348~L16547,카이자동차 채권단에 현금 3조5천억 원을 달러로 제시해 현재자동차의 출자전환안을 압도한다. 독자는 돈·지분·직책의 지급에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 카이자동차 채권단에 3조5천억 원 현금이라는 가장 강한 조건을 내고 김태중의 후계 신뢰를 확인한다.,현재자동차의 출자전환안과 맞붙은 채권단 회의에서 김태중이 달러 현금 3조5천억 원을 못 박는 순간이 협상의 봉우리다. 가장 강한 조건과 후계 신뢰는 얻었으나 카이자동차 지분 51퍼센트의 최종 이전은 다음 판단으로 남는다.,T7/R8/H9,0.17/0.25/0.24/0.06/0.28,카이자동차 채권단에 현금 3조5천억 원을 달러로 제시해 현재자동차의 출자전환안을 압도한다; 지급=카이자동차 채권단에 3조5천억 원 현금이라는 가장 강한 조건을 내고 김태중의 후계 신뢰를 확인한다; 마지막=채권단이 태우를 최종 선택해 카이자동차 지분 51%를 넘길 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
96,96화,L17616~L17784,EDIT,PASS,PASS,PASS,L17785~L17953,장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 공사비 7퍼센트를 내고 장기 운영권을 노리는 해외펀드 명의 비밀 컨소시엄안을 설계한다.,장수영의 자금 부족 설명에서 출발해 SAVE와 퀀텀이 공사비 7퍼센트를 내고 장기 운영권을 노리는 민자 구조를 한 항목씩 맞춘다. 월가의 퀀텀 이름을 방패로 세우는 계산까지만 나오며 어떤 인프라 사업을 맡을지는 다음 화 협상에서 정해진다.,T6/R5/H8,0.35/0.18/0.20/0.06/0.21,장수영이 외부 자금 없이는 수주가 불가능하다고 하자 SAVE·퀀텀 7퍼센트의 비밀 민자 컨소시엄을 설계한다; 지급=공사비 7퍼센트를 내고 장기 운영권을 노리는 해외펀드 명의 비밀 컨소시엄안을 설계한다; 마지막=정부가 퀀텀 이름의 비밀 민자 컨소시엄에 장기 운영권을 주고 태우건설 시공을 허용할 것인가?,현재 화는 퀀텀 전면명·7퍼센트·장기 운영구조까지만; 9호선·거가대교는 다음 화 최초 명시
129,129화,L23478~L23644,EDIT,PASS,PASS,PASS,L23645~L23831,"장영주의 요청을 즉답하지 않고 현 건설 거래와 승계를 엮은 뒤 태우 주식 매입·소각과 퀄컴 저가매수를 준비한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 장영주가 25퍼센트 상환 조건을 채권단에 직접 설득하게 만들고, 김태중과 주가 하락기 태우 지분 매입·상속 원칙을 맞춘다.","장영주의 반도체 요청에 즉답하지 않은 채 현 건설 거래, 태우 주식 매입·소각, 김태중의 상속 원칙을 한 자금판에 배치한다. IT 버블로 80퍼센트 가까이 빠진 퀄컴을 언제 얼마나 살지가 마지막에 붙어 협상 회차를 저점매수 준비로 전환한다.",T6/R5/H7,0.36/0.17/0.25/0.04/0.18,"장영주의 요청을 즉답하지 않고 현 건설 거래와 승계를 엮은 뒤 태우 주식 매입·소각과 퀄컴 저가매수를 준비한다; 지급=장영주가 25퍼센트 상환 조건을 채권단에 직접 설득하게 만들고, 김태중과 주가 하락기 태우 지분 매입·상속 원칙을 맞춘다; 마지막=IT 버블로 80퍼센트 가까이 하락한 퀄컴 지분을 언제 어떤 규모로 확보할 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
132,132화,L24030~L24220,EDIT,PASS,PASS,PASS,L24221~L24408,11월 21일 인수를 공식화하고 유석재를 책임자로 세운 뒤 흑자 전 세금 감면을 요구한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 태우 반도체와 기술 지휘선이 공식 출범한다.,11월 21일 현 반도체 인수를 공식화하고 유석재를 책임자로 세우는 조직 출범이 먼저 지급된다. 김태중이 인수 거부까지 거론하며 청와대에 흑자 전 세금 감면을 요구하는 후반은 확정된 지휘선 위에 아직 미결인 정책 혜택을 얹는다.,T6/R8/H8,0.22/0.21/0.31/0.05/0.21,11월 21일 인수를 공식화하고 유석재를 책임자로 세운 뒤 흑자 전 세금 감면을 요구한다; 지급=태우 반도체와 기술 지휘선이 공식 출범한다; 마지막=김태중의 청와대 압박이 반도체 적자기의 세금 감면을 실제로 받아낼 수 있는가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
138,138화,L25167~L25375,EDIT,PASS,PASS,PASS,L25376~L25549,장영주 장례식에 온 푸틴과 중국·미국 인맥에게서 자료를 받아 가장 약한 건부터 언론에 흘린다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 윤현길을 단계적으로 무너뜨릴 자료 묶음과 첫 제보의 통제권을 확보한다.,장영주 장례식에 모인 푸틴과 중국·미국 인맥에게서 윤현길 비리 자료가 차례로 들어오며 외교 관계가 증거 묶음으로 바뀐다. 가장 약한 건 하나만 언론에 흘린 뒤 상대 반응을 기다리는 절제가 전면 폭로보다 긴장을 오래 붙든다.,T7/R6/H8,0.37/0.17/0.31/0.08/0.07,장영주 장례식에 온 푸틴과 중국·미국 인맥에게서 자료를 받아 가장 약한 건부터 언론에 흘린다; 지급=윤현길을 단계적으로 무너뜨릴 자료 묶음과 첫 제보의 통제권을 확보한다; 마지막=장영주 별세 뉴스에 묻힌 약한 제보에도 윤현길이 어떤 반응을 보일 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
143,143화,L26108~L26283,EDIT,PASS,PASS,PASS,L26284~L26459,통신 카르텔과 직접 협상이 깨지자 데이비드를 미국으로 보내 통상 문제화를 준비한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 데이비드와 미국 인맥을 가동해 국내 카르텔 밖에서 압박할 경로를 연다.,통신사·방송위원회 카르텔과의 직접 해법이 막히자 데이비드를 미국으로 보내 외부 통상 압박을 찾게 한다. 구체 법·조치는 밝히지 않은 채 자신도 카르텔을 갖췄다는 마지막 독백으로 국내 협상 실패를 국외 반격 준비로 바꾼다.,T7/R5/H7,0.38/0.23/0.25/0.07/0.07,통신 카르텔과 직접 협상이 깨지자 데이비드를 미국으로 보내 통상 문제화를 준비한다; 지급=데이비드와 미국 인맥을 가동해 국내 카르텔 밖에서 압박할 경로를 연다; 마지막=데이비드가 미국에서 태우를 겨냥한 카르텔을 어떤 외부 압박으로 바꿀 것인가?,현재 화는 데이비드 미국행과 외부 통상압박 탐색까지만; 슈퍼 301조는 다음 화 소유
149,149화,L27106~L27278,EDIT,PASS,PASS,PASS,L27279~L27463,스티브에게 아이패드 개념을 제안하고 애플·태우 TV를 70대30으로 계약한 뒤 제프리를 불러 아마존의 인건비 문제를 듣고 태우와 손잡자고 제안한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 애플·태우 TV 계약과 제프리와의 새 협상 자리를 얻는다.,"스티브와 아이패드 개념을 나누고 애플·태우 TV의 70대30 계약을 닫는 첫 협상 뒤, 제프리의 아마존 인건비 문제로 자리가 바뀐다. 전자 콘텐츠의 지급을 받은 직후 로봇 공장이라는 새 제안만 꺼내므로 후반은 성과보다 파트너 탐색의 박자로 읽힌다.",T5/R6/H7,0.35/0.20/0.27/0.04/0.14,스티브에게 아이패드 개념을 제안하고 애플·태우 TV를 70대30으로 계약한 뒤 제프리를 불러 아마존의 인건비 문제를 듣고 태우와 손잡자고 제안한다; 지급=애플·태우 TV 계약과 제프리와의 새 협상 자리를 얻는다; 마지막=충분히 성장한 아마존에서 민재가 빼내려는 다음 공동사업은 무엇인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
150,150화,L27279~L27463,EDIT,PASS,PASS,PASS,L27464~L27639,아마존과 로봇·스마트팩토리 공동개발을 체결하고 데이비드에게 세계무역센터 장기임차를 알아보게 한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.,아마존과 로봇·스마트팩토리 공동개발을 체결한 다음 데이비드에게 8월 전 세계무역센터 장기임차를 알아보게 한다. 귀국해 기존 로봇 팔과 무인공장의 격차를 두 자동차 사장에게 보여 주는 끝은 계약 두 건을 자랑하기보다 현장 협력을 요구하는 쪽에 힘을 싣는다.,T6/R7/H7,0.22/0.23/0.27/0.05/0.23,아마존과 로봇·스마트팩토리 공동개발을 체결하고 데이비드에게 세계무역센터 장기임차를 알아보게 한다; 지급=아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다; 마지막=태우·카이자동차 두 사장이 기존 로봇 팔을 넘어설 스마트팩토리 협력에 응할 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
158,158화,L28677~L28838,EDIT,PASS,PASS,PASS,L28839~L29001,"삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고, 다이먼과 CL카드·외환은행 인수를 검토한 뒤 임재범에게 합작회사와 전액 지원을 제안한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 삼진 스마트폰 기본 탑재 계약과 CL카드 인수 준비, 임재범과 합작 협상 자리를 얻는다.","삼진 스마트폰 기본탑재와 특허료를 조정하고, 다이먼에게 CL카드·외환은행을 검토시킨 뒤 임재범에게 합작을 제안한다. 돈과 회사를 모두 대겠다는 말과 스티브에 빗댄 인정이 임재범의 대답을 붙들어 세 협상 중 마지막 사람의 선택이 오래 남는다.",T5/R7/H7,0.32/0.16/0.29/0.04/0.19,"삼진 스마트폰에 태우 사이트·앱을 기본 탑재하는 조건으로 특허료를 낮추고, 다이먼과 CL카드·외환은행 인수를 검토한 뒤 임재범에게 합작회사와 전액 지원을 제안한다; 지급=삼진 스마트폰 기본 탑재 계약과 CL카드 인수 준비, 임재범과 합작 협상 자리를 얻는다; 마지막=임재범은 몸만 오면 된다는 합작 제안과 자신을 스티브에 비견한 민재의 말을 받아들일 것인가?",현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
160,160화,L29002~L29175,EDIT,PASS,PASS,PASS,L29176~L29348,박만덕과 이영한에게 CL카드 채권·10조 원대 유동성을 설명하고 대출 차단·채권 압박·부실 발급 가속을 맡긴다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 대출 차단·채권 유통 중단·부실 발급을 실행할 명동 공조 약속을 얻는다.,박만덕과 이영한 앞에서 CL카드 채권과 10조 원대 유동성 구멍을 펼쳐 놓고 대출 차단·채권 유통 중단·부실 발급 가속을 역할별로 나눈다. 명동의 공조 약속은 확보되지만 이영한이 예고한 불법 수단의 실제 충격은 보여 주지 않아 실행 직전의 날을 세운다.,T7/R5/H8,0.32/0.30/0.24/0.05/0.09,박만덕과 이영한에게 CL카드 채권·10조 원대 유동성을 설명하고 대출 차단·채권 압박·부실 발급 가속을 맡긴다; 지급=대출 차단·채권 유통 중단·부실 발급을 실행할 명동 공조 약속을 얻는다; 마지막=이영한의 불법 수단이 CL카드 유동성 위기를 얼마나 앞당길 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
181,181화,L32798~L32963,EDIT,PASS,PASS,PASS,L32964~L33126,강 대위와 국세청 인맥을 움직여 KS해운 비자금·현금 차량을 추적하고 야당과 검찰에 정보를 흘리게 한다. 독자는 인물의 선택과 관계 변화에 가장 오래 머문다. 실제 지급은 다음에 한정된다: KS 불법선거자금 단서가 검찰 수사로 전환되고 전체 대기업을 겨냥한 수사 착수까지 끌어낸다.,"강 대위의 추적과 국세청 인맥이 KS해운 비자금, 현금 운반 차량, 불법선거자금 단서를 한 줄로 잇는다. 야당과 검찰에 흘린 정보가 KS 한 곳을 넘어 전 대기업 수사로 번지는 순간, 복수 작전의 행동보다 관계망의 확산이 더 큰 압박으로 바뀐다.",T8/R7/H8,0.27/0.29/0.32/0.07/0.05,강 대위와 국세청 인맥을 움직여 KS해운 비자금·현금 차량을 추적하고 야당과 검찰에 정보를 흘리게 한다; 지급=KS 불법선거자금 단서가 검찰 수사로 전환되고 전체 대기업을 겨냥한 수사 착수까지 끌어낸다; 마지막=KS에서 시작된 검찰의 전면 수사가 다른 재벌까지 어디까지 번질 것인가?,현재 화 하드 경계와 다음 화 진입을 수동 대조; 다음 화 최초 고유명·수단·지급을 after_note에 남기지 않음
192,192화,L34777~L34942,EDIT_MANAGER_REDTEAM_STAGE,PASS,PASS,PASS,L34943~L35136,최재석 중심 50명 연합을 구상하다 경호 영상에서 불량학생 4~5명이 천민우의 머리를 때리고 식판에 침 뱉는 장면을 확인한다. 독자는 사건의 조건과 확인 정보에 가장 오래 머문다. 실제 지급은 다음에 한정된다: 천민우가 겪은 상습 폭력을 조기에 발견하고 가해자 수와 장면을 확보한다.,"최재석에게 이번 주 안 후보 약 50명을 추리라고 맡긴 뒤 경호 영상이 회의 리듬을 끊는다. 불량학생 4~5명이 천민정의 동생 머리를 때리고 식판에 침을 뱉는 화면이 가족보호 압박을 만들며, 후보명단·가해자 실명은 지급하지 않는다.",7/5/8,0.33/0.17/0.29/0.17/0.04,"최재석에게 이번 주 안에 후보 약 50명을 추려 보고해 달라고 맡긴다. 강 대위가 보여 준 영상에서는 불량학생 4~5명이 천민정의 동생 머리를 후려치고 식판에 침을 뱉는 장면을 확인한다. | 지급: 최재석에게 후보 선별 과업을 맡기고, 불량학생 4~5명의 폭행·식판 침 장면이 담긴 대응 근거를 확보한다. 후보 50명 명단은 아직 미지급이다.",현재 화 L34777~L34942 안의 표면만 사용
