ordinal,arc_id,end_sequence,source_lines,result,paid_reward_before,paid_reward_after,ending_hook_before,ending_hook_after,closed_loops_after,opened_loops_after,pacing_result,evidence_note,batch_status
"011","DCA-N08","101","L18492~L18661","KEEP","린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다","린지 흥행과 플랫폼의 기하급수적 가입, 일일 수천만 원 수수료가 선행 투자 논리를 실제 매출로 입증한다","이영한과 악수한 민재의 손에는 사람 체온이 아니라 냉혈동물을 만진 듯한 차가움만 남는다","이영한과 악수한 민재의 손에는 사람 체온이 아니라 냉혈동물을 만진 듯한 차가움만 남는다","100화에서 미지급이던 플랫폼의 첫 주 성과는 가입·매출 급증으로 확인된다","이선일이 왜 갑자기 죽었는지, 이영한의 차가운 태도가 무엇을 숨기는지, 불법 복제 공세가 효과를 낼지는 풀리지 않는다","KEEP_T6_R7_H8_RIBBON_NOTE","L18492~L18661: 린지 가입과 HTS 일일 수천만 원 수수료가 실제 반복매출로 확인된다. 마지막은 이선일 장례에서 이영한과 악수한 손의 냉기라 원인·관계가 열린다.","ENDPOINT_AUDIT_44_OF_131"
"012","DCA-N09","111","L20251~L20420","KEEP","오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다","오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다","OTT는 아직 컴퓨터 화면과 불법 다운로드에 막혀 있고, 민재는 상반기 인터넷 TV가 그 병목을 깨기만 기다린다","OTT는 아직 컴퓨터 화면과 불법 다운로드에 막혀 있고, 민재는 상반기 인터넷 TV가 그 병목을 깨기만 기다린다","오성파 수사 동원, 이준수 암살 정황의 공개, 게임단의 실제 창설 준비가 결산된다","박동하의 고립이 최종 퇴장으로 이어질지, 인터넷 TV가 OTT 이용을 되살릴지는 남아 있다","KEEP_T6_R8_H6_RIBBON_NOTE","L20251~L20420: 오성파 두목 체포·이영한의 명동 70% 접수와 게임단 숙소·장비·선수계약·케이블 중계 준비가 확인된다. 마지막은 인터넷TV가 OTT 병목을 깰 때까지 기다리는 상태다.","ENDPOINT_AUDIT_44_OF_131"
"013","DCA-N10","116","L21123~L21297","KEEP","일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다","일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다","새해가 오면 현재그룹과 태우그룹의 재계 순위가 뒤바뀔 만큼 격차가 좁혀졌다는 전망으로 1999년 회의가 끝난다","새해가 오면 현재그룹과 태우그룹의 재계 순위가 뒤바뀔 만큼 격차가 좁혀졌다는 전망으로 1999년 회의가 끝난다","IT 파생상품 판매 목표와 Y2K 대형사고 우려, 통신 격차·강의 수익화가 당대 결산을 얻는다","닷컴 거품이 실제로 터져 계약금이 회수될지, 2000년의 재계 1위 교대가 어떤 사건으로 확정될지가 남는다","KEEP_T5_R8_H5_RIBBON_NOTE","L21123~L21297: 일본 대부업체 상대 계약 전량 체결, 태우통신의 10% 넘는 격차와 인터넷강의 일부 유료화가 현재 지급이다. 재계 순위 역전은 새해 전망일 뿐 완료가 아니다.","ENDPOINT_AUDIT_44_OF_131"
"014","DCA-N11","124","L22596~L22793","KEEP","러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다","러시아 천연자원 개발과 현지 자동차·전자 공장 혜택이 김태중에게 전달되고, 월가를 섞어 위험을 분산하는 사업안도 승인을 얻는다","김태중이 방으로 들어간 뒤 민재는 미안함을 느끼면서도 새로운 태우그룹을 만들려면 물갈이가 필요하다고 결론낸다","김태중이 방으로 들어간 뒤 민재는 미안함을 느끼면서도 새로운 태우그룹을 만들려면 물갈이가 필요하다고 결론낸다","러시아 출장 성과의 국내 보고와 장수영에 대한 김태중의 보호 여부는 현재 화에서 답을 얻는다","마음이 상한 장수영이 실제 사표 뒤 어떤 행동을 할지, 민재와 김태중 사이의 관계 비용이 얼마나 번질지는 남는다","KEEP_T7_R8_H6_RIBBON_NOTE","L22596~L22793: 푸틴 취임식 뒤 러시아 자원·현지 공장 혜택을 보고하고 월가를 섞는 위험분산안에 김태중이 동의한다. 장수영은 직접 결판내라는 답만 받고 실제 사표·해임은 없다.","ENDPOINT_AUDIT_44_OF_131"
"015","DCA-N12","134","L24409~L24613","EDIT","애플 주가와 태우 반도체 수요 회복의 근거를 얻는다","아이폰의 CES 공개·음악·OTT 실연, 태우전자·태우통신 공식 언급, 애플 주가 반등과 최소 300만 명 대기수요를 확인하고 태우IT 50명 지원을 정한다. 정식 출시·반도체 수율 70%는 아직 남는다.","미국 취임식 이후 정치 관계와 국내 공격 조짐을 살펴야 한다","부시 대통령 취임식장에 도착한 김민재가 새 미국 정권과 어떤 보호·거래 관계를 맺을 것인가?","아이폰 CES 공개·기능 시연; 최소 300만 명 대기수요·애플 주가 반등; 태우IT 50명 지원 결정","아이폰 정식 출시·오류 최적화; 반도체 수율 70%; 부시 정권 첫 접촉","KEEP_T5_R9_H6_RIBBON_NOTE","L24409~L24613: CES에서 아이폰 음악·OTT·록키가 실연되고 태우전자·태우통신이 언급되며 최소 300만 명 대기와 애플 주가 반등이 확인된다. 끝은 취임식 이후 요약이 아니라 부시 취임식장 도착이다.","ENDPOINT_AUDIT_44_OF_131"
"016","DCA-N13","142","L25922~L26107","EDIT","가족 생존과 태우의 경영 승계를 함께 지킨다","윤현길의 평생 미끼·정보보고 약속과 태우 보좌관·24시간 감시선을 확보하고, 김태중의 즉시 완전은퇴 대신 1년 베트남 체류·김민재 임시 경영 구도를 얻는다. 회장 승계는 아직 공식 실행되지 않는다.","김태중이 베트남으로 떠난 뒤 민재 혼자 한 달 남은 아이폰 국내 출시와 그룹 경영을 감당해야 한다.","김태중이 베트남으로 떠난 뒤 민재 혼자 한 달 남은 아이폰 국내 출시와 그룹 경영을 감당해야 한다.","윤현길 제압·미끼 전환; 김태중의 즉시 완전은퇴 저지와 1년 베트남 체류 결정","김태중 없는 그룹 경영; 한 달 남은 아이폰 국내 출시; 공식 회장 승계 시점","KEEP_T6_R7_H7_RIBBON_NOTE","L25922~L26107: 윤현길은 평생 미끼·정보보고와 태우 측 보좌·감시를 받아들이고, 김태중의 영구이주는 1년 베트남 체류 연극으로 드러난다. 김민재는 임시 경영을 맡을 뿐 공식 회장 승계는 없다.","ENDPOINT_AUDIT_44_OF_131"
"017","DCA-N14","146","L26622~L26781","EDIT","국내 아이폰 생산·판매가 가능한 규제 환경을 얻는다","WIPI 강제탑재 연기라는 국내 판매허가와 판매 첫 반나절 2만 대·3만 명 넘는 예약을 얻는다. 태우전자 국내 생산은 협의 지시 단계라 실제 물량은 아직 나오지 않았다.","한국 생산 단가 부담을 감수한 물량 확보가 아이폰 판매와 태우통신 고객 전환으로 돌아올 수 있는가?","태우전자가 높은 조립단가를 감수하고 국내 생산을 실제로 시작해 초기 10만 대 부족과 태우통신 고객 전환을 감당할 수 있는가?","WIPI 강제탑재 규제 연기·국내 판매 개시; 첫 반나절 2만 대 판매·3만 명 이상 예약","태우전자 국내 생산 협의·추가 물량 확보; 태우통신 고객 전환","EDIT_NOTE;KEEP_T6_R8_H7_RIBBON","L26622~L26781: 삼진의 WIPI 철회와 방송위원회 연기 직후 판매가 시작돼 반나절 2만 대·3만 명 넘는 예약이 잡힌다. 태우전자 국내 생산은 높은 단가를 감수해 협의하라는 지시라 물량 지급 전이다.","ENDPOINT_AUDIT_44_OF_131"
"018","DCA-N15","150","L27279~L27463","KEEP","아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.","아마존 로봇 파트너십과 데이비드의 8월 전 WTC 장기임차 성사 약속을 얻는다.","태우·카이자동차 두 사장이 기존 로봇 팔을 넘어설 스마트팩토리 협력에 응할 것인가?","태우·카이자동차 두 사장이 기존 로봇 팔을 넘어설 스마트팩토리 협력에 응할 것인가?","아마존 공동개발 계약","스마트팩토리 설계; WTC 장기 임차","KEEP_T6_R7_H7_RIBBON_NOTE","L27279~L27463: 아마존 로봇·스마트팩토리 공동개발은 계약되고 데이비드는 8월 전 WTC 장기임차를 성사시키겠다고 약속한다. 귀국 마지막은 두 자동차 사장에게 현장 협력을 요구하는 장면이다.","ENDPOINT_AUDIT_44_OF_131"
"019","DCA-N15B","153","L27824~L28005","KEEP","AI 스승과 미국 자동차시장 방패를 동시에 얻는다","AI 스승과 미국 자동차시장 방패를 동시에 얻는다","공화당 재선 지원 약속으로 미국시장 방패를 얻되 태우를 전쟁 소용돌이에 넣지 않는 선을 지킬 수 있는가?","공화당 재선 지원 약속으로 미국시장 방패를 얻되 태우를 전쟁 소용돌이에 넣지 않는 선을 지킬 수 있는가?","미국 보호 협상","미국 정치 방패; 전쟁 불개입 경계","KEEP_T6_R8_H7_RIBBON_NOTE","L27824~L28005: 제임스 힌톤 영입과 조지 슐츠를 통한 반덤핑 예외·SAVE 보호 거래가 현재 화에 성립한다. 재선 지원과 전쟁 불개입의 경계가 마지막 미지급 질문이다.","ENDPOINT_AUDIT_44_OF_131"
"020","DCA-N16","159","L28839~L29001","KEEP","메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다","메신저와 짧은 영상 SNS의 핵심 창업자·기술을 선점한다","서문영의 지장으로 새 SNS를 확보한 민재가 두 소셜 서비스를 어떻게 묶어 키울 것인가?","서문영의 지장으로 새 SNS를 확보한 민재가 두 소셜 서비스를 어떻게 묶어 키울 것인가?","임재범·서문영 계약","코코아톡; 하두리형 SNS 개발·결합","KEEP_T5_R8_H6_RIBBON_NOTE","L28839~L29001: 임재범과 서문영이 지분·50억 원 조건을 받아 메신저와 짧은영상 개발계약을 맺는다. 마지막은 두 서비스를 실제로 어떻게 키우고 묶을지 남긴다.","ENDPOINT_AUDIT_44_OF_131"
"021","DCA-N16B","166","L30048~L30224","KEEP","외환은행 인수 우위와 가전 매출 반등을 얻는다","외환은행 인수 우위와 가전 매출 반등을 얻는다","애플·태우 TV로 바뀐 태우전자 이미지를 신혼부부 할인과 후속 판매로 얼마나 키울 수 있는가?","애플·태우 TV로 바뀐 태우전자 이미지를 신혼부부 할인과 후속 판매로 얼마나 키울 수 있는가?","론스타 우선권 붕괴","외환은행 최종 계약; 신혼부부 할인 행사","KEEP_T7_R7_H6_RIBBON_NOTE","L30048~L30224: 론스타 부적격과 외환은행 재입찰 가능성, 1조5천억 원 제안·주거래 지원 준비 및 TV 판매 반등이 확인된다. 은행 소유권과 신혼부부 행사는 아직 실행 전이다.","ENDPOINT_AUDIT_44_OF_131"
"022","DCA-N17","176","L31916~L32080","EDIT","서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다","서광수 영입을 확정하고 옛 개발진 회수와 한국형 페이스북 반격을 시작한다","김태중이 천민정을 따로 불러 손자와의 관계를 묻는다","김태중과 단둘이 마주한 천민정이 열애설을 부정하며 직장과 아이디어 회의까지 잃을까 떨 때, 김태중은 어떤 말로 그녀의 두려움에 답할 것인가?","서광수의 페이스북 한국 법인장 수락·세이월드 개발진 연락 시작","세이월드 개발진 회수·한국형 페이스북 반격; 김태중과 천민정의 첫 단독 식사·직장 상실 두려움","KEEP_T6_R10_H8_RIBBON_NOTE","L31916~L32080: 서광수는 페이스북 한국 법인장을 수락하고 옛 개발진에게 연락한다. 마지막 식사에서 김태중은 아직 관계를 묻지 않았고 천민정이 열애설을 부정하며 직장을 잃을까 먼저 두려워한다.","ENDPOINT_AUDIT_44_OF_131"
"023","DCA-N18","180","L32618~L32797","EDIT","다음 아이폰에 넣을 음성비서 성과와 IIT 유치의 명확한 목표를 얻는다","영어 90% 이상·한국어 80% 이상·평균 75% 이상의 음성인식과 알람·전화·간단 메시지를 아이폰에서 실제 작동시킨 약인공지능을 확인하고, IIT 한국 캠퍼스로 힌톤팀 교수직·인재공급을 묶을 목표를 세운다. IIT 유치는 아직 계획이다.","IIT 한국 캠퍼스를 실제 유치해 힌톤팀 교수직과 인재 공급을 함께 해결할 수 있는가?","IIT 한국 캠퍼스를 실제 유치해 힌톤팀 교수직과 인재 공급을 함께 해결할 수 있는가?","아이폰 음성인식의 영어·한국어 정확도와 알람·전화·메시지 실제 작동 확인","다음 아이폰 음성비서 탑재·상용화; IIT 한국 캠퍼스 정치·교육 협상과 실제 유치","EDIT_R6_TO_R7_AND_NOTE;KEEP_T5_H7_RIBBON","L32618~L32797: 영어 90% 이상·한국어 80% 이상·평균 75%의 인식률과 알람·전화·메시지가 아이폰에서 실제 작동한다. IIT 한국 캠퍼스는 교수직·인재공급을 묶는 아이디어라 유치 지급 전이다.","ENDPOINT_AUDIT_44_OF_131"
"024","DCA-N18B","183","L33127~L33294","KEEP","틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다","틱택톡 공동대표 두 명과 세이월드 출신 인력의 이동 선택권을 확보한다","천민정이 공들인 태우·애플 비밀제품을 유출 없이 폭발적으로 공개할 수 있는가?","천민정이 공들인 태우·애플 비밀제품을 유출 없이 폭발적으로 공개할 수 있는가?","서광수 재기","틱택톡 출시; 태우·애플 비밀제품 공개","KEEP_T5_R6_H9_RIBBON_NOTE","L33127~L33294: 틱택톡 공동대표 두 명과 세이월드 출신 인력이 태우 쪽으로 이동할 선택권을 얻는다. 마지막은 천민정의 태우·애플 비밀제품을 유출 없이 공개할 수 있느냐는 현재 장면의 질문이다.","ENDPOINT_AUDIT_44_OF_131"
"025","DCA-N18C","186","L33665~L33838","KEEP","에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다","에어팟·스마트워치급 공동개발 의제와 애플의 지원 약속을 얻는다","애플 전문가를 한국에 붙여 무선이어폰·스마트워치 아이디어를 실제 제품으로 만들 수 있는가?","애플 전문가를 한국에 붙여 무선이어폰·스마트워치 아이디어를 실제 제품으로 만들 수 있는가?","WWDC 발표·핀테크 은행 홍보","무선이어폰·스마트워치 개발; 아이폰 후속 생산","KEEP_T4_R8_H7_RIBBON_NOTE","L33665~L33838: WWDC·핀테크 홍보 뒤 잡스와 노이즈캔슬링 이어폰·건강/지도/음성 시계의 공동개발 의제와 애플 전문가 지원을 얻는다. 완제품은 없고 한국 개발이 열린다.","ENDPOINT_AUDIT_44_OF_131"
"026","DCA-N19","191","L34605~L34776","KEEP","유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.","유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.","기존 이권에 얽히지 않고 오직 태우와 경제발전을 위해 일할 정치인을 어떻게 모을 것인가?","기존 이권에 얽히지 않고 오직 태우와 경제발전을 위해 일할 정치인을 어떻게 모을 것인가?","아노르 사업동맹","경제정치 연합의 인물·규모·구조","KEEP_T6_R8_H7_RIBBON_NOTE","L34605~L34776: 아노르와 유럽 명품 유통·협업 동맹이 닫히고 깨끗한 경제인·정치인 연합의 필요가 명시된다. 구체 정치인과 조직규모는 마지막 질문으로 남는다.","ENDPOINT_AUDIT_44_OF_131"
"027","DCA-N20","199","L36009~L36165","EDIT","미래 공급망 목록과 국민경제당의 전국 노출 기회를 얻는다","희토류·리튬·식각가스·불화수소의 매장국·생산업체 조사와 광산 매입계획 담당을 태우상사·태우화학에 확정하고, 국민경제당 정치인 약 40명 영입과 경제공약 선거전략을 확인한다. 공급망 목록·광산 소유권은 아직 미지급이다.","양당 정쟁과 달리 경제만 말하는 국민경제당 전략이 중도표를 실제 흡수할 수 있는가?","양당 정쟁과 달리 경제만 말하는 국민경제당 전략이 중도표를 실제 흡수할 수 있는가?","원자재별 조사·매입계획 지시; 국민경제당 약 40명 영입·경제공약 방향 확정","희토류·리튬 광산 실제 매입; 식각가스·고순도 불화수소 개발; 국민경제당 총선 공약·중도표 검증","EDIT_NOTE;KEEP_T6_R6_H7_RIBBON","L36009~L36165: 희토류·리튬·식각가스·불화수소의 매장국·업체 조사와 광산 매입계획을 지시하고 약 40명 영입·경제공약 전략을 확인한다. 목록 보고·광산 취득·득표는 없다.","ENDPOINT_AUDIT_44_OF_131"
