sequence,visible_label,arc_id,field,source_lines,next_source_lines,candidate_status,result,before_provenance,before,after,boundary_evidence
1,1화,DCA-N01,opened_loops,L1~L255,L256~L497,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,태우그룹 부도 저지; 김태중 생존; 살생부의 배신자 복수; 신상명세서 활용,태우그룹 부도 저지; 김태중 생존; 살생부의 배신자 복수; 신상명세서 활용,현재 화 하드 경계와 일치
2,2화,DCA-N01,entry_state,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재는 각종 통장에 약 70억 원이 있고 그룹 부도 당시 부채가 89조였음을 되짚는다.,김민재는 각종 통장에 약 70억 원이 있고 그룹 부도 당시 부채가 89조였음을 되짚는다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,reader_promise,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,미래 지식과 사람 보는 능력으로 미성년자의 용돈을 그룹을 구할 외부 자본과 인맥으로 키운다.,미래 지식과 사람 보는 능력으로 미성년자의 용돈을 그룹을 구할 외부 자본과 인맥으로 키운다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,protagonist_goal,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,태우증권에서 자신의 미래 정보를 실행할 S급 투자 책임자와 A급 실무진을 확보한다.,태우증권에서 자신의 미래 정보를 실행할 S급 투자 책임자와 A급 실무진을 확보한다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,action,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,태우증권 출입구에서 직원 능력치를 훑어 분석력 S급 한정훈과 A급 직원 세 명을 고르고 김태중에게 전담팀을 청한다.,태우증권 출입구에서 직원 능력치를 훑어 분석력 S급 한정훈과 A급 직원 세 명을 고르고 김태중에게 전담팀을 청한다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,resistance_or_cost,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"17세라는 나이와 직원들의 투자 놀이 취급, 김태중의 직원 동의 조건 때문에 권한과 신뢰가 부족하다.","17세라는 나이와 직원들의 투자 놀이 취급, 김태중의 직원 동의 조건 때문에 권한과 신뢰가 부족하다.",현재 화 하드 경계와 일치
2,2화,DCA-N01,turn_or_reveal,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,훗날 태우증권을 인수할 전설적 투자가 한정훈이 현재는 해외주식사업부 대리로 퇴사를 고민 중이다.,훗날 태우증권을 인수할 전설적 투자가 한정훈이 현재는 해외주식사업부 대리로 퇴사를 고민 중이다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,paid_reward,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김태중의 승인과 추가 10억 원을 받아 220억 원 규모의 일본 버블 붕괴 투자를 논의할 팀을 만든다.,김태중의 승인과 추가 10억 원을 받아 220억 원 규모의 일본 버블 붕괴 투자를 논의할 팀을 만든다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,state_change,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,한정훈 등 네 명이 임시 전담팀이 되고 김민재가 220억 원의 실질 투자 의사결정자로 선다.,한정훈 등 네 명이 임시 전담팀이 되고 김민재가 220억 원의 실질 투자 의사결정자로 선다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,ending_hook,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재가 일본 대출총량제 뒤 붕괴를 전제로 투자하자며 220억 원 전액을 제시한다.,김민재가 일본 대출총량제 뒤 붕괴를 전제로 투자하자며 220억 원 전액을 제시한다.,현재 화 하드 경계와 일치
2,2화,DCA-N01,closed_loops,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,전담 투자팀 선발; 김태중의 허락,전담 투자팀 선발; 김태중의 허락,현재 화 하드 경계와 일치
2,2화,DCA-N01,opened_loops,L256~L497,L498~L722,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,일본 버블 붕괴 베팅; 한정훈의 충성 확보; 220억 원 비밀 유지,일본 버블 붕괴 베팅; 한정훈의 충성 확보; 220억 원 비밀 유지,현재 화 하드 경계와 일치
3,3화,DCA-N01,entry_state,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재가 부모 유산까지 합친 220억 원과 아직 자신을 아이로 보는 전담팀을 마주한다.,김민재가 부모 유산까지 합친 220억 원과 아직 자신을 아이로 보는 전담팀을 마주한다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,reader_promise,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,계약과 미래 지식으로 일본 붕괴에 전액을 걸고 동시에 회사 입사 시계를 앞당긴다.,계약과 미래 지식으로 일본 붕괴에 전액을 걸고 동시에 회사 입사 시계를 앞당긴다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,protagonist_goal,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,해외 법인과 성과보수 계약으로 팀을 묶고 가장 공격적인 닛케이 하락 포트폴리오를 실행한다.,해외 법인과 성과보수 계약으로 팀을 묶고 가장 공격적인 닛케이 하락 포트폴리오를 실행한다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,action,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다.,홍콩 법인을 빌리고 수익 1퍼센트 보너스·실패 위로금·비밀유지 위약금을 명시한 계약을 체결한 뒤 보험·공매도 중심 3안을 선택한다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,resistance_or_cost,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"220억 원 전액 손실 가능성과 김태중에게 투자 규모를 숨겨야 하는 부담, 검정고시와 미국 대학 준비가 겹친다.","220억 원 전액 손실 가능성과 김태중에게 투자 규모를 숨겨야 하는 부담, 검정고시와 미국 대학 준비가 겹친다.",현재 화 하드 경계와 일치
3,3화,DCA-N01,turn_or_reveal,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,한정훈 팀이 닛케이 반토막 시 10배 이상을 주는 보험까지 찾아내며 투자 일 자체에 재미와 소속감을 느낀다.,한정훈 팀이 닛케이 반토막 시 10배 이상을 주는 보험까지 찾아내며 투자 일 자체에 재미와 소속감을 느낀다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,paid_reward,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.","성과보수·비밀유지 계약과 보험·공매도 중심 3안 집행 지시를 확정하고, 김태중에게 다국어 실력을 증명해 검정고시와 하버드·스탠퍼드 도전을 승인받는다.",현재 화 하드 경계와 일치
3,3화,DCA-N01,state_change,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재는 전담팀의 법적 고용주이자 1995년 조기 입사를 향한 교육 계획의 주도자가 된다.,김민재는 전담팀의 법적 고용주이자 1995년 조기 입사를 향한 교육 계획의 주도자가 된다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,ending_hook,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,검정고시 책 대신 SAT 교재를 꺼내 외환위기 3년 전 입사 계획을 본격화한다.,검정고시 책 대신 SAT 교재를 꺼내 외환위기 3년 전 입사 계획을 본격화한다.,현재 화 하드 경계와 일치
3,3화,DCA-N01,closed_loops,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,전담팀 계약; 검정고시 허락,전담팀 계약; 검정고시 허락,현재 화 하드 경계와 일치
3,3화,DCA-N01,opened_loops,L498~L722,L723~L929,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,일본 붕괴 수익 실현; 세계 최고 대학 입학; 1995년 태우 입사,일본 붕괴 수익 실현; 세계 최고 대학 입학; 1995년 태우 입사,현재 화 하드 경계와 일치
4,4화,DCA-N01,entry_state,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,220억 원 전액을 일본 하락에 건 뒤 김민재는 검정고시와 투자 결과를 함께 기다린다.,220억 원 전액을 일본 하락에 건 뒤 김민재는 검정고시와 투자 결과를 함께 기다린다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,reader_promise,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,실제 1990년 대출총량제와 닛케이 급락이 회귀자의 첫 대형 예측을 증명한다.,실제 1990년 대출총량제와 닛케이 급락이 회귀자의 첫 대형 예측을 증명한다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,protagonist_goal,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,버블 수익을 현금화해 팀을 자기 사람으로 만들고 다음 걸프전 투자와 왕실 인맥을 준비한다.,버블 수익을 현금화해 팀을 자기 사람으로 만들고 다음 걸프전 투자와 왕실 인맥을 준비한다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,action,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"검정고시 만점 합격증을 김태중에게 보이고 사우디 동행 허락을 받은 뒤 전담팀의 예상 4,780억 원·기실현 1,210억 원을 결산하고 1퍼센트 보너스를 약속한다.","검정고시 만점 합격증을 김태중에게 보이고 사우디 동행 허락을 받은 뒤 전담팀의 예상 4,780억 원·기실현 1,210억 원을 결산하고 1퍼센트 보너스를 약속한다.",현재 화 하드 경계와 일치
4,4화,DCA-N01,resistance_or_cost,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,보험·증권사에서 수익을 받아 내는 데 시간이 걸리고 김태중의 세계화 확장을 정면으로 막을 권한은 아직 없다.,보험·증권사에서 수익을 받아 내는 데 시간이 걸리고 김태중의 세계화 확장을 정면으로 막을 권한은 아직 없다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,turn_or_reveal,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,일본 폭락으로 팀의 의심이 충성으로 바뀌고 김민재는 이라크가 쿠웨이트를 침공할 논리를 제시한다.,일본 폭락으로 팀의 의심이 충성으로 바뀌고 김민재는 이라크가 쿠웨이트를 침공할 논리를 제시한다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,paid_reward,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"만점 검정고시, 이미 실현된 1,210억 원, 팀원당 수억 원 보너스, 사우디 왕실 접근 기회를 한꺼번에 얻는다.","만점 검정고시, 이미 실현된 1,210억 원, 팀원당 수억 원 보너스, 사우디 왕실 접근 기회를 한꺼번에 얻는다.",현재 화 하드 경계와 일치
4,4화,DCA-N01,state_change,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,초기 자본 문제를 사실상 해결하고 전담팀이 김민재를 어린 도련님이 아닌 리더로 받아들인다.,초기 자본 문제를 사실상 해결하고 전담팀이 김민재를 어린 도련님이 아닌 리더로 받아들인다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,ending_hook,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,8월 초 원유 상승에 최대 레버리지를 걸면 12배 수익도 가능하다는 계산이 나온다.,8월 초 원유 상승에 최대 레버리지를 걸면 12배 수익도 가능하다는 계산이 나온다.,현재 화 하드 경계와 일치
4,4화,DCA-N01,closed_loops,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,일본 버블 첫 투자; 검정고시,일본 버블 첫 투자; 검정고시,현재 화 하드 경계와 일치
4,4화,DCA-N01,opened_loops,L723~L929,L930~L1168,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,걸프전 원유 베팅; 사우디 인맥; 투자 수익 전액 회수,걸프전 원유 베팅; 사우디 인맥; 투자 수익 전액 회수,현재 화 하드 경계와 일치
5,5화,DCA-N01,entry_state,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"일본 붕괴로 1,400억 원대 자본을 만든 김민재가 걸프전까지 넉 달을 앞둔다.","일본 붕괴로 1,400억 원대 자본을 만든 김민재가 걸프전까지 넉 달을 앞둔다.",현재 화 하드 경계와 일치
5,5화,DCA-N01,reader_promise,L930~L1168,L1169~L1387,CANDIDATE,EDIT,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 SAVE의 기반을 닦는다.,미래 전쟁을 돈과 국가급 인맥으로 동시에 바꾸며 미국 투자회사의 기반을 닦는다.,현재 화 끝선과 다음 화 첫선을 양방향 대조
5,5화,DCA-N01,protagonist_goal,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,미국 선물거래 법인을 만들고 사우디 왕실에 결정적인 빚을 지운 뒤 원유 급등 포지션을 완성한다.,미국 선물거래 법인을 만들고 사우디 왕실에 결정적인 빚을 지운 뒤 원유 급등 포지션을 완성한다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,action,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,한정훈에게 사표와 미국 법인 설립을 지시하고 사우디에서 어린 무함마드 빈 살만과 놀며 살만에게 왕실 보석 절도범 끄리앙끄라이를 고발한다.,한정훈에게 사표와 미국 법인 설립을 지시하고 사우디에서 어린 무함마드 빈 살만과 놀며 살만에게 왕실 보석 절도범 끄리앙끄라이를 고발한다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,resistance_or_cost,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"한정훈의 퇴직 공포, 선물거래의 청산 위험, 김태중의 공격적 세계화 노선을 직접 고치지 못하는 제약이 있다.","한정훈의 퇴직 공포, 선물거래의 청산 위험, 김태중의 공격적 세계화 노선을 직접 고치지 못하는 제약이 있다.",현재 화 하드 경계와 일치
5,5화,DCA-N01,turn_or_reveal,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,청소기에서 실제 왕실 보석이 쏟아져 살만이 사우디 왕실의 영구 지원을 약속하고 태우건설 수주도 두 배가 된다.,청소기에서 실제 왕실 보석이 쏟아져 살만이 사우디 왕실의 영구 지원을 약속하고 태우건설 수주도 두 배가 된다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,paid_reward,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,사우디 왕실이라는 방패와 태우건설 추가 수주를 얻고 한정훈이 2억 달러 원유 급등 포지션을 구축한다.,사우디 왕실이라는 방패와 태우건설 추가 수주를 얻고 한정훈이 2억 달러 원유 급등 포지션을 구축한다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,state_change,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김민재가 살만 부자와 인연을 만들고 전담팀은 태우증권 밖 독립 투자회사로 이동하기 시작한다.,김민재가 살만 부자와 인연을 만들고 전담팀은 태우증권 밖 독립 투자회사로 이동하기 시작한다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,ending_hook,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,이라크 침공 하루 전 2억 달러를 건 한정훈에게 김민재가 다 잃어도 다시 벌면 된다고 말한다.,이라크 침공 하루 전 2억 달러를 건 한정훈에게 김민재가 다 잃어도 다시 벌면 된다고 말한다.,현재 화 하드 경계와 일치
5,5화,DCA-N01,closed_loops,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,사우디 보석 도난 저지; 왕실 인맥 확보,사우디 보석 도난 저지; 왕실 인맥 확보,현재 화 하드 경계와 일치
5,5화,DCA-N01,opened_loops,L930~L1168,L1169~L1387,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,걸프전 급등 수익; 미국 투자회사 정착; 김태중 세계화 리스크 완화,걸프전 급등 수익; 미국 투자회사 정착; 김태중 세계화 리스크 완화,현재 화 하드 경계와 일치
6,6화,DCA-N01,entry_state,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,이라크 침공 직전 2억 달러 원유 포지션과 미국 유학 계획이 동시에 가동된다.,이라크 침공 직전 2억 달러 원유 포지션과 미국 유학 계획이 동시에 가동된다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,reader_promise,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,전쟁 발발로 돈·인재·교육 일정이 한 번에 급상승하고 미래 배신자도 식별된다.,전쟁 발발로 돈·인재·교육 일정이 한 번에 급상승하고 미래 배신자도 식별된다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,protagonist_goal,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,유가 30달러에서 수익을 확정하고 전담팀과 미국으로 옮겨 독립 회사를 세운다.,유가 30달러에서 수익을 확정하고 전담팀과 미국으로 옮겨 독립 회사를 세운다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,action,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,유가가 하루 만에 두 배 뛰자 30달러 매도를 지시하고 장수영의 미래 배신을 기억한 뒤 김태중에게 전담팀 동행 미국 유학을 설득한다.,유가가 하루 만에 두 배 뛰자 30달러 매도를 지시하고 장수영의 미래 배신을 기억한 뒤 김태중에게 전담팀 동행 미국 유학을 설득한다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,resistance_or_cost,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,김태중은 17세 손자의 단독 미국행을 걱정하고 장수영처럼 현재 충신인 미래 배신자를 당장 처벌할 근거는 없다.,김태중은 17세 손자의 단독 미국행을 걱정하고 장수영처럼 현재 충신인 미래 배신자를 당장 처벌할 근거는 없다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,turn_or_reveal,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,유가 거래가 20억 달러·약 1.4조 원 수익으로 끝나고 네 명이 한정훈의 미국 법인 SAVE로 완전히 이직한다.,유가 거래가 20억 달러·약 1.4조 원 수익으로 끝나고 네 명이 한정훈의 미국 법인 SAVE로 완전히 이직한다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,paid_reward,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,"1.4조 원과 한정훈의 절대적 신뢰, 미국 저택·호위·최고 입시진을 확보한다.","1.4조 원과 한정훈의 절대적 신뢰, 미국 저택·호위·최고 입시진을 확보한다.",현재 화 하드 경계와 일치
6,6화,DCA-N01,state_change,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,전담팀이 태우증권 소속 임시 교사에서 SAVE 핵심 직원으로 바뀌고 김민재의 활동 무대가 미국으로 옮겨진다.,전담팀이 태우증권 소속 임시 교사에서 SAVE 핵심 직원으로 바뀌고 김민재의 활동 무대가 미국으로 옮겨진다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,ending_hook,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,미국 법인의 이름을 태우그룹과 김태중을 지킨다는 목적을 새긴 SAVE로 확정한다.,미국 법인의 이름을 태우그룹과 김태중을 지킨다는 목적을 새긴 SAVE로 확정한다.,현재 화 하드 경계와 일치
6,6화,DCA-N01,closed_loops,L1169~L1387,L1388~L1608,NONE,PASS,manager-followup immutable SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8,원유 상승 수익; 미국 유학 허락; 전담팀 이직,원유 상승 수익; 미국 유학 허락; 전담팀 이직,현재 화 하드 경계와 일치
