sequence,source_lines,result,changed_fields,absence_claim_check,current_fact_check,note
577,L100880~L101041,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
578,L101042~L101213,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
584,L102093~L102272,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
591,L103265~L103426,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
592,L103427~L103586,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
597,L104261~L104422,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
605,L105610~L105770,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
606,L105771~L105925,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
607,L105926~L106110,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
613,L106961~L107161,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
619,L108010~L108186,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
622,L108524~L108692,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
628,L109509~L109656,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
637,L111038~L111207,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
639,L111362~L111532,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
640,L111533~L111697,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
646,L112579~L112742,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
650,L113250~L113408,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
658,L114536~L114701,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
666,L115810~L115982,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
669,L116315~L116471,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
675,L117280~L117454,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
676,L117455~L117594,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
680,L118112~L118272,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
685,L118957~L119112,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
686,L119113~L119275,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
697,L120802~L120950,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
699,L121095~L121243,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
700,L121244~L121402,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
701,L121403~L121548,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
703,L121691~L121850,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
705,L121998~L122166,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
706,L122167~L122316,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
707,L122317~L122468,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
710,L122799~L122944,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
711,L122945~L123129,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
712,L123130~L123300,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
713,L123301~L123480,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
715,L123643~L123789,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
723,L124956~L125111,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
724,L125112~L125254,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
725,L125255~L125407,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
726,L125408~L125577,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
727,L125578~L125735,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
729,L125884~L126045,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
733,L126557~L126729,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
736,L127050~L127212,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
738,L127368~L127539,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
746,L128731~L128901,PASS_BIDIRECTIONAL,"",PASS: 아직·미정·계약 전 표현을 원문 끝선과 대조,PASS: 인물·고유명·수치·계약상태·실물행동 보존,미래 선취 제거와 현재 사실 보존을 함께 확인
