sequence,visible_label,arc_id,arc_phase,concrete_event,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,pacing_note
11,11화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,"하버드 경제학과 합격증을 김태중에게 보여 준 뒤 강준기 의원의 신민국당 영입 제안을 상속세·언론 검증·5년 임기 논리로 말리고 YS와 DJ 양쪽 지원을 권한다; 김민재가 장학재단 기부금 유치와 운영을 자청하자 김태중은 조직 운영의 어려움을 배워 보라며 사실상 첫 경영 시험을 허락한다; 김태중의 식탁 환대와 하버드 합격 축하, 대통령 출마 철회, 태우그룹 장학재단 설립 승인을 얻는다",7,7,6,0.21,0.20,0.31,0.20,0.08,하버드 합격으로 김태중을 기쁘게 한 뒤 대선 출마를 막고 재단 허락을 받아 조손 관계와 감정이 길다.
12,12화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,"성적 상위 5퍼센트 빈곤 학생 사진을 직접 심사하고 SAVE 돈으로 청년 창업을 지원하며 한정훈·데이비드에게 검찰·경찰·공무원 명단을 펀드에 가입시키라 한다; 기존 권력 라인을 후원하는 대신 태우가 라인 없는 유능한 사람들의 새 라인이 되고 펀드 수익을 노후 안전망과 충성 축적 장치로 쓰기로 한다; 재단 독립 보고권과 직원 20명, 장학·창업 선발 자료, 월가의 SAVE 명성을 활용한 공직자 펀드 모집 체계를 확보한다",5,6,7,0.34,0.18,0.23,0.07,0.18,성적 상위 5퍼센트 빈곤 학생 자료와 200억 원 장학재단의 선발 체계를 직접 점검하고 청년창업 지원까지 넓힌다. 후반에는 라인 없는 검찰·경찰·공무원 명단과 펀드 모집 보상을 설계하지만 실제 가입 인원은 아직 없다.
13,13화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,"SAVE의 100억 원을 퀀텀펀드 명의 기부금으로 꾸미고 김태중의 조사를 유도하며 한정훈·퀀텀 관계자에게 미리 맞춘 걸프전 에세이·인턴 설명을 제공한다; 김택훈의 조사 결과 김민재가 먼저 퀀텀에 접근해 걸프전·유가 전망으로 인정을 받았다는 서사가 확인되어 김태중이 감시 대신 신뢰를 택한다; 100억 원 기부금, 김태중·김택훈의 능력 인정, 장학금 지속 자금과 공직자 펀드 가입자 약 30명을 얻는다",7,7,6,0.23,0.29,0.26,0.12,0.10,퀀텀 100억 원 기부를 미끼로 김택훈을 움직이고 김태중에게 월가 가치를 입증해 행동·가족 권력관계가 앞선다.
14,14화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,"데이비드에게 클린턴 1천만 달러·푸틴 500만 달러 지원을 맡기고 하버드 조기졸업용 7인 대필·기출 분석팀을 둔 뒤 SAVE에서 조지와 영국 공격을 정산한다; 60억 달러 파운드 투자가 50퍼센트·30억 달러 수익으로 끝나지만 김민재는 조지의 다음 마르크 매도·프랑 매수 제안이 월가 뒤통수치기임을 알아챈다; 공직 펀드 80명 이상, 클린턴·푸틴 미래 연결 착수, 파운드 수익 30억 달러와 하버드 조기졸업 지원팀을 얻는다",8,8,9,0.29,0.25,0.23,0.08,0.15,클린턴·푸틴 지원과 30억 달러 지급 뒤 조지의 프랑화 배신 계획을 읽어 정보와 다음 대응 훅이 강하다.
15,15화,DCA-N01B,N01B·하버드·공직자 펀드와 태우 귀환 준비,"20억 달러 한도로 조지 발언의 반대 포지션을 잡고 제프리에게 아마존 이름과 창업 전액 지원을 제안한다. 배터리 교수 프로젝트 자료는 데이비드에게 건네 원하는 자금을 지원하고 능력껏 최대 지분을 협상하라고 지시한다.; 푸틴이 `I NEVER FORGET IT`을 보내고 3년 뒤인 1994년 말 김민재가 하버드를 조기졸업해 귀국한다.; 푸틴의 감사 메시지, 하버드 3년 조기졸업, 귀국 뒤 김태중의 식탁 환대를 받는다. 배터리 교수 접촉·계약·지분 취득은 이 화에 없다.",6,8,8,0.20,0.18,0.28,0.17,0.17,퀀텀 역이용과 푸틴 감사 뒤 3년을 건너 하버드 졸업·창원 입사를 택해 관계 보상과 새 장소 기대가 높다.
16,16화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"양 대리 안내로 고철장과 총무팀을 돌며 악수해 이 부장 등 전원의 비리 특이사항을 확인하고 관리직 전체에 비싼 회식과 술을 사며 외부 인력에 자료 탈취를 지시한다; 자동차 판넬 고철 헐값 매각과 뒷돈, 총무팀 전원의 횡령, 10개가 넘는 공장 비리가 능력치와 전생 수사 기억으로 맞물린다; 임원들의 경계가 가족 같은 신입이라 착각할 만큼 풀리고 김민재는 현장 비리의 인물·부서·거래 지점을 확보한다",6,4,8,0.29,0.27,0.20,0.14,0.10,차장 신분으로 고철·총무팀 횡령을 지켜보다 밤샘 회식이 끝난 순간 조사팀을 들이민다. 오래 참은 잠입이 급습으로 바뀌어 증거가 조직 안에서 실제 힘을 얻는다.
17,17화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"사우나에서 기무사 출신 정보력 S급 강인식과 만나 탈취 자료를 검토하고 공장장 팔레트 독점 계획과 경리 한지혜·주영미와의 이중 불륜을 각각 포착한다; 서우태가 퇴직 장 부장의 팔레트 회사 지분 50퍼센트를 받으려 하며 한지혜·주영미 모두와 내연 관계라는 두 약점이 열린다; 정보력 S급 강인식과 기관별 에이스 공조, 팔레트 사업·이중 불륜이라는 내부 균열 지점을 얻는다",7,5,7,0.32,0.27,0.23,0.10,0.08,팔레트 독점과 공장장·두 경리의 불륜을 연쇄 확인해 비리 정보와 강인식 팀의 추적 행동에 머문다.
18,18화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"강인식에게 10억 원 스카우트비와 5억 원 활동비를 주고 한정훈에게 일본 증시 15퍼센트 이상 하락 시 터지는 100억 달러 파생계약을 확대시킨 뒤 청년경제포럼에 데뷔한다; SAVE 자금이 150억 달러에서 360억 달러로 컸고 김민재는 청년경제포럼의 재벌 2·3세들 가운데 승계 분쟁을 일으킬 표적을 찾는다; 강인식의 충성, 일본 기업·은행의 대규모 파생계약과 재계 후계자 첫 공식 인맥을 확보한다. 구체 표적 가문은 아직 고르지 않았다",6,6,7,0.30,0.23,0.16,0.08,0.23,조사비를 지급하면서 일본 파생 100억 달러를 늘리고 청년경제포럼의 재벌 2·3세들을 다음 승계 표적으로 바라본다. 구체 가문과 계열사는 아직 고르지 않아 전략 정보와 자금 규모만 앞선다.
19,19화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"고영준의 장자승계 불만을 부추길 친분을 만들고 현재·현진 왕자의 난 당사자들과 연결한 뒤 불륜 사진을 각 경리에게 보여 서로 배신당했다고 믿게 한다; 한지혜가 이중장부 20봉투를, 주영미가 팔레트 회사 계약·공모 임직원 자료를 자발적으로 내놓는다; 공장 내부 핵심 회계 자료와 경리 두 명의 협조, 다섯 경쟁그룹 후계자에 대한 장기 접근점을 확보한다",7,6,8,0.21,0.31,0.28,0.13,0.07,후계 분쟁 씨앗과 불륜 이간질을 실행해 한지혜·주영미에게 장부를 받아 행동과 관계 조작이 두드러진다.
20,20화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"청담동 술집 난동·눈물을 연기해 김택훈에게 수사 지원을 얻고 압수영장 발부 즉시 세 기관을 투입해 서우태의 횡령·하청 독점 계약을 김태중 이름으로 언론에 고발한다; 불륜 사진 앞에서 서우태가 무릎을 꿇고, 재벌 3세의 첫 내부고발이라는 뉴스가 전국 기자들의 관심을 장악한다; 서우태 형사처리와 재벌 3세의 공개 내부고발 주도권을 얻는다",8,7,8,0.18,0.39,0.18,0.15,0.10,술집 난동 연기·압수수색·기자회견으로 서우태를 공개 고발하는 연속 행동이 회차 대부분을 차지한다.
21,21화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"`좋은 게 좋은 것`이라는 김태중 논리에 태우 몰락의 원인을 말하고 자신을 공신을 자를 이방원에 비유하며 지원을 끊겠다는 협박에도 독립 성공 능력으로 맞선다; 김태중이 계열사 부사장급인 그룹 감사팀 본부장을 맡기고 태우를 버리지 말라는 약속만 요구한다; 공식 감사권·부사장급 지위와 김태중의 조건부 전권, 한정훈의 돈다발 갑옷 지원을 얻는다",9,7,10,0.16,0.28,0.27,0.20,0.09,태우를 버릴 수 있다는 배수진으로 김태중과 충돌해 감사본부장 자리를 얻고 고베 지진 훅으로 급전한다.
22,22화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"김택훈에게 이준수 상무와 명동 4인방의 연결 자료를 받아 강인식에게 넘기고, 한국에 온 조지에게 150억 달러 중 절반인 75억 달러 계약을 120억 달러와 원하는 지분에 팔겠다고 제안한다; 조지가 김민재의 엔화 사냥을 알아보고 찾아오며 월가와 함께하면 수익을 2배가 아니라 3~5배로 키울 수 있다고 협상이 열린다; 이준수의 사촌이 명동 4인방이라는 핵심 정보, 김택훈의 실질 지원, 퀀텀의 일본 공동공격 의사를 얻는다",7,7,8,0.31,0.21,0.25,0.08,0.15,고베 수익 조건과 이준수·명동 연결을 읽고 조지에게 75억 달러 파생상품과 돈으로 사기 힘든 기업지분의 교환을 제시한다. 감사팀의 다른 인물과 실제 지분 대상은 아직 이름을 주지 않아 정보 협상이 길다.
23,23화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"파생계약을 120억 달러와 애플·포드 각 20퍼센트 지분에 넘기고, 다섯 감사팀장에게 창원 비리 윗선을 찾으라 압박하며 정수철의 이준수 동창 관계와 아파트 세 채를 확인한다; 월가 보호막과 정치 후원을 이용하면 장기 지분을 살 수 있고, 감사팀 자체가 이준수의 비리를 덮어 온 고양이임이 드러난다; 장기 100억 달러 이상 가치로 보는 애플·포드 지분, 감사팀 100명의 공식 지휘권과 정수철 부패 단서를 확보한다",6,8,7,0.22,0.17,0.24,0.07,0.30,애플·포드 지분 각 20퍼센트를 받은 직후 정수철의 재산내역을 펼친다. 큰 자산 지급을 축하할 틈 없이 다음 감사 표적을 고르는 건조한 전환이 회차를 당긴다.
24,24화,DCA-N02,N02·창원 장부와 명동 4천억 절단,A급 판단·수사 능력에 비리 특이사항이 없는 윤일섭 차장을 팀장으로 올리고 각 팀의 깨끗한 직원 세 명씩을 차출해 창원 TF를 구성한다; 약점이 없어 승진에서 배제됐던 윤일섭이 성과와 인사고과를 김민재가 책임진다는 조건에 충성을 약속한다; 독립 TF·윤일섭이라는 내부 감사 칼날과 인사팀·비서실이 인정한 본부장 재량권을 얻는다,6,6,7,0.22,0.25,0.35,0.10,0.08,정수철이 고립시키려 한 윤일섭을 오히려 승진시키고 창원 직속 TF를 세운다. 한 사람을 살리는 인사 결정이 기존 감사선과 다른 독립 수사조직으로 굳어진다.
25,25화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"환수금 10퍼센트·감사팀 내부비리 30퍼센트 성과금과 최우수 인사고과를 공표하고 윤일섭·강인식을 공조시켜 박권흠 공장장을 면담한다; 박권흠은 창원 공장이 명동 사채자금으로 지어졌고 김태중이 빚 상환보다 확장을 택해 공장을 빼앗긴 셈이 됐다고 밝힌다; 채용 뇌물 2천만~4천만 원·노조 상납 증거, 감사팀 분열의 씨앗, 창원 공장 실권 구조를 얻는다",7,5,8,0.36,0.18,0.25,0.11,0.10,"환수금 10퍼센트·내부비리 30퍼센트 성과금 공지가 감사팀의 침묵을 깨고 윤일섭과 강인식을 움직인다. 박권흠 면담에서 채용 뇌물 2천만~4천만 원과 명동 돈 4천억 원에 묶인 창원공장 실권이 드러나며, 후반의 구조 폭로가 더 긴 잔상을 남긴다."
26,26화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"CT은행을 앞세운 대환을 설계하고 윤일섭·강인식에게 노조 간부 포섭을 맡기며 특수부대 출신 50~100명 규모의 정식 경호회사를 만들라고 한다; SAVE 주거래 관계와 자신의 돈을 CT은행 이름으로 쓰면 4천억을 마련할 수 있고 북파공작원 등 버려진 특수부대 인재가 평생 직장을 얻는다; 명동 빚 상환 수단, 윤일섭·강인식 비밀 사무실, 첫 50명 이상 경호·정보 전력을 확보한다",7,6,8,0.26,0.27,0.19,0.06,0.22,CT 대환과 노조 포섭·특수부대 경호사를 동시에 준비해 실행 수단과 돈·안전장치에 무게가 간다.
27,27화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"본부장실에서 비리 선물세트를 열거하고 명동 앞잡이라 도발하며, 파업 공지가 뜨자 강인식에게 이준수·노조 간부 실상을 담은 삐라와 회유한 배 반장 소문전을 지시한다; 이준수가 본색을 드러내고 노조 파업을 지시함으로써 명동-상무-노조의 결합이 공개되며 배 반장의 말이 현장 신뢰를 얻는다; 이준수의 선전포고와 파업까지 보이는 공격 명분, 특수부대 경호 30명, 공장 내 반대 여론을 얻는다",8,5,7,0.19,0.38,0.25,0.11,0.07,이준수를 일부러 자극하고 삐라와 배 반장 소문을 퍼뜨려 파업을 끌어낸다. 조용한 장부조사가 군중이 움직이는 현장전으로 바뀌면서 이준수 쪽이 먼저 모습을 드러낸다.
28,28화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"배 반장을 중심으로 회장·태우를 지키는 파벌을 만들고 폭행·제품횡령 노조 간부를 경찰에 넘기며 술·밥값을 지원하고 김민재 자신도 현장 구심점으로 방문한다; 이준수 측이 파업으로 지켜 준 노조 간부를 구하지 않자 균열이 나고 찬반투표가 반대 51퍼센트로 무산된다; 첫 현장 파업 승리와 반이준수 노조·직원 기반, 김민재 후계자 구심점의 가시적 효과를 얻는다",8,7,7,0.18,0.36,0.22,0.10,0.14,노조 간부 사법처리와 반대 파벌 결집으로 반대 51퍼센트를 만들어 투표 행동과 수치 보상이 솟는다.
29,29화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"채용비리·불량품 매각·하청 횡령 증거를 차례로 내밀어 네 번의 변명을 누적시키고, 이준수가 명동 가문이 공장을 감시한다고 폭언하자 4천억을 갚으면 떠나겠다는 말을 끌어낸다; 이준수가 태우를 명동 소유처럼 말해 부회장과 사장단의 자존심을 자극하고 CT은행 한동구가 회의장에 들어온다; 사장단 다수의 이준수 불신과 `4천억 상환 시 떠난다`는 공개 약속을 얻는다",7,6,8,0.24,0.20,0.36,0.12,0.08,이준수의 변명과 명동 오만을 노출해 사장단 마음을 돌리고 CT 법인장을 들여 관계 전환에 오래 머문다.
30,30화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"SAVE 360억 달러 주거래와 자기 돈을 담보로 CT 이름의 5년 저리대출을 만들고, 이준수가 달아난 뒤 김택훈과 광화문 고택을 찾아 이선일에게 5년 안에 명동 주인으로 만들겠다고 말한다; CT가 미국과 국제분쟁을 방패로 명동 협박을 막고 이준수는 공개 약속대로 창원 공장에서 물러날 수밖에 없게 된다; 창원 사채빚 상환 수단과 이준수 축출 명분, 이선일과 직접 독대할 급을 확보한다",8,8,7,0.17,0.29,0.21,0.08,0.25,CT은행 저리대출로 명동 차입금 4천억 원을 갚고 이준수를 공장에서 끌어낸다. 곧바로 광화문 곰을 찾아 통일 문제를 꺼내 실물 승리가 다음 정치·북방 거래로 이어진다.
31,31화,DCA-N02,N02·창원 장부와 명동 4천억 절단,"금융실명제 뒤 명동 쇠퇴와 외환위기를 암시해 이선일의 결심을 끌어내고 윤일섭에게 47명 감봉·해고·형사조치를 지시한다; 이선일이 손을 잡기로 속으로 정하고 이준수를 박 군에게 끌고 가게 하며, 창원 공장 비리 인원 47명이 게시판에 징계된다; 명동 간섭 제거·47명 숙청과 감사팀 개혁 성과를 얻지만 기술연구소장으로 밀어낼 사장단 합의가 생긴다",6,5,7,0.20,0.18,0.31,0.18,0.13,이선일이 이준수를 거두고 47명 징계가 확정된 뒤 사장단이 연구소 유배를 모의해 관계 후폭풍과 다음 훅이 높다.
32,32화,DCA-N03,N03·이노폰과 박진훈 축출,"윤일섭 TF의 정식 감사6팀 승격과 부장 승진을 받아낸 뒤 기술연구소 독립권·경제연구소 총괄·20명 자기선발을 조건으로 박진훈의 제안을 수락한다; 사장단이 김민재를 감사에서 쫓아내려 모든 조건을 수락하고, 김민재는 차입금 위험 보고서를 쓴 일본인 후쿠다 고문을 찾아낸다; 통합 총괄소장 지위, 연구소 독립성과 인사 20명, 윤일섭의 정식 팀·승진을 모두 얻는다",5,7,8,0.28,0.18,0.31,0.08,0.15,연구소 독립성과 20명 채용권을 확보한 뒤 후쿠다를 직접 만난다. 조직의 빈칸을 채울 첫 인재 앞에서 조건표가 사람의 선택 문제로 바뀐다.
33,33화,DCA-N03,N03·이노폰과 박진훈 축출,"칠판에서 조선·중공업·전자까지 X표를 치고 태우자동차 중심 재편·현금 축적·태우전자 성과 후 조기 지분상속 계획을 밝힌 뒤 연구원 20명과 새 인력 20명을 특허팀에 둔다; 후쿠다가 미치광이 계획에 동참해 희망적인 미래산업 보고서를 쓰고, 김민재가 특허변호사·외국인·디자이너 영입 명단을 제시한다; S급 예측가 후쿠다와 첫 구체 생존 청사진, 40명 규모 특허 전담조직의 인력·권한을 확보한다",6,6,6,0.32,0.22,0.22,0.06,0.18,30개 계열사 매각·자동차 중심 재편을 밝히고 40명 특허팀을 꾸려 전략 정보와 조직 구축에 체류한다.
34,34화,DCA-N03,N03·이노폰과 박진훈 축출,"윌머헤일의 IP변호사 박준일 등 해외 태우장학생을 귀국시키고 애플 디자이너 조나단에게 메시지패드 중간단계인 폴더·슬라이드·스마트폰 스케치를 보여 1년 합류를 약속받는다; 김민재가 SAVE 실소유와 애플 지분 20퍼센트를 공개하고 조나단의 미니멀리즘을 정확히 짚어 실패한 디자이너가 아닌 성공자로 돌려보내겠다고 설득한다; 세계급 특허변호사·조나단, 50명 가까운 국제 특허팀과 출원당 500만~3천만 원·수익 5~30퍼센트 제도를 얻는다",6,7,7,0.24,0.20,0.39,0.08,0.09,박준일·장학생·조나단을 50명 특허팀에 묶고 폰 디자인 경쟁을 시작한다. 연구소의 빈자리가 이름 있는 사람과 팀으로 채워지며 기술개발이 실제 조직의 속도를 얻는다.
35,35화,DCA-N03,N03·이노폰과 박진훈 축출,"박준일이 윌머헤일의 링켄에게 연 200~1천 건 특허를 30퍼센트 수수료로 맡기고 조나단 디자인을 채택하며 소프트웨어는 해외, 배터리는 노벨급 연구진 성과로 해결한다; 박준일의 첫 접이식 메커니즘 명세서가 하루 만에 나오고 링켄이 대량 일감을 위해 미국 출원을 밀어주며 조나단 디자인이 감성·실현성 논쟁을 연다; 주당 2~3건 이상 미국·한국 특허 출원 통로와 조나단의 완성도 높은 폴더 디자인, 연구소 전원의 특허 습관을 얻는다",5,6,8,0.37,0.19,0.18,0.05,0.21,대량 특허와 조나단 디자인을 확보한 뒤 소프트웨어·배터리 외부조달을 결정해 기술 정보와 자산 선택이 앞선다.
36,36화,DCA-N03,N03·이노폰과 박진훈 축출,"제프리의 아마존 지분 49퍼센트와 지원을 재확인하고 구디너프에게 5억 달러 연구 성과·5퍼센트 지분을 주며 TDK 상용화를 계획한 뒤 데이비드가 잡은 채식식당 미팅에 나간다; 한정훈이 현금 120억 달러·애플·포드 지분 인수를 완료하고 구디너프가 3년 연구 끝 소형 2차전지 성과를 가져온다; 아마존 49퍼센트 지분 보호, 배터리 시제품·특허 지분, 스티브 잡스와 직접 협상 자리를 얻는다",6,7,9,0.27,0.17,0.35,0.08,0.13,아마존 지분을 점검하고 구디너프 성과를 받은 뒤 잡스 복귀를 제안해 인재 관계와 기술 정보에 머문다.
37,37화,DCA-N03,N03·이노폰과 박진훈 축출,"5천만 달러를 주고 폴더폰 소프트웨어 지분 80퍼센트를 확보하며 잡스에게 전권을 준 뒤 월가 일본 공격 분배회의에서 트래블러스 2인자 다이먼에게 독립하면 10년 내 더 큰 금융사를 만들어 주겠다고 한다; 잡스가 NEXT 대표로 손을 잡고 다음에는 애플 대표로 만나자며, 김민재는 월가가 일본을 더 빨리 무너뜨릴 공동공격 구조도 만든다; NEXT OS 80퍼센트와 잡스의 이름·총괄 역량, 다이먼 마음속 후계 배신 의심, 월가 일본 보호막을 얻는다",7,8,8,0.23,0.24,0.29,0.06,0.18,잡스와 NEXT OS 80퍼센트 계약을 체결하고 다이먼·일본 공격 씨앗을 심어 계약 관계와 다음 확장이 강하다.
