sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_id,confidence
"161","161화","","40681","40904","complete","70억 달러가 한국 IMF와 사하라를 동시에 움직이는 계약으로 묶인다","원금 보호와 성과보수를 모두 확보한다","2년간 한국 투자·30% 성과보수·블랙홀 보증안을 제시한다","재무장관 아들은 부친의 독재와 자금 통제를 두려워한다","백범이 아들의 민주화 자금까지 별도로 보장하며 거래를 성사시킨다","70억 달러 운용권과 한국 투입 자본","재산|권력","개인 투자자가 한 국가의 국부기금을 움직이는 운용자로 올라선다","20년 독소조항과 쿠데타 위험이 남는다","국부기금 협상","장기 계약과 정권 위험","M02","high"
"162","162화","","40905","41165","complete","독소조항이 탐욕을 묶고 미국 인수전의 실탄이 된다","나우루 계약의 이탈을 막고 미국으로 이동한다","20년 이전 해지 시 손실을 지는 조항을 삽입하고 아들에게 500만 달러를 댄다","정권 교체와 부자 간 배신 가능성이 계약 전체를 위협한다","백범이 쿠데타 가능성까지 알고도 계약서를 국가·의회 승인 구조로 잠근다","장기 자금 안정성과 민주화 보험","재산|관계","나우루와 백범이 위험한 공생 관계로 고정된다","80억 달러 현금으로 아마존과 WTC를 노린다","나우루 계약 체결","미국 대형 인수전","M02","high"
"163","163화","","41166","41361","complete","미래 참사를 아는 자가 WTC와 아마존을 값싼 자산으로 산다","미국에서 대형 실물·인터넷 자산을 선점한다","WTC를 15억 달러에 사고 완전파괴 보험을 준비하며 아마존 협상에 들어간다","박태웅은 보험 의도와 지나친 위험 집중을 이해하지 못한다","백범이 박태웅에게 BlackHole.com CEO와 지분 보상을 제안한다","WTC 소유권과 충성도 높은 전문경영인","재산|관계","자산은 늘고 박태웅은 직원에서 세계기업 동업자로 승격된다","아마존의 부채와 배신 임원이 거래 변수가 된다","미국 실탄 확보","아마존 인수와 WTC 보험","M02","high"
"164","164화","","41362","41579","complete","실패한 창업자의 꿈을 살리고 배신자의 지분을 지운다","아마존을 흡수하되 제프의 실행력을 보존한다","감자와 부채 정리 후 BlackHole.com 10%·20년 CEO 자리를 제안한다","아마존 임원들은 회사를 버리고 자기 지분만 챙기려 한다","제프가 백범의 1000개 창고·새벽배송 구상을 듣고 보스로 인정한다","제프의 합류와 배신 임원 축출","관계|재산","적자기업이 블랙홀의 물류 핵심으로 전환된다","대규모 창고망 구축과 한국 자산 사냥이 열린다","아마존 인수 협상","물류혁명 실행","M02","high"
"165","165화","","41580","41842","complete","인터넷 서점이 천 개 창고를 가진 생활 플랫폼으로 재설계된다","아마존을 세계 유통망으로 키운다","새벽배송·통합 물류·한국 IMF 매물 매입을 동시에 지시한다","막대한 창고 자본과 실물 유통 경험 부족이 비용으로 남는다","제프가 백범을 보스라 부르고 박태웅은 사하라 지시 규모에 경악한다","충성하는 CEO와 확장 가능한 플랫폼 청사진","능력|관계","백범의 미래지식이 주식 투자를 넘어 산업 설계 능력으로 인정된다","WTC 보험과 사하라 실무가 충돌한다","아마존 생존","천 개 창고·사하라 발주","M02","high"
"166","166화","","41843","42073","complete","비합리적으로 보이는 WTC 보험이 미래의 초대형 보상으로 설계된다","건물 손실 위험을 수익 구조로 바꾼다","연 1억 달러 보험료로 완전파괴 시 50억 달러 이상 보상 조건을 요구한다","박태웅은 과도한 보험료와 보험사 의심을 걱정하고 CIA도 움직인다","백범이 테러 가능성을 직접 말하지 않은 채 조건을 끝까지 고집한다","재난에도 흔들리지 않는 자산 방어선","재산|위험","WTC가 부동산에서 미래 사건에 건 베팅으로 변한다","CIA가 백범의 비정상적 거래를 주시한다","WTC 매입","보험 계약과 정보기관 감시","M02","high"
"167","167화","","42074","42327","complete","기존 거물의 조롱 속에서도 WTC와 배송 비전을 손에 넣는다","터너에게서 WTC 거래를 종결한다","15억 달러를 지급하고 온라인 배송 혁명을 설명한다","터너는 어린 아시아 졸부의 과장을 비웃는다","터너가 결국 계약하고 라스베이거스 동행에서 박태웅을 형이라 부르라 한다","상징 자산 취득과 사적 친밀감","재산|관계","세계 거물과 거래하는 위치가 일상화되고 박태웅과의 거리도 좁아진다","라스베이거스 우연이 새 자본을 만든다","WTC 소유권","카지노 우연과 투자","M02","high"
"168","168화","","42328","42596","complete","카지노에서 진 망나니가 우연한 동전 하나로 거액을 되찾는다","손실을 제한하고 행운을 자산으로 전환한다","주운 동전으로 잭팟을 터뜨리고 일시불을 선택한다","초반 1만 달러 손실과 카지노 중독 위험이 있다","7984만 달러 잭팟이 터져 실수령 4500만 달러가 생긴다","박태웅에게 1000만 달러를 주고 나머지를 애플에 투자","재산|관계","우연한 행운도 측근 보상과 장기 투자로 전환된다","IMF 협상 체결과 귀국길 참사가 기다린다","카지노 손실","애플 투자와 IMF 후폭풍","M02","high"
"169","169화","","42597","42879","complete","거액 계약 뒤 목격한 투신이 구제투자의 윤리적 기준을 세운다","IMF 이후 한국에서 사람과 기업을 살린다","AIG 보험·작가와 영화 판권 지시 후 귀국해 마포대교 현장을 목격한다","IMF 250억 달러 합의 뒤 실업자가 가족 앞에서 투신한다","백범이 성공의 흥분 대신 죄책감과 구제 의무를 체감한다","자본 사용 목적의 갱신과 인간적 충격","감정|평판","돈을 버는 망나니에서 위기 속 사람을 살릴 투자자로 목표가 바뀐다","은행·토지·병원 구조조정 전쟁이 시작된다","미국 인수전","한국 구조조정과 자살의 빚","M02","high"
"170","170화","","42880","43162","complete","부실 금융사와 급매물을 사람을 자르지 않고 흡수한다","IMF 매물을 생존 가능한 그룹으로 묶는다","백제증권·5개 종금사 인수와 황 사장의 인간적 토지 매입을 지시한다","부채·예금자 불안·싼값 약탈이라는 비난이 동시에 따른다","반대하던 곽을 등용하고 병원·보험까지 연결한 구조조정 지도를 편다","핵심 금융·토지·의료 인재와 매물 목록","재산|관계","단기 사냥꾼이 아니라 고용·급매 사정을 듣는 구조조정자로 자리 잡는다","론스타가 한국 은행을 노린다","마포대교 충격의 행동화","외국 투기자본 경쟁","M03","high"
"171","171화","","43163","43383","complete","급매입과 의료 진출이 약탈이 아니라 회복 장치로 구체화된다","토지·병원·보험의 장기 기반을 확보한다","황에게 긴급 매물만 20~30% 할인해 사되 몰아붙이지 말라 하고 연서병원을 확장한다","IMF 개방으로 영리병원·특허 규칙이 바뀌고 론스타가 침투한다","백범이 매도인의 사정을 듣는 조건을 붙여 내부 직원들을 안도시킨다","강남 토지와 예방의료 사업 기반","평판|재산","졸부의 부동산 매집이 최소한의 윤리를 가진 구제로 갱신된다","뉴욕 자본과 론스타의 은행 공략이 드러난다","구조조정 기준","론스타와 은행 경쟁","M03","high"
"172","172화","","43384","43606","complete","정부의 매각 요청을 이용해 외국자본과 맞설 국적 방패를 만든다","한국 기업을 인수할 공공자금과 법적 자유를 얻는다","정부에 부실기업 인수 대가로 공적자금 지원과 검은 머리 외국인 지위를 요구한다","정부는 특혜 비난과 국부 유출 사이에서 망설인다","론스타가 극동은행을 노리는 구조를 백범이 먼저 읽는다","대규모 인수 여력과 미국 국적 전략","권력|재산","국내 재벌에서 국경을 넘나드는 백기사로 지위가 확장된다","하버드 출산과 시민권 계획이 실행된다","정부 매물 인수 요청","미국 시민권 방패","M03","high"
"173","173화","","43607","43873","complete","원정출산·시민권이라는 매국 프레임을 국가 방패로 역전한다","미국 법인과 자녀 시민권으로 한국 자산을 지킨다","은혜의 하버드 연수와 출산 계획을 공개하고 대통령에게 전략을 설명한다","대통령은 국적 이탈과 정치적 반발에 분노한다","백범이 론스타와 같은 외국인 지위를 한국 자본 보호에 쓰겠다고 설득한다","대통령의 이해와 문재한이라는 장기 정치 동맹","권력|가족","가족의 미국행이 도피가 아니라 국가·가산 방어 구조로 재정의된다","금 모으기와 교포자본 동원이 열린다","검은 머리 외국인 요구","금 모으기 전략","M03","high"
"174","174화","","43874","44149","complete","국민의 금과 교포자본이 국가 신용 회복의 실탄이 된다","금 모으기를 시장 원리로 지속시킨다","기부 대신 금펀드·정상가 매입과 교포자본 유입을 제안한다","국민 희생을 다시 이용한다는 반감과 정치 홍보 경쟁이 있다","여당 후보가 백범 집에서 떡볶이를 먹으며 서민 이미지를 연출한다","금·외화 조달망과 후보의 공개 구애","평판|권력","백범의 집과 가족이 대선 무대가 되며 정치적 영향력이 커진다","후보의 통치관이 은혜 앞에서 드러난다","금 모으기 구상","대선후보 검증","M03","high"
"175","175화","","44150","44370","complete","권력자의 한마디가 섬김과 지배의 차이를 드러낸다","지원할 후보의 인간관을 검증한다","김 후보에게 JP를 제안하고 여당 후보의 대화를 관찰한다","여당 후보는 국민을 잘 다스리겠다고 말하고 은혜는 즉시 불편해한다","후보가 백범을 이미 자기 편으로 여긴 채 JP를 차기 권력으로 거래한다","지원 결정을 바꿀 분명한 가치 기준","관계|평판","은혜의 목격 반응이 백범의 정치 판단을 확신시킨다","백범이 여당 후보를 정면으로 거절한다","후보 접촉","지배관 거부와 보복","M03","high"
"176","176화","","44371","44579","complete","재벌의 직언이 유력 후보의 오만을 공개적으로 꺾는다","국민을 지배한다는 후보를 배제한다","주권자는 국민이며 대통령은 섬겨야 한다고 반박한다","후보는 모욕을 느끼고 향후 보복을 결심한다","은혜가 남편의 기준을 존중하고 백범은 김 후보 쪽으로 돌아선다","부부 간 정치적 신뢰와 도덕적 일관성","관계|평판","권력 편승 대신 공개적인 적을 만드는 선택으로 평판이 갱신된다","여당 후보가 JP와 다음 대통령 거래를 한다","여당 후보 검증","정치 보복과 후보 교체","M03","high"
"177","177화","","44580","44857","complete","미국 시민권 선언과 후보 지지가 대선판을 뒤집는다","김 후보를 당선시키고 정치 개입의 책임을 줄인다","정치 불출마·미국 시민권 계획을 밝힌 뒤 김 후보를 공개 지지한다","여당과 국수 여론은 매국·특혜 프레임으로 보복한다","JP가 김 쪽으로 이동하고 백범의 한마디가 중도표를 흔든다","김 후보 연합과 백제증권 인수","권력|평판","정치인이 아닌 경제인이 선거 승패를 바꾸는 킹메이커가 된다","부실 종금사 예금자 불안이 폭발한다","대선 지지 선택","금융사 합병과 예금자 신뢰","M03","high"
"178","178화","","44858","45081","complete","성난 예금자들이 숫자 하나로 구조조정자를 구원자로 다시 본다","합병 금융사의 뱅크런을 막는다","5개 종금사를 부채·대출까지 승계해 흡수하고 2조 원 지급능력을 공개한다","예금자들은 외국계 사기와 예금 동결을 의심해 지점에 몰린다","남루한 투자자가 2조 실탄을 알아보고 박수치자 군중이 신뢰로 돌아선다","뱅크런 진정과 태양금융의 대중 신뢰","평판|재산","숫자와 공개 약속이 졸부 프레임을 안전판 평판으로 바꾼다","은혜의 미국행과 대선 결과가 다가온다","종금사 흡수","가족 이별과 정권 교체","M03","high"
"179","179화","","45082","45399","complete","대선 승리와 부부의 신뢰가 동시에 지급되지만 새 권력의 언어가 반복된다","은혜를 미국에 보내고 김 당선을 확정한다","하버드 연수 필요를 설명하고 금·론스타 전략을 이신과 정리한다","은혜는 버려진다는 두려움이 있고 김 후보 역시 국민을 다스린다는 말을 쓴다","은혜가 당신이 내 대한민국이라며 떠나고 김 후보가 근소하게 승리한다","김 정권 출범과 부부 결속 및 이신의 3조 금","가족|권력","정치 승리 뒤에도 권력자에 대한 환상이 꺾이고 미국행 가족 비용이 남는다","새 정부와 미국 이동 속에서 직접 국가를 설계해야 한다","대선 승리","미국 이주와 새 정부 협상","M03","high"
"180","180화","","45400","45632","complete","정치 환멸을 산업 기술과 미국 진출로 전환한다","환율 위기에서 미래제품 기반을 구축한다","미국 이동을 결심하고 태양전자에 음성밥솥·로봇청소기·스마트폰·반도체를 지시한다","환율 3000원과 부품·기술 부족 및 직원들의 불신이 크다","백범의 구체 사양이 막연한 미래 기술을 개발 과제로 바꾼다","전자산업 선점과 제품 로드맵","능력|재산","킹메이커 역할에서 세계 제조업 설계자로 초점이 이동한다","화장품·영화·스마트폰 사업이 동시에 열린다","김 당선 후 환멸","미래제품 개발","M04","high"
"181","181화","","45633","45878","complete","생활제품과 여성 소비를 미래 기억으로 선점한다","전자·화장품·미디어를 수출 산업으로 키운다","스마트폰 세부기능과 BB크림·마스크팩·홈쇼핑·영화 투자를 묶는다","각 부문 직원은 시대를 앞선 요구와 막대한 연구비에 부담을 느낀다","김 정부가 문재한을 유임하고 햇볕정책을 추진해 북한 사업 문도 열린다","다산업 포트폴리오와 정책 접점","재산|능력","망나니 소비 취향이 시장을 읽는 제품 감각으로 역전된다","영화 흥행과 전화기 개발의 실행 부담이 남는다","산업 로드맵 설정","제품·대북정책 실행","M04","high"
"182","182화","","45879","46137","complete","불가능해 보인 스마트폰 명령과 영화 투자가 실제 제작 라인으로 내려간다","미디어 흥행과 모바일 선점을 동시에 만든다","타이타닉 배급·약속 제작을 지원하고 반쪽 크기 휴대전화 개발을 밀어붙인다","직원들은 배터리·화면·통신을 한 기기에 넣는 요구에 압도된다","백범이 실패를 허용한 장기 연구비로 반발을 실행 의지로 바꾼다","영화 흥행 기대와 핵심 연구팀 결집","능력|관계","억지 명령형 재벌에서 실패 비용을 부담하는 후원자로 갱신된다","나눔종묘의 보상 규칙으로 확장된다","영화 투자 결정","스마트폰 연구와 종자개발","M04","high"
"183","183화","","46138","46356","complete","연구원의 성과가 재벌 소유가 아니라 개인 보상으로 돌아간다","신품종과 장기 R&D 문화를 만든다","나눔종묘에 업무 70%·개인연구 30%와 향후 로열티 10% 팀 배분을 선언한다","연구원들은 회사가 아이디어를 빼앗을 것이라 예상해 경계한다","파격 보상 조건에 연구소 전체가 입을 다물지 못한다","충성도 높은 연구진과 딸기 국산화 동력","관계|능력","망나니식 독점 대신 발명자를 부자로 만드는 고용주 평판이 생긴다","슈퍼작물·접목나무·정원도시 구상으로 이어진다","R&D 보상 불신","종자 독립과 슈퍼작물","M04","high"
"184","184화","","46357","46548","complete","종자·병원·보험이 생존 기간과 식량을 늘리는 한 체계로 묶인다","식량과 예방의료의 장기 기반을 만든다","슈퍼작물·접목나무·식물원 도시와 예방검진 중심 병원·생명보험을 설계한다","상업화 전 연구기간과 영리병원 비판이 비용으로 남는다","백범이 보험사가 병을 예방해야 수익이 난다는 역방향 논리를 제시한다","농업·의료·보험의 선순환 사업모델","능력|평판","수익 추구가 생명 연장·식량 자립과 동시에 작동하도록 갱신된다","론스타의 영리병원 로비가 접근한다","종자 보상 체계","예방의료와 외국자본 경쟁","M04","high"
"185","185화","","46549","46778","complete","남북 화해가 이벤트가 아니라 군사·산업 배치 협상으로 구체화된다","북한 사업과 정상회담의 안전장치를 만든다","김 대통령에게 금강산·개성·신의주 구상과 군단 후방배치를 제안한다","북한의 핵·군사 위협과 미국·CIA의 경계가 커진다","CIA가 전직 망나니의 급변을 비정상 인물로 기록한다","대북 정책 결정권자와 직접 협의하는 위상","권력|평판","기업인이 동북아 안보 설계자로 확장되며 감시 비용도 생긴다","북한 군단 이동 조건을 직접 제시한다","햇볕정책 접점","군사 후퇴와 경제특구","M04","high"
"186","186화","","46779","46974","complete","쌀과 공단을 주되 북한군을 뒤로 물리는 거래를 제안한다","대북지원이 서울 안전으로 돌아오게 만든다","1천 마리 소와 지원 대가로 전방 군단 후퇴를 정상회담 의제로 올린다","대통령과 참모들은 민간인이 군 배치를 조건으로 거는 데 경악한다","경제협력과 안보를 분리하지 않는 협상 논리가 대통령을 설득한다","대북지원의 명확한 안전 보상","권력|안전","퍼주기 이미지가 상호 대가를 받는 거래로 갱신된다","신의주 다국적 특구와 통일비용 논쟁이 열린다","북한 군 후퇴 제안","다국적 특구와 통일 설계","M04","high"
"187","187화","","46975","47155","complete","감상적 통일 대신 10조 달러 비용과 다국적 특구를 계산한다","장기 통일 준비를 사업 구조로 바꾼다","신의주에 여러 국가를 묶고 공존을 먼저 만들자고 대통령에게 제안한다","정권은 임기 내 상징적 성과를 원하고 여당 후보는 백범을 원망한다","백범이 성급한 흡수통일이 국가를 파산시킬 수 있다고 수치로 제동을 건다","현실적 통일 로드맵과 대통령의 신뢰","권력|능력","민족주의가 비용 계산을 가진 국가전략으로 성숙한다","JD7과 금 시세 폭락을 이용한 실탄 확보가 이어진다","통일 감상론","7광구·금 투자","M04","high"
"188","188화","","47156","47374","complete","해양영토와 금값 폭락을 동시에 선점해 국가 자산을 늘린다","7광구와 금 변동에서 실물·금융 우위를 얻는다","JD7 외교 채널을 준비하고 금 하락에 5억 달러를 건다","국제법·일본 반발과 금 투자에 얽힌 VAT 사기가 위험하다","미래 특사 후보와 금 밀수 구조가 한 줄로 연결된다","대규모 옵션 수익 기회와 해양영토 선점","재산|권력","금 모으기 공익과 시장 베팅이 한 자본 전략으로 결합된다","김우준식 VAT 사기를 막아야 한다","7광구 구상","금 사기와 수익 회수","M04","high"
"189","189화","","47375","47600","complete","국민 금 모으기가 재벌의 VAT 사기 대신 정가 매입으로 정화된다","금 시장의 신뢰를 지키고 외환을 확보한다","KBC를 통해 기부 금을 시가로 사고 수출환급 사기 경로를 차단한다","수출기업·은행은 손실과 빠른 현금화 때문에 편법을 유혹받는다","태양이 금을 빼앗지 않고 돈을 주자 시민과 수출입은행이 놀란다","국민 신뢰와 깨끗한 금 물량","평판|재산","졸부의 금 매집이 애국심 약탈이 아니라 공정 거래로 역전된다","민족자본이라는 명분으로 외환은행을 노린다","VAT 사기 차단","외환은행·금 풋옵션","M04","high"
"190","190화","","47601","47823","complete","금 모으기의 도덕 보상이 125억 달러 금융 보상으로 전환된다","금 폭락 수익으로 은행과 산업을 지킨다","금 풋옵션을 행사하고 외환은행 방어 및 론스타 견제를 준비한다","검찰·국세청은 시세조작과 탈세 혐의로 경고한다","이신이 손해처럼 보인 정가 매입이 대통령·은행·수익을 모두 잡았음을 인정한다","125억 달러와 민족자본 평판","재산|평판","공익과 초대형 이익이 모순 없이 누적되며 미국 수사가 열린다","FBI 체포영장이 발부된다","금 시장 신뢰","FBI·미국정치 방어","M04","high"
"191","191화","","47824","48049","complete","미국 정치후원과 기업가치가 FBI 체포 위기를 막는 방패가 된다","금 시세조작 혐의를 벗고 자본을 지킨다","양당에 총 5억 달러를 후원하고 클린턴 측에 공개시장 거래임을 소명한다","FBI는 125억 달러 수익을 내부정보·조작으로 보고 체포영장을 추진한다","블랙홀닷컴 IPO와 정치 후원 때문에 백악관이 무리한 체포를 제지한다","250억 달러 현금과 미국 정치 접근권","권력|재산","외국인 졸부가 미국 수사기관과 맞서는 초국적 자본가가 된다","한국은행 금 대여로 국가 신용을 끌어올린다","금 풋옵션 수익","FBI 조사와 국가 신용","M05","high"
"192","192화","","48050","48262","complete","금 1000톤을 국가에 빌려준 투자가가 신용등급과 환율을 움직인다","한국 경제의 외환·은행 안전판을 만든다","환매한 금을 한국은행에 대여하고 10개 은행을 10억 달러로 구제한다","사적 자본이 중앙은행을 좌우한다는 의심과 막대한 회수 위험이 있다","신용등급이 세 단계 오르고 환율이 2000원대로 내려간다","국가 신용 회복과 은행 재상장 수익","평판|재산","백범의 개인 자산이 국가 지급능력의 일부로 인정된다","FBI가 직접 소환해 거래를 추궁한다","한국은행 금 대여","FBI 심문","M05","high"
"193","193화","","48263","48440","complete","미래지식으로 번 돈을 공개자료와 시장 선택으로 방어한다","FBI 심문에서 시세조작 혐의를 벗는다","공개된 과잉 금 공급·닷컴 버블 전망을 근거로 거래했다고 진술한다","수사관은 우연으로 보기 어려운 정확한 매매시점을 파고든다","불법 접촉 증거가 없어 FBI가 백범을 풀어준다","미국 내 행동 자유와 투자 천재 평판","평판|안전","체포 대상이 합법적 예측가로 전환되지만 감시는 계속된다","모바일 증권과 세계 토지개발로 확장한다","FBI 체포 위기","키움·사하라 개발","M05","high"
"194","194화","","48441","48637","complete","스마트폰과 증권을 묶어 개인투자자의 시장 진입 비용을 낮춘다","키움증권을 저수수료 온라인·모바일 플랫폼으로 만든다","휴대전화 거래와 낮은 수수료를 결합하고 월드랜드로 사하라 토지를 모은다","기존 증권사의 반발과 모바일 인프라 미완성이 저항이다","백범이 단순 증권사가 아니라 미래 단말 유통 채널로 설계한다","개인투자자 기반과 토지 매입 조직","능력|재산","금융·통신·부동산 사업이 하나의 생태계로 연결된다","미국에서 은혜가 인종차별 판사와 충돌한다","FBI 조사 종결","가족 보호와 사법 대결","M05","high"
"195","195화","","48638","48891","complete","거대 자본가의 아내를 약자로 본 판사가 역으로 법정에 선다","임신한 은혜의 존엄과 안전을 지킨다","세탁소 바지 소송을 벌이는 판사의 모욕·신체접촉을 경호원이 촬영하게 한다","판사는 아시아계 임신부를 무시하고 천만 달러 소송 권력을 휘두른다","증거사진이 쌓이며 피해자와 가해자의 위치가 뒤집힌다","은혜를 보호할 법적·물적 우위","가족|평판","부재한 남편의 자본이 가족에게 실질적 방패로 작동한다","백범이 판사에게 1억 달러 소송을 건다","은혜의 미국 정착","판사 축출과 나우루 쿠데타","M05","high"
"196","196화","","48892","49112","complete","판사의 천만 달러 갑질이 1억 달러 역소송과 직위 박탈로 돌아온다","은혜 사건을 공개적으로 종결한다","상대에게 소 취하와 공개사과를 요구하고 손해배상·징계 절차를 밟는다","판사의 직위·인맥과 인종차별 여론전이 부담이다","사진·증언 앞에서 판사가 소송을 거두고 자기 자리를 잃을 처지가 된다","아내의 명예 회복과 가족 보호 평판","가족|평판","망나니식 보복이 약자를 괴롭힌 권력자 응징으로 독자 보상을 지급한다","한국의 국동 인수와 나우루 쿠데타가 동시에 다가온다","인종차별 사건","국동 입찰·나우루 정변","M05","high"
