sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
256,"경고 좌절·방패",6,7,8,0.31,0.18,0.20,0.12,0.19,"부시의 불신을 사전 면책으로 남기고 KIKO 판매를 막아 정보판단과 금융 방패에 머문다.","L45570-L45726"
257,"KIKO 역설계",7,7,8,0.23,0.27,0.27,0.10,0.13,"중소기업 동의서와 월 3% 조건으로 정태섭을 몰아붙여 협상 행동·권력관계가 중심이다.","L45727-L45913"
258,"정치 방어 배치",6,7,8,0.31,0.17,0.19,0.11,0.22,"15조 청구권·대선 중립·오바마 축을 설계해 정보와 장기 금융지위에 비중이 실린다.","L45914-L46075"
259,"AI 공개 위기",8,6,9,0.19,0.36,0.17,0.18,0.10,"스타크 AI가 프로의 덫에 걸려 승률 20%로 내려가 대결 행동과 역전 불안이 크게 솟는다.","L46076-L46253"
260,"위기 재배치",6,7,8,0.34,0.17,0.16,0.08,0.25,"모럴해저드 자료로 리먼을 특정하고 46조 펀드를 옮겨 정보·금융자산 판단이 지배한다.","L46254-L46423"
261,"붕괴 문턱",8,8,9,0.24,0.28,0.24,0.13,0.11,"HSBC·뉴센추리 신호와 김태중의 그룹 위임 뒤 곧장 워싱턴행이라 긴장·행동·관계가 함께 높다.","L46424-L46598"
262,"국가금융전 도입",8,7,8,0.31,0.28,0.20,0.10,0.11,"연준의 책임을 박고 작은 회사 대신 보험사를 요구하는 논증과 협상 공세가 중심이다.","L46599-L46766"
263,"애플카 씨앗",4,8,8,0.25,0.19,0.29,0.08,0.19,"스티브와 사옥·UI·디자인·구독을 교환해 브랜드 관계와 장기 계약 보상이 크다.","L46767-L46931"
264,"시간점프 압박",7,8,9,0.32,0.22,0.20,0.12,0.14,"무인공장 구상과 조부의 약속 뒤 1년을 건너 리먼 파산설이 현실화되어 정보 압박이 급상승한다.","L46932-L47106"
265,"수확 전야",7,8,9,0.24,0.25,0.26,0.13,0.12,"다이먼의 과거 굴욕과 AIZ 보험 노출이 정부의 구조 요청으로 역전되어 관계 긴장이 높다.","L47107-L47279"
266,"AIZ 협상 봉우리",9,7,9,0.26,0.34,0.22,0.09,0.09,"연준 모욕에 실제 퇴장하고 주당 4달러를 고수해 협상 행동과 압박이 최고조에 가깝다.","L47280-L47441"
267,"금융 복수 지급",9,10,9,0.18,0.33,0.20,0.12,0.17,"AIZ 70%와 CITI 왕좌를 관철해 다이먼의 복수·지분·정부지원이 한꺼번에 폭발한다.","L47442-L47596"
268,"조직 결산",6,9,7,0.19,0.22,0.30,0.15,0.14,"다이먼 치료·충성과 박만덕 승진, SAVE 정체 공개가 사람과 조직의 지위를 재편한다.","L47597-L47759"
269,"귀환·가족 승인",5,9,8,0.19,0.18,0.33,0.17,0.13,"공항 환대 뒤 김태중이 자동차 인수를 허락해 조손 승인과 국민적 지위 보상이 중심이다.","L47760-L47922"
270,"국내 거래 도입",6,7,8,0.30,0.24,0.23,0.08,0.15,"리먼 6000억 달러 위험과 25조 우량여신 교환을 놓고 국가은행과 새 협상을 연다.","L47923-L48088"
271,"회장 승계 압박",7,7,8,0.17,0.20,0.31,0.22,0.10,"김태중 은퇴와 전 사장단 추천을 거부하지 못해 가족·조직 관계와 책임 감정이 무겁다.","L48089-L48270"
272,"회장 지위 지급",6,10,7,0.16,0.23,0.31,0.16,0.14,"정식 회장 취임과 박만덕·한정훈 승진, 김태중의 자리 이양이 관계·지위 봉우리다.","L48271-L48457"
273,"라면 숨고르기",3,9,7,0.14,0.13,0.34,0.29,0.10,"회귀 전 배고픔의 라면을 강 대위·한정훈과 나눠 먹어 동료애와 치유 감정에 오래 머문다.","L48458-L48644"
274,"물류 확장",6,8,8,0.27,0.21,0.24,0.10,0.18,"DHL 도로망·오바마 면담·천민정 자율주행 실증을 묶어 정보와 동맹 관계가 확장된다.","L48645-L48809"
275,"국가 방패 봉우리",8,9,9,0.27,0.28,0.23,0.09,0.13,"대통령에게 제2 IMF를 경고해 리먼을 막고 금융허브 허가 거래까지 끌어내 협상 밀도가 높다.","L48810-L48978"
276,"금융망 재배치",5,8,8,0.33,0.18,0.22,0.08,0.19,"CITI·핀테크 이전과 비트코인 거래소·데이비드 배치를 설계해 조직정보와 자산 비중이 높다.","L48979-L49144"
277,"글로벌 입주 상승",6,9,8,0.25,0.25,0.31,0.09,0.10,"오바마의 신뢰와 금융사 12곳 서명을 이틀 만에 얻어 외교 관계 보상이 크게 오른다.","L49145-L49297"
278,"버핏 영입",5,9,8,0.27,0.18,0.31,0.10,0.14,"투자관을 맞춰 버핏의 한국 지점과 후속 인맥을 얻는 대화·관계 보상이 중심이다.","L49298-L49458"
279,"리먼 현실화",8,8,9,0.31,0.24,0.21,0.10,0.14,"정치 여론을 조율하는 사이 리먼 파산·환율·15조 KIKO가 동시에 현실화되어 정보 긴장이 높다.","L49459-L49610"
280,"허브 공개 지급",7,10,8,0.18,0.26,0.22,0.16,0.18,"퀀텀·CITI·버크셔가 무대에 서고 여론·허가가 뒤집혀 공개 행동과 환호 보상이 크다.","L49611-L49802"
281,"버핏 약속·KIKO 진입",5,9,8,0.16,0.18,0.34,0.17,0.15,"버핏의 50억 달러 약속과 지반공사 뒤 한정훈의 은행 회동으로 관계·지위가 이어진다.","L49803-L49976"
282,"은행 협상 압박",7,6,8,0.30,0.26,0.25,0.08,0.11,"5조 지급과 환율 전망을 놓고 정태섭·박대훈·노무라를 읽는 금융정보와 협상이 중심이다.","L49977-L50135"
283,"규제 역협박",8,8,7,0.22,0.31,0.27,0.10,0.10,"15조 청구권으로 코코아뱅크 규제 회동을 철회시켜 행동과 권력관계의 역전이 강하다.","L50136-L50295"
284,"정권 거래",7,8,8,0.32,0.24,0.22,0.08,0.14,"IIT 완공을 확인하고 사찰 시인·400억 달러 스와프·법제를 맞바꾸는 정책정보가 크다.","L50296-L50455"
285,"국가·문화 확장",5,8,8,0.28,0.20,0.23,0.09,0.20,"스와프 증액과 콘텐츠 흥행·오스카 로비를 병행해 정보·관계·지위가 고르게 쌓인다.","L50456-L50614"
286,"한국 방패 결산",5,9,8,0.27,0.21,0.24,0.08,0.20,"500억 달러 스와프·미래산업법·청년정치·AOS 베타가 제도와 지위 보상으로 묶인다.","L50615-L50766"
287,"미국 인수 재도입",5,7,8,0.31,0.18,0.19,0.10,0.22,"오바마 승리·빅3 구제·오스카 규정을 읽고 백선 지분을 노려 정보와 자산 구상이 앞선다.","L50767-L50931"
288,"OLED 거래",5,9,8,0.27,0.20,0.27,0.08,0.18,"오희건과 개발비·우선공급·한경 지분을 교환해 동맹 관계와 원천권리 보상이 크다.","L50932-L51085"
289,"위기 매대 확장",6,8,8,0.29,0.22,0.18,0.10,0.21,"코닥 특허·빅3 여론·게임 접속·해운 불황을 한꺼번에 읽어 정보와 자산 비중이 높다.","L51086-L51250"
290,"해운 장기씨앗",5,8,8,0.26,0.19,0.28,0.09,0.18,"추영희가 20년 무이자·부동산·선박 담보 조건을 받아들이고 계약서 작성을 약속받아 관계·물류자산의 씨앗이 생긴다.","L51251-L51425"
291,"GM 본협상 도입",7,6,8,0.29,0.28,0.25,0.10,0.08,"오바마 취임 직후 전 부처 앞에서 빅3 인수 요청과 체질개선을 맞붙여 협상 압력이 높다.","L51426-L51615"
292,"여론 대기",5,6,7,0.28,0.21,0.22,0.09,0.20,"공유 모빌리티를 설계하고 반한 기사를 방치하며 백악관 논쟁을 기다려 정보·판짜기가 중심이다.","L51616-L51785"
293,"파산 압박",9,8,9,0.22,0.34,0.24,0.09,0.11,"채권·언론으로 GM 파산 확률을 올리고 UAW 양보를 받아 선파산 후인수를 관철한다.","L51786-L51967"
294,"경영권 지급",8,9,9,0.20,0.31,0.25,0.10,0.14,"생방송 연합 발표와 버핏 참여로 찬성 70%·실질 경영권을 얻어 행동·관계 보상이 크다.","L51968-L52141"
295,"산업축 교대",7,9,9,0.25,0.23,0.22,0.16,0.14,"GM 승리가 전생 굴욕을 씻는 동시에 독감 검색 폭증이 새 생존 압박을 연다.","L52142-L52302"
296,"바이오 동맹",5,9,8,0.23,0.18,0.34,0.14,0.11,"김정우에게 AI 연구비전을 주고 센트리언과 연결해 인재 관계·감염병 권리가 지급된다.","L52303-L52474"
297,"로켓 씨앗",4,7,7,0.24,0.20,0.28,0.09,0.19,"베이조스에게 한국 자동화·전기배송을 제안해 유통 동맹과 투자자산을 여는 연결 회차다.","L52475-L52622"
298,"조손 감정 지급",4,9,7,0.18,0.16,0.34,0.22,0.10,"김태중과 GM 인수를 기뻐하며 전생의 상처를 씻어 가족 관계와 감정 보상이 두드러진다.","L52623-L52803"
299,"문화·기술 지급",5,8,8,0.22,0.22,0.22,0.13,0.21,"급속충전 계획·청문회 수용·봉 감독 수상이 기술과 문화 지위를 균형 있게 올린다.","L52804-L52960"
300,"문화 확장",4,7,7,0.27,0.22,0.19,0.08,0.24,"아이맥스 지원과 200억 원 e스포츠 상금을 설계해 사업정보와 물질 규모에 머문다.","L52961-L53125"
301,"산업 결산·교대",6,9,9,0.22,0.28,0.22,0.12,0.16,"스페이스X 발사 성공과 타미플루 2교대 명령이 우주·바이오 보상과 팬데믹 훅을 함께 올린다.","L53126-L53287"
302,"청문회 도입",7,5,8,0.27,0.30,0.22,0.13,0.08,"오픈카로 출석해 패널자료와 정부 승인을 내미는 공개 공방이라 행동·정보 압박이 높다.","L53288-L53462"
303,"공개 역전",9,10,8,0.19,0.35,0.19,0.15,0.12,"사퇴 약속 뒤 실제 혼잡도 120% 초과가 생방송 프레임을 깨 행동·환호 보상이 폭발한다.","L53463-L53621"
304,"정치 화해·교환",5,9,8,0.21,0.22,0.30,0.12,0.15,"김 의원 사과와 타미플루 원가공급을 충전소·보조금으로 바꿔 관계 역전이 중심이다.","L53622-L53793"
305,"공장 협상 도입",6,6,8,0.25,0.24,0.27,0.08,0.16,"사천리 두 회장의 LNG 욕심을 읽어 제약공장 매각 의사를 끌어내는 정보·관계 협상이다.","L53794-L53959"
306,"생산력 지급",6,9,8,0.18,0.26,0.25,0.09,0.22,"LNG 지분 조건으로 공장을 넘겨받아 2천만 회분 생산력을 확보하므로 실물 보상이 높다.","L53960-L54117"
307,"정책 교환",5,8,8,0.25,0.22,0.20,0.08,0.25,"미국 약값을 보조금·도시 충전 허가와 바꾸고 AI 바이오 가능성을 찾아 정책·자산이 앞선다.","L54118-L54288"
308,"인재·지방망 결합",5,7,7,0.28,0.20,0.29,0.08,0.15,"암호학자·김장우·천민정과 최재석 지방권력을 묶어 인재 관계와 실험 정보에 머문다.","L54289-L54453"
309,"생활권 확장",4,8,7,0.19,0.28,0.27,0.08,0.18,"스타박스 충전기와 서울시장 공로 양보로 경기·서울망을 넓혀 행동·정치 관계가 중심이다.","L54454-L54614"
310,"사우디 투자 상승",5,7,8,0.20,0.21,0.34,0.08,0.17,"할 핀니 지원 뒤 산유국 왕족에게 전기차 공동투자를 청해 장기 동맹 관계가 크게 작동한다.","L54615-L54774"
311,"세 산업 결합",5,9,9,0.28,0.20,0.18,0.08,0.26,"아람코 충전망·타미플루-M·로켓 멤버십을 묶고 애플카 완성을 받아 정보·자산 지급이 크다.","L54775-L54938"
312,"로켓 시장 지급",4,9,7,0.20,0.22,0.21,0.10,0.27,"130만 가입자와 아노르 명품 입점으로 적자 유통이 플랫폼 지위를 얻어 물질 보상이 앞선다.","L54939-L55096"
313,"경쟁자 제압",7,8,7,0.19,0.35,0.24,0.10,0.12,"적자 규모를 흘리고 재벌 회장들에게 직접 경고해 견제자를 물리는 행동·권력관계가 강하다.","L55097-L55276"
314,"인프라 고정",5,8,7,0.21,0.26,0.25,0.08,0.20,"현재와 충전망을 공유하고 로켓 품목·인력을 늘려 협력 관계와 실행 자산을 굳힌다.","L55277-L55435"
315,"애플카 시연",7,9,9,0.14,0.41,0.18,0.16,0.11,"스턴트맨 앞에서 차량이 스스로 멈추는 현장 시연이 행동과 관중 감정을 압도한다.","L55436-L55615"
316,"제품 봉우리",6,10,8,0.18,0.34,0.18,0.12,0.18,"원격주차·검색어 1위·주가상승과 GM 공장 재가동이 제품 약속을 큰 행동 보상으로 닫는다.","L55616-L55812"
317,"세계시장 재도입",5,8,8,0.34,0.17,0.18,0.08,0.23,"각국 보조금·중국 공장·비트코인 미래를 점검해 시장정보와 금융자산 리본이 높다.","L55813-L55972"
318,"국가자금 교섭",5,7,8,0.25,0.18,0.34,0.09,0.14,"비트코인 결제와 빈 살만 국부펀드를 일부러 미온적으로 받아 관계 협상에 오래 머문다.","L55973-L56130"
319,"수요 실증",6,9,8,0.18,0.31,0.24,0.12,0.15,"머스크와 차종을 나눈 뒤 예약 서버가 터져 행동·소비자 반응·동맹 보상이 함께 오른다.","L56131-L56286"
320,"상장 지급",6,9,8,0.23,0.26,0.18,0.08,0.25,"테슬라 상장 급등이 배터리·반도체·GM 가치로 번져 행동과 물질 지위 보상이 크다.","L56287-L56457"
321,"공매도 전야",7,6,9,0.24,0.25,0.26,0.10,0.15,"공매도 정보를 받고 사우디 인물이 예상보다 빨리 도착해 정보·행동·관계 긴장이 맞물린다.","L56458-L56631"
322,"국부펀드 참전",8,8,9,0.17,0.35,0.25,0.10,0.13,"3년 뒤 현재가 매입보증으로 파이드를 끌어들여 사우디가 즉시 매물을 받는 행동전이다.","L56632-L56797"
323,"수요 방벽",7,8,8,0.17,0.32,0.19,0.14,0.18,"해킹을 막는 동안 세계 매장 대기줄이 형성되어 행동과 대중 기대가 공매도 논리를 압박한다.","L56798-L56981"
324,"매수세 확대",7,8,8,0.22,0.29,0.24,0.09,0.16,"국가별 판매를 확인하고 조지에게 매수·언론전을 맡겨 정보와 금융 행동이 함께 전진한다.","L56982-L57144"
325,"적 연합 균열",8,8,9,0.18,0.31,0.27,0.11,0.13,"사우디가 싼 주식으로 이탈 펀드를 회유해 공개 철회 약속을 받아 관계전 긴장이 높다.","L57145-L57322"
326,"공매도 결산",6,10,8,0.17,0.23,0.26,0.18,0.16,"항복 사진·고객 유입·테슬라 족쇄 해제가 환호를 주지만 카노스의 원한을 남긴다.","L57323-L57487"
327,"곳간 재도입",5,6,8,0.38,0.19,0.16,0.08,0.19,"일본 KIKO·남유럽 디폴트·정치자금을 회의에서 펼쳐 정보와 자금배치가 지배한다.","L57488-L57633"
328,"다국가 설계",5,6,7,0.34,0.20,0.22,0.08,0.16,"그리스·유로·국민경제당 홍보를 조지와 설계하는 회차라 전략정보와 협업 관계가 앞선다.","L57634-L57794"
329,"정책 신뢰",4,7,7,0.20,0.20,0.34,0.12,0.14,"적자 PC방 확장과 최재석의 국가발전 원칙 확인이 정치 동맹의 신뢰를 재확인한다.","L57795-L57962"
330,"판돈 확대",5,7,8,0.24,0.21,0.27,0.08,0.20,"펀드 고객을 늘리고 추영희·조영수와 해운 경영권 창을 열어 관계·자산이 쌓인다.","L57963-L58138"
331,"작전 실행",6,7,8,0.20,0.30,0.25,0.09,0.16,"지원 요구를 거절하고 260개 PC방 IP를 가동해 금융·선거 행동이 실행 단계로 들어간다.","L58139-L58329"
332,"선거 지급·일본 진입",5,9,8,0.23,0.25,0.24,0.11,0.17,"광역 8곳 승리 직후 일본에 100억 달러를 넣어 정치 보상과 새 행동을 맞물린다.","L58330-L58495"
333,"재난 전 축적",5,7,8,0.29,0.18,0.25,0.08,0.20,"노무라 계약망과 후분양 자산을 늘리며 대지진 시점을 기다려 정보·관계·자산이 앞선다.","L58496-L58665"
334,"대피 공세",8,8,9,0.18,0.38,0.24,0.12,0.08,"항공기·버스·전용기를 움직이고 최재석이 현장으로 가 생명구조 행동과 신뢰가 급상승한다.","L58666-L58839"
335,"재난 봉우리",10,9,10,0.15,0.36,0.19,0.20,0.10,"1만2천 명 대피 직후 모든 전화가 울리고 대지진이 발생해 행동·공포·훅이 최고다.","L58840-L59004"
336,"구조 결산",8,10,8,0.21,0.29,0.26,0.14,0.10,"교민 생존·구호·최재석 미담과 금융사 투항이 생명·관계·승패를 한꺼번에 지급한다.","L59005-L59166"
337,"일본 수확",5,9,7,0.24,0.23,0.25,0.10,0.18,"계약·공매도·엔화·해운사를 정리해 한정훈의 집행과 금융자산 보상이 중심이다.","L59167-L59333"
338,"정치 침묵전",6,7,8,0.27,0.24,0.27,0.10,0.12,"그리스 조건과 서울 투표 불참을 말없이 조율해 정보·정치 행동·관계가 균형을 이룬다.","L59334-L59486"
339,"사이버 덫",7,6,9,0.25,0.31,0.22,0.13,0.09,"천민정이 북한 IP를 미끼로 시험접속을 유도해 추적 행동과 은밀한 긴장이 높다.","L59487-L59656"
340,"현행 포착 전야",8,7,9,0.19,0.39,0.22,0.11,0.09,"금융기록으로 강일파를 특정하고 50명을 필리핀에 투입해 행동 리본이 크게 솟는다.","L59657-L59811"
341,"증거 공개 결산",8,8,9,0.21,0.30,0.26,0.13,0.10,"DDoS 증거를 언론에 풀어 선거를 뒤집고 최재석 대권 기반을 만들어 행동·관계 보상이 크다.","L59812-L59973"
