sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
18,"N02·외부 자금 배치",6,6,8,0.30,0.23,0.16,0.08,0.23,"조사비를 지급하면서 일본 파생 100억 달러와 다섯 재벌 승계 표적을 배치해 전략 정보와 자금 규모가 앞선다.","L3403-L3587"
19,"N02·이중장부 회수",7,7,8,0.21,0.31,0.28,0.13,0.07,"후계 분쟁 씨앗과 불륜 이간질을 실행해 한지혜·주영미에게 장부를 받아 행동과 관계 조작이 두드러진다.","L3588-L3812"
20,"N02·공개 고발",8,8,9,0.18,0.39,0.18,0.15,0.10,"술집 난동 연기·압수수색·기자회견으로 서우태를 공개 고발하는 연속 행동이 회차 대부분을 차지한다.","L3813-L4009"
21,"N02·감사권 획득",9,8,9,0.16,0.28,0.27,0.20,0.09,"태우를 버릴 수 있다는 배수진으로 김태중과 충돌해 감사본부장 자리를 얻고 고베 지진 훅으로 급전한다.","L4010-L4174"
22,"N02·명동 연결과 지분 교환",7,8,9,0.31,0.21,0.25,0.08,0.15,"고베 수익 조건과 이준수·정수철·명동 연결을 읽고 조지에게 75억 달러·희귀 지분을 제시해 정보 협상이 길다.","L4175-L4371"
23,"N02·애플·포드 지분 지급",6,9,8,0.22,0.17,0.24,0.07,0.30,"애플·포드 각 20퍼센트 지분을 받은 직후 정수철 재산을 살펴 자산 보상과 새 감사 표적이 중심이다.","L4372-L4561"
24,"N02·윤일섭 직속 TF",6,7,7,0.22,0.25,0.35,0.10,0.08,"정수철의 고립 지시를 거슬러 윤일섭을 승진시키고 창원 직속 TF를 만들어 인사 관계 변화가 가장 크다.","L4562-L4738"
25,"N02·4천억 명동 부채",7,5,9,0.36,0.18,0.25,0.11,0.10,"성과금·내부고발책 뒤 박권흠에게 창원 공장이 명동 4천억 원에 묶였다는 구조를 듣는 정보 회차다.","L4739-L4931"
26,"N02·대환·노조·경호 준비",7,7,8,0.26,0.27,0.19,0.06,0.22,"CT 대환과 노조 포섭·특수부대 경호사를 동시에 준비해 실행 수단과 돈·안전장치에 무게가 간다.","L4932-L5107"
27,"N02·파업 유도",8,5,8,0.19,0.38,0.25,0.11,0.07,"이준수를 도발하고 삐라·배 반장 소문전으로 파업을 끌어내는 현장 행동과 군중 관계가 지배한다.","L5108-L5302"
28,"N02·파업 투표 역전",8,8,8,0.18,0.36,0.22,0.10,0.14,"노조 간부 사법처리와 반대 파벌 결집으로 반대 51퍼센트를 만들어 투표 행동과 수치 보상이 솟는다.","L5303-L5469"
29,"N02·사장단 자존심 전환",7,6,9,0.24,0.20,0.36,0.12,0.08,"이준수의 변명과 명동 오만을 노출해 사장단 마음을 돌리고 CT 법인장을 들여 관계 전환에 오래 머문다.","L5470-L5654"
30,"N02·4천억 대환 결산",8,9,8,0.17,0.29,0.21,0.08,0.25,"CT 저리대출로 명동 4천억을 갚고 이준수를 끌어내린 뒤 광화문 곰에게 통일을 제안해 행동·지위 보상이 크다.","L5655-L5818"
31,"N02·숙청 뒤 연구소 유배",6,6,9,0.20,0.18,0.31,0.18,0.13,"이선일이 이준수를 거두고 47명 징계가 확정된 뒤 사장단이 연구소 유배를 모의해 관계 후폭풍과 다음 훅이 높다.","L5819-L6005"
32,"N03·통합연구소 권한",5,7,8,0.28,0.18,0.31,0.08,0.15,"연구소 독립성과 20명 채용권을 받아 후쿠다를 만나므로 조직 조건과 새 인재 관계가 중심이다.","L6006-L6176"
33,"N03·매각 청사진과 특허팀",6,7,8,0.32,0.22,0.22,0.06,0.18,"30개 계열사 매각·자동차 중심 재편을 밝히고 40명 특허팀을 꾸려 전략 정보와 조직 구축에 체류한다.","L6177-L6342"
34,"N03·국제 인재 영입",6,8,8,0.24,0.20,0.39,0.08,0.09,"박준일·장학생·조나단을 50명 특허팀에 묶고 폰 디자인 경쟁을 시작해 인재 관계가 가장 크다.","L6343-L6525"
35,"N03·특허·외부조달 선택",5,7,8,0.37,0.19,0.18,0.05,0.21,"대량 특허와 조나단 디자인을 확보한 뒤 소프트웨어·배터리 외부조달을 결정해 기술 정보와 자산 선택이 앞선다.","L6526-L6684"
36,"N03·구디너프와 잡스",6,8,9,0.27,0.17,0.35,0.08,0.13,"아마존 지분을 점검하고 구디너프 성과를 받은 뒤 잡스 복귀를 제안해 인재 관계와 기술 정보에 머문다.","L6685-L6859"
37,"N03·NEXT 계약",7,9,9,0.23,0.24,0.29,0.06,0.18,"잡스와 NEXT OS 80퍼센트 계약을 체결하고 다이먼·일본 공격 씨앗을 심어 계약 관계와 다음 확장이 강하다.","L6860-L7040"
38,"N03·지분 수집 미끼",7,7,9,0.31,0.24,0.20,0.08,0.17,"한일은행·삼풍 정보를 이선일에게 넘기며 태우전자 15퍼센트 수집과 휴대폰 미끼를 걸어 정보전이 중심이다.","L7041-L7213"
39,"N03·24일 폴더폰",7,8,8,0.19,0.31,0.21,0.10,0.19,"보너스로 제작을 24일로 당겨 실물 폴더폰을 김태중에게 보여 주므로 실행과 제품 보상이 높다.","L7214-L7390"
40,"N03·휴대폰 백지위임",8,8,9,0.18,0.26,0.34,0.13,0.09,"김태중과 기술·규모 경영을 충돌시킨 끝에 박진훈에게 팀·공장·자금 전권을 받아 권력관계 변화가 크다.","L7391-L7563"
41,"N03·직속팀과 명동 지분",6,6,8,0.30,0.21,0.31,0.07,0.11,"에이스 30명·이석준을 직속으로 묶고 이선일의 태우전자 주식 수집을 확인해 조직 관계와 지분 정보가 앞선다.","L7564-L7753"
42,"N03·MP3 선점",6,7,9,0.29,0.24,0.20,0.06,0.21,"한보 부도와 일본 특허 협상을 배치한 뒤 황영철의 MP3 구상을 잡아 기술 정보와 선점 행동에 체류한다.","L7754-L7933"
43,"N03·황영철 지분 계약",5,8,8,0.18,0.20,0.32,0.07,0.23,"황영철에게 개발비 10억 원과 지분대금 98억 원을 지급해 49퍼센트를 얻으므로 계약 관계와 자산 보상이 크다.","L7934-L8120"
44,"N03·27만 대 재고 승부",7,6,9,0.23,0.32,0.16,0.08,0.21,"잡스 소프트웨어를 받아 두 공장을 3교대로 돌리고 출시 전 27만 대를 쌓는 생산 행동과 재고 위험이 중심이다.","L8121-L8294"
45,"N03·삼풍 선제 구조",9,8,9,0.18,0.39,0.18,0.17,0.08,"톰슨 특허 매입 직후 태우건설·병원을 밀어 삼풍 붕괴 구조에 들어가 긴박한 행동과 생존 감정이 솟는다.","L8295-L8488"
46,"N03·국민기업 평판",8,9,9,0.17,0.24,0.20,0.20,0.19,"삼풍 사망자를 전생의 절반으로 줄인 보상과 태우전자 사장 도전 선언이 감정·평판·지위 봉우리를 만든다.","L8489-L8672"
47,"N03·독일 시연 폭발",6,9,8,0.16,0.35,0.18,0.09,0.22,"잡스의 이노폰 시연 뒤 중앙 부스와 바이어 상담이 폭발해 공개 행동과 주문 기대에 오래 머문다.","L8673-L8861"
48,"N03·박진훈 공개 공격",7,7,8,0.22,0.33,0.27,0.11,0.07,"선행특허 승리 뒤 사장단 앞에서 박진훈의 기술경영을 공격해 공개 논쟁과 권력관계가 지배한다.","L8862-L9027"
49,"N03·결함 공작 역이용",8,6,9,0.30,0.28,0.24,0.11,0.07,"박진훈의 결함 유포를 거짓 자료·감시 증거로 되받아 조 차장을 이중 통로로 만드는 정보전이 중심이다.","L9028-L9209"
50,"N03·허위기사 선점",9,6,9,0.28,0.35,0.19,0.11,0.07,"거짓 결함 보도와 사진·녹취를 선점하고 3국 공개 시연을 준비해 공작 대응 행동과 긴장이 높다.","L9210-L9397"
51,"N03·3국 체험 역전",8,9,8,0.16,0.38,0.24,0.10,0.12,"타임스퀘어·강남·독일에서 1천 대를 체험시키고 두 증인을 돌려세워 공개 행동과 관계 역전이 크다.","L9398-L9578"
52,"N03·30만 대와 박진훈 축출",8,10,9,0.14,0.28,0.22,0.10,0.26,"이노폰 30만 대 완판·해외 주문·박진훈 축출·사장 추천이 겹쳐 판매와 지위 보상이 절정이다.","L9579-L9758"
53,"N04·지분 상속과 사장 취임",6,10,8,0.13,0.17,0.28,0.14,0.28,"태우전자 지분을 상속받고 만장일치 사장이 되어 소유·직책과 조손 승인 보상이 회차를 이끈다.","L9759-L9940"
54,"N04·공장·인사 전면 개편",7,7,9,0.23,0.34,0.24,0.07,0.12,"공장 세 곳·불량품 교환·1천5백 명 재배치를 지시하다 산업스파이를 발견해 실행과 조직 정보가 앞선다.","L9941-L10126"
55,"N04·스파이 적발과 재배치",7,8,8,0.25,0.30,0.27,0.07,0.11,"계좌·아파트 증거로 중국 유출선을 끊고 500명을 적성 재배치해 조사 행동과 인사 관계 변화가 크다.","L10127-L10326"
56,"N04·다이먼 영입",6,9,8,0.19,0.18,0.40,0.12,0.11,"웨일과 결별한 다이먼에게 독립회사 전권을 주고 잡스 복귀 표를 모아 인재 관계가 중심이다.","L10327-L10491"
57,"N04·잡스 CEO 복귀",6,9,9,0.19,0.22,0.31,0.07,0.21,"SAVE가 NEXT 5억 달러를 내고 잡스를 애플 CEO로 복귀시켜 계약·동맹과 소프트웨어 권리가 지급된다.","L10492-L10663"
58,"N04·중공업 지분전 개시",7,6,9,0.29,0.23,0.20,0.06,0.22,"명동 13퍼센트와 현재그룹 구매력·태우 주식 교환을 설계해 지분 정보와 40퍼센트 인수전 준비가 앞선다.","L10664-L10840"
59,"N04·은행 지분과 사우디행",6,7,8,0.24,0.21,0.24,0.06,0.25,"은행마다 10억 달러를 예금해 중공업 지분을 모으고 살만 접견으로 넘어가 돈과 금융 관계가 균형을 이룬다.","L10841-L11024"
60,"N04·왕실 계약 씨앗",6,8,8,0.18,0.26,0.31,0.08,0.17,"살만에게 표트르 검을 주고 아크만 명의로 계열사 셋을 인수해 왕실 관계와 경영권 행동이 중심이다.","L11025-L11199"
61,"N04·36퍼센트 압박",8,8,9,0.22,0.22,0.20,0.07,0.29,"아크만 36퍼센트 지분 우위와 사우디 5조 정유사 안을 동시에 내밀어 지분·사업 규모가 압박을 만든다.","L11200-L11399"
62,"N04·조선 분리 승인",7,9,8,0.20,0.25,0.27,0.08,0.20,"사우디 직인 계약서로 김태중을 설득해 태우조선 분리와 오강철 처리권을 얻어 협상·권력관계가 앞선다.","L11400-L11547"
63,"N04·1조2천억 조선 매입",6,8,8,0.28,0.18,0.15,0.06,0.33,"다이먼이 조선을 1조2천억 원에 사며 부채와 전자 이자절감 수치를 진단해 금융 정보·자산 비중이 높다.","L11548-L11745"
64,"N04·휴대폰 매각 설득",7,6,9,0.27,0.21,0.34,0.12,0.06,"애플 주식 교환·공동브랜드로 김태중의 검토 승인을 얻지만 오강철 파업이 떠 관계 협상과 훅이 강하다.","L11746-L11893"
65,"N04·조선 파업과 매수 경쟁",8,7,8,0.18,0.36,0.25,0.08,0.13,"하청비리를 검찰에 넘기고 현진·삼진·현재를 경쟁시켜 파업 진압과 입찰 행동에 오래 머문다.","L11894-L12073"
66,"N04·오강철 제거 후 거부",7,7,9,0.18,0.32,0.27,0.13,0.10,"오강철·하청업체를 제거해 조선을 정리했지만 김태중이 휴대폰 매각을 거부해 행동 보상 뒤 관계 긴장이 남는다.","L12074-L12283"
67,"N04·주주권으로 조손 대결",8,5,9,0.23,0.25,0.36,0.12,0.04,"김태중 허락 없이 주총 의결을 택하고 우호표를 모아 조손 감정보다 공식 권력관계 대결에 체류한다.","L12284-L12471"
68,"N04·30대25 의결 승리",9,9,8,0.16,0.27,0.29,0.10,0.18,"국민연금·명동·은행 표로 30대25를 만들어 김태중을 이기고 독립 경영을 얻어 의결 행동과 지위 보상이 크다.","L12472-L12681"
69,"N04·CES 3개 수상",5,9,8,0.17,0.29,0.20,0.08,0.26,"슬라이드폰·TV·엠피맨 수상과 주문 폭주 뒤 애플 인수안이 올라 제품 행동과 시장 지위가 중심이다.","L12682-L12849"
70,"N04·애플·구글 지배지분",6,10,8,0.18,0.18,0.21,0.06,0.37,"애플 10퍼센트 교환·공동로고와 구글 49퍼센트 매입이 이어져 계약 자산과 지배블록 지급이 절정이다.","L12850-L13024"
71,"N04·디지털케이스와 본부 이동",5,8,9,0.20,0.19,0.31,0.12,0.18,"황영철을 구해 회사를 인수하고 팀을 애플 MP3로 옮기며 기획본부 이동 명분을 얻어 관계·지위가 앞선다.","L13025-L13225"
72,"N05·중국 판매 지렛대",6,7,9,0.31,0.19,0.29,0.07,0.14,"사장급 본부장으로 루마니아차 중국 판매를 설계하고 쩡훙친의 숨은 아들을 읽어 정보·인맥이 중심이다.","L13226-L13417"
73,"N05·쩡훙친 꽌시",6,8,8,0.20,0.21,0.41,0.09,0.09,"아들의 안전과 체면을 지켜 판매 허가·관세 우대를 받고 포드 합작을 꺼내 중국 권력관계가 지배한다.","L13418-L13604"
74,"N05·음원·전기차 준비",5,7,8,0.34,0.20,0.18,0.05,0.23,"포드 지위와 MCA 레코드로 음원구매·전기차·배터리 연구를 설계해 사업 정보와 자산 기반에 머문다.","L13605-L13786"
75,"N05·3자 합작 타결",6,9,8,0.18,0.24,0.30,0.06,0.22,"중국 판매 실적을 근거로 포드·태우·상하이차 합작을 체결해 계약 관계와 공장·수출 지위가 크다.","L13787-L13971"
76,"N05·인터넷 전환 승인",5,8,8,0.32,0.18,0.24,0.06,0.20,"합작 출범 뒤 전자상거래·HTS 보고서를 김태중에게 올려 계열사 인터넷 전환과 개발 승인을 받는다.","L13972-L14141"
77,"N05·제프리의 IT 조직 혁신",6,8,8,0.18,0.28,0.40,0.08,0.06,"IT 인재와 자유출퇴근 팀을 만든 뒤 제프리가 낡은 조직을 30분 만에 뒤집어 조직 관계 변화가 가장 크다.","L14142-L14342"
78,"N06·일본 차입 저지",7,6,9,0.31,0.21,0.27,0.08,0.13,"중국·미국 판매 성과와 일본 차입 위험을 김태중에게 대조하고 조지의 태국 공격 제안을 받아 정보 압박이 높다.","L14343-L14507"
79,"N06·태국 위기 포지션",8,7,8,0.27,0.25,0.25,0.06,0.17,"SAVE 150억 달러와 퀀텀 자금을 태국에 걸고 이선일의 한보 전 정리를 확인해 투자 행동·명동 관계가 균형을 이룬다.","L14508-L14696"
80,"N06·국가부도 경고",8,7,8,0.38,0.18,0.29,0.11,0.04,"대마불사 종말과 국가부도를 김태중에게 설명해 인수 중단·야당 지원을 끌어내므로 정보와 조손 설득이 중심이다.","L14697-L14870"
81,"N06·합법 정치자금",6,9,8,0.22,0.20,0.24,0.06,0.28,"후원회장 펀드를 열 배로 키워 100억 원을 합법 수익처럼 지급하고 200억 달러를 현금화해 자금 보상이 크다.","L14871-L15040"
82,"N06·전경련 회장 변수",5,8,8,0.28,0.16,0.34,0.12,0.10,"냅스터 대응을 논의하다 김태중의 전경련 회장 추대를 맞아 사업 정보보다 조손·정부 관계 변화에 머문다.","L15041-L15242"
83,"N06·조손 역할 회복",6,9,8,0.18,0.16,0.40,0.18,0.08,"조선·휴대폰 매각대금 3조 원을 위기 인수금으로 돌리며 김태중의 지휘권을 되살려 관계·감정 보상이 높다.","L15243-L15431"
84,"N06·부채율 0퍼센트",7,10,8,0.18,0.22,0.16,0.07,0.37,"환율 정점에 100억 달러를 옮겨 모든 부채를 갚고 SS오일을 협상해 재무 지위 보상이 절정이다.","L15432-L15607"
85,"N06·사우디 6조 실계약",6,9,8,0.20,0.22,0.31,0.06,0.21,"김태중이 압둘라에게 6조 정유 실계약과 원유 공급을 받아 왕실 관계와 계약 자산이 중심이다.","L15608-L15801"
86,"N06·아이팟·IMF 지급",5,10,9,0.19,0.27,0.24,0.07,0.23,"IMF에 무부채 신뢰를 심고 아이팟 3일 완판·애플 주가 두 배를 얻어 공개 제품 행동과 지위 보상이 크다.","L15802-L15983"
87,"N07·카이차 공격 개시",6,7,9,0.27,0.24,0.27,0.06,0.16,"다이먼을 불러 카이자동차 인수를 시작하고 베리뮤직 순위를 지시해 전략 정보·실행팀 관계가 균형을 이룬다.","L15984-L16165"
88,"N07·3조5천억 현금 압도",7,9,8,0.17,0.25,0.24,0.06,0.28,"채권단에 달러 현금 3조5천억 원을 제시해 현재차 안을 누르고 우선권을 얻어 자금·협상 보상이 높다.","L16166-L16347"
89,"N07·카이차 51퍼센트",5,9,8,0.24,0.17,0.20,0.06,0.33,"카이차 지분 51퍼센트를 인수하고 별도 브랜드·내부경쟁 원칙을 정해 소유권과 조직 설계가 앞선다.","L16348-L16547"
90,"N07·카를로스 곤 영입",5,9,9,0.19,0.18,0.42,0.11,0.10,"카를로스 곤에게 전권을 주어 사장으로 세우고 김태중에게 소개해 세계급 인재 관계가 중심이다.","L16548-L16721"
91,"N07·CL 승계 균열",6,6,8,0.29,0.20,0.38,0.08,0.05,"고연진에게 장녀 승계를 부추기고 아이돌 팬덤 후원을 지시해 CL 내부 관계 조작과 시장 정보가 길다.","L16722-L16900"
92,"N07·CL 빅딜·애국펀드",6,8,9,0.25,0.28,0.22,0.06,0.19,"백화점·카드와 배터리·통신 교환을 설계하고 30초 광고로 가입을 폭주시켜 거래 행동과 현금 유입이 앞선다.","L16901-L17076"
93,"N07·3조 펀드와 협상권",6,9,8,0.17,0.27,0.26,0.06,0.24,"애국펀드 3조 원을 만든 뒤 매각설로 CL이 먼저 오게 해 현금·협상 관계 보상이 크다.","L17077-L17271"
94,"N07·CL 포괄 교환",6,9,8,0.23,0.21,0.34,0.06,0.16,"고승택에게 카드·백화점과 통신·배터리를 맞바꾸고 현재 견제 이익을 제시해 거래 관계가 지배한다.","L17272-L17445"
95,"N07·스타벅스 독점",5,8,8,0.20,0.18,0.27,0.06,0.29,"스타벅스 50대50 독점권과 전자 성장·건설 부진을 결산해 유통 자산과 계열사 지위 대비가 중심이다.","L17446-L17615"
96,"N07·민자 컨소시엄 설계",6,6,9,0.35,0.18,0.20,0.06,0.21,"SAVE·퀀텀 7퍼센트를 숨긴 민자 컨소시엄과 태우건설 반전 구조를 설계해 정보·금융 구조에 머문다.","L17616-L17784"
97,"N07·40년 운영권",6,10,8,0.17,0.28,0.18,0.06,0.31,"지하철 9호선·거가대교를 따내고 태우건설을 시공사로 세워 사업권·도급 지위 보상이 크다.","L17785-L17953"
98,"N08·통신 3사 합병",5,9,8,0.25,0.19,0.30,0.06,0.20,"건설 수주를 사장단에 공개하고 한 달 만에 통신 3사를 합병해 조직 관계와 시장 지위가 앞선다.","L17954-L18127"
99,"N08·HTS와 해외 지분",5,8,8,0.28,0.23,0.18,0.05,0.26,"밸캐나다 전환사채를 확보하고 HTS를 완성해 기술·지분 정보와 다음 게임 유통 자산에 체류한다.","L18128-L18314"
100,"N08·5천 게임 플랫폼",6,9,8,0.24,0.24,0.24,0.05,0.23,"MC소프트에 100억 원을 투자하고 5천 게임 ESD를 출시해 계약·플랫폼 행동·독점 자산이 균형을 이룬다.","L18315-L18491"
101,"N08·플랫폼 지급·장례 브리지",6,8,10,0.18,0.21,0.29,0.18,0.14,"게임 쿠폰·가입자 보상 뒤 이선일 장례에서 이영한을 만나므로 관계·감정이 솟고 후반 브리지 훅이 가장 높다.","L18492-L18661"
102,"N09·비공식 감시망",6,5,8,0.34,0.26,0.27,0.08,0.05,"일본계 자금과 이영한 주변을 추적하도록 강 반장을 별도 가동해 정보 수집과 비공식 신뢰선이 중심이다.","L18662-L18838"
103,"N09·도주 의사·유산 의혹",7,5,9,0.43,0.16,0.19,0.13,0.09,"도주 의사와 사망 직전 100억 원대 상속을 추적하며 곰 죽음의 의혹 정보에 오래 머문다.","L18839-L19009"
104,"N09·살해 배후와 배신",8,6,9,0.36,0.25,0.24,0.10,0.05,"의사 진술로 박광도의 강요와 박 팀 배신을 한꺼번에 확인해 폭로 정보와 추적 긴장이 높다.","L19010-L19211"
105,"N09·이영한 동맹·금리전",7,8,8,0.23,0.19,0.38,0.10,0.10,"이영한의 오만이 위장이었음을 듣고 10조 원 금리전을 맡겨 후계자 동맹 관계가 지배한다.","L19212-L19368"
106,"N09·OTT 실행축",5,7,8,0.37,0.19,0.24,0.05,0.15,"다이먼에게 명동을 맡긴 뒤 셋톱박스·IPTV·OTT·영화 유통을 설계해 사업 정보 비중이 높다.","L19369-L19527"
107,"N09·블리자드·아이폰 특허",5,9,8,0.22,0.18,0.18,0.04,0.38,"고평가 IT 주식으로 블리자드 100퍼센트와 아이폰 특허 100건 이상을 사 자산 보상이 회차를 이끈다.","L19528-L19714"
108,"N09·야쿠자 암살 징후",8,5,9,0.33,0.27,0.26,0.10,0.04,"이준수·박 팀의 야쿠자 동원을 포착하고 경호 200명을 가동해 위협 정보와 방어 행동이 중심이다.","L19715-L19880"
109,"N09·오성파 돈줄 절단",9,8,8,0.18,0.39,0.27,0.10,0.06,"경찰·검찰·특수부대·국세청으로 오성파 재산을 치고 원로 셋을 끌어들여 행동과 연합 관계가 크다.","L19881-L20080"
110,"N09·명동 후계 승인",9,9,8,0.15,0.34,0.32,0.13,0.06,"야쿠자 습격을 버틴 이영한을 원로 앞에 세워 공식 후계 승인을 받아 행동·관계 보상이 절정이다.","L20081-L20250"
111,"N09·70퍼센트와 e스포츠",6,9,9,0.19,0.22,0.29,0.08,0.22,"이영한의 명동 70퍼센트 장악과 e스포츠 협회 출범이 약속 결산·플랫폼 확장을 함께 지급한다.","L20251-L20420"
112,"N10·통신 1위 현금창구",5,8,8,0.29,0.17,0.17,0.05,0.32,"KS보다 5퍼센트 앞선 통신 1위와 IT 가치를 반도체·배터리 투자 재원으로 묶어 지위·재무 정보가 중심이다.","L20421-L20584"
113,"N10·일본 자산전·트럼프",6,7,9,0.27,0.20,0.37,0.07,0.09,"엔화·금리 양면 공격을 정하고 모델하우스에서 트럼프를 맞아 금융 전략과 새 인맥 관계가 앞선다.","L20585-L20769"
114,"N10·무료 셋톱박스와 규제",7,7,9,0.29,0.29,0.20,0.08,0.14,"셋톱박스·인터넷TV를 무료 보급하고 LCD 공급을 나누자 관료·통신사가 규제를 모의해 정보와 실행 압박이 높다.","L20770-L20949"
115,"N10·강민 인터넷 강의",7,8,8,0.20,0.29,0.33,0.09,0.09,"유해론 시위에 맞서 강민을 영입하고 저가 강의를 내놓아 인재 관계와 역공 행동이 중심이다.","L20950-L21122"
116,"N10·부분 유료화 결산",5,9,8,0.24,0.18,0.15,0.05,0.38,"강의를 수익화하고 대부업 파생 400억~800억 달러 회수 가능성을 점검해 현금·시장 지위 보상이 크다.","L21123-L21297"
117,"N11·새천년 가족·현 그룹",5,6,9,0.34,0.12,0.31,0.16,0.07,"김태중의 결혼 압박과 현 그룹 여섯 아들 분할을 함께 분석해 가족 관계·승계 정보에 머문다.","L21298-L21474"
118,"N11·현 반도체 서면 약속",6,8,8,0.24,0.19,0.38,0.06,0.13,"장경준과 장영준 선총수·현 건설·반도체 교환 계약을 맺어 후계 동맹 관계와 계약 보상이 중심이다.","L21475-L21647"
119,"N11·IT 할인 구간",5,7,8,0.36,0.17,0.17,0.04,0.26,"현 반도체 인수 준비와 40~50퍼센트 급락한 IT 종목 재매수 시점을 잡아 시장 정보·자산 판단이 앞선다.","L21648-L21825"
120,"N11·대부업 자산 회수",7,9,8,0.20,0.27,0.19,0.05,0.29,"일본계 자산 압류와 IT 지분 재매수·파생 1.5배 재판매를 병행해 금융 행동과 자산 보상이 높다.","L21826-L22000"
121,"N11·35대3 승진 기반",6,8,9,0.23,0.22,0.26,0.07,0.22,"아이폰 시제품·푸틴 초청 뒤 사장단 35대3 표결을 받아 기술 기대와 공식 지위가 함께 상승한다.","L22001-L22200"
122,"N11·부회장과 푸틴 독대",6,9,8,0.18,0.18,0.39,0.10,0.15,"90퍼센트 지지로 부회장이 된 뒤 푸틴의 다차에 들어가 그룹·국가 최고권력 관계가 중심이다.","L22201-L22405"
