sequence,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
473,책임 인수·리콜 실행,9,7,8,0.16,0.32,0.22,0.20,0.10,최재석 대신 책임을 떠안고 전국 정비망을 돌려 부품을 바꾸는 행동과 정치 신뢰가 크다,L82784-L82957
474,추가 증거 탐색·포섭,8,5,9,0.28,0.30,0.12,0.16,0.14,일본차 전수검사와 시험 관계자 포섭을 병행해 증거를 좁혀 가는 조사 행동이 지배한다,L82958-L83125
475,충돌시험·비리 확대,9,6,10,0.24,0.39,0.08,0.20,0.09,수백억 시험비로 여러 일본차를 분해·충돌시키며 조직적 조작을 물리적으로 드러낸다,L83126-L83318
476,언론전 점화·공개 대기,8,6,9,0.18,0.36,0.16,0.18,0.12,베릴 특집과 기자회견·소송 시각을 맞추는 폭로 실행이 자료 설명보다 앞선다,L83319-L83505
477,시장 응징·도시바 진입,8,8,9,0.18,0.12,0.14,0.17,0.39,일본차 폭락과 태우차 상승 직후 도시바가 찾아와 시장 보상과 새 인수 기회가 크게 남는다,L83506-L83688
478,인수 협상·규제 우회,7,5,8,0.21,0.16,0.32,0.08,0.23,러시아 계약 파기와 두 회사 매각을 맞바꾸며 반독점 연합까지 짜는 협상 관계가 중심이다,L83689-L83856
479,로비 실행·유전 입찰,7,7,8,0.24,0.21,0.17,0.08,0.30,반독점 로비와 유전 매각 입찰을 동시에 열어 정치 정보와 대규모 자산 기대가 높다,L83857-L84015
480,가격 압박·담보 요구,8,6,9,0.27,0.12,0.29,0.08,0.24,웨스팅하우스 적자와 도시바 약점을 수치로 누르며 최종가격·담보를 흥정하는 회차다,L84016-L84191
481,도시바 결산·금융전 예고,8,10,8,0.21,0.13,0.18,0.07,0.41,메모리 2조2천억 엔과 대출 2조 엔·웨스팅하우스·카메코를 확보해 자산 지급이 압도한다,L84192-L84351
482,새 무기 탐색·연말 점검,4,6,8,0.39,0.16,0.06,0.06,0.33,청나라 채권의 법적 허점과 미중전쟁 사용법을 설명하며 값싼 금융무기의 잠재가치를 계산한다,L84352-L84522
483,코인전 실행·유전 경매,8,7,9,0.20,0.32,0.10,0.10,0.28,비트코인 숏과 세력 봉쇄·유전 입찰을 동시에 실행해 금융 행동과 매각 기대가 강하다,L84523-L84702
484,유전 수확·거래소 장악,8,10,8,0.16,0.18,0.09,0.08,0.49,유전 1100억 달러 매각과 거래소 유동성 장악이 숫자로 지급돼 물질 리본이 최고점이다,L84703-L84875
485,투자자 신뢰·동맹 지급,4,8,6,0.22,0.08,0.42,0.17,0.11,오마하에서 워렌이 돈뿐 아니라 필요할 때 힘을 보태겠다고 해 신뢰 관계가 중심이다,L84876-L85064
486,장기 가치 판단·설비 예고,5,5,8,0.36,0.13,0.09,0.16,0.26,엔비디아 지분 구조와 고가 희귀질환 치료의 미래가치를 비교해 장기 정보 판단이 크다,L85065-L85225
487,생산능력 지급·지분 회수,5,8,8,0.22,0.22,0.14,0.10,0.32,센트리언 상장·위탁공장과 생산량 20퍼센트 늘어난 스마트 팹이 실물 성장으로 보인다,L85226-L85414
488,약속 이행·대주주 진입,6,9,8,0.19,0.12,0.35,0.10,0.24,손정우가 35억 달러 약속을 지키고 대주주 연결까지 제공해 신뢰와 지분 보상이 중심이다,L85415-L85589
489,무역전 개전·정치 보호,8,8,9,0.25,0.18,0.28,0.08,0.21,트럼프에게 미국채 매입과 중국 숏을 승인받아 정치관계가 금융 행동의 보호막이 된다,L85590-L85766
490,동맹 점검·사기 예고,6,7,8,0.29,0.13,0.31,0.08,0.19,한정훈·머스크와 중국전과 우주·자율주행을 조율해 동맹관계와 전략정보가 오래 남는다,L85767-L85935
491,금융 화력 축적·감시,7,7,9,0.31,0.27,0.08,0.07,0.27,니콜라 감시와 미국채 500억 달러·코인 재매수를 동시에 집행해 정보·행동·자산이 높다,L85936-L86107
492,대규모 지분 협상·결속,7,8,8,0.21,0.12,0.28,0.08,0.31,400억 달러 엔비디아 증자와 생산 선납을 제안하고 리사 친족 신뢰를 활용하는 지분 협상이다,L86108-L86288
493,관세 압박·중국 호출,8,6,9,0.37,0.14,0.12,0.06,0.31,관세 규모와 중국의 맞대응 한계를 설명하며 청나라 채권·홍콩 협상 가치를 계산한다,L86289-L86462
494,외교 결전·채권 소각,9,6,10,0.25,0.28,0.21,0.15,0.11,리강의 편들기 요구를 거절하고 대만 채권소각을 실행해 외교 행동과 정치 긴장이 솟는다,L86463-L86651
495,중국 계약·새 사기 훅,9,10,8,0.18,0.12,0.26,0.08,0.36,5년 뒤 채권 양도 조건으로 중국 금융 무제한 활동을 받아 계약·지위 보상이 크게 남는다,L86652-L86827
496,사기 폭로·산업동맹 전환,7,8,8,0.20,0.17,0.33,0.13,0.17,김정권에게 니콜라 사기를 직접 보여 주고 매각대금의 새만금 투자를 조건으로 거는 관계 장면이다,L86828-L87002
497,가족 요청·희토류 돌파구,6,6,8,0.22,0.09,0.39,0.22,0.08,중국 희토류 위협 앞에서 할아버지 김태중에게 처음 도움을 청해 가족 신뢰와 염려가 중심이다,L87003-L87178
498,현지 협상·조손 약속,4,8,7,0.17,0.12,0.41,0.20,0.10,베트남의 오래된 인연을 통해 동파오 규제를 풀고 할아버지께 세계 1위를 약속하는 관계 보상이다,L87179-L87338
499,자원 수확·투자 확대,5,8,8,0.38,0.20,0.08,0.05,0.29,희토류 점유율·중국 공장이전·HBM 3조 원을 한 지도로 계산해 정보와 투자 비중이 높다,L87339-L87506
500,국가 대비·팬데믹 예고,7,7,9,0.33,0.21,0.21,0.09,0.16,최재석과 규제법을 만들고 백신·진단·마스크 생산망을 구체화하는 국가급 대비 설계다,L87507-L87668
501,방역자산 매입·유가 포지션,7,6,8,0.25,0.30,0.10,0.09,0.26,마스크·음압병동 업체를 사들이고 유가 숏을 늘려 방역과 금융 방어를 동시에 실행한다,L87669-L87841
502,사기 공개·국내동맹 결속,6,8,7,0.23,0.21,0.29,0.08,0.19,니콜라 사기를 공개한 뒤 오용재와 반도체·디스플레이 공조를 맺어 기업동맹 관계가 중심이다,L87842-L88030
503,법제 준비·한일 충돌 예고,7,5,8,0.35,0.14,0.20,0.10,0.21,기술보호법·강제징용 판결·트럼프 재선을 엮어 한일 충돌의 방어 논리를 정리한다,L88031-L88181
504,백악관 거래·곡물선 확보,5,7,7,0.18,0.13,0.33,0.07,0.29,트럼프와 골프를 치며 연 220억 달러 곡물 구매를 약속해 정치관계와 거래 규모가 크다,L88182-L88346
505,식량망 설계·증거 도착,5,5,8,0.34,0.16,0.21,0.06,0.23,다이먼·데이비드와 비테라 인수와 농업위성 관측망을 설계하는 식량전 준비 회차다,L88347-L88514
506,증거 인계·본보기 착수,8,5,9,0.26,0.32,0.18,0.14,0.10,천민정의 기술절도 증거를 이영한에게 넘겨 탑테크 공개 처벌을 실제 작전으로 옮긴다,L88515-L88679
507,내부고발 전환·압박 상승,9,6,9,0.18,0.28,0.33,0.17,0.04,이영한이 양진태의 약점을 눌러 내부고발자로 돌리는 심문과 관계 역전이 지배한다,L88680-L88865
508,법 통과·국제전 확장,8,8,8,0.25,0.31,0.12,0.13,0.19,암호화폐 흐름과 5조 피해를 공개해 기술보호법 통과를 밀어붙이는 제도 행동이 강하다,L88866-L89034
509,여론전·금융 압박,8,6,9,0.27,0.30,0.13,0.14,0.16,하버드 교수의 중국 연계를 폭로하고 국제 공조·공매도를 걸어 리강을 협상장으로 끌어낸다,L89035-L89193
510,중국 양보·식량전 진입,8,8,8,0.24,0.17,0.34,0.10,0.15,리강의 철회 요구를 증거로 꺾고 기술자 블랙리스트를 협상해 관계 힘겨루기가 중심이다,L89194-L89363
511,카르텔 교섭·경쟁 점화,7,5,8,0.25,0.12,0.31,0.07,0.25,카길·와이자타에 연 1천억 달러 구매와 농장 임차를 제시해 카르텔 관계를 가른다,L89364-L89522
512,식량망 지급·생산축 확장,5,8,7,0.24,0.18,0.15,0.07,0.36,비테라를 태우 곡물회사로 바꾸고 세계 농업망을 묶어 식량자산 지급이 크게 남는다,L89523-L89696
513,해외 팹 배치·장비 탐색,5,6,8,0.35,0.21,0.12,0.06,0.26,인도·베트남 레거시 팹과 HBM·GPU 투자를 배치해 생산지도 설명과 설비 투자가 중심이다,L89697-L89854
514,ASML 교섭·병목 압박,7,5,9,0.28,0.12,0.33,0.06,0.21,ASML을 찾아 장비 부족을 풀 증설·배분 조건을 탐색하는 기술정보와 교섭 관계 회차다,L89855-L90022
515,장비 계약·공급권 지급,6,9,7,0.20,0.13,0.24,0.05,0.38,증설비를 대고 EUV 50·70퍼센트와 DUV 약속을 받아 장비 물량 보상이 가장 크다,L90023-L90196
516,통신 기반 결단·일본전 예고,5,7,8,0.28,0.22,0.22,0.09,0.19,김태중의 베트남 저점투자와 28GHz·스타링크 구축을 잇는 세대관계와 인프라 판단이다,L90197-L90378
517,국가 충돌 발화·비축,8,5,9,0.31,0.27,0.10,0.14,0.18,초계기 갈등에서 일본 규제를 예측해 소재를 2~10배 비축하고 공매도까지 준비한다,L90379-L90540
518,민간 동맹·이중 대비,7,6,8,0.24,0.23,0.26,0.10,0.17,마스크·병동을 늘리며 머스크와 오용재를 제재 방어선에 묶어 동맹 실행이 두드러진다,L90541-L90722
519,증거 수집·대체선 확보,8,6,9,0.27,0.27,0.20,0.11,0.15,일본 대북 밀수 증거와 듀폰 포토레지스트 대체선을 함께 확보하는 조사·섭외 회차다,L90723-L90882
520,현지화 계약·산업 덫,5,8,7,0.19,0.16,0.31,0.06,0.28,듀폰에 2천만 달러와 지분 30퍼센트를 주고 한국 공장을 세우는 계약 관계와 자산이 중심이다,L90883-L91041
521,제약 증설·폭풍 전야,5,6,8,0.27,0.22,0.12,0.10,0.29,손실을 감수하고 센트리언 진단·백신 연구와 대형 공장을 늘려 생산능력을 선행 확보한다,L91042-L91200
522,복수 도구화·보조금 침투,7,6,8,0.22,0.30,0.17,0.18,0.13,수감된 이 상무에게 가짜 기술을 쥐여 중국 보조금을 빼내게 하는 복수 행동이 강하다,L91201-L91367
523,물량 확대·이중 준비,7,7,8,0.20,0.35,0.13,0.10,0.22,USB 지령으로 가짜 팹을 움직이고 마스크 생산을 200~400퍼센트 늘리는 실행 회차다,L91368-L91543
524,공매도 실행·가짜 팹 확산,8,8,8,0.25,0.34,0.08,0.09,0.24,미중 협상 결렬에 공매도를 걸고 중국 전역에 가짜 팹을 번식시켜 금융·산업 행동이 지배한다,L91544-L91711
525,전쟁 순서 정리·방한 대기,8,5,9,0.40,0.15,0.14,0.07,0.24,G20·GSOMIA·대북밀수·차량용칩을 한일전 대응순서로 묶어 설명하는 전략 숨 고르기다,L91712-L91878
526,공매도 개시·미국선 결속,8,6,9,0.21,0.28,0.22,0.09,0.20,트럼프 방한을 일본 숏 개시 신호로 삼고 재선 프로젝트를 반도체 이해와 묶는다,L91879-L92060
527,정치 방패·규제 임박,7,7,9,0.21,0.18,0.32,0.10,0.19,트럼프에게 한국을 버리기 어려운 약속을 받아 일본 공격 전 백악관 관계 방패를 세운다,L92061-L92243
528,수출규제 발화·시간 확보,9,6,9,0.30,0.23,0.18,0.13,0.16,3개 소재 규제가 현실화되자 재고·국산기술을 확인하고 정부 규제완화를 즉시 얻는다,L92244-L92424
529,발표 유예·반격 축적,8,5,9,0.32,0.22,0.16,0.10,0.20,확보 기술을 숨긴 채 일본 손실이 커질 발표시점을 고르고 듀폰·삼진 연구를 가속한다,L92425-L92586
530,증거 폭로·기업 포획,9,7,9,0.21,0.35,0.14,0.18,0.12,대북 밀수 증거를 터뜨리고 부채로 일본 소재기업을 포획하는 공개 역공이 강하다,L92587-L92760
531,기술 공개·여론 돌파,9,8,9,0.18,0.32,0.14,0.20,0.16,미국 지지 뒤 12나인 불화수소 양산을 기자회견으로 공개해 기술 반격이 봉우리 친다,L92761-L92938
532,첫 전쟁 결산·후속 수확,8,10,8,0.14,0.15,0.11,0.24,0.36,70퍼센트 공급과 6개월 내 전량 대체로 일본 철회·숏 수익이 지급돼 승리감과 보상이 높다,L92939-L93115
533,공급 확인·채무 압박,5,6,8,0.22,0.16,0.29,0.08,0.25,오용재에게 공장을 보여 준 뒤 아키토의 채무를 눌러 한국공장·지분 협상으로 넘어간다,L93116-L93279
534,소재기업 수확·지배망 확대,5,9,7,0.16,0.18,0.20,0.08,0.38,아키토와 일본 소재기업 네 곳의 지분·한국 이전을 받아 장기 소재자산 보상이 크다,L93280-L93453
535,전선 확장·금융공격 예고,8,7,9,0.25,0.22,0.18,0.12,0.23,듀폰 성공과 GSOMIA를 묶어 일본의 선박·금융 확전을 추가 인수 기회로 바꾼다,L93454-L93619
536,금융 방어 결전·유동성 유지,9,8,9,0.18,0.35,0.13,0.17,0.17,일본 금융공격에 100조 대출과 미국 통화스와프를 가동해 국가 유동성을 지키는 행동 봉우리다,L93620-L93775
537,외교 역공·오염수 점화,8,5,9,0.29,0.28,0.19,0.14,0.10,로만을 통해 후쿠시마 오염수를 국제 의제로 키워 정보·외교 행동이 전면에 선다,L93776-L93953
538,국가 공조·감염 감시,7,6,9,0.32,0.16,0.30,0.10,0.12,리강과 오염수 공조·우한 의료진 파견 근거를 맞바꾸며 외교정보와 관계가 중심이다,L93954-L94124
