sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
1,"ⓚ남자의 길 1화","1. 좌절",1,125,"공채 탈락·미란의 결별·부모의 빚을 한꺼번에 맞은 강혁이 취업 출구를 찾는다","밑바닥 청년이 자기 길을 고른다","빚과 실연을 견딜 출구 찾기","재성과 소주를 마시고 구인란을 뒤진다","연속 취업 실패·미란의 배신·한솔은행 1천만원 독촉","원양어선 선원 모집 광고를 붙든다","무기력 대신 떠날 선택지를 얻는다","진로","취업 낙오자→대성 6호 지원자","바다로 나갈 결심","미란과의 연애·평범한 취업 기대","부모의 빚·원양어선 생존","E01","high"
12,"ⓚ남자의 길 12화","3. 마리오세",1333,1440,"신생 보스→지역 전쟁 지휘자; 강혁은 마리오세의 준비 전에 보급선을 끊기라는 당면 과제에 들어선다","무기 주문을 역으로 읽고 선공한다","마리오세의 준비 전에 보급선을 끊기","MI-28을 포함한 2800만 달러 무기를 주문하고 정보 누출을 감수하며 정글 비행장으로 이동한다","투마니의 누설·적의 감시·미란과의 마지막 통화 기억","강혁이 마리오세의 항공 운송 일정을 역추적해 매복한다","적보다 먼저 전장을 고른다","정보·선택","수세적 방어자→보급로를 노리는 선공자","세스나와 대량 마약을 노린 비행장 매복","무장 확충","공항 급습·미란의 미련","E03","high"
13,"ⓚ남자의 길 13화","3. 마리오세",1441,1551,"수세적 방어자→보급로를 노리는 선공자; 강혁은 마약 수송기를 빼앗고 저택을 지키기라는 당면 과제에 들어선다","무손실 약탈 뒤 적의 본진 공격까지 받아친다","마약 수송기를 빼앗고 저택을 지키기","RPG로 세스나를 부수고 300~400kg 마약을 탈취한 뒤 숨겨둔 빈민가 신병 50명으로 저택 습격대를 맞는다","마리오세의 즉각 보복·훈련 덜 된 신병·저택 포위","텅 빈 줄 알았던 정원에서 강혁의 예비대가 반격한다","적의 물량을 빼앗고 매복 주도권을 유지한다","전력·전술","농장 피해자→마리오세 자산을 탈취한 우세자","저택 전투의 사상자와 동시다발 보복","비행장 보급 차단","저택 방어·마리오세 본인 참수","E03","high"
14,"ⓚ남자의 길 14화","4. 카운터펀치",1552,1663,"농장 피해자→마리오세 자산을 탈취한 우세자; 강혁은 마리오세의 동시다발 공격을 끝내기라는 당면 과제에 들어선다","본진을 지켜도 흩어진 가족 같은 간부를 잃는다","마리오세의 동시다발 공격을 끝내기","저택 습격대를 전멸시키고 부상당한 페르난도에게 피노 등 간부들의 피살과 사업장 파괴를 듣는다","피노 포함 중간 보스 3명 사망·페르난도 부상·플라자호텔 피해","강혁이 소모전 대신 바랑키야 마리나호텔의 마리오세를 직접 친다","저택과 신병을 지키고 반격 목표를 좁힌다","의리·전략","방어전 승자→적 수뇌 참수 작전자","7·8층 요새 호텔 침투","저택 습격대","마리오세·호세 동시 제거","E03","high"
15,"ⓚ남자의 길 15화","4. 카운터펀치",1664,1796,"방어전 승자→적 수뇌 참수 작전자; 강혁은 마리오세가 도망치기 전에 8층 진입라는 당면 과제에 들어선다","도시의 소란을 미끼 삼아 지붕에서 칼끝을 내린다","마리오세가 도망치기 전에 8층 진입","사업장 동시 공격으로 시선을 흩트리고 관광객으로 위장해 계단 경비를 죽인 뒤 옥상에서 로프로 하강한다","호텔 7·8층의 요새화·수적 열세·발각 시 퇴로 단절","모랄레스의 로비·7층 공격이 미끼가 되고 강혁이 8층 창을 깨고 최루탄을 던진다","적 수뇌 앞까지 은밀히 도달한다","침투·대결","외곽 교란자→마리오세 방 안의 처단자","최루가스 속 마리오세 결투","바랑키야 진입","마리오세 사살·호텔 탈출","E03","high"
16,"ⓚ남자의 길 16화","5. 견제",1797,1913,"외곽 교란자→마리오세 방 안의 처단자; 강혁은 마리오세·호세를 제거하고 철수하기라는 당면 과제에 들어선다","두 수뇌를 자른 뒤 적의 조직까지 삼킨다","마리오세·호세를 제거하고 철수하기","마리오세를 사살한 뒤 7층 후방을 수류탄으로 치고 호세까지 죽여 팀을 빼낸다","다수 경호원·부상 위험·도시 한복판 추격","지도부가 사라진 마리오세 조직과 농장을 15일 만에 흡수한다","콜롬비아 최대 카르텔 지위와 경쟁자 자산을 얻는다","권력·결산","지역 신흥 보스→콜롬비아 최대 카르텔 수장","CIA 제네로·발크와 플로리다 크리먼이 주시한다","마리오세·호세 전쟁","CIA 견제·미국 마피아 충돌","E03","high"
17,"ⓚ남자의 길 17화","5. 견제",1914,2009,"지역 신흥 보스→콜롬비아 최대 카르텔 수장; 강혁은 흡수 조직을 안정시키고 유통 현금 만들기라는 당면 과제에 들어선다","승리 뒤 보상 규칙이 새 적의 욕심을 부른다","흡수 조직을 안정시키고 유통 현금 만들기","사상자 가족을 보상·고용하고 마리오세 아들을 잡아 숨긴 5억 달러를 회수한 뒤 로슨을 부른다","불만 세력·플로리다 마피아와 소카르텔의 연합 움직임","로슨을 통해 탈취한 마약 300kg을 미국에 풀 계획이 선다","죽은 부하의 가족과 살아남은 조직원을 품는다","통치·사업","정복자→보상과 현금 흐름을 갖춘 통치자","로슨과 대규모 판매 협상","마리오세 잔존 자산","플로리다 마피아 견제·미국 시장","E04","high"
18,"ⓚ남자의 길 18화","5. 견제",2010,2111,"정복자→보상과 현금 흐름을 갖춘 통치자; 강혁은 탈취 물량을 팔고 양지 사업 기반 얻기라는 당면 과제에 들어선다","마약 현금이 합법 사업과 대통령 접촉으로 바뀐다","탈취 물량을 팔고 양지 사업 기반 얻기","로슨에게 LA 마피아 직접 매입과 중개를 맡겨 1억5천만 달러 규모를 확보하고 보고타에서 마리오 대통령을 만난다","미국 조직 간 이해·정치권 허가 필요·불법 자금 세탁","강혁이 유통·커피 사업을 국가 투자 카드로 제시한다","마약 더미를 현금과 정치 접근권으로 전환한다","사업·정치","카르텔 보스→국가급 투자 협상자","마리오 대통령이 원하는 대가","탈취 마약 판매 경로","콜롬비아 합법 사업·정치 뇌물","E04","high"
19,"ⓚ남자의 길 19화","5. 견제",2112,2212,"카르텔 보스→국가급 투자 협상자; 강혁은 전국 유통 허가와 정치적 보호 확보라는 당면 과제에 들어선다","뇌물과 투자가 암흑가 돈에 합법 외피를 입힌다","전국 유통 허가와 정치적 보호 확보","5000만 달러 투자와 분기당 200만 달러 제공을 약속하고 오르테를 대표로 코리아 유통을 세운다","마리오의 탐욕·국가 관료제·5억 달러 자산의 출처","대통령 허가와 토지·사업 편의를 한꺼번에 얻는다","카르텔 자금을 합법 유통망으로 돌릴 문을 연다","정치·지위","범죄 자산 보유자→대통령이 후원하는 사업가","플로리다 시장을 흔든 대량 판매의 보복","대통령 접촉","코리아 유통·크리먼의 반격","E04","high"
20,"ⓚ남자의 길 20화","5. 견제",2213,2324,"범죄 자산 보유자→대통령이 후원하는 사업가; 강혁은 플로리다의 의도를 확인하고 전쟁 명분 지키기라는 당면 과제에 들어선다","선을 넘지 않으려던 자제가 항구 폭파로 시험받는다","플로리다의 의도를 확인하고 전쟁 명분 지키기","모랄레스의 선공 제안을 막고 정보팀을 만들지만 톰슨이 부두 경비 4명과 150톤 밀수선을 폭파하자 리터를 추적한다","부하 사망·핵심 선박 상실·먼저 치면 명분을 잃는 제약","리터가 감시 직전 달아난 사실이 플로리다의 개입을 확증한다","상대가 먼저 선을 넘었다는 반격 명분을 얻는다","대결·명분","관망자→보복전 준비자","전문 정보 책임자 영입","미국 유통 안정 기대","리터·톰슨 포획·플로리다 전쟁","E04","high"
21,"ⓚ남자의 길 21화","6. 충돌",2325,2437,"관망자→보복전 준비자; 강혁은 리터와 톰슨을 생포해 배후 증명하기라는 당면 과제에 들어선다","정보 한 줄이 정글 공중강습으로 번진다","리터와 톰슨을 생포해 배후 증명하기","맥그리거에게 플로리다를 묶어달라 부탁하고 전 방첩대장 페레즈를 50만 달러에 영입해 아라우카 농장을 찾는다","미국인 15명·피에로 카르텔·정글 요새·외교 파장","육군 UH-1 네 대와 MI-28을 포함한 38명 강습안을 세운다","처음으로 전문 정보조직과 표적 좌표를 얻는다","정보·전력","직감에 의존한 보스→정보전과 공중전 지휘자","아라우카 농장 공습","리터 행방","리터 생포·소카르텔 소탕","E04","high"
22,"ⓚ남자의 길 22화","6. 충돌",2438,2547,"직감에 의존한 보스→정보전과 공중전 지휘자; 강혁은 아라우카 농장 방어선을 붕괴시키기라는 당면 과제에 들어선다","공격헬기가 카르텔 농장을 전장으로 바꾼다","아라우카 농장 방어선을 붕괴시키기","MI-28로 감시탑·숙소·본채를 파괴하고 38명 지상대를 투입한다","대공 사격·정글 도주로·리터의 탈출","생존자 흔적을 따라 리터 추격전으로 전환한다","피에로 카르텔의 요새와 화력을 무력화한다","전술·추적","공습 개시자→도주하는 핵심 표적 추격자","RPG와 드럼통이 놓인 퇴로","농장 방어선","리터·톰슨 생포","E04","high"
23,"ⓚ남자의 길 23화","6. 충돌",2548,2650,"공습 개시자→도주하는 핵심 표적 추격자; 강혁은 리터·톰슨을 생포하고 연합 세력 제거라는 당면 과제에 들어선다","두 미국인을 잡아 플로리다의 손목을 꺾는다","리터·톰슨을 생포하고 연합 세력 제거","RPG와 드럼통으로 퇴로를 끊어 두 사람을 잡고 하보크·UH-1로 피에로 포함 소카르텔 3곳을 연달아 쓸어버린다","정글 추격·연속 작전 피로·미국 마피아 보복 위험","맥그리거의 후방 압박 때문에 크리먼이 전면전을 포기하고 키웰을 보낸다","침투 책임자와 국내 경쟁 카르텔을 동시에 제거한다","권력·협상","피해자→사과를 받아낼 우세 협상자","키웰이 오해라며 200만 달러를 제시","리터·피에로 연합","크리먼의 배상·플로리다 굴복","E04","high"
24,"ⓚ남자의 길 24화","6. 충돌",2651,2761,"피해자→사과를 받아낼 우세 협상자; 강혁은 크리먼에게 재침범 불가 규칙 각인라는 당면 과제에 들어선다","돈보다 굴욕을 요구해 적의 체면을 겨눈다","크리먼에게 재침범 불가 규칙 각인","키웰의 200만 달러를 거절하고 1000만 달러와 크리먼의 직접 사과를 요구하며 맥그리거와 마이애미 교란을 맞춘다","평의회 개입 가능성·플로리다의 자존심·시간 제한","LA의 청부 공격과 항구로 간다는 100명 블러프가 마이애미를 압박한다","플로리다 본진에 공포와 선택 강제를 건다","협상·위신","우세 협상자→적 본거지를 흔드는 압박자","크리먼의 최종 선택 시한","키웰의 변명","1000만 달러·공개 사과","E04","high"
25,"ⓚ남자의 길 25화","7. 새로운 기회 (1)",2762,2860,"우세 협상자→적 본거지를 흔드는 압박자; 강혁은 플로리다 전쟁을 명확한 승리로 결산라는 당면 과제에 들어선다","사과와 돈을 받아 사람들에게 다시 나눈다","플로리다 전쟁을 명확한 승리로 결산","크리먼의 1000만 달러 송금과 사과를 받고 유족에게 300만 달러·조직원에게 5만 달러씩 지급한다","전쟁 사망자·미국 평의회의 세력 균형 요구","슈타이너가 LA와 플로리다를 정리해 크리먼의 확장을 봉쇄한다","희생자 가족 보상과 콜롬비아 암흑가 통일을 확정한다","결산·통치","전쟁 보스→콜롬비아 통일 세력의 수장","코리아마트 1호점과 커피농장 가동","플로리다 충돌·소카르텔","합법 유통 성장·새 투자 기회","E04","high"
26,"ⓚ남자의 길 26화","7. 새로운 기회 (1)",2861,2969,"전쟁 보스→콜롬비아 통일 세력의 수장; 강혁은 코리아마트를 안착시키고 양지 사업 확장라는 당면 과제에 들어선다","가족 같은 식사와 전국 유통 성공 뒤 땅속 기회가 열린다","코리아마트를 안착시키고 양지 사업 확장","마리아·알론소와 식사하고 대통령 참석 개점식과 저가 직거래로 성공한 뒤 10개 점포·메데인 창고를 추진한다","시장 경쟁·FARC 폭탄 테러·불안한 정국","마리오 대통령이 야노스 분지 광구 개발권을 제안한다","마리아 가족과 정서적 가까움·코리아마트 대박","사업·관계","카르텔 수장→전국 유통 기업가","FARC 위험이 붙은 광구 조사","플로리다 전쟁","야노스 유전·마리아 관계","E05","medium"
27,"ⓚ남자의 길 27화","8. 새로운 기회 (2)",2970,3073,"카르텔 수장→전국 유통 기업가; 강혁은 야노스 제안의 실익과 위험 판정라는 당면 과제에 들어선다","반군 위험보다 수억 배럴 가능성을 택한다","야노스 제안의 실익과 위험 판정","전문가 조사로 6~7억 배럴 가능성을 확인하고 참모들의 만류에도 개발을 수락한다","FARC 통제 지역·막대한 초기 투자·실패 시 전재산 위험","강혁이 위험을 피하지 않고 조건 협상으로 들어간다","카르텔 밖 거대 산업으로 뻗을 진로를 고른다","선택·진로","유통 기업가→석유 개발 도전자","마리오와 지분·경비·뇌물 협상","광구 가치 조사","유전 계약·FARC 충돌","E05","high"
28,"ⓚ남자의 길 28화","8. 새로운 기회 (2)",3074,3190,"유통 기업가→석유 개발 도전자; 강혁은 개발 통제권과 자체 방어권 확보라는 당면 과제에 들어선다","돈과 무장을 묶어 광구 대부분을 가져온다","개발 통제권과 자체 방어권 확보","50년 무상 임대·자체 무장 경비·두 광구 지분 90%를 총 1억 달러 조건으로 협상한다","공식 6000만 달러 외 마리오 개인 4000만 달러·정치 변심 위험","마리오의 탐욕을 이용해 국가보다 큰 지분을 얻는다","야노스 두 광구의 실질 주인이 된다","정치·자산","석유 도전자→90% 지분 보유자","미국 법인 설립과 국제 보호막 필요","광구 협상","미국 법인·자금·경비대","E05","high"
29,"ⓚ남자의 길 29화","8. 새로운 기회 (2)",3191,3298,"석유 도전자→90% 지분 보유자; 강혁은 미국 법인과 정부 비호 확보라는 당면 과제에 들어선다","CIA와 거래해 불법 공급을 시민권과 보호로 바꾼다","미국 법인과 정부 비호 확보","LA에서 발크의 물량 조절·DEA 불개입·시민권 제안을 받아들이고 데이비드 김에게 법인 설립을 맡긴다","CIA의 통제·거절 시 단속·신분 노출","강혁이 복종이 아니라 상호 이익 조건으로 CIA 손을 잡는다","미국 활동권과 유전 보호 가능성을 얻는다","동맹·지위","남미 카르텔 보스→CIA가 관리하는 국제 사업자","코리아타운 냉면집의 싸움","미국 법인 필요","이경식과의 만남·CIA 의존","E05","high"
30,"ⓚ남자의 길 30화","8. 새로운 기회 (2)",3299,3433,"남미 카르텔 보스→CIA가 관리하는 국제 사업자; 강혁은 코리아타운에서 잠시 쉬고 사람을 살피기라는 당면 과제에 들어선다","낯선 탈북자의 의리가 미래 경비대를 예고한다","코리아타운에서 잠시 쉬고 사람을 살피기","냉면집에서 이경식·아내·딸 정혜를 보고 그가 딸을 괴롭힌 히스패닉 3명을 제압하는 장면을 지켜본다","보호비를 뜯는 갱·경식의 불법체류와 체포","이경식이 가족을 위해 맨몸으로 맞서고 경찰에 끌려간다","강혁이 돈 아닌 실력과 가족 의리를 갖춘 인물을 발견한다","관계·인재","사업 준비자→새 전우 후보를 본 보스","이경식의 석방과 과거 확인","LA 체류의 휴식","이경식 구출·경비대 영입","E05","high"
31,"ⓚ남자의 길 31화","8. 새로운 기회 (2)",3434,3561,"사업 준비자→새 전우 후보를 본 보스; 강혁은 이경식을 빼내 유전 경호 책임자로 영입라는 당면 과제에 들어선다","도움을 빚으로 남기지 않고 함께 갈 일로 바꾼다","이경식을 빼내 유전 경호 책임자로 영입","로슨·데이비드 김을 통해 석방시키고 북한 24해상저격여단 출신의 망명 사연을 들은 뒤 월 1만 달러와 가족 이주를 제안한다","미국 내 불안정 신분·가족 안전·살인적인 임무","이경식이 강혁의 손을 잡고 콜롬비아행을 선택한다","전투 전문가와 가족 단위의 신뢰를 얻는다","의리·인재","도움받은 탈북자↔강혁의 핵심 전우","한국인 전역자 추가 모집","이경식 체포","야노스 경비대·경식 가족 정착","E05","medium"
32,"ⓚ남자의 길 32화","9. 준비를 하다",3562,3655,"도움받은 탈북자↔강혁의 핵심 전우; 강혁은 자체 경비대를 조직하고 시추 준비라는 당면 과제에 들어선다","유전 계약이 한국인 전우 모집과 반군 경고로 이어진다","자체 경비대를 조직하고 시추 준비","조익상을 통해 박종국 등 한국인 전역자 15명을 모집하고 보틀러 오일을 500만 달러에 인수한다","라울 레예스의 위협·훈련 시간·기술 회사의 낡은 장비","박종국이 현지인 200명 훈련 지휘를 맡는다","전투 경험을 계약 가능한 경비 조직으로 바꾼다","전력·사업","유전 소유자→자체 군사조직을 꾸리는 개발자","CIA 무기 제안과 현지인 훈련","경비대 핵심 영입","200명 경비대·FARC 충돌","E06","high"
33,"ⓚ남자의 길 33화","9. 준비를 하다",3656,3758,"유전 소유자→자체 군사조직을 꾸리는 개발자; 강혁은 경비대 장비와 기동력 완성라는 당면 과제에 들어선다","마약 이익이 합법 유전을 지킬 군사 장비가 된다","경비대 장비와 기동력 완성","박종국·한국인 교관이 200명을 훈련하고 CIA의 중국행 마약 대금으로 블랙호크 3대·험비 10대·장비를 할인 구매한다","CIA의 반좌익 이해관계·대규모 비용·훈련 미숙","컨테이너와 헬기가 도착해 경비대가 실전 배치 가능해진다","불법 수익을 방어 전력으로 전환한다","전력·자산","훈련 중 민병대→기동 가능한 기업 경비군","야노스 A-2 현장 진입","훈련 인원 확보","첫 시추·FARC 실전","E06","high"
34,"ⓚ남자의 길 34화","9. 준비를 하다",3759,3859,"훈련 중 민병대→기동 가능한 기업 경비군; 강혁은 경비대의 명분과 정부군 협조 확보라는 당면 과제에 들어선다","거인의 꿈을 말하고 정직한 장군과 거래한다","경비대의 명분과 정부군 협조 확보","불평등을 줄일 일자리와 거대 기업의 꿈을 설명한 뒤 A-2 현장에서 파디야 소장을 만나 보급품·위스키로 협조를 얻는다","경비원들의 두려움·3사단 병력 부족·파디야의 뇌물 거부","직접 돈을 받지 않는 파디야에게 실용 지원으로 신뢰를 산다","부하들이 돈벌이 아닌 공동 목표를 공유한다","리더십·동맹","사설군 고용주→비전과 군 협조를 가진 지휘자","1개 중대 지원 아래 시추 개시","경비대 장비화","3사단 동맹·시추 방어","E06","high"
35,"ⓚ남자의 길 35화","9. 준비를 하다",3860,3971,"사설군 고용주→비전과 군 협조를 가진 지휘자; 강혁은 A-2 시추 기지를 세우고 야간 방어라는 당면 과제에 들어선다","트럭 행렬이 정글에 요새를 세우자 첫 반군이 온다","A-2 시추 기지를 세우고 야간 방어","코리아 유통 트럭 30대와 선발 경비 40명을 투입해 참호·12km 순찰선을 구축한다","험한 도로·긴 보급선·홀리에타가 이끄는 반군 약 100명","야간투시경이 접근 중인 FARC를 먼저 잡아낸다","기지를 완성하고 기습당할 순간을 선제 경보로 바꾼다","사업·전투","준비된 개발대→첫 실전 경계태세","홀리에타의 야간 습격","기지 구축","첫 FARC 방어전","E06","high"
36,"ⓚ남자의 길 36화","10. 콜롬비아 무장 혁명군<FARC>",3972,4109,"준비된 개발대→첫 실전 경계태세; 강혁은 홀리에타 부대를 격퇴하고 시추를 지키기라는 당면 과제에 들어선다","불을 끄고 기다린 경비대가 첫 전투를 압승한다","홀리에타 부대를 격퇴하고 시추를 지키기","박종국 지휘로 소등·포격·기관총 사격을 맞춰 반군 50명을 죽이고 7명을 생포한다","실전 첫 경험·2명 부상·홀리에타와 37명 탈출","강혁 측은 시추를 멈추지 않고 페르난도의 중국 마약 수익 보고까지 받는다","경비대 무손실에 가까운 승리와 자신감","전력·위신","신생 경비대→FARC를 꺾은 실전 부대","홀리에타가 레예스·마룰란다에게 대규모 증원을 청한다","첫 야간 기습","FARC 1000명 보복·시추 지속","E06","high"
37,"ⓚ남자의 길 37화","10. 콜롬비아 무장 혁명군<FARC>",4110,4207,"신생 경비대→FARC를 꺾은 실전 부대; 강혁은 FARC의 다음 수를 읽고 경계 강화라는 당면 과제에 들어선다","한 번의 패배가 반군 전체의 선택을 끌어낸다","FARC의 다음 수를 읽고 경계 강화","레예스와 리오스의 노선 갈등을 파악하고 접촉선을 유지하며 경비를 두 배로 늘린다","마룰란다의 권위·강경파 레예스·약 1000명 동원","마룰란다가 강혁의 카르텔까지 먹으려 레예스에게 총공격을 허가한다","적 내부의 균열과 공격 규모를 미리 감지한다","정보·전쟁","첫 승리자→반군 총력전의 표적","레예스의 대규모 차량 행렬 출발","홀리에타의 패배","FARC 총공세·리오스 노선 갈등","E06","high"
