sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"124","ⓚ남자의 길 124화","","14732","14869","강혁과 돌먼은 지붕에 들어왔고 마호메트 측은 핵탄두를 반출하려 한다.","좁은 저택 총격전 끝에 작전의 핵심 보상이 손에 잡힌다.","핵탄두를 확보하고 탈출로를 연다.","경비들과 층별 총격전을 벌여 CIA가 탄두를 장악하도록 길을 내고 피 흔적을 따라 밀로노프를 쫓는다.","밀로노프와 라브로프가 비밀 통로로 빠져나가고 내부 병력이 몰려든다.","핵탄두는 손에 들어오지만 전쟁을 끝낼 두 수장은 살아 달아난다.","소련제 핵탄두 실물 회수에 성공한다.","임무·추격","핵 회수 목표는 달성되지만 전쟁의 결말은 밀로노프 추격으로 미뤄진다.","밀로노프의 피 흔적과 저택 탈출전이 이어진다.","핵탄두 탈취","밀로노프·라브로프 생존과 탈출","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"125","ⓚ남자의 길 125화","","14870","14997","핵탄두는 확보했지만 밀로노프가 달아났고 저택은 포위되고 있다.","강혁이 적의 돈까지 빼앗고 폭발 속에서 빠져나간다.","밀로노프의 전쟁 자금을 없애고 생존 인원을 탈출시킨다.","밀로노프의 스위스 계좌에서 경매대금 1억5300만달러까지 전부 옮기고 C4로 저택을 무너뜨리며 철수한다.","경비와 경찰이 접근하고 폭파는 핵탄두 운반조까지 위협한다.","CIA는 약속한 야노스 광구 매각이 95퍼센트 진행됐다고 확인한다.","핵탄두·현금·석유 광구 약속을 한꺼번에 챙긴다.","자금·탈출","단순 임무 성공이 적 자금 몰수와 콜롬비아 자산 확대로 결산된다.","분노한 밀로노프가 항구의 엔젤3호를 노린다.","절벽 저택 탈출과 밀로노프 계좌 탈취","항구 봉쇄와 핵탄두 반출","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"126","ⓚ남자의 길 126화","","14998","15124","핵탄두를 실은 엔젤3호가 출항 준비 중이고 밀로노프는 마지막 회수 기회를 노린다.","항구가 헤드라이트와 총탄이 얽힌 퇴로 없는 전장으로 변한다.","탄두와 사람을 배에 싣고 항구를 돌파한다.","밀로노프의 매복에 맞서 차량 헤드라이트를 집중 사격해 시야를 끊고 선적을 강행한다.","적의 자동화기와 경찰 접근 때문에 부상자와 탄두를 동시에 지켜야 한다.","빛을 꺼버린 강혁의 즉흥 판단이 밀로노프의 조준 우세를 무너뜨린다.","엔젤3호 쪽으로 이동할 짧은 퇴로가 열린다.","전투·탈출","탈출조가 수세에서 야간 시야를 지배하는 반격으로 돌아선다.","강혁과 이경식이 후위에 남아 추격대를 막아야 한다.","항구 매복 파악","후위전과 부상자 이송","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"127","ⓚ남자의 길 127화","","15125","15251","엔젤3호는 곧 떠나지만 적의 사격이 선착장을 묶고 있다.","보스가 부상한 부하를 버릴 수 있는지 시험받는다.","남은 인원을 배에 태울 시간을 벌고 이경식과 함께 살아나간다.","강혁과 이경식이 후위에서 사격을 이어가며 퇴로를 지키고 부상한 이경식을 부축한다.","이경식은 어깨에 총을 맞고 경찰차까지 들이닥쳐 둘 다 포위된다.","딸 생일을 앞둔 이경식이 자신을 버리라 하지만 강혁은 의리 때문에 거절한다.","배와 핵탄두는 탈출할 시간을 번다.","의리·생존","임무보다 사람을 택한 강혁이 자유를 잃을 각오까지 한다.","경찰차에 포위된 두 사람이 어떤 방식으로 살아날지 남는다.","엔젤3호 출항 시간 확보","강혁·이경식 체포와 밀로노프의 접근","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"128","ⓚ남자의 길 128화","","15252","15392","강혁과 이경식은 항구에서 경찰과 밀로노프 양쪽에 둘러싸였다.","적에게 잡히느니 공권력을 택한 선택이 러시아 동맹의 효력으로 돌아온다.","이경식을 살리고 밀로노프 손에 넘어가지 않는다.","경찰에 스스로 투항해 밀로노프의 스코폴라민 위협을 피하고 시간을 번다.","부패 경찰이 둘을 밀로노프에게 넘길 수 있고 이경식은 총상으로 버티기 어렵다.","야쿠보프 명령을 받은 데리파스카와 군사경찰이 나타나 둘을 석방시킨다.","핵탄두는 빠져나가고 강혁·이경식도 생환한다.","동맹·의리","야쿠보프와 맺은 거래가 실제 생명줄로 결산되고 강혁의 복수 의지가 선명해진다.","강혁은 밀로노프를 끝내기 위해 다시 돌아오겠다고 선언한다.","항구 탈출과 이경식 생존","밀로노프 완전 제거","M03 밀로노프의 돈줄을 태우고 절벽 저택에서 핵탄두를 빼내다","high"
"129","ⓚ남자의 길 129화","31. 결말","15393","15505","핵탄두는 회수됐지만 밀로노프가 살아 있고 이경식은 병원에 누워 있다.","강혁이 중재를 거부하고 일주일 안에 전쟁을 끝내겠다고 못박는다.","야쿠보프의 방패를 활용해 밀로노프를 완전히 지운다.","야쿠보프의 화해 제안을 거절하고 경찰을 묶어달라 요구한 뒤 이경식을 찾아 약속한다.","라이언 등 CIA 요원 셋이 죽어 미국 측 전력은 약해졌고 장기전은 모두에게 부담이다.","강혁은 핵탄두를 CIA가 가져가는 대신 러시아 극동함대에 돌려주는 카드를 제안한다.","복수의 시간표와 러시아에 줄 정치적 선물이 확정된다.","선택·동맹","생존 후 도피가 아니라 러시아 국가 이익을 끌어들인 결말 작전으로 전환된다.","미국 승인과 핵탄두 반환 실행이 필요하다.","강혁·이경식 생환","핵탄두 반환과 일주일 내 밀로노프 제거","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"130","ⓚ남자의 길 130화","","15506","15620","강혁은 핵탄두를 러시아에 넘겨 동맹을 굳히려 하지만 미국 정부 승인이 필요하다.","위험한 물건이 정치적 빚으로 바뀐다.","오바마 행정부를 설득하고 야쿠보프에게 결정적 공을 안긴다.","발크를 통해 오바마와 클린턴의 승인을 받아 수송대를 극동군 사령부로 보내 탄두를 인계한다.","CIA의 공작 실패가 드러날 수 있고 미국은 전략 자산을 포기해야 한다.","미국도 소련제 핵무기를 원주인에게 돌려주는 외교적 모양새를 선택한다.","야쿠보프는 핵탄두 회수의 영웅이 되고 강혁에게 큰 빚을 진다.","정치·동맹","비밀 청부의 물건이 러시아 군부와 강혁을 묶는 국가급 공로로 환산된다.","강혁이 호텔로 돌아가 밀로노프를 공개적으로 끌어낼 차례다.","핵탄두 처리 방식","밀로노프 최종전 유인","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"131","ⓚ남자의 길 131화","","15621","15748","야쿠보프는 탄두를 돌려받아 경찰을 묶었고 밀로노프는 숨은 채 반격을 준비한다.","강혁이 도망자 행세를 버리고 적의 시야 한가운데 선다.","밀로노프가 조급하게 병력을 움직이도록 유인한다.","현대호텔로 공개 귀환해 태연히 머물고 톨레바에게 20명을 준비시키라고 지시한다.","밀로노프는 경찰청장 사바지를 압박해 라브로프가 직접 체포조를 이끌게 한다.","공권력으로 위장한 급습이 오히려 강혁이 기다린 표적 집결이 된다.","밀로노프 핵심 행동대와 라브로프가 한곳으로 모인다.","유인·주도권","숨어서 쫓던 강혁이 호텔을 미끼로 적의 선택을 통제한다.","라브로프의 호텔 급습을 폭발로 되받아칠 준비가 끝난다.","경찰 개입 차단","현대호텔 유인 폭파","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"132","ⓚ남자의 길 132화","","15749","15891","라브로프와 무장 경찰이 강혁이 있는 현대호텔 11층을 덮치려 한다.","비어 있는 방 전체가 적을 삼키는 함정으로 뒤집힌다.","라브로프의 주력 체포조를 한 번에 제거한다.","강혁 일행은 미리 빠져나가고 톨레바가 11층 전체에 설치한 폭약을 원격 기폭한다.","호텔 민간 피해와 국제적 파장이 생길 수 있고 폭발 전까지 발각되면 작전이 무너진다.","라브로프가 승리를 확신해 병력을 모두 끌고 들어온 순간 층 전체가 폭발한다.","밀로노프의 핵심 행동대와 라브로프 전력이 사실상 사라진다.","함정·전쟁","적의 공권력 공세가 밀로노프 본진을 비우는 자멸로 바뀐다.","숲속 별장에 남은 밀로노프를 직접 끝내야 한다.","호텔 체포조 제거","밀로노프 별장 최종 습격","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"133","ⓚ남자의 길 133화","","15892","16023","호텔 폭발로 라브로프 전력은 사라졌고 밀로노프는 숲속 별장에 고립됐다.","긴 러시아 전쟁이 별장 혈투에서 직접 끝난다.","밀로노프와 드미트리를 제거하고 살아서 철수한다.","차량 폭탄과 M72·USAS-12를 앞세워 별장을 돌파하고 박종석의 엄호 속에 두 수장을 사살한다.","중무장 경비의 집중사격으로 강혁이 죽을 뻔하고 일심회도 희생을 감수한다.","박종석이 몸을 던져 강혁을 살리고 톨레바가 동시에 시내 사업장을 장악한다.","밀로노프와 드미트리가 죽어 레드 마피아 전쟁의 적 수뇌부가 사라진다.","대결·의리","강혁과 일심회가 고용 관계를 넘어 서로 목숨을 건 전우가 된다.","무주공산이 된 자산과 사할린 이권을 어떻게 나눌지 남는다.","밀로노프 제거","레드 마피아 자산·조직 결산","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"134","ⓚ남자의 길 134화","32. 모스크바","16024","16133","밀로노프 수뇌부는 죽었지만 장부·사업장·탈북자 가족의 삶을 정리해야 한다.","승리의 전리품이 돈만이 아니라 사람들의 정착으로 분배된다.","러시아 판을 안정시키고 박종석·톨레바·야쿠보프 모두가 받아들일 결산을 만든다.","사업장과 장부를 접수해 사바지와 주지사에게 모나코 지분 20퍼센트씩을 주고 사할린 3·4광구를 야쿠보프와 반씩 나눈다.","박종석과 톨레바 사이 균형, 부패 권력의 몫, 가족 지원을 동시에 맞춰야 한다.","강혁은 일심회 가족에게 신분증과 아파트까지 지급해 약속을 완수한다.","레드 마피아 자산이 안정된 사업·정치 연합으로 재편되고 탈북자 가족도 정착한다.","결산·관계","밀로노프 전쟁이 끝나고 적대 세력을 사업 동업 구조로 바꾸는 모스크바 국면이 열린다.","노브렌스키와 레베드가 새 세력 강혁을 어떻게 받아들일지가 문제다.","핵탄두·밀로노프 전쟁과 일심회 처우","모스크바 마피아 관계와 SGL 구상","M04 핵탄두를 극동함대에 돌려주고 밀로노프를 끝내다","high"
"135","ⓚ남자의 길 135화","","16134","16232","밀로노프의 빈자리를 강혁이 차지하자 모스크바의 노브렌스키와 레베드가 경계한다.","새 전쟁 대신 시베리아 가스관이라는 거대한 공동 이익이 제시된다.","두 마피아 보스와 충돌하지 않고 장기 사업 동맹을 만든다.","9억달러 규모 SGL을 세 사람 동등 지분으로 설계하고 자신이 CEO를 맡아 고위 관료 접촉을 제안한다.","서로의 힘을 믿지 못하고 러시아 국가 사업에는 막대한 인허가와 자금이 필요하다.","적대 가능성이 있던 두 보스가 동일 지분과 역할을 보고 동업에 동의한다.","레드 마피아 전쟁이 세 세력의 SGL 컨소시엄으로 전환된다.","진로·동맹","폭력으로 얻은 러시아 기반이 국가급 에너지 사업 경력으로 이동한다.","고위 관료를 매수하고 자금 50억달러를 마련해야 한다.","모스크바 보스들과 전쟁 회피","SGL 인허가와 자금 조달","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"136","ⓚ남자의 길 136화","","16233","16351","SGL 동업은 성립했지만 러시아 관료의 승인과 강혁 몫의 자금 출처가 없다.","콜롬비아 마약 자금과 러시아 관료 사회가 한 사업판으로 연결된다.","사업비를 만들면서 내무·재무 라인을 설득할 접점을 잡는다.","리오스와 FARC의 마약 전량을 제값에 사주기로 하고 내무장관 베냐민과 재무장관 스트로트차크를 만난다.","거대한 현금 거래는 위험하고 관료들은 말만으로 인허가를 내주지 않는다.","강혁은 지하 자금원을 SGL의 합법 투자금으로 바꾸는 동시에 관료의 사적 욕망을 읽는다.","마약 공급 확보와 두 핵심 장관을 직접 매수할 협상 자리를 얻는다.","자금·정치","범죄 수익이 러시아 기간산업을 움직일 자본으로 세탁되는 길이 열린다.","두 장관에게 얼마를 주고 어떤 승인까지 받아낼지가 남는다.","SGL 공동사업 합의","러시아 장관 매수와 공사권 승인","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
"137","ⓚ남자의 길 137화","","16352","16463","베냐민과 스트로트차크는 SGL에 영향력을 행사할 수 있지만 대가가 필요하다.","뇌물로 문을 열어도 대통령 한마디가 더 큰 자금 위기를 만든다.","두 장관의 협조와 공식 사업권을 얻는다.","리히텐슈타인 계좌에 각 500만달러를 넣고 성과 뒤 같은 액수를 더 주겠다고 약속한다.","거액의 뇌물과 정치 위험을 감수해도 최종 승인자는 푸틴이다.","인허가는 통과하지만 푸틴이 미국 자본 배제를 조건으로 내걸어 50억달러 구멍이 생긴다.","SGL 사업권의 행정적 길은 열리지만 금융 구조를 새로 짜야 한다.","정치·자금","허가 문제는 해결되고 위기의 축이 자금 조달로 명확히 이동한다.","미국 돈 없이 50억달러를 누가 댈지 찾아야 한다.","러시아 장관 포섭","푸틴 승인 조건과 50억달러 조달","M05 레드 마피아 전쟁을 SGL 동업으로 바꾸고 푸틴과 한중일을 움직이다","high"
