sequence,visible_label,title,start_line,end_line,entry_state,reader_promise,protagonist_goal,action,resistance_or_cost,turn_or_reveal,paid_reward,state_change_axis,state_change,ending_hook,closed_loops,opened_loops,arc_candidate,confidence
"227","227화","","27542","27682","폭발로 머리를 다친 강혁이 회의실 잔해에서 깨어나고 휴게실의 마리아를 떠올린다.","강혁이 자기 부상보다 마리아를 먼저 구하며 애매했던 관계의 진심을 행동으로 드러낸다.","책장에 깔린 마리아를 살려 수술실까지 보낸다.","2차 폭발 위험을 무릅쓰고 피케와 문을 부수며 들어가 마리아를 꺼내 직접 안고 성 브록스 병원까지 달리고 수술 결과 전까지 자신의 치료도 거부한다.","마리아는 머리와 하반신을 크게 다치고 60여 명이 사상했으며 광산 가동은 최소 1년·약 5억달러 손실을 입는다.","보호자 관계란에 친구도 애인도 쓰지 못한 강혁은 수영과 마리아를 저울질한 대가처럼 느끼며 처음으로 선택 회피의 죄책감과 마주한다.","수술은 성공하지만 하반신 신경 손상 가능성이 남고 강혁은 범인을 철저히 복수하겠다고 맹세한다.","관계/감정","마리아는 숨겨 둔 연인이 아니라 강혁이 목숨과 조직을 걸고 지킬 사람으로 행동상 격상된다.","폭발 현장에 강혁이 있었다는 뉴스를 본 등안군의 심장이 내려앉는다.","마리아의 응급 구조와 수술 성공","마리아의 보행 가능성·테러 배후 추적·복수","L14-B 보크사이트 광산 탈환과 14K 차단","high"
"228","228화","","27683","27819","등안군은 강혁이 폭발 현장에 있었다는 사실에 겁먹고 소평 일행을 베네수엘라로 빼돌리려 한다.","강혁이 콜롬비아 정보망과 직접 총격으로 테러 실행범을 잡고 물증을 확보한다.","광산 테러 배후를 다렌으로 확정하고 복수 대상을 손에 넣는다.","페레즈가 왕 부장의 TNT 반출을 찾아내자 빈민가 여관 203호를 피케·조직원 열 명과 습격해 장용을 사살하고 소평·장천을 생포한다.","총격에서 조직원 한 명을 잃고 마리아는 마이애미로 이송되며 아직 보행 여부도 모른다.","실행범 캐리어의 동일 TNT와 기폭장치가 정황을 움직일 수 없는 물증으로 바꾼다.","강혁은 실행범 둘을 잡고 마리아에게 최고의 미국 의료진을 붙인 뒤 다렌 응징을 숙고한다.","복수/증거","분노가 막연한 살기에서 실행범·TNT·왕 부장으로 이어지는 구체적 복수선으로 수렴한다.","잔금을 전달하고 회사로 돌아온 왕 부장이 밤늦게 불 켜진 등안군 방으로 들어간다.","테러 실행범 추적과 생포","소평·장천 심문과 다렌 지부 응징","L14-C 마리아 피습과 다렌 지부 처단","high"
"229","229화","","27820","27962","다렌 지사가 철수 준비를 마친 밤 왕 부장과 등안군은 실행범을 빼돌리고 귀국하려 한다.","강혁이 사랑하는 사람과 부하들의 피값을 직접 받아내는 잔혹한 결산이다.","왕 부장과 등안군을 붙잡아 테러의 책임을 묻고 다렌 본사에 재발 불가 경고를 남긴다.","이경식이 주차장에서 왕 부장을 생포하고 강혁은 경호원을 쏜 뒤 등안군의 뼈와 관절을 차례로 부숴 심장을 쳐 죽인다.","등안군은 시설만 부수라 했다고 변명하지만 마리아와 60여 명의 사상은 되돌릴 수 없고 강혁의 분노는 죽은 뒤에도 멈추지 않는다.","강혁이 공개적으로 내가 사랑하는 사람을 잃을 뻔했다고 외치며 마리아에 대한 감정을 처음 명명한다.","등안군과 경호원이 죽고 왕 부장도 끌려가며 다렌 콜롬비아 지부의 현장 책임선이 제거된다.","관계/복수","마리아를 향한 애매한 정이 사랑이라는 목소리로 확정되고 강혁의 보복 원칙이 극단적으로 각인된다.","강혁이 알아볼 수 있도록 등안군의 팔을 잘라 다렌 쪽에 보내라고 명령한다.","왕 부장·등안군 응징","절단된 손목으로 다렌·14K에 보낼 경고와 후폭풍","L14-C 마리아 피습과 다렌 지부 처단","high"
"230","230화","","27963","28087","다렌 사장 원강민에게 등안군 등 관련자 다섯 명의 손목과 강혁의 경고 쪽지가 든 아이스박스가 도착한다.","공포·금전 보상과 마리아의 회복을 함께 지급하면서 14K의 다음 수를 남긴다.","다렌이 콜롬비아에서 완전히 철수하고 광산 피해값을 치르게 한다.","등안군 권한으로 다렌의 광산 인수자금 1억5000만달러를 30개 계좌로 빼앗고 재도전 시 경영진까지 없애겠다고 경고한다.","원강민은 거액 손실에 분노해 14K 주국철을 찾고 강혁은 마리아 곁을 떠나지 못해 사업을 미룬다.","다렌은 직원 전원 귀국을 결정하지만 원강민이 주국철에게 호소하면서 회사 차원의 항복과 14K 개인 보복이 갈라진다.","마리아는 신경 단절 없이 한 달이면 완쾌 가능하다는 진단을 받고 강혁에게 밖에서 활동하라고 등을 떠민다.","복수/관계","다렌 지부 처단은 1억5000만달러 회수로 끝나지만 마리아를 지키는 삶과 14K 전쟁이라는 두 길이 동시에 열린다.","피케가 병실 밖에서 북한 대사관 직원이 강혁을 만나고 싶어 한다고 보고하려 한다.","다렌 콜롬비아 철수·피해 보상·마리아 중상 위기","14K 주국철의 대응과 북한의 비밀 접촉","L14-C 마리아 피습과 다렌 지부 처단","high"
"231","231화","","28088","28199","마리아가 회복 중인 마이애미에서 북한 대사관이 강혁에게 비밀 면담을 청한다.","나진 거래로 쌓은 신용이 태양절 금수 사치품 밀수라는 위험한 부탁으로 돌아온다.","북한과의 통로는 지키되 제재 위반 위험에 맞는 조건과 미국의 묵인을 확보한다.","안가에서 문성철 대좌·차강희 중위를 만나 4장짜리 외제차·양주·명품시계 목록을 받고 수수료 10%와 수백억원 대금 전액 선불을 역제안한다.","납기까지 보름뿐이고 유엔 제재·미국의 미움을 살 수 있으며 문성철은 요구를 독자 승인할 수 없다.","강혁은 몇십억원 때문에 미국·콜롬비아 사업을 위험에 빠뜨리지 않겠다며 북한 답변 전 발크에게 CIA 조율부터 요청한다.","문성철은 본국 승인을 받으러 물러나고 강혁은 마리아 간호로 돌아간다.","외교/위험","강혁은 돈과 의리만으로 밀수를 받지 않고 북한 신용과 미국 안전판을 동시에 유지하는 중개자로 행동한다.","반대할 줄 알았던 발크가 랭리에서 날아와 뜻밖에 일을 받으라고 한다.","북한 측 부탁의 조건 협상","CIA가 태양절 물품 반입을 허용하는 숨은 목적","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"232","232화","","28200","28318","발크가 북한의 태양절 사치품 반입을 허용하자 강혁은 CIA의 속셈을 캐묻는다.","북한 거래를 미국의 정보 작전과 결합하고 14K 전면전 대신 내부 균열을 겨눈다.","태양절 물품을 안전하게 보내는 한편 삼합회 위협에 선제 대응할 방법을 찾는다.","CIA가 고급차 GPS를 북한 간부 동선 추적기로 쓰게 하고 북한에게 금괴 선불을 받아 물품 수배를 시작한다. 피케에게 14K 주용해·창용의 후계 갈등을 샅샅이 조사시킨다.","14K 해결사 다섯이 마이애미에 들어오려 했고 전면전은 수십만 조직원과 동반자살 위험이 있다.","발크가 해결사들을 공항에서 체포했다는 보호를 지급하고 피케는 창용이 주국철 아들 주용해에게 밀리고 MGM 카지노까지 빼앗긴 불만을 알려준다.","북한은 10% 조건을 전부 수락하고 수백억원 금괴를 건네며 문성철 일행은 강혁의 고급시계를 받아 떠난다.","동맹/전략","강혁은 CIA 보호 아래 북한의 신용 거래를 수행하면서 14K의 외부 압박을 내부 후계전으로 돌릴 실마리를 잡는다.","자본주의를 욕한 문성철조차 비싼 시계를 돌려주지 않고 넣어두라 한다.","CIA의 태양절 밀수 묵인·북한 선불 확보","창용 대 주용해 후계분열 활용과 물품 운송","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"233","233화","","28319","28433","강혁은 태양절 물품 수배를 페르난도에게 맡기고 마리아 곁에서 14K 후계 갈등 보고서를 받는다.","정면전 대신 상대의 자존심과 충성 균열을 찔러 스스로 내전을 일으키게 한다.","창용과 주용해의 갈등을 돌아올 수 없는 지점까지 밀어 넣는다.","주국철이 돈 되는 사업과 본토 자금을 아들 주용해에게 몰아주고 해결사 파견도 주용해 계파가 했음을 확인한 뒤 충직한 이경식에게 극비 폭파 임무를 맡긴다.","이경식은 목숨을 잃을 수 있고 창용이 패배를 인정해 주용해 밑으로 들어가면 계획은 무산된다.","이경식은 고향을 떠난 자신과 가족을 구해준 강혁에게 이미 목숨을 바쳤다며 이유도 묻지 않고 명령을 받는다.","이경식이 캐나다·호주·필리핀·홍콩을 돌아 가명 토마스 웨인으로 마카오 쉐라톤 1405호에 들어가 베레타·TNT·무선기폭장치를 수령한다.","의리/전략","강혁과 이경식의 은혜·충성 관계가 조직전쟁의 가장 은밀하고 위험한 실행력으로 전환된다.","이경식이 타이파 경마장 VIP 출입구와 창용의 동선을 관광객처럼 정찰한다.","14K 후계 갈등의 정보 수집","창용을 주용해와 전쟁하게 할 위장 폭파","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"234","234화","","28434","28564","이경식이 창용의 타이파 경마장을 정찰하고 마리아는 퇴원을 앞둔다.","정교한 위장과 폭약 기술로 창용은 살리고 공포만 극대화하는 공작을 완수한다.","창용이 주용해의 암살 시도로 오인할 차량 폭발을 만든다.","타이파 주택박물관 화장실에서 노인 관광객으로 변장해 일본인 흉내를 내며 넘어지는 척 창용의 벤츠 바퀴 안쪽에 폭탄을 붙인다.","창용 측은 상납금 두 배와 하부조직 이탈로 이미 흔들리지만 명분 없는 선제공격을 억누르고 있어 촉발점이 필요하다.","이경식은 창용이 차에 타기 전 무선 폭파해 운전수는 죽이되 목표는 가벼운 부상과 살해 공포만 느끼도록 피해 범위를 맞춘다.","경마장 VIP 주차장이 불타고 창용은 이것을 습격으로 받아들여 경호원들과 건물 안으로 피신한다.","공포/공작","창용의 수세적 인내가 자신을 죽이려 했다는 확신과 분노로 바뀔 조건이 완성된다.","불타는 벤츠와 쓰러진 부하들을 본 창용이 누가 자신을 노렸는지 추궁한다.","마카오 잠입·현장 정찰","폭발의 배후 오인과 창용의 결단","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"235","235화","","28565","28708","이경식이 멀리서 창용의 벤츠 폭발을 확인하고 흔적을 지운 채 마카오를 떠난다.","강혁의 한 번의 거짓 깃발 공작이 14K 후계 경쟁을 실제 총력전으로 폭발시킨다.","창용이 주용해를 범인으로 믿고 주국철 부자를 치게 만든다.","이경식에게 장기 휴가와 가족 경비를 지급하고 반응을 기다린다. 창용은 임표·양흥초와 회의해 주용해·주국철 제거를 결단하고 임표 부대가 주용해의 고급 술집을 습격한다.","주용해는 자신의 소행을 부인하고 마달천과 경호원들이 비밀 뒷문으로 탈출을 시도한다.","주용해가 방어를 위해 조직원을 모은 행동조차 창용에게 공격 준비의 증거로 읽혀 오해가 스스로 증식한다.","술집 안팎에서 총격전이 벌어지고 임표가 VIP룸을 장악하지만 주용해는 간발의 차로 빠져나간다.","전쟁/세력","강혁의 흔적은 사라지고 창용·주용해의 사적 불신이 14K 내전이라는 자생적 현실이 된다.","임표가 비밀 통로로 달아나는 주용해를 놓치기 전에 쫓으라고 외친다.","이경식의 무사 탈출·위장 폭파 완료","주용해 추격과 14K 내전의 승패","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"236","236화","","28709","28841","임표 부대가 비밀통로로 달아난 주용해를 추격하고 마달천이 뒤를 막는다.","마카오 내전의 1차 결산과 태양절 화물의 실제 나진 도착을 교차 지급한다.","창용을 완전히 쓰러뜨리지 않은 채 협상 가능한 반대세력으로 남기고 북한 거래를 완수한다.","마달천의 희생으로 주용해가 탈출하자 창용이 주국철까지 직접 치지만 주국철의 숨은 중립파 반격과 공안 투입으로 3일 전쟁이 소강된다. 강혁은 화물선으로 벤츠 등 선물을 나진항에 싣고 간다.","주용해를 놓친 창용은 명분·세력과 경마장까지 빼앗겨 절반 규모로 축소되고 마리아의 안전도 계속 신경 쓰인다.","초반 승리 뒤 몰락한 창용은 제거 대상이 아니라 강혁의 지원을 받아야만 생존 가능한 협상 상대로 바뀐다.","장성택이 직접 나진항에서 태양절 선물을 맞고 문성철·차강희를 치하한 뒤 강혁에게 나진 특구 공장 설립을 제안한다.","세력/외교","14K 내전은 강혁이 개입할 가격을 낮추고 북한과의 밀수 신뢰는 장성택 직통 제안으로 위상이 오른다.","강혁이 공장 제안을 완곡히 거절해도 장성택은 돌아가 검토하라고 압박한다.","14K 1차 내전·태양절 선물 납기","피케의 창용 담판과 나진 공장 투자 압력","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"237","237화","","28842","28982","강혁은 나진 초대소에서 태양절 화물 하역과 장성택의 공장 제안을 검토하고 창용은 마지막 직계 조직만 남는다.","막다른 창용이 스스로 미리내의 손을 잡게 만들어 외부개입의 명분과 대가를 얻는다.","14K 지도부 교체를 창용의 요청 형식으로 실행할 계약을 맺는다.","장성택 제안의 배경을 알아보라 한 뒤 피케가 펜야 성당 언덕 주택에서 창용·양흥초를 만나 주국철 부자를 이틀 안에 제거하겠다고 제안한다.","창용은 외부 세력을 조직 내전에 끌어들이는 부담과 믿기 어려운 암살 약속 사이에서 망설인다.","충성하는 부하들을 개죽음시킬 수 없다는 양흥초의 말에 창용이 생존과 조직을 위해 자존심을 접는다.","창용은 주국철 부자를 없애주면 강혁이 원하는 것을 다 들어주겠다고 약속한다.","동맹/세력","강혁을 몰아내려던 14K의 후계후보가 이제 강혁 없이는 살 수 없는 의뢰인으로 뒤집힌다.","귀가하는 창용은 성공을 확신하지 못하면서도 정예 50명을 준비시키기로 한다.","창용의 고립과 미리내 접촉 성사","주국철 부자 암살 작전과 그 대가","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"238","238화","","28983","29119","창용이 피케의 암살 약속에 마지막 희망을 걸고 정예 50명을 대기시킨다.","강혁이 직접 장거리 저격수로 나서 14K 내전의 목을 벤다.","주국철·주용해를 저택 밖의 조명된 골목으로 몰아낸다.","마닐라에서 가짜 여권으로 마카오에 잠입해 창용의 시내 소란을 미끼로 정문에 무인 TNT 차량과 M72 로켓·기관단총 공격을 배치하고 맞은편 빌라 옥상에서 M-200 체이탁을 겨눈다.","주국철 저택은 수십 명이 경비하고 공안 도착 전 작전 여유는 약 10분뿐이며 피케는 보스의 직접 참가를 걱정한다.","강혁은 조직원 중 자신보다 저격을 잘하는 사람이 없다며 위험을 부하에게 떠넘기지 않고 현장 역할을 고수한다.","정문 폭발과 로켓 공격에 왕홍민이 주국철 부자를 동쪽 뒷문으로 피신시키며 두 목표가 조준선에 들어온다.","행동/리더십","강혁은 책략가에서 직접 방아쇠를 당기는 현장 보스로 전환해 작전 성패를 자기 실력에 건다.","야시경을 든 부하가 저택 오른쪽에서 목표가 나왔다고 알린다.","창용과의 암살 계약","주국철·주용해 저격 성공 여부","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
"239","239화","","29120","29269","주국철과 주용해가 경호원 사이로 동쪽 골목의 승용차에 오르려 한다.","두 발의 저격과 창용의 진격으로 14K 지도부가 한 번에 교체되는 최대 결산이다.","주국철 부자를 제거하고 창용이 마카오 14K를 접수하게 한다.","M-200으로 주국철의 머리와 주용해의 심장을 각각 첫발에 관통한 뒤 피케 부대를 철수시키고 창용에게 성공을 통보한다.","시간과 거리 오차가 치명적인 저격이고 철수 뒤에도 왕홍민 조직원들이 저격수를 찾는다.","보스·후계자가 동시에 죽은 직후 창용이 카니드룸에 모인 고위간부들을 덮쳐 지휘부 공백을 완전 붕괴로 바꾼다.","창용이 14K를 사실상 접수하고 강혁은 콜롬비아 저택으로 돌아와 완쾌한 마리아 가족과 평온한 식사를 한다.","세력/관계","적대 조직 14K의 새 보스는 강혁에게 왕좌를 빚지고 마리아와의 일상은 폭탄 이전의 온기를 회복한다.","고등학교 입학을 앞둔 알론소에게 강혁이 장래 희망을 묻는다.","주국철·주용해 제거와 창용의 역전승","알론소의 진로·강혁의 보호자 역할","L14-D 태양절 선물 운송과 14K 후계분열 공작","high"
