sequence,visible_label,start_line,end_line,status,fields_changed,evidence_lines,reason,before_after
261,261,46424,46598,PASS,"",prev L46414~L46423; hard L46424~L46598; next L46599~L46608,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
262,262화,46599,46766,PASS,"",prev L46589~L46598; hard L46599~L46766; next L46767~L46776,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
263,263,46767,46931,EDIT,paid_reward;closed_loops;opened_loops,prev L46757~L46766; hard L46767~L46931; next L46932~L46941,L46767~L46931의 애플 파크는 스티브의 건설 요청안이고 애플카는 구두합의다. 정식 수주·소유 보상과 닫힌 루프를 계약 전 상태로 분리했다.,"paid_reward=[태우건설은 최소 50억 달러급 애플 파크 수주를 얻고 태우자동차는 저가 이미지를 애플 브랜드로 바꿀 통로를 얻는다.] => [애플 파크 건설 요청안과 애플카 소프트웨어·디자인 협력 구두합의, 애플 최고 디자이너 투입 약속을 얻는다. 애플 파크 정식 수주 계약은 아직 전이다.] || closed_loops=[애플 파크 수주와 애플카 구두합의 루프] => [애플카 협력·비용부담 구두합의; 애플 파크 건설 요청안] || opened_loops=[아마존·태우 무인공장 협업과 서브프라임 도미노 루프] => [애플 파크 정식 계약; 애플카 세부조건·출시; 아마존·태우 무인공장 협업; 서브프라임 도미노]"
264,264,46932,47106,EDIT,resistance_or_cost;opened_loops,prev L46922~L46931; hard L46932~L47106; next L47107~L47116,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다. [MANAGER_FOLLOWUP] 시작 SHA 7053d49dc7025e48b56daa2b35458965918ffc570cd66be0f87f4239992581f8와 현재 화 hard line을 대조해 11개 narrative field 중 2개를 교정했다.","[MANAGER_FOLLOWUP] resistance_or_cost=[자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며 CITI도 2만 명 감원으로 버틴다.] => [자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며, 대형 금융사들의 실제 부실규모도 아직 드러나지 않았다.] || opened_loops=[CITI·리먼·AIZ를 고르는 금융 수확 루프] => [CITI·리먼 등 위기 금융사 수확] || [MANAGER_FOLLOWUP] resistance_or_cost=[자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며 CITI도 2만 명 감원으로 버틴다.] => [자동화 비용은 아직 인건비보다 비싸고 다이먼은 복수심에 들떠 있으며, 대형 금융사들의 실제 부실규모도 아직 드러나지 않았다.] || opened_loops=[CITI·리먼·AIZ를 고르는 금융 수확 루프] => [CITI·리먼 등 위기 금융사 수확]"
265,265,47107,47279,PASS,"",prev L47097~L47106; hard L47107~L47279; next L47280~L47289,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
266,266,47280,47441,PASS,"",prev L47270~L47279; hard L47280~L47441; next L47442~L47451,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
267,267,47442,47596,PASS,"",prev L47432~L47441; hard L47442~L47596; next L47597~L47606,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
268,268화,47597,47759,PASS,"",prev L47587~L47596; hard L47597~L47759; next L47760~L47769,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
269,269화,47760,47922,PASS,"",prev L47750~L47759; hard L47760~L47922; next L47923~L47932,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
270,270,47923,48088,PASS,"",prev L47913~L47922; hard L47923~L48088; next L48089~L48098,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
271,271화,48089,48270,PASS,"",prev L48079~L48088; hard L48089~L48270; next L48271~L48280,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
272,272,48271,48457,PASS,"",prev L48261~L48270; hard L48271~L48457; next L48458~L48467,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
273,273,48458,48644,PASS,"",prev L48448~L48457; hard L48458~L48644; next L48645~L48654,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
274,274,48645,48809,PASS,"",prev L48635~L48644; hard L48645~L48809; next L48810~L48819,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
275,275,48810,48978,PASS,"",prev L48800~L48809; hard L48810~L48978; next L48979~L48988,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
276,276,48979,49144,PASS,"",prev L48969~L48978; hard L48979~L49144; next L49145~L49154,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
277,277,49145,49297,PASS,"",prev L49135~L49144; hard L49145~L49297; next L49298~L49307,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
278,278화,49298,49458,PASS,"",prev L49288~L49297; hard L49298~L49458; next L49459~L49468,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
279,279화,49459,49610,PASS,"",prev L49449~L49458; hard L49459~L49610; next L49611~L49620,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
280,280,49611,49802,EDIT,paid_reward;closed_loops;opened_loops,prev L49601~L49610; hard L49611~L49802; next L49803~L49812,L49796~L49798은 대통령실장이 조만간 허가가 날 것이라고 약속한 장면이다. 실제 개발허가 취득으로 쓰지 않고 약속과 발급을 분리했다.,"paid_reward=[김민재의 계약은 국민이 믿는 공개 약속으로 바뀌고 금융허브는 초당 지지·정부 인허가를 모두 얻는다.] => [금융허브에 대한 공개 신뢰와 여야 지지, 대통령실장의 조속한 한전 부지 허가 약속을 얻는다. 실제 개발 허가는 아직 발급 전이다.] || closed_loops=[국민 신뢰 확보와 허가 명분 루프] => [금융허브 공개 신뢰와 여야 지지; 대통령실장의 조속한 허가 약속] || opened_loops=[버핏 자동차 투자·금융허브 착공 루프] => [한전 부지 실제 개발허가·착공; 버핏 자동차 투자]"
281,281,49803,49976,PASS,"",prev L49793~L49802; hard L49803~L49976; next L49977~L49986,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
282,282,49977,50135,PASS,"",prev L49967~L49976; hard L49977~L50135; next L50136~L50145,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
283,283,50136,50295,PASS,"",prev L50126~L50135; hard L50136~L50295; next L50296~L50305,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
284,284,50296,50455,PASS,"",prev L50286~L50295; hard L50296~L50455; next L50456~L50465,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
285,285,50456,50614,PASS,"",prev L50446~L50455; hard L50456~L50614; next L50615~L50624,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
286,286,50615,50766,EDIT,turn_or_reveal;paid_reward;state_change;closed_loops;opened_loops,prev L50605~L50614; hard L50615~L50766; next L50767~L50776,"L50615~L50766에서 500억 달러 통화스와프는 실행됐지만 법안은 여야 추진 경로, 게임은 베타 승인 단계다. 통과·흥행 완료와 분리했다.","turn_or_reveal=[국민경제당이 미래산업법을 주도하고 환경법으로 야당 체면을 세우는 초당 통과 경로가 생기며 태우IT에 장기 캐시카우 게임이 완성된다.] => [국민경제당이 미래산업법을 당론으로 추진하고 환경법으로 야당 체면을 세우는 초당 입법 경로가 생기며, 리그 오브 챔피언스의 한·미 베타 진행이 승인된다.] || paid_reward=[태우의 협상은 500억 달러 국가 안전판·미래산업 법제·차세대 정치인 육성·신작 게임으로 다중 결실을 낸다.] => [실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.] || state_change=[회귀 지식으로 위기를 독식하는 단계에서 대한민국 전체의 외환·법·인재 기반을 강화하는 총수 역할로 폭이 넓어진다.] => [500억 달러 통화스와프는 실행되고, 미래산업·탄소감축 법안과 청년 인재·게임은 실제 입법·출시 전 추진 단계로 구체화된다.] || closed_loops=[통화스와프·규제 완화 거래 루프] => [500억 달러 통화스와프 실행; 미래산업·탄소감축 법안의 여야 추진 경로; 한·미 게임 베타 승인] || opened_loops=[미국 자동차사 인수와 미래산업 상용화 루프] => [미래산업·탄소감축 법안 실제 통과; 리그 오브 챔피언스 베타·출시; 미국 자동차사 인수]"
287,287,50767,50931,PASS,"",prev L50757~L50766; hard L50767~L50931; next L50932~L50941,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
288,288,50932,51085,PASS,"",prev L50922~L50931; hard L50932~L51085; next L51086~L51095,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
289,289,51086,51250,PASS,"",prev L51076~L51085; hard L51086~L51250; next L51251~L51260,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
290,290,51251,51425,PASS,"",prev L51241~L51250; hard L51251~L51425; next L51426~L51435,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
291,291,51426,51615,PASS,"",prev L51416~L51425; hard L51426~L51615; next L51616~L51625,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
292,292,51616,51785,PASS,"",prev L51606~L51615; hard L51616~L51785; next L51786~L51795,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
293,293,51786,51967,PASS,"",prev L51776~L51785; hard L51786~L51967; next L51968~L51977,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
294,294,51968,52141,EDIT,paid_reward;state_change;closed_loops;opened_loops,prev L51958~L51967; hard L51968~L52141; next L52142~L52151,L52131~L52141은 67퍼센트 지분 구조와 정부·노조 지원 합의 뒤 최종 서명을 기다린다. GM 경영권·소유권 확보 완료를 다음 화 계약 전 상태로 되돌렸다.,"paid_reward=[태우와 핀테크는 채권자·UAW를 포함한 미국식 소유구조 안에서 실질 경영권을 확보한다.] => [태우·핀테크·버크셔와 채권자·UAW를 묶은 67퍼센트 지분 구조 및 정부 지원안을 합의한다. 실제 인수 계약 서명과 소유권 이전은 다음 날 전이다.] || state_change=[상대를 눌러 이기는 대신 현지 상징자본을 동맹으로 끌어들여 국적 리스크를 해소한다.] => [국적 리스크를 줄인 67퍼센트 지분 구조와 정부·노조 지원선이 정리되지만, GM 경영권은 계약 서명 전 협상 상태로 남는다.] || closed_loops=[매각 반대 여론] => [매각 반대 여론 전환; GM 지분·정부·UAW 큰 틀 합의] || opened_loops=[GM 지분·가격 확정] => [GM 최종 인수가격·계약 서명·소유권 이전; 공장 이전·자동화]"
295,295,52142,52302,PASS,"",prev L52132~L52141; hard L52142~L52302; next L52303~L52312,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
296,296,52303,52474,PASS,"",prev L52293~L52302; hard L52303~L52474; next L52475~L52484,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
297,297화,52475,52622,PASS,"",prev L52465~L52474; hard L52475~L52622; next L52623~L52632,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
298,298화,52623,52803,PASS,"",prev L52613~L52622; hard L52623~L52803; next L52804~L52813,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
299,299화,52804,52960,PASS,"",prev L52794~L52803; hard L52804~L52960; next L52961~L52970,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
300,300,52961,53125,PASS,"",prev L52951~L52960; hard L52961~L53125; next L53126~L53135,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
301,301,53126,53287,PASS,"",prev L53116~L53125; hard L53126~L53287; next L53288~L53297,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
302,302화,53288,53462,PASS,"",prev L53278~L53287; hard L53288~L53462; next L53463~L53472,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
303,303,53463,53621,PASS,"",prev L53453~L53462; hard L53463~L53621; next L53622~L53631,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
304,304,53622,53793,PASS,"",prev L53612~L53621; hard L53622~L53793; next L53794~L53803,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
305,305,53794,53959,PASS,"",prev L53784~L53793; hard L53794~L53959; next L53960~L53969,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
306,306,53960,54117,PASS,"",prev L53950~L53959; hard L53960~L54117; next L54118~L54127,"현재 action·turn_or_reveal·paid_reward·state_change·ending_hook·closed_loops·opened_loops가 이 회차 하드 경계와 일치하고, 계획·계약 전 상태나 인접 화의 구체 결과를 선취하지 않는다.",""
307,307,54118,54288,EDIT,ending_hook;opened_loops,prev L54108~L54117; hard L54118~L54288; next L54289~L54298,L54275~L54288의 마지막 장면은 천민정이 AI·제약 결합 가능성을 먼저 알아보고 움직이는 프레임이다. 다음 화의 구체 개발 실행을 훅에서 당기지 않았다.,ending_hook=[천민정이 변이 바이러스 치료제 개발에 뛰어든다.] => [천민정은 김민재가 지시하기 전부터 인공지능과 제약 연구의 결합 가능성을 알아보고 움직이기 시작한다.] || opened_loops=[AI 변이 치료제·미국 충전망] => [AI·제약 결합의 구체 개발과제; 미국 충전망 협상]
308,308,54289,54453,EDIT,turn_or_reveal;paid_reward;state_change;ending_hook;closed_loops;opened_loops,prev L54279~L54288; hard L54289~L54453; next L54454~L54463,L54433~L54453에서 최남호는 충전기 지원을 약속하지만 경기도 전체 시범도시는 김민재의 제안으로 끝난다. 수락·실행 완료를 제거했다.,"turn_or_reveal=[연구진이 즉시 결합하고 경기도가 위험을 낮춘 단계적 시범도시를 수용한다.] => [AI 바이오팀이 꾸려지고 최남호는 경기도 충전기 확대 지원을 약속하지만, 김민재가 제시한 경기도 전체 전기차 시범도시안은 답을 기다린다.] || paid_reward=[태우의 인재 네트워크와 국민경제당 지방권력이 산업 실험 인프라로 전환된다.] => [AI 바이오 전담팀과 경기도 충전기 확대 지원 약속을 얻는다. 경기도 전체 시범도시 지정은 아직 수락 전이다.] || state_change=[서로 다른 인맥을 목적별 팀으로 재편하는 중간 구축 회차다.] => [신약 연구는 AI 바이오팀이라는 실행 조직을 얻고, 전기차 정책은 충전기 지원 약속에서 경기도 전체 시범도시 제안으로 확대된다.] || ending_hook=[경기도의 충전망을 실제 태우 자산과 연결해야 한다.] => [최남호가 경기도 전체를 전기차 시범도시로 만들자는 김민재의 제안을 받아들일 것인가?] || closed_loops=[AI 바이오 팀 구성] => [AI 바이오팀 구성; 경기도 충전기 확대 지원 약속] || opened_loops=[경기도 전기차 시범도시] => [경기도 전기차 시범도시 수락·실행; AI 신약개발]"
