sequence,visible_label,source_lines,semantic_status,score_status,ribbon_status,old_tension,new_tension,old_reward,new_reward,old_hook,new_hook,old_ribbon,new_ribbon,actual_action,actual_paid_reward,actual_ending_hook,concrete_event_before,concrete_event_after,pacing_note_before,pacing_note_after,adjudication
109,109화,L19881~L20080,PASS,EDIT,PASS,9,9,8,7,8,8,0.18/0.39/0.27/0.10/0.06,0.18/0.39/0.27/0.10/0.06,"피습 소식을 듣자 특수부대 출신을 부산 반대세력에 붙이고 경찰·검찰·국세청에 차명계좌를 추적시키며, 명동 3인방을 만나 일본계 배후와 이준수의 암살 관여를 알리고 양지 금융 진출을 제안한다","사전 배치한 경호원이 이영한의 사망을 막고, 민재는 오성파·박동하·이준수를 칠 수사기관과 명동 원로의 대화 자리를 확보한다",민재는 명동 3인방에게 이미 음지를 떠났으니 이번 기회에 양지의 금융회사로 나오지 않겠느냐고 승부수를 던진다,"피습 소식을 듣자 특수부대 출신을 부산 반대세력에 붙이고 경찰·검찰·국세청에 차명계좌를 추적시키며, 명동 3인방을 만나 일본계 배후와 이준수의 암살 관여를 알리고 양지 금융 진출을 제안한다; 우연한 졸음운전처럼 보인 덤프트럭 경고가 이영한에 대한 같은 날 야쿠자 습격과 겹치면서 민재 자신도 표적임이 분명해진다; 사전 배치한 경호원이 이영한의 사망을 막고, 민재는 오성파·박동하·이준수를 칠 수사기관과 명동 원로의 대화 자리를 확보한다","피습 소식을 듣자 특수부대 출신을 부산 반대세력에 붙이고 경찰·검찰·국세청에 차명계좌를 추적시키며, 명동 3인방을 만나 일본계 배후와 이준수의 암살 관여를 알리고 양지 금융 진출을 제안한다; 우연한 졸음운전처럼 보인 덤프트럭 경고가 이영한에 대한 같은 날 야쿠자 습격과 겹치면서 민재 자신도 표적임이 분명해진다; 사전 배치한 경호원이 이영한의 사망을 막고, 민재는 오성파·박동하·이준수를 칠 수사기관과 명동 원로의 대화 자리를 확보한다",경찰·검찰·특수부대·국세청으로 오성파 재산을 치고 원로 셋을 끌어들여 행동과 연합 관계가 크다.,경찰·검찰·특수부대·국세청을 동시에 움직여 오성파 재산을 치고 명동 원로 셋을 끌어들인다. 여러 기관과 세대가 한 시각에 움직여 사채판의 세력교체를 실행한다.,보상은 실제 지급만 세어 8→7 판정; L19881~L20080 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체; L19881~L20080 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체
110,110화,L20081~L20250,PASS,EDIT,PASS,9,9,9,8,8,9,0.15/0.34/0.32/0.13/0.06,0.15/0.34/0.32/0.13/0.06,"SAVE 자금과 각 25% 지분, 향후 주가 작업 협조를 조건으로 금융사를 설계하고, 병원의 이영한에게 명동 전념 약속을 받은 뒤 세 원로와 함께 명동을 돌게 한다","명동 3인방이 이영한의 후견인이 되고, 그들의 옛 구역 사람들이 광화문 곰의 손자를 새 중심으로 받아들이기 시작한다",옥상에서 이영한의 행진을 보던 박동하와 이준수에게 부산 검찰·경찰이 오성파 공격을 시작했다는 급보가 날아든다,"SAVE 자금과 각 25% 지분, 향후 주가 작업 협조를 조건으로 금융사를 설계하고, 병원의 이영한에게 명동 전념 약속을 받은 뒤 세 원로와 함께 명동을 돌게 한다; 가장 신중한 백 할매가 혼자라도 하겠다며 찬성하자 강 회장과 현금왕도 즉시 합류한다; 명동 3인방이 이영한의 후견인이 되고, 그들의 옛 구역 사람들이 광화문 곰의 손자를 새 중심으로 받아들이기 시작한다","SAVE 자금과 각 25% 지분, 향후 주가 작업 협조를 조건으로 금융사를 설계하고, 병원의 이영한에게 명동 전념 약속을 받은 뒤 세 원로와 함께 명동을 돌게 한다; 가장 신중한 백 할매가 혼자라도 하겠다며 찬성하자 강 회장과 현금왕도 즉시 합류한다; 명동 3인방이 이영한의 후견인이 되고, 그들의 옛 구역 사람들이 광화문 곰의 손자를 새 중심으로 받아들이기 시작한다",야쿠자 습격을 버틴 이영한을 원로 앞에 세워 공식 후계 승인을 받아 행동·관계 보상이 절정이다.,야쿠자 습격을 버틴 이영한을 원로 앞에 세워 공식 후계 승인을 받아 행동·관계 보상이 절정이다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→9 판정
111,111화,L20251~L20420,PASS,EDIT,PASS,6,6,9,8,9,6,0.19/0.22/0.29/0.08/0.22,0.19/0.22/0.29/0.08/0.22,"부산 경찰청장에게 아들 취업·향후 경찰청장 지원·활동비를 제공하고 살인 증거 USB를 넘긴 뒤, 시사고발 방송으로 이준수의 청산가스 정황을 공개하고 이영한에게 흔들린 부하들을 흡수시킨다","오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다","OTT는 아직 컴퓨터 화면과 불법 다운로드에 막혀 있고, 민재는 상반기 인터넷 TV가 그 병목을 깨기만 기다린다","부산 경찰청장에게 아들 취업·향후 경찰청장 지원·활동비를 제공하고 살인 증거 USB를 넘긴 뒤, 시사고발 방송으로 이준수의 청산가스 정황을 공개하고 이영한에게 흔들린 부하들을 흡수시킨다; 의사 증언과 부산 공장 자료가 전국 방송에 나오면서 이준수가 사촌을 죽였고 박동하가 그와 손잡았다는 서사가 박동하 조직 안에 결정적 균열을 낸다; 오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다","부산 경찰청장에게 아들 취업·향후 경찰청장 지원·활동비를 제공하고 살인 증거 USB를 넘긴 뒤, 시사고발 방송으로 이준수의 청산가스 정황을 공개하고 이영한에게 흔들린 부하들을 흡수시킨다; 의사 증언과 부산 공장 자료가 전국 방송에 나오면서 이준수가 사촌을 죽였고 박동하가 그와 손잡았다는 서사가 박동하 조직 안에 결정적 균열을 낸다; 오성파 두목이 체포되고 이영한은 명동 70%를 접수하며, 태우 게임단은 숙소·장비·선수 계약과 케이블 공식대회 중계까지 준비를 마친다",이영한의 명동 70퍼센트 장악과 e스포츠 협회 출범이 약속 결산·플랫폼 확장을 함께 지급한다.,이영한의 명동 70퍼센트 장악과 e스포츠 협회 출범이 약속 결산·플랫폼 확장을 함께 지급한다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→6 판정
112,112화,L20421~L20584,PASS,EDIT,PASS,5,5,8,7,8,5,0.29/0.17/0.17/0.05/0.32,0.29/0.17/0.17/0.05/0.32,"김태중의 IT 계열분리 제안을 주주와 폭락 방어 논리로 막고, 이준수 구속 뉴스를 확인한 뒤 왕자의 난 시점에 맞춰 현재 반도체를 빼앗고 배터리 투자를 키우겠다고 밝힌다","태우그룹은 부도를 피했고 자동차는 유럽 2위·미국 선호도 10위권, 통신은 1위가 됐으며 이준수도 구속 상태로 밀려난다",민재의 머릿속에는 시간과 돈을 먹는 반도체와 배터리가 10년 뒤 태우그룹의 현금창구가 되는 그림이 자리 잡는다,"김태중의 IT 계열분리 제안을 주주와 폭락 방어 논리로 막고, 이준수 구속 뉴스를 확인한 뒤 왕자의 난 시점에 맞춰 현재 반도체를 빼앗고 배터리 투자를 키우겠다고 밝힌다; 민재는 외환위기에서 그룹을 살린 1차 목표가 끝났다고 스스로 선언하고, 생존 이후의 성장 목표를 처음 명확히 세운다; 태우그룹은 부도를 피했고 자동차는 유럽 2위·미국 선호도 10위권, 통신은 1위가 됐으며 이준수도 구속 상태로 밀려난다","김태중의 IT 계열분리 제안을 주주와 폭락 방어 논리로 막고, 이준수 구속 뉴스를 확인한 뒤 왕자의 난 시점에 맞춰 현재 반도체를 빼앗고 배터리 투자를 키우겠다고 밝힌다; 민재는 외환위기에서 그룹을 살린 1차 목표가 끝났다고 스스로 선언하고, 생존 이후의 성장 목표를 처음 명확히 세운다; 태우그룹은 부도를 피했고 자동차는 유럽 2위·미국 선호도 10위권, 통신은 1위가 됐으며 이준수도 구속 상태로 밀려난다",KS보다 5퍼센트 앞선 통신 1위와 IT 가치를 반도체·배터리 투자 재원으로 묶어 지위·재무 정보가 중심이다.,KS보다 5퍼센트 앞선 통신 1위와 태우IT 가치를 반도체·배터리 투자재원으로 묶는다. 순위 자랑보다 번 돈을 다음 산업의 체력으로 돌리는 계산이 회차를 채운다.,보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→5 판정; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20421~L20584 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
113,113화,L20585~L20769,PASS,EDIT,PASS,6,6,7,6,9,9,0.27/0.20/0.37/0.07/0.09,0.27/0.20/0.37/0.07/0.09,"이영한이 박동하와 마지막 대면을 치르는 동안 민재는 다이먼과 엔화 압박·수익률 300%·만기 2년짜리 300억 달러 IT 파생상품을 설계하고, 조지의 발언과 한 팀장 영업을 붙인다",이영한은 명동의 주인이 되고 한 달도 안 돼 일본 대부업체와 100억 달러 넘는 파생상품 계약이 체결된다,모델하우스 커팅식에 나타난 미국 손님이 훗날 제45대 대통령이 될 트럼프임을 알아본 민재가 경악한다,"이영한이 박동하와 마지막 대면을 치르는 동안 민재는 다이먼과 엔화 압박·수익률 300%·만기 2년짜리 300억 달러 IT 파생상품을 설계하고, 조지의 발언과 한 팀장 영업을 붙인다; 이영한이 살려 보내려 하자 박동하는 마지막 충고를 남기고 창밖으로 몸을 던져 스스로 생을 끝낸다; 이영한은 명동의 주인이 되고 한 달도 안 돼 일본 대부업체와 100억 달러 넘는 파생상품 계약이 체결된다","이영한이 박동하와 마지막 대면을 치르는 동안 민재는 다이먼과 엔화 압박·수익률 300%·만기 2년짜리 300억 달러 IT 파생상품을 설계하고, 조지의 발언과 한 팀장 영업을 붙인다; 이영한이 살려 보내려 하자 박동하는 마지막 충고를 남기고 창밖으로 몸을 던져 스스로 생을 끝낸다; 이영한은 명동의 주인이 되고 한 달도 안 돼 일본 대부업체와 100억 달러 넘는 파생상품 계약이 체결된다",엔화·금리 양면 공격을 정하고 모델하우스에서 트럼프를 맞아 금융 전략과 새 인맥 관계가 앞선다.,엔화·금리 양면 공격을 정하고 모델하우스에서 트럼프를 맞아 금융 전략과 새 인맥 관계가 앞선다.,보상은 실제 지급만 세어 7→6 판정
114,114화,L20770~L20949,PASS,EDIT,PASS,7,7,7,6,9,8,0.29/0.29/0.20/0.08/0.14,0.29/0.29/0.20/0.08/0.14,"트럼프를 1박 2일 안내한 뒤 인터넷 TV를 직접 시험하고, LCD 공급처 다변화·3년 태우통신 약정 시 TV 무상 제공·인터넷 TV 특허 사용 대가로 태우 OTT와 음원 사용을 지시한다",출시 한 달 뒤 무료 TV 마케팅이 통하면서 KS와 격차가 두 자릿수가 되고 OTT·음원·게임 플랫폼 매출과 전자·통신 주가가 함께 오른다,양일섭 의원이 학부모와 게임 중독을 명분 삼으면 태우통신을 때릴 수 있다고 통신 카르텔 앞에서 묘수를 꺼낸다,"트럼프를 1박 2일 안내한 뒤 인터넷 TV를 직접 시험하고, LCD 공급처 다변화·3년 태우통신 약정 시 TV 무상 제공·인터넷 TV 특허 사용 대가로 태우 OTT와 음원 사용을 지시한다; TV 하드웨어 손실을 태우통신의 3년 고객 고정과 OTT·음원 수익으로 회수하면 전자·통신·IT 세 곳이 동시에 이기는 구조가 된다; 출시 한 달 뒤 무료 TV 마케팅이 통하면서 KS와 격차가 두 자릿수가 되고 OTT·음원·게임 플랫폼 매출과 전자·통신 주가가 함께 오른다","트럼프를 1박 2일 안내한 뒤 인터넷 TV를 직접 시험하고, LCD 공급처 다변화·3년 태우통신 약정 시 TV 무상 제공·인터넷 TV 특허 사용 대가로 태우 OTT와 음원 사용을 지시한다; TV 하드웨어 손실을 태우통신의 3년 고객 고정과 OTT·음원 수익으로 회수하면 전자·통신·IT 세 곳이 동시에 이기는 구조가 된다; 출시 한 달 뒤 무료 TV 마케팅이 통하면서 KS와 격차가 두 자릿수가 되고 OTT·음원·게임 플랫폼 매출과 전자·통신 주가가 함께 오른다",셋톱박스·인터넷TV를 무료 보급하고 LCD 공급을 나누자 관료·통신사가 규제를 모의해 정보와 실행 압박이 높다.,셋톱박스·인터넷TV를 무료 보급하고 LCD 공급을 나누자 관료·통신사가 규제를 모의해 정보와 실행 압박이 높다.,보상은 실제 지급만 세어 7→6 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→8 판정
115,115화,L20950~L21122,PASS,EDIT,PASS,7,7,8,7,8,6,0.20/0.29/0.33/0.09/0.09,0.20/0.29/0.33/0.09/0.09,"과목별 최고 강사에게 계약금·위약금을 보장하고, 수학 강사 강민에게 기존 학원수업 유지·가입자 무료 강의·불우가정 2천 곳 무료 통신을 제안해 계약한 뒤 한 달 만에 인터넷 강의를 연다",전 과목 일타강사 계약과 서비스 출시가 끝나고 학부모 시위가 사라지며 수도권 가입자가 빠르게 늘어난다,민재는 통신 1위 수성과 인터넷 강의라는 새 현금창구를 안겨 준 경쟁사들에게 감사라도 해야겠다고 생각한다,"과목별 최고 강사에게 계약금·위약금을 보장하고, 수학 강사 강민에게 기존 학원수업 유지·가입자 무료 강의·불우가정 2천 곳 무료 통신을 제안해 계약한 뒤 한 달 만에 인터넷 강의를 연다; 상세정보에서 강민이 가족 때문에 EBS 제안을 거절한 미련을 확인한 민재가 수만 명의 수포자를 돕는다는 공익 목표로 그의 마음을 움직인다; 전 과목 일타강사 계약과 서비스 출시가 끝나고 학부모 시위가 사라지며 수도권 가입자가 빠르게 늘어난다","과목별 최고 강사에게 계약금·위약금을 보장하고, 수학 강사 강민에게 기존 학원수업 유지·가입자 무료 강의·불우가정 2천 곳 무료 통신을 제안해 계약한 뒤 한 달 만에 인터넷 강의를 연다; 상세정보에서 강민이 가족 때문에 EBS 제안을 거절한 미련을 확인한 민재가 수만 명의 수포자를 돕는다는 공익 목표로 그의 마음을 움직인다; 전 과목 일타강사 계약과 서비스 출시가 끝나고 학부모 시위가 사라지며 수도권 가입자가 빠르게 늘어난다",유해론 시위에 맞서 강민을 영입하고 저가 강의를 내놓아 인재 관계와 역공 행동이 중심이다.,유해론 시위에 강민 영입과 저가 강의로 맞선다. 거리의 비난을 교육상품과 새 강사의 얼굴로 되받아 여론전의 방향을 바꾼다.,보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L20950~L21122 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
116,116화,L21123~L21297,PASS,EDIT,PASS,5,5,9,8,8,5,0.24/0.18/0.15/0.05/0.38,0.24/0.18/0.15/0.05/0.38,"공무원·자격증·리눅스·자바 강의와 대회 입상자 채용·미국 유학을 지시하고, 귀국한 한 팀장에게 300억 달러 계약을 보고받은 뒤 아마존·구글·애플만 남기고 다른 IT 주식을 매도시킨다","일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다",새해가 오면 현재그룹과 태우그룹의 재계 순위가 뒤바뀔 만큼 격차가 좁혀졌다는 전망으로 1999년 회의가 끝난다,"공무원·자격증·리눅스·자바 강의와 대회 입상자 채용·미국 유학을 지시하고, 귀국한 한 팀장에게 300억 달러 계약을 보고받은 뒤 아마존·구글·애플만 남기고 다른 IT 주식을 매도시킨다; 한 팀장이 일본에서 제안도 하기 전에 업체들이 계약 규모를 키우려 했다고 밝히면서 IT 광기가 첫 파생상품의 경계심까지 눌렀음이 드러난다; 일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다","공무원·자격증·리눅스·자바 강의와 대회 입상자 채용·미국 유학을 지시하고, 귀국한 한 팀장에게 300억 달러 계약을 보고받은 뒤 아마존·구글·애플만 남기고 다른 IT 주식을 매도시킨다; 한 팀장이 일본에서 제안도 하기 전에 업체들이 계약 규모를 키우려 했다고 밝히면서 IT 광기가 첫 파생상품의 경계심까지 눌렀음이 드러난다; 일본 대부업체를 상대로 한 300억 달러 계약이 전량 체결되고, 태우통신은 2위와 10% 넘는 격차를 유지하며 인터넷 강의 일부 유료화까지 확정한다",강의를 수익화하고 대부업 파생 400억~800억 달러 회수 가능성을 점검해 현금·시장 지위 보상이 크다.,온라인 강의를 수익사업으로 만들면서 대부업 파생상품에서 400억~800억 달러를 회수할 가능성을 점검한다. 작은 교육사업의 현금흐름과 훨씬 큰 금융판이 한 자리에서 연결된다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→5 판정; L21123~L21297 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체; L21123~L21297 수동 재독; 편집 메타어를 실제 장면·숫자·사람 반응으로 교체
117,117화,L21298~L21474,PASS,EDIT,PASS,5,5,6,5,9,6,0.34/0.12/0.31/0.16/0.07,0.34/0.12/0.31/0.16/0.07,"김태중에게 AI·로봇·배터리 투자의 10년 로드맵을 설득하고 올해 안 진지한 만남을 약속한 뒤, 박만덕에게 상반기 펀드를 채권 위주로 운용하라며 책임을 자신이 진다고 지시한다","김태중은 장기 기술투자를 허락하고, 태우 펀드는 버블 정점의 IT 종목 대신 채권을 택하는 방어 명령을 확보한다","기획실장은 전자·건설·증권을 가진 육남이 우세하다고 보지만, 민재는 10년 뒤 자동차를 가진 장남이 최후의 승자임을 안다","김태중에게 AI·로봇·배터리 투자의 10년 로드맵을 설득하고 올해 안 진지한 만남을 약속한 뒤, 박만덕에게 상반기 펀드를 채권 위주로 운용하라며 책임을 자신이 진다고 지시한다; 3월 장경준이 장영준의 심복인 현재증권 회장을 좌천시키며 장영주의 공동회장 체제가 실제 경영권 전쟁으로 터진다; 김태중은 장기 기술투자를 허락하고, 태우 펀드는 버블 정점의 IT 종목 대신 채권을 택하는 방어 명령을 확보한다","김태중에게 AI·로봇·배터리 투자의 10년 로드맵을 설득하고 올해 안 진지한 만남을 약속한 뒤, 박만덕에게 상반기 펀드를 채권 위주로 운용하라며 책임을 자신이 진다고 지시한다; 3월 장경준이 장영준의 심복인 현재증권 회장을 좌천시키며 장영주의 공동회장 체제가 실제 경영권 전쟁으로 터진다; 김태중은 장기 기술투자를 허락하고, 태우 펀드는 버블 정점의 IT 종목 대신 채권을 택하는 방어 명령을 확보한다",김태중의 결혼 압박과 현 그룹 여섯 아들 분할을 함께 분석해 가족 관계·승계 정보에 머문다.,김태중의 결혼 압박과 현 그룹 여섯 아들 분할을 함께 분석해 가족 관계·승계 정보에 머문다.,보상은 실제 지급만 세어 6→5 판정; 훅은 마지막 프레임의 열린 질문만 세어 9→6 판정
118,118화,L21475~L21647,PASS,EDIT,PASS,6,6,8,7,8,6,0.24/0.19/0.38/0.06/0.13,0.24/0.19/0.38/0.06/0.13,"장영준의 지지 요청을 거절해 만남 소문을 내고, 찾아온 장경준에게 동생을 일단 회장에 앉힌 뒤 흔들리는 계열사를 흡수하자며 현재건설 지원과 현재반도체 양보를 교환한다",현재건설을 장경준에게 붙이고 현재전자의 반도체를 태우가 인수하도록 서로 지원하는 비밀 계약이 성립한다,"아버지에게 버림받았다고 느끼던 장경준은 서명 뒤 얼굴이 밝아지고, 현재건설이라는 새 희망을 품고 돌아간다","장영준의 지지 요청을 거절해 만남 소문을 내고, 찾아온 장경준에게 동생을 일단 회장에 앉힌 뒤 흔들리는 계열사를 흡수하자며 현재건설 지원과 현재반도체 양보를 교환한다; 민재는 1년 안에 현재건설이 위기를 겪지 않으면 태우 보유 8%를 시가에 넘긴다는 보증서를 내밀고 장경준의 서명을 받아낸다; 현재건설을 장경준에게 붙이고 현재전자의 반도체를 태우가 인수하도록 서로 지원하는 비밀 계약이 성립한다","장영준의 지지 요청을 거절해 만남 소문을 내고, 찾아온 장경준에게 동생을 일단 회장에 앉힌 뒤 흔들리는 계열사를 흡수하자며 현재건설 지원과 현재반도체 양보를 교환한다; 민재는 1년 안에 현재건설이 위기를 겪지 않으면 태우 보유 8%를 시가에 넘긴다는 보증서를 내밀고 장경준의 서명을 받아낸다; 현재건설을 장경준에게 붙이고 현재전자의 반도체를 태우가 인수하도록 서로 지원하는 비밀 계약이 성립한다",장경준과 장영준 선총수·현 건설·반도체 교환 계약을 맺어 후계 동맹 관계와 계약 보상이 중심이다.,장경준·장영준과 선총수·현건설·반도체를 맞바꾸는 계약을 맺는다. 후계자끼리의 대화가 각 가문의 지배권과 산업자산을 교환하는 동맹으로 굳어진다.,보상은 실제 지급만 세어 8→7 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체; L21475~L21647 수동 재독; 범용 중심·비중 문구를 장면 리듬으로 교체
119,119화,L21648~L21825,PASS,EDIT,PASS,5,5,7,6,8,7,0.36/0.17/0.17/0.04/0.26,0.36/0.17/0.17/0.04/0.26,"다이먼에게 현재 반도체와 건설을 조사시키고, 장영주의 기자회견 뒤 태우의 1위를 확인한 다음 한 팀장에게 더 떨어지면 IT 지분을 사며 청산 원하는 일본 업체는 정리하라고 지시한다","태우는 처음으로 국내 1위 그룹이 되고, 아마존·애플 등은 40~50% 싸져 장기 지배지분을 다시 살 창구가 열린다","한 팀장은 일본 회수가 끝나면 월가가 닷컴 손실 책임을 SAVE에 떠넘길 것이라 경고하고, 민재는 그들이 물어뜯을 다른 먹잇감이 필요하다고 본다","다이먼에게 현재 반도체와 건설을 조사시키고, 장영주의 기자회견 뒤 태우의 1위를 확인한 다음 한 팀장에게 더 떨어지면 IT 지분을 사며 청산 원하는 일본 업체는 정리하라고 지시한다; 장경준이 한발 물러나자 장영주가 육남 승계를 확정하고 계열사를 갈라, 태우그룹이 어부지리지만 공식 재계 1위에 오른다; 태우는 처음으로 국내 1위 그룹이 되고, 아마존·애플 등은 40~50% 싸져 장기 지배지분을 다시 살 창구가 열린다","다이먼에게 현재 반도체와 건설을 조사시키고, 장영주의 기자회견 뒤 태우의 1위를 확인한 다음 한 팀장에게 더 떨어지면 IT 지분을 사며 청산 원하는 일본 업체는 정리하라고 지시한다; 장경준이 한발 물러나자 장영주가 육남 승계를 확정하고 계열사를 갈라, 태우그룹이 어부지리지만 공식 재계 1위에 오른다; 태우는 처음으로 국내 1위 그룹이 되고, 아마존·애플 등은 40~50% 싸져 장기 지배지분을 다시 살 창구가 열린다",현 반도체 인수 준비와 40~50퍼센트 급락한 IT 종목 재매수 시점을 잡아 시장 정보·자산 판단이 앞선다.,현 반도체 인수 준비와 40~50퍼센트 급락한 IT 종목 재매수 시점을 잡아 시장 정보·자산 판단이 앞선다.,보상은 실제 지급만 세어 7→6 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→7 판정
120,120화,L21826~L22000,PASS,EDIT,PASS,7,7,9,8,8,6,0.20/0.27/0.19/0.05/0.29,0.20/0.27/0.19/0.05/0.29,"일본에서는 현금·부동산·주식·채권을 받아내고, 뉴욕 회의에서는 현재가보다 5% 높게 IT 주식을 사주겠다며 파생계약을 원가 1.5배에 팔아 그 대금을 IT 지분으로 받는다","과거 넘긴 애플·아마존·구글 지분을 전량 회수하고 추가 매수해 보유량을 오히려 늘리며, 회수 어려운 일본 채권은 미국 자본에 넘긴다",민재는 공학을 모르는 한 팀장을 캘리포니아로 끌고 가며 아이폰을 본 그의 얼굴이 어떻게 변할지 궁금해한다,"일본에서는 현금·부동산·주식·채권을 받아내고, 뉴욕 회의에서는 현재가보다 5% 높게 IT 주식을 사주겠다며 파생계약을 원가 1.5배에 팔아 그 대금을 IT 지분으로 받는다; 파생상품 계약서를 본 월가 인사들의 탐욕이 살아나면서 공격 대상이 SAVE에서 일본 대부업체로 순식간에 바뀐다; 과거 넘긴 애플·아마존·구글 지분을 전량 회수하고 추가 매수해 보유량을 오히려 늘리며, 회수 어려운 일본 채권은 미국 자본에 넘긴다","일본에서는 현금·부동산·주식·채권을 받아내고, 뉴욕 회의에서는 현재가보다 5% 높게 IT 주식을 사주겠다며 파생계약을 원가 1.5배에 팔아 그 대금을 IT 지분으로 받는다; 파생상품 계약서를 본 월가 인사들의 탐욕이 살아나면서 공격 대상이 SAVE에서 일본 대부업체로 순식간에 바뀐다; 과거 넘긴 애플·아마존·구글 지분을 전량 회수하고 추가 매수해 보유량을 오히려 늘리며, 회수 어려운 일본 채권은 미국 자본에 넘긴다",일본계 자산 압류와 IT 지분 재매수·파생 1.5배 재판매를 병행해 금융 행동과 자산 보상이 높다.,일본계 자산 압류와 IT 지분 재매수·파생 1.5배 재판매를 병행해 금융 행동과 자산 보상이 높다.,보상은 실제 지급만 세어 9→8 판정; 훅은 마지막 프레임의 열린 질문만 세어 8→6 판정
