ordinal,arc_id,start_sequence,end_sequence,source_arc_ids,decision,arc_name,dominant_question,evidence_anchor,boundary_line_evidence,predecessor_payoff,next_first_action,bridge_climax_ownership,ledger_sha256,source_sha256
33,DCA-N21,216,221,DCA-N21,KEEP,김태중 신사옥과 샤롯·한전 부지 카드,김태중 신사옥과 샤롯·한전 부지 카드의 약속을 한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다까지 실제 장면으로 결산하는가?,L38906~L39888,L38906~L39888; predecessor=215화 L38750~L38905: 씽크윈 기술·데이터 독점 사용권과 무료 배포할 모바일 내비 개발 방침을 확보한다; next=216화 L38906~L39051: 김태중의 소개로 진호균을 만나 아노르 명품 입점·1조5천억 원·한일 샤롯 지분을 제시하고 후계 안정 지원까지 거래 카드로 꺼낸다,215화 L38750~L38905: 씽크윈 기술·데이터 독점 사용권과 무료 배포할 모바일 내비 개발 방침을 확보한다,216화 L38906~L39051: 김태중의 소개로 진호균을 만나 아노르 명품 입점·1조5천억 원·한일 샤롯 지분을 제시하고 후계 안정 지원까지 거래 카드로 꺼낸다,221화의 지급 ‘한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다’은 DCA-N21 소유다. 끝 훅 ‘콜 업체와 택시노조를 장악한 서울 지부장의 카르텔을 어떻게 약화시킬 것인가?’은 bridge이고 222화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
34,DCA-N22,222,226,DCA-N22,KEEP,코코아택시·무료 단말기와 차봉훈 카르텔 붕괴,코코아택시·무료 단말기와 차봉훈 카르텔 붕괴의 약속을 호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다까지 실제 장면으로 결산하는가?,L39889~L40732,L39889~L40732; predecessor=221화 L39738~L39888: 한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다; next=222화 L39889~L40044: 강 대위에게 차봉훈의 횡령·상납 구조를 조사시키고 강인식의 강인운수를 거점으로 코코아택시 앱과 차량 단말기 개발을 시작한다,221화 L39738~L39888: 한전 이전의 여야 합의와 실제 작동하는 무료 태우맵·첫 대중 이용자를 얻는다,222화 L39889~L40044: 강 대위에게 차봉훈의 횡령·상납 구조를 조사시키고 강인식의 강인운수를 거점으로 코코아택시 앱과 차량 단말기 개발을 시작한다,226화의 지급 ‘호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다’은 DCA-N22 소유다. 끝 훅 ‘IIT 판교 건설과 두 신사옥 부지 공개입찰이 실물 단계로 이어진다’은 bridge이고 227화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
35,DCA-N23,227,234,DCA-N23,KEEP,강남 쌍부지와 Su-47로 초고층 하늘 확보,강남 쌍부지와 Su-47로 초고층 하늘 확보의 약속을 Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다까지 실제 장면으로 결산하는가?,L40733~L42135,L40733~L42135; predecessor=226화 L40562~L40732: 호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다; next=227화 L40733~L40908: 판교 착공식에서 주변 IT 오피스 계획을 세우고 샤롯 가족회의에서 중국 사업을 장남 진동오에게 양보하도록 차남 진동구에게 신호한다,226화 L40562~L40732: 호출비 없는 플랫폼 우위·IIT 한국 캠퍼스 공식 허가·한전 이전 여야 합의를 얻는다,227화 L40733~L40908: 판교 착공식에서 주변 IT 오피스 계획을 세우고 샤롯 가족회의에서 중국 사업을 장남 진동오에게 양보하도록 차남 진동구에게 신호한다,234화의 지급 ‘Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다’은 DCA-N23 소유다. 끝 훅 ‘서울시와 정부가 실제로 어느 부지에 건축 허가를 내줄지는 남는다’은 bridge이고 235화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
36,DCA-N24,235,237,DCA-N24,SPLIT,스페이스X·반도체·몽골 미래 인프라 투자선언,스페이스X·반도체·몽골 미래 인프라 투자선언의 약속을 반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다까지 실제 장면으로 결산하는가?,L42640~L42657,L42640~L42657; predecessor=234화 L41961~L42135: Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다; next=235화 L42136~L42292: 한 팀장에게 보험 매집을 늘리되 경고 보고서를 정부에 남기게 하고 텍사스 공장에서 머스크에게 매년 10억 달러씩 10년·첫해 최대 30억 달러 투자를 약속한다,234화 L41961~L42135: Su-47 군사자산과 활주로 이전·두 부지 초고층에 반대하지 않겠다는 공군 약속을 확보한다,235화 L42136~L42292: 한 팀장에게 보험 매집을 늘리되 경고 보고서를 정부에 남기게 하고 텍사스 공장에서 머스크에게 매년 10억 달러씩 10년·첫해 최대 30억 달러 투자를 약속한다,237화의 지급 ‘반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다’은 DCA-N24 소유다. 끝 훅 ‘반도체 5배 증설과 세계 최고 목표에 불만인 사장들이 실제 성과가 나오면 따라올 것인가?’은 bridge이고 238화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
37,DCA-N24B,238,242,DCA-N24,SPLIT,태우엔터·위튜브 출시와 콘텐츠 플랫폼 지급,태우엔터·위튜브 출시와 콘텐츠 플랫폼 지급의 약속을 톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다까지 실제 장면으로 결산하는가?,L42640~L42657;L43442~L43459,L42640~L42657;L43442~L43459; predecessor=237화 L42484~L42648: 반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다; next=238화 L42649~L42803: 태우시네마·음원사이트·케이블 3사를 합쳐 태우엔터를 만든 뒤 봉호준에게 제작비 최대 200억 원과 차기작·차차기작 독점투자 계약을 제시해 악수한다,237화 L42484~L42648: 반도체 초격차 투자·AI 업무 활용·몽골 자원 계획을 그룹 공통 과제로 확정한다,238화 L42649~L42803: 태우시네마·음원사이트·케이블 3사를 합쳐 태우엔터를 만든 뒤 봉호준에게 제작비 최대 200억 원과 차기작·차차기작 독점투자 계약을 제시해 악수한다,242화의 지급 ‘톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다’은 DCA-N24B 소유다. 끝 훅 ‘팰컨1 실패 뒤 다시 성공을 맹세한 머스크가 장기 지원을 실제 발사 성공으로 갚을 수 있는가?’은 bridge이고 243화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
38,DCA-N24C,243,246,DCA-N24,SPLIT,SG·양지파 역공과 전원 양도 약속,SG·양지파 역공과 전원 양도 약속의 약속을 SG 전원 양도 약속·태우 불개입·희망고문 설계까지만 지급되며 실제 계약이전·형량·복역은 미지급이다.까지 실제 장면으로 결산하는가?,L43442~L43459,L43442~L43459; predecessor=242화 L43291~L43450: 톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다; next=243화 L43451~L43611: 복지와 앨범 제작을 앞당기려 했지만 계약 해지·소송 요구가 나오자 오 사장을 현장에 남기고 강 대위에게 SG엔터 강수기 조사를 맡긴다,242화 L43291~L43450: 톱10 가수·오디션 국민흥행과 스페이스X의 장기 충성을 얻는다,243화 L43451~L43611: 복지와 앨범 제작을 앞당기려 했지만 계약 해지·소송 요구가 나오자 오 사장을 현장에 남기고 강 대위에게 SG엔터 강수기 조사를 맡긴다,246화의 지급 ‘SG 전원 양도 약속·태우 불개입·희망고문 설계까지만 지급되며 실제 계약이전·형량·복역은 미지급이다.’은 DCA-N24C 소유다. 끝 훅 ‘강수기에게 주입한 희망고문이 10년 수감 동안 반격을 막을 수 있는가?’은 bridge이고 247화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
39,DCA-N25,247,247,DCA-N25,SPLIT,부산 AOS 개발자 5명 1000만 달러 계약,부산 AOS 개발자 5명 1000만 달러 계약의 약속을 서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다까지 실제 장면으로 결산하는가?,L44243~L44260,L44243~L44260; predecessor=246화 L43944~L44097: SG 전원 양도 약속·태우 불개입·희망고문 설계까지만 지급되며 실제 계약이전·형량·복역은 미지급이다.; next=247화 L44098~L44251: AAA 보험 익스포저와 테슬라 시제품·배터리 공장 계획을 점검한 뒤 부산 게임 결승에서 AOS 유즈맵 개발자들에게 블리야드 지원과 1000만 달러를 제시한다,246화 L43944~L44097: SG 전원 양도 약속·태우 불개입·희망고문 설계까지만 지급되며 실제 계약이전·형량·복역은 미지급이다.,247화 L44098~L44251: AAA 보험 익스포저와 테슬라 시제품·배터리 공장 계획을 점검한 뒤 부산 게임 결승에서 AOS 유즈맵 개발자들에게 블리야드 지원과 1000만 달러를 제시한다,247화의 지급 ‘서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다’은 DCA-N25 소유다. 끝 훅 ‘40·20·40 지분 계약을 맺은 다섯 개발자가 AOS를 독립 장르의 게임으로 완성할 수 있는가?’은 bridge이고 248화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
40,DCA-N25B,248,252,DCA-N25,SPLIT,시민 선거펀드와 세 전기차 공개 실증,시민 선거펀드와 세 전기차 공개 실증의 약속을 최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.까지 실제 장면으로 결산하는가?,L44243~L44260;L45064~L45081,L44243~L44260;L45064~L45081; predecessor=247화 L44098~L44251: 서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다; next=248화 L44252~L44405: 행정기관 이전 정치 합의를 확인하고 경기도지사 출마를 결심한 최재석에게 선거비 보전 후 돌려주는 크라우드펀딩을 제안한다,247화 L44098~L44251: 서브프라임 대응상태·전기차 준비를 확인하고 AOS 원천팀과 지분 계약을 얻는다,248화 L44252~L44405: 행정기관 이전 정치 합의를 확인하고 경기도지사 출마를 결심한 최재석에게 선거비 보전 후 돌려주는 크라우드펀딩을 제안한다,252화의 지급 ‘최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.’은 DCA-N25B 소유다. 끝 훅 ‘김민재가 이날을 자동차 시장 급변의 특이점으로 기억하라고 데이비드에게 말한다.’은 bridge이고 253화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
41,DCA-N25C,253,269,DCA-N25+DCA-N26,MERGE,서브프라임 경고·KIKO 보험과 AIZ·CITI 수확,서브프라임 경고·KIKO 보험과 AIZ·CITI 수확의 약속을 김민재는 국민적 지위와 할아버지의 자랑·승인을 얻고 태우는 금융 1위 도약 다음으로 자동차 세계 1위를 노린다.까지 실제 장면으로 결산하는가?,L45064~L45081;L46590~L46607,L45064~L45081;L46590~L46607; predecessor=252화 L44904~L45072: 최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.; next=253화 L45073~L45227: 전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.,252화 L44904~L45072: 최재석과 국민경제당이 경기 주요 시장 10곳 이상까지 얻고 세 전기차가 기자·관람객의 환호를 끌어낸다.,253화 L45073~L45227: 전기차를 걱정하는 김태중에게 장기 선점 논리를 설명해 믿음을 얻고 한 팀장·데이비드에게 연체율·파산율·평가등급 괴리를 보고받아 부동산 버블을 경고한 라잔 접촉을 지시한다.,269화의 지급 ‘김민재는 국민적 지위와 할아버지의 자랑·승인을 얻고 태우는 금융 1위 도약 다음으로 자동차 세계 1위를 노린다.’은 DCA-N25C 소유다. 끝 훅 ‘김태중도 눈을 빛내며 GM과 포드 중 어느 회사를 삼킬지 묻는다.’은 bridge이고 270화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
42,DCA-N27,270,275,DCA-N27,SPLIT,리먼 보험증서 거래와 회장 승계,리먼 보험증서 거래와 회장 승계의 약속을 태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.까지 실제 장면으로 결산하는가?,L48970~L48987,L48970~L48987; predecessor=269화 L47760~L47922: 김민재는 국민적 지위와 할아버지의 자랑·승인을 얻고 태우는 금융 1위 도약 다음으로 자동차 세계 1위를 노린다.; next=270화 L47923~L48088: 강 대위 식당에서 주영곤 재무부 차관·유성민 산업은행 회장을 만나 리먼 6천억 달러 부채 위험을 경고하면서도 보험증서 대가로 AA·AA- 기업 여신 25조 원과 부동산을 요구한다.,269화 L47760~L47922: 김민재는 국민적 지위와 할아버지의 자랑·승인을 얻고 태우는 금융 1위 도약 다음으로 자동차 세계 1위를 노린다.,270화 L47923~L48088: 강 대위 식당에서 주영곤 재무부 차관·유성민 산업은행 회장을 만나 리먼 6천억 달러 부채 위험을 경고하면서도 보험증서 대가로 AA·AA- 기업 여신 25조 원과 부동산을 요구한다.,275화의 지급 ‘태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.’은 DCA-N27 소유다. 끝 훅 ‘미국 출장에서 월가 대형 금융사 10곳의 한국 이전 계약을 가져와야 한다.’은 bridge이고 276화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
43,DCA-N27B,276,286,DCA-N27,SPLIT,금융허브·KIKO·통화스와프 국가 방패,"금융허브·KIKO·통화스와프 국가 방패의 약속을 실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.까지 실제 장면으로 결산하는가?",L48970~L48987;L49968~L49985,L48970~L48987;L49968~L49985; predecessor=275화 L48810~L48978: 태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.; next=276화 L48979~L49144: 다이먼에게 임원 상세정보 심사 도움을 약속하고 CITI·핀테크의 한국 이전 계약을 받은 뒤 보험 청구 완화와 4년 뒤 입주를 교환하도록 맡기며 비트코인 거래소 설립과 데이비드 부사장 배치를 지시한다.,275화 L48810~L48978: 태우는 정권의 미운털에서 대통령 직통 파트너로 바뀌고 규제에 묶인 한전 부지를 국제 금융 중심지로 개발할 길을 얻는다.,276화 L48979~L49144: 다이먼에게 임원 상세정보 심사 도움을 약속하고 CITI·핀테크의 한국 이전 계약을 받은 뒤 보험 청구 완화와 4년 뒤 입주를 교환하도록 맡기며 비트코인 거래소 설립과 데이비드 부사장 배치를 지시한다.,"286화의 지급 ‘실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.’은 DCA-N27B 소유다. 끝 훅 ‘천민정이 리그 오브 챔피언스의 한국어 보완과 한·미 베타테스트를 곧바로 시작한다.’은 bridge이고 287화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
44,DCA-N28,287,296,DCA-N28,SPLIT,금융위기 GM·OLED·해운·바이오 조건부 인수,금융위기 GM·OLED·해운·바이오 조건부 인수의 약속을 타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.까지 실제 장면으로 결산하는가?,L51413~L51438;L52466~L52483,"L51413~L51438;L52466~L52483; predecessor=286화 L50615~L50766: 실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.; next=287화 L50767~L50931: 데이비드의 대선·오스카 규정 성과를 확인하고 미국 자동차의 180억 달러 임시구제를 분석한 뒤 한경신문·주안그룹의 백선 지분 인수를 지시한다.","286화 L50615~L50766: 실행된 500억 달러 통화스와프와 미래산업·탄소감축 법안의 초당 추진선, 청년 정치인 육성 약속, 한·미 게임 베타 승인을 얻는다. 법안 통과와 게임 출시·흥행은 아직 전이다.",287화 L50767~L50931: 데이비드의 대선·오스카 규정 성과를 확인하고 미국 자동차의 180억 달러 임시구제를 분석한 뒤 한경신문·주안그룹의 백선 지분 인수를 지시한다.,296화의 지급 ‘타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.’은 DCA-N28 소유다. 끝 훅 ‘태미플루 생산권을 받은 서정준과 연구자 김정우가 처음 마주해 한국 감염병 대응팀의 실행 속도가 시험대에 오른다.’은 bridge이고 297화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
45,DCA-N28B,297,301,DCA-N28,SPLIT,아마존 로켓·SpaceX 유통과 우주 실행축,아마존 로켓·SpaceX 유통과 우주 실행축의 약속을 태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.까지 실제 장면으로 결산하는가?,L52466~L52483,L52466~L52483; predecessor=296화 L52303~L52474: 타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.; next=297화 L52475~L52622: 제프 베이조스에게 한국 전자상거래 법인·자동화 인력·20억 달러 투자를 요청하고 자체 전기배송을 제안한다.,296화 L52303~L52474: 타미플루 권리·세계급 연구자·제약 생산사가 하나의 감염병 대응 축으로 결합된다.,297화 L52475~L52622: 제프 베이조스에게 한국 전자상거래 법인·자동화 인력·20억 달러 투자를 요청하고 자체 전기배송을 제안한다.,301화의 지급 ‘태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.’은 DCA-N28B 소유다. 끝 훅 ‘WHO 팬데믹 선언이 무료 광고가 될 전망이다.’은 bridge이고 302화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
46,DCA-N29,302,316,DCA-N29,KEEP,청문회 역공을 타미플루·충전망·로켓·애플카로 지급,청문회 역공을 타미플루·충전망·로켓·애플카로 지급의 약속을 애플카는 제품 발표를 넘어 미국 제조업 회생과 전기차 정책의 지렛대가 된다.까지 실제 장면으로 결산하는가?,L53785~L53802;L54109~L54126;L54930~L54947;L55427~L55444,L53785~L53802;L54109~L54126;L54930~L54947;L55427~L55444; predecessor=301화 L53126~L53287: 태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.; next=302화 L53288~L53462: GM 인사 자료를 직접 검토하다 델핀에게 청문회 전략을 자문하고 휠체어 대신 오픈카로 출석해 패널 자료를 제시한다.,301화 L53126~L53287: 태우의 미래 포트폴리오가 지상 이동·AI·우주·바이오로 분기한다.,302화 L53288~L53462: GM 인사 자료를 직접 검토하다 델핀에게 청문회 전략을 자문하고 휠체어 대신 오픈카로 출석해 패널 자료를 제시한다.,316화의 지급 ‘애플카는 제품 발표를 넘어 미국 제조업 회생과 전기차 정책의 지렛대가 된다.’은 DCA-N29 소유다. 끝 훅 ‘스티브가 휴식 대신 이틀짜리 아이디어 회의를 시작한다.’은 bridge이고 317화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
47,DCA-N30,317,326,DCA-N30,KEEP,애플카 수요·사우디 매수벽으로 테슬라 숏 항복,애플카 수요·사우디 매수벽으로 테슬라 숏 항복의 약속을 전기차 동맹이 완승하고 카노스가 장기 적으로 남는다.까지 실제 장면으로 결산하는가?,L55813~L57487,"L55813~L57487; predecessor=316화 L55616~L55812: 애플카는 제품 발표를 넘어 미국 제조업 회생과 전기차 정책의 지렛대가 된다.; next=317화 L55813~L55972: 미국 7,500달러·유럽 6천 유로 계획을 확인하고 중국 기업형 보조금·현지 공장을 검토한 뒤 다이먼에게 비트코인 3만 달러 미래를 설명한다.",316화 L55616~L55812: 애플카는 제품 발표를 넘어 미국 제조업 회생과 전기차 정책의 지렛대가 된다.,"317화 L55813~L55972: 미국 7,500달러·유럽 6천 유로 계획을 확인하고 중국 기업형 보조금·현지 공장을 검토한 뒤 다이먼에게 비트코인 3만 달러 미래를 설명한다.",326화의 지급 ‘전기차 동맹이 완승하고 카노스가 장기 적으로 남는다.’은 DCA-N30 소유다. 끝 훅 ‘카노스가 태우 폭락을 기다린다.’은 bridge이고 327화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
48,DCA-N31,327,333,DCA-N31,SPLIT,일본·남유럽 금융전과 국민경제당 선거망,일본·남유럽 금융전과 국민경제당 선거망의 약속을 태우는 2011년 수확까지 적자를 감수한다.까지 실제 장면으로 결산하는가?,L58657~L58674,L58657~L58674; predecessor=326화 L57323~L57487: 전기차 동맹이 완승하고 카노스가 장기 적으로 남는다.; next=327화 L57488~L57633: 비상회의에서 일본 제조업 KIKO·공매도와 남유럽 위기 투자를 승인한다.,326화 L57323~L57487: 전기차 동맹이 완승하고 카노스가 장기 적으로 남는다.,327화 L57488~L57633: 비상회의에서 일본 제조업 KIKO·공매도와 남유럽 위기 투자를 승인한다.,333화의 지급 ‘태우는 2011년 수확까지 적자를 감수한다.’은 DCA-N31 소유다. 끝 훅 ‘대지진 시점이 다가온다.’은 bridge이고 334화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
49,DCA-N31B,334,337,DCA-N31,SPLIT,동일본 대지진 대피준비와 일본 금융결산,동일본 대지진 대피준비와 일본 금융결산의 약속을 일본 수확이 유럽전과 물류망을 강화한다.까지 실제 장면으로 결산하는가?,L58657~L58674;L59158~L59175,L58657~L58674;L59158~L59175; predecessor=333화 L58496~L58665: 태우는 2011년 수확까지 적자를 감수한다.; next=334화 L58666~L58839: 항공기·버스를 계약하고 최재석에게 긴급 기자회견과 교민협조 역할을 맡긴다.,333화 L58496~L58665: 태우는 2011년 수확까지 적자를 감수한다.,334화 L58666~L58839: 항공기·버스를 계약하고 최재석에게 긴급 기자회견과 교민협조 역할을 맡긴다.,337화의 지급 ‘일본 수확이 유럽전과 물류망을 강화한다.’은 DCA-N31B 소유다. 끝 훅 ‘서울 무상급식 주민투표가 다가온다.’은 bridge이고 338화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
50,DCA-N31C,338,341,DCA-N31,SPLIT,그리스·서울 투표와 DDoS 대권증거,"그리스·서울 투표와 DDoS 대권증거의 약속을 국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.까지 실제 장면으로 결산하는가?",L59325~L59342,L59325~L59342; predecessor=337화 L59167~L59333: 일본 수확이 유럽전과 물류망을 강화한다.; next=338화 L59334~L59486: 그리스 투표 철회를 전제로 작전을 지속하고 국민경제당에는 서울 투표 불참 침묵을 지시한다.,337화 L59167~L59333: 일본 수확이 유럽전과 물류망을 강화한다.,338화 L59334~L59486: 그리스 투표 철회를 전제로 작전을 지속하고 국민경제당에는 서울 투표 불참 침묵을 지시한다.,"341화의 지급 ‘국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.’은 DCA-N31C 소유다. 끝 훅 ‘서울시장 승리를 발판으로 최재석이 오랜 침묵을 깨고 실제 대권 도전에 나설 것인가?’은 bridge이고 342화 실제 행동은 다음 Arc가 소유한다.",52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
51,DCA-N32,342,344,DCA-N32,SPLIT,로보 지분과 당뇨·mRNA 공동연구,로보 지분과 당뇨·mRNA 공동연구의 약속을 태우가 세계 제약 연구비를 대는 핵심 주주로 오른다.까지 실제 장면으로 결산하는가?,L60485~L60502,"L60485~L60502; predecessor=341화 L59812~L59973: 국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.; next=342화 L59974~L60147: 디도스 수사를 확산하고 한정훈에게 유럽 청산·데이비드에게 미국 셰일 인맥 구축을 맡긴다.","341화 L59812~L59973: 국민경제당 후보가 서울시장 보궐선거에서 36대34, 2퍼센트 차이로 당선된다.",342화 L59974~L60147: 디도스 수사를 확산하고 한정훈에게 유럽 청산·데이비드에게 미국 셰일 인맥 구축을 맡긴다.,344화의 지급 ‘태우가 세계 제약 연구비를 대는 핵심 주주로 오른다.’은 DCA-N32 소유다. 끝 훅 ‘데이비드가 트럼프 후원을 시작한다.’은 bridge이고 345화 실제 행동은 다음 Arc가 소유한다.,52bbd904efd4483aa999d2062f301ec548ea2cc433bca0565c77d4f1fd418fa2,66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
