sequence,visible_label,field,source_lines,manager_start_before,pre_rejection_after,stage_after,bidirectional_result,evidence,adjudication
50,50화,action,L9210~L9397,박진훈이 우성일에게 거짓 결함 자료와 돈을 건네 박 기자에게 전달하게 하자 강인식이 사진·녹취를 확보하고 김민재가 3국 공개 시연을 준비한다.,"박진훈이 우성일에게 거짓 결함 자료를 만들고 기자에게 넘기라고 지시한 뒤 1면 기사가 나오자, 김민재는 SAVE 반박자료를 제시하고 한국·미국·독일 동시 이벤트를 준비한다.",박진훈이 우성일에게 거짓 결함 자료를 기자에게 넘기게 하자 강 대위 쪽이 전달 장면 영상과 음성 녹음을 확보한다. 1면 기사가 나온 뒤 김민재는 SAVE 반박자료를 제시하고 한국·미국·독일 동시 이벤트를 준비한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
50,50화,paid_reward,L9210~L9397,SAVE의 반박 자료와 돈 전달 사진·녹취를 확보해 허위보도를 뒤집을 수단을 갖춘다,허위 결함을 반박할 SAVE 자료와 세 나라 공개 이벤트 계획을 확보한다. 돈·자료 전달의 사진과 녹취는 아직 없다.,"우성일의 자료 전달 영상·음성 녹음, SAVE의 허위결함 반박자료, 한국·미국·독일 공개 이벤트 계획을 확보한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
50,50화,state_change,L9210~L9397,박진훈이 언론의 선수를 친 국면에서 김민재가 반박 증거와 세 나라 공개 검증의 주도권을 잡는다,박진훈이 언론의 선수를 친 국면에서 김민재가 내부 반박자료와 세 나라 공개검증 계획으로 대응 주도권을 잡는다.,박진훈이 언론의 선수를 친 국면에서 김민재가 전달 증거·반박자료·세 나라 공개검증 계획으로 대응 주도권을 잡는다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
50,50화,closed_loops,L9210~L9397,박진훈에서 박 기자로 이어진 돈·거짓 자료 전달 경로를 확인하고 증거를 보전한다,기사의 결함 주장이 허위임을 내부 자료로 확인; 세 나라 공개 이벤트 결정,우성일의 기자 접촉과 자료 전달 증거 확보; 기사 주장의 허위 확인; 세 나라 공개 이벤트 결정,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
56,56화,opened_loops,L10327~L10491,넥스트 인수금·소프트웨어 권리·잡스의 실제 CEO 복귀는 남아 있다,넥스트 인수금 부담주체·대가; 잡스의 실제 CEO 복귀,넥스트 인수금 부담주체·대가; 잡스의 실제 CEO 복귀,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
74,74화,opened_loops,L13605~L13786,포드·상하이자동차의 지분·공장 조건과 MCA 계약은 남는다,포드·중국 합작 파트너의 지분·공장 조건과 MCA 계약,포드·중국 합작 파트너의 지분·공장 조건과 MCA 계약,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
81,81화,opened_loops,L14871~L15040,외환위기 매물 인수·김태중의 전경련 역할·냅스터 대응은 남는다,외환위기 매물 인수; 김태중의 재계 역할; 세계 IT 지분 배치,외환위기 매물 인수; 김태중의 재계 역할; 세계 IT 지분 배치,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
96,96화,ending_hook,L17616~L17784,정부가 퀀텀 컨소시엄에 지하철 9호선·거가대교를 맡기고 태우건설 시공을 허용할 것인가?,정부가 퀀텀 이름의 비밀 민자 컨소시엄에 장기 운영권을 주고 태우건설 시공을 허용할 것인가?,정부가 퀀텀 이름의 비밀 민자 컨소시엄에 장기 운영권을 주고 태우건설 시공을 허용할 것인가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
99,99화,opened_loops,L18128~L18314,MC소프트 투자·게임 유통권·ESD 플랫폼 출시는 아직 실행 전이다,게임사 투자·독점 유통권; 전자 소프트웨어 유통 플랫폼 출시,게임사 투자·독점 유통권; 전자 소프트웨어 유통 플랫폼 출시,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
103,103화,resistance_or_cost,L18839~L19009,"통신 출혈경쟁과 영화 배급·불법복제 문제가 남고, 금감원·정치권을 포함한 대부업 카르텔 가능성 때문에 공개 대응이 어렵다","통신 출혈경쟁과 영화 배급·불법복제 문제가 남고, 정부·관련부처·정치권을 포함한 대부업 카르텔 가능성 때문에 공개 대응이 어렵다.","통신 출혈경쟁과 영화 배급·불법복제 문제가 남고, 정부·관련부처·정치권을 포함한 대부업 카르텔 가능성 때문에 공개 대응이 어렵다.",PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
143,143화,entry_state,L26108~L26283,태우 실권을 맡자 통신사들이 WIPI로 국내 아이폰 판매를 막는다,태우 실권을 맡자 통신사·전자회사 카르텔이 무선인터넷 규제로 국내 아이폰 판매를 막으려 한다.,태우 실권을 맡자 통신사·전자회사 카르텔이 무선인터넷 규제로 국내 아이폰 판매를 막으려 한다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
143,143화,protagonist_goal,L26108~L26283,WIPI 협상 실패 뒤 미국의 무역 압박을 끌어온다,국내 통신·방송 규제 협상 실패 뒤 미국에서 외부 통상 압박 수단을 찾는다.,국내 통신·방송 규제 협상 실패 뒤 미국에서 외부 통상 압박 수단을 찾는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
143,143화,opened_loops,L26108~L26283,미국 외부 압박; WIPI 규제전,미국 외부 압박 수단; 국내 통신·방송 규제전,미국 외부 압박 수단; 국내 통신·방송 규제전,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
154,154화,reader_promise,L28006~L28171,성장한 모바일 생태계가 세이월드 창업자를 부르는 다음 목표를 연다,성장한 모바일 생태계가 세이월드 대표를 부르는 다음 목표를 연다.,"김태중의 승계·결혼 압박, 백악관의 미국 방패, 아이폰·TV·상여금 영수증을 받은 뒤 세이월드라는 다음 SNS 표적만 연다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,protagonist_goal,L28006~L28171,국내 실적을 점검하고 서광수와 만날 자리를 만든다,국내 실적을 점검하고 세이월드 대표와 만날 자리를 만든다.,할아버지와 승계 시점을 조율하고 미국 보호선·모바일·TV 실적·직원 보상을 확인한 다음 새 SNS 후보의 면담을 잡는다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,action,L28006~L28171,아이폰·스마트TV 현황을 보고받고 세이월드 창업자 서광수를 만나고 싶다고 지시한다,아이폰·스마트TV 현황을 보고받고 세이월드 대표를 만나고 싶다고 지시한다.,"김태중의 회장직 제안과 베트남 귀환 뒤에도 혼자면 승계하겠다는 결혼 최후통첩을 받는다. 백악관의 명예시민권 발표와 태우자동차 반덤핑 재량을 확인하고, 아이폰 40만 대·조너선이 참여한 애플-태우 TV 진행을 보고받아 추석 상여금 200~300%와 TV 개발진 최고등급 지급을 지시한다. 마지막에 세이월드 대표 면담 약속을 알아보게 한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,resistance_or_cost,L28006~L28171,서광수가 KS와 거래 중이라는 정보조차 아직 직접 확인되지 않았다,세이월드 대표의 성향·기존 거래관계·면담 의사는 아직 확인되지 않았다.,"젊은 총수라는 시선 때문에 회장 취임을 미루고 싶고, 아이폰은 성능·콘텐츠 제약을 안으며 애플-태우 TV 협업에는 직원 자존심 비용도 남아 있다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,paid_reward,L28006~L28171,모바일 반등을 SNS 사업으로 이을 후보를 특정한다,모바일 반등을 SNS 사업으로 이을 회사와 대표 면담 대상을 특정한다.,"김태중의 승계 신뢰, 백악관 명예시민권 발표, 태우자동차 반덤핑 재량, 아이폰 40만 대, 조너선이 설계에 참여한 애플-태우 TV, 추석 상여금 200~300%와 TV 개발진 최고등급 지급 지시를 얻는다. 세이월드 면담은 아직 약속을 알아보는 단계다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,state_change,L28006~L28171,서광수가 잠재 영입 대상이 되고 협상은 미착수 상태다,세이월드가 잠재 확장 대상이 되고 대표 면담은 미착수 상태다.,김민재는 김태중이 회장직을 맡길 후계자로 다시 확인되고 미국 정치·통상 보호선을 얻는다. 모바일 40만 대와 TV 협업은 실적이 되고 직원에게는 200~300% 보너스가 배정된다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,ending_hook,L28006~L28171,서광수와 약속을 잡아 세이월드의 현재 가치와 활용법을 직접 확인해야 한다.,세이월드 대표와 약속을 잡아 회사의 현재 가치와 활용법을 직접 확인할 수 있는가?,마지막에 처음 꺼낸 세이월드 대표의 약속을 실제로 잡아 SNS의 가치와 인수 가능성을 확인할 수 있는가?,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
154,154화,opened_loops,L28006~L28171,서광수 첫 면담; 세이월드 인수·확장,세이월드 대표 첫 면담; 세이월드 활용·확장,세이월드 대표 첫 면담; 세이월드의 투자·인수 여부,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
161,161화,resistance_or_cost,L29176~L29348,20조 원대 카드채와 숨은 연체가 인수 뒤에도 남는다,20조 원대 자금유동성 부담과 숨은 연체가 인수 뒤에도 남는다.,20조 원대 자금유동성 부담과 숨은 연체가 인수 뒤에도 남는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
161,161화,opened_loops,L29176~L29348,카드채 정상화,CL카드 자금유동성·연체 정상화,CL카드 자금유동성·연체 정상화,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
177,177화,opened_loops,L32081~L32276,천민정과의 관계; 다이먼의 핀테크은행·페이팔 인수,천민정과의 관계; 다이먼의 실리콘밸리 은행 진출·실탄 축적,천민정과의 관계; 다이먼의 실리콘밸리 은행 진출·실탄 축적,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
191,191화,paid_reward,L34605~L34776,유럽 명품 동맹과 50명 규모 경제정치 연합의 목표를 함께 얻는다,유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.,유럽 명품 동맹과 깨끗한 경제인·정치인 연합이라는 목표를 함께 얻는다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
191,191화,opened_loops,L34605~L34776,경제정치 연합; 최재석 중심의 새 정치 구상,경제정치 연합의 인물·규모·구조,경제정치 연합의 인물·규모·구조,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
192,192화,protagonist_goal,L34777~L34942,기존 양당에 휘둘리지 않을 세력을 설계하고 천민정의 동생 천민우에게 닥친 위험을 파악한다,천민정의 동생에게 벌어진 학교폭력을 확인하고 즉시 보호한다.,"최재석에게 깨끗한 정치인 후보를 추려 달라고 맡기고, 천민정의 동생에게 벌어진 학교폭력을 확인해 보호에 착수한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,action,L34777~L34942,최재석 중심 50명 연합을 구상하다 경호 영상에서 불량학생 4~5명이 천민우의 머리를 때리고 식판에 침 뱉는 장면을 확인한다.,"최재석 중심 50명 정치연합을 설계하고, 강인식이 보여 준 영상에서 불량학생들이 천민정의 동생을 폭행하는 장면을 확인한다.",최재석에게 이번 주 안에 후보 약 50명을 추려 보고해 달라고 맡긴다. 강 대위가 보여 준 영상에서는 불량학생 4~5명이 천민정의 동생 머리를 후려치고 식판에 침을 뱉는 장면을 확인한다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,resistance_or_cost,L34777~L34942,깨끗한 의원을 모으기 어렵고 추영택은 부장검사 아버지와 중견기업 외가·학교 권력을 등에 업고 있다,"학교폭력이 은밀히 이어져 왔고, 영상 속 가해 학생의 신원과 배경은 아직 알 수 없다.","20명 교섭단체를 만들 만큼 깨끗한 후보를 찾기 어렵고, 영상 속 가해 학생들의 이름·가족 배경은 이 화에서 아직 알 수 없다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,turn_or_reveal,L34777~L34942,거시적인 정치세력 구상이 천민정의 가족을 즉시 보호해야 하는 현실 문제로 전환된다.,정치 방벽 논의가 핵심 인재의 가족이 학교폭력을 당하는 긴급 보호문제로 전환된다.,정치 방벽 논의가 천민정의 동생이 교실에서 반복적으로 맞고 모욕당하는 긴급 보호문제로 전환된다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,paid_reward,L34777~L34942,천민우가 겪은 상습 폭력을 조기에 발견하고 가해자 수와 장면을 확보한다.,정치인 후보 50명 명단과 천민정의 동생에게 벌어진 폭력 영상이라는 즉시 대응 근거를 확보한다.,"최재석에게 후보 선별 과업을 맡기고, 불량학생 4~5명의 폭행·식판 침 장면이 담긴 대응 근거를 확보한다. 후보 50명 명단은 아직 미지급이다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,state_change,L34777~L34942,추상적 경제정당 계획이 태우 울타리 안 가족을 지키는 당면 과제와 연결된다,"장기 정치 방벽 설계 중 천민정의 가족 보호가 최우선 현안으로 끼어들지만, 동생과 가해자 신원은 아직 확인 전이다.",추상적 경제정당 계획이 태우 핵심인재의 가족을 지키는 당면 과제와 연결된다. 피해자는 이 화 표면대로 천민정의 동생이며 실명과 가해자 배경은 다음 확인으로 남는다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,ending_hook,L34777~L34942,가해 학생들은 누구이며 천민우를 즉시 어떻게 보호할 것인가?,폭행 영상 속 천민정의 동생을 즉시 어떻게 보호하고 가해 학생들을 확인할 것인가?,영상 속 천민정의 동생을 즉시 보호하고 불량학생 4~5명의 신원과 배경을 어떻게 확인할 것인가?,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
192,192화,opened_loops,L34777~L34942,천민우 보호; 가해자 신원; 경제정치 연합,천민정의 동생 보호; 가해 학생 신원; 경제정치 연합,후보 약 50명 보고; 천민정의 동생 보호; 가해 학생 신원·배경 확인,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
194,194화,action,L35137~L35343,천민정과 학부모 회의에 참석해 경호 영상·상습폭행 자료를 내놓고 학교 조사와 추영택 아버지의 검찰 라인·외가 화원정밀 거래를 동시에 캐게 한다,천민정과 학부모 회의에 참석해 경호 영상·상습폭행 자료를 내놓고 학교 조사와 가해 학생 가족·학교폭력위원의 배경조사를 동시에 지시한다.,"학부모 회의에서 몇 달치 사진·영상·녹취·진술서와 경호원 바디캠을 제시해 정식 학폭위를 요구한다. 교실로 가 천민우를 안아 공개 보호하고 재폭행을 막은 뒤 학폭위원 뒷조사, 명동선 확인, 추영택 아버지의 부장검사 윗라인 압박을 지시한다.",EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
194,194화,resistance_or_cost,L35137~L35343,학교는 학부모회장 눈치를 보고 조영희는 검사 남편과 중견기업 친정을 믿고 물러서지 않는다,가해 학생 가족과 학교폭력위원의 이해관계가 아직 드러나지 않았고 교사·학교는 사건 축소에 익숙하다.,조영희는 부장검사 남편과 중견기업 회장가 친정을 믿고 버티며 학교도 학부모회 눈치를 본다. 화원정밀 거래중단 같은 다음 화 조치는 아직 없다.,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
194,194화,ending_hook,L35137~L35343,화원정밀 거래 중단과 검사 인사 압박이 실제 사과를 끌어낼지 남는다,가해 학생 가족과 학교폭력위원의 배경을 확인해 학교의 축소 대응을 뒤집을 수 있는가?,학폭위원 뒷조사와 명동선·부장검사 윗라인 압박이 추영택 가족과 학교의 축소 대응을 어디까지 무너뜨릴 것인가?,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
194,194화,opened_loops,L35137~L35343,화원정밀·검찰 응징,가해 학생 가족·학교폭력위원 배경조사; 학교·검찰선 압박,정식 학폭위; 학폭위원·추영택 가족 뒷조사; 명동·검찰 윗라인 압박,EDIT_CURRENT_FACT_RECOVERY,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,삭제·일반화된 현재 사실을 복원하거나 잘못된 유예를 제거
221,221화,turn_or_reveal,L39738~L39888,출시 보름 만에 하루 이용자 10만 명을 넘지만 서울 택시회사들이 차봉훈의 압력으로 데이터 계약을 동시에 취소한다,출시 보름 만에 하루 이용자 10만 명을 넘지만 서울 택시회사들이 한꺼번에 데이터 계약을 취소하고 콜 업체를 장악한 서울 지부장의 압력이 드러난다.,출시 보름 만에 하루 이용자 10만 명을 넘지만 서울 택시회사들이 한꺼번에 데이터 계약을 취소하고 콜 업체를 장악한 서울 지부장의 압력이 드러난다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
221,221화,ending_hook,L39738~L39888,택시 호출망을 장악한 차봉훈 카르텔이 다음 직접 상대가 된다,콜 업체와 택시노조를 장악한 서울 지부장의 카르텔을 어떻게 약화시킬 것인가?,콜 업체와 택시노조를 장악한 서울 지부장의 카르텔을 어떻게 약화시킬 것인가?,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
223,223화,action,L40045~L40202,경찰·검찰·국세청에 자료를 동시에 넘기고 코코아택시 앱·단말기를 완성해 무료 가맹 신청을 개인기사와 중소회사에 퍼뜨린다,경찰·검찰·국세청에 차봉훈 자료를 동시에 넘기고 새 택시 호출 앱·단말기를 완성해 무료 가맹 신청을 개인기사와 중소회사에 퍼뜨린다.,경찰·검찰·국세청에 차봉훈 자료를 동시에 넘기고 새 택시 호출 앱·단말기를 완성해 무료 가맹 신청을 개인기사와 중소회사에 퍼뜨린다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
223,223화,ending_hook,L40045~L40202,차봉훈이 주도한 닷새 총파업이 코코아택시의 첫 실전이 된다,차봉훈이 주도한 닷새 총파업이 새 택시 호출 서비스의 첫 실전이 된다.,차봉훈이 주도한 닷새 총파업이 새 택시 호출 서비스의 첫 실전이 된다.,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
223,223화,opened_loops,L40045~L40202,다기관 수사·총파업 대응,새 택시 호출 서비스 출시·첫 실전; 차봉훈 수사·총파업,새 택시 호출 서비스 출시·첫 실전; 차봉훈 수사·총파업,PASS_BIDIRECTIONAL,현재 화 인물·고유명·수치·행동·계약상태와 다음 화 첫선을 대조,미래 선취와 현재 사실 누락이 없음
