arc_id,start_sequence,end_sequence,start_line,end_line,main_characters,main_locations,character_evidence,location_evidence,source_sha256
DCA-N08,98,101,17954,18661,"김민재, 태우, 김태중, 데이비드, 다이먼, 우성일, 임진태, 부시, 애플, 조지, 사장단, 조지 슐츠","청와대, 회장실, 강 대위 사무실, 태우, 월가, 태우통신, 미국, 한국, 북한, MC소프트",김민재<=김민재(4); 태우<=태우(59); 김태중<=할아버지(22); 데이비드<=데이비드(20); 다이먼<=다이먼(10); 우성일<=우성일(9); 임진태<=임진태(8); 부시<=부시(5); 애플<=애플(5); 조지<=조지(4); 사장단<=사장단(4); 조지 슐츠<=조지 슐츠(3),청와대<=청와대(2); 회장실<=회장실(2); 강 대위 사무실<=강 대위의 사무실(1); 태우<=태우(59); 월가<=월가(23); 태우통신<=태우통신(18); 미국<=미국(18); 한국<=한국(15); 북한<=북한(13); MC소프트<=MC소프트(12),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N09,102,111,18662,20420,"김민재, 태우, 이영한, 김태중, 강 대위, 이준수, 이 상무, 다이먼, 스티브, 이선일, 박광도, 애플","강 대위 사무실, 청와대, 명동, 태우, 일본, 한국, 미국, 태우통신, 부산, 월가",김민재<=김민재(14); 태우<=태우(91); 이영한<=이영한(78); 김태중<=할아버지(32); 강 대위<=강 대위(30); 이준수<=이준수(29); 이 상무<=이 상무(21); 다이먼<=다이먼(15); 스티브<=스티브(10); 이선일<=이선일(8); 박광도<=박광도(6); 애플<=애플(6),강 대위 사무실<=강 대위의 사무실(5); 청와대<=청와대(2); 명동<=명동(139); 태우<=태우(91); 일본<=일본(64); 한국<=한국(53); 미국<=미국(30); 태우통신<=태우통신(26); 부산<=부산(23); 월가<=월가(20),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N10,112,116,20421,21297,"김민재, 태우, 김태중, 강민, 이준수, 이영한, 트럼프, 다이먼, 우성일, 로만, 이주영, 이 상무","국회, 청와대, 회장실, 태우, 태우통신, 일본, 태우전자, 명동, 미국, 한국",김민재<=김민재(3); 태우<=태우(110); 김태중<=할아버지(29); 강민<=강민(14); 이준수<=이준수(11); 이영한<=이영한(9); 트럼프<=트럼프(9); 다이먼<=다이먼(7); 우성일<=우성일(5); 로만<=로만(5); 이주영<=이주영(4); 이 상무<=이 상무(4),국회<=국회(3); 청와대<=청와대(1); 회장실<=회장실(1); 태우<=태우(110); 태우통신<=태우통신(53); 일본<=일본(31); 태우전자<=태우전자(25); 명동<=명동(23); 미국<=미국(21); 한국<=한국(12),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N11,117,124,21298,22793,"김민재, 태우, 김태중, 푸틴, 장영준, 장경준, 장수영, 다이먼, 사장단, 로만, 장남, 강 대위","회장실, 강 대위 사무실, 태우 본사, 부회장실, 백악관, 태우, 러시아, 일본, 한국, 월가",김민재<=김민재(20); 태우<=태우(87); 김태중<=할아버지(37); 푸틴<=푸틴(30); 장영준<=장영준(27); 장경준<=장경준(24); 장수영<=장수영(21); 다이먼<=다이먼(14); 사장단<=사장단(14); 로만<=로만(14); 장남<=장남(13); 강 대위<=강 대위(12),회장실<=회장실(5); 강 대위 사무실<=강 대위의 사무실(2); 태우 본사<=태우그룹 본사(1); 부회장실<=부회장실(1); 백악관<=백악관(1); 태우<=태우(87); 러시아<=러시아(72); 일본<=일본(25); 한국<=한국(25); 월가<=월가(18),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N12,125,134,22794,24613,"김민재, 태우, 김태중, 애플, 스티브, 장경준, 장영준, 부시, 유석재, 데이비드, 고승택, 웨이","회장실, 부회장실, 강 대위 사무실, 백악관, 사장단 회의실, 청와대, 태우, 애플, 태우전자, 미국",김민재<=김민재(1); 태우<=태우(159); 김태중<=할아버지(49); 애플<=애플(42); 스티브<=스티브(34); 장경준<=장경준(25); 장영준<=장영준(22); 부시<=부시(19); 유석재<=유석재(16); 데이비드<=데이비드(12); 고승택<=고승택(10); 웨이<=웨이(9),회장실<=회장실(9); 부회장실<=부회장실(8); 강 대위 사무실<=강 대위의 사무실(4); 백악관<=백악관(2); 사장단 회의실<=사장단 회의실(1); 청와대<=청와대(1); 태우<=태우(159); 애플<=애플(42); 태우전자<=태우전자(34); 미국<=미국(27),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N13,135,142,24614,26107,"김민재, 태우, 윤현길, 김태중, 장수영, 장영준, 강 대위, 기획실장, 쩡훙친, 장경준, 푸틴, 마화명","국회, 회장실, 강 대위 사무실, 백악관, 부회장실, 태우, 중국, 한국, 검찰, 베트남",김민재<=김민재(17); 태우<=태우(139); 윤현길<=윤현길(95); 김태중<=할아버지(41); 장수영<=장수영(23); 장영준<=장영준(20); 강 대위<=강 대위(18); 기획실장<=기획실장(16); 쩡훙친<=쩡훙친(14); 장경준<=장경준(14); 푸틴<=푸틴(12); 마화명<=마화명(6),국회<=국회(18); 회장실<=회장실(5); 강 대위 사무실<=강 대위의 사무실(3); 백악관<=백악관(2); 부회장실<=부회장실(1); 태우<=태우(139); 중국<=중국(34); 한국<=한국(29); 검찰<=검찰(21); 베트남<=베트남(15),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N14,143,146,26108,26781,"김민재, 태우, 애플, 오희건, 기획실장, 데이비드, 장경준, 로만, 부시, 강 대위, 김태중, 스티브","백악관, 청와대, 강 대위 사무실, 태우 본사, 부회장실, 회장실, 태우, 한국, 미국, 삼진전자",김민재<=FIRST_PERSON_EXCEPTION(0); 태우<=태우(45); 애플<=애플(14); 오희건<=오희건(7); 기획실장<=기획실장(7); 데이비드<=데이비드(5); 장경준<=장경준(3); 로만<=로만(3); 부시<=부시(2); 강 대위<=강 대위(2); 김태중<=할아버지(1); 스티브<=스티브(1),백악관<=백악관(4); 청와대<=청와대(3); 강 대위 사무실<=강 대위의 사무실(2); 태우 본사<=태우그룹 본사(1); 부회장실<=부회장실(1); 회장실<=회장실(1); 태우<=태우(45); 한국<=한국(45); 미국<=미국(43); 삼진전자<=삼진전자(33),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N15,147,150,26782,27463,"김민재, 태우, 애플, 제프리, 스티브, 데이비드, 오희건, 이주영, 우성일, 마크, 기획실장, 김태중","백악관, 부회장실, 태우자동차 공장, 회장실, 태우, 애플, 태우전자, 미국, 한국, 중국",김민재<=김민재(1); 태우<=태우(72); 애플<=애플(63); 제프리<=제프리(15); 스티브<=스티브(10); 데이비드<=데이비드(8); 오희건<=오희건(6); 이주영<=이주영(5); 우성일<=우성일(3); 마크<=마크(2); 기획실장<=기획실장(2); 김태중<=할아버지(1),백악관<=백악관(6); 부회장실<=부회장실(1); 태우자동차 공장<=태우자동차 공장(1); 회장실<=회장실(1); 태우<=태우(72); 애플<=애플(63); 태우전자<=태우전자(33); 미국<=미국(14); 한국<=한국(13); 중국<=중국(11),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N15B,151,153,27464,28005,"김민재, 태우, 데이비드, 힌톤, 조지, 다이먼, 조지 슐츠, 부시, 강 대위, 로만, 제프리, 장수영","백악관, 강 대위 사무실, 부회장실, 회장실, 태우, 미국, SAVE, 태우건설, 한국, 월가",김민재<=김민재(2); 태우<=태우(48); 데이비드<=데이비드(11); 힌톤<=힌톤(9); 조지<=조지(8); 다이먼<=다이먼(7); 조지 슐츠<=조지 슐츠(7); 부시<=부시(6); 강 대위<=강 대위(3); 로만<=로만(2); 제프리<=제프리(1); 장수영<=장수영(1),백악관<=백악관(11); 강 대위 사무실<=강 대위의 사무실(2); 부회장실<=부회장실(1); 회장실<=회장실(1); 태우<=태우(48); 미국<=미국(47); SAVE<=SAVE(19); 태우건설<=태우건설(18); 한국<=한국(15); 월가<=월가(6),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N16,154,159,28006,29001,"김민재, 태우, 애플, 스티브, 김태중, 다이먼, 임재범, 서문영, 오희건, 조나단, 데이비드, 서광수","백악관, 강 대위 사무실, 회장실, 부회장실, 태우 본사, 태우, 태우전자, 미국, 한국, 애플",김민재<=김민재(7); 태우<=태우(105); 애플<=애플(26); 스티브<=스티브(18); 김태중<=할아버지(16); 다이먼<=다이먼(16); 임재범<=임재범(13); 서문영<=서문영(10); 오희건<=오희건(9); 조나단<=조나단(8); 데이비드<=데이비드(5); 서광수<=서광수(5),백악관<=백악관(5); 강 대위 사무실<=강 대위의 사무실(4); 회장실<=회장실(4); 부회장실<=부회장실(2); 태우 본사<=태우그룹 본사(1); 태우<=태우(105); 태우전자<=태우전자(35); 미국<=미국(33); 한국<=한국(31); 애플<=애플(26),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N16B,160,166,29002,30224,"김민재, 태우, 다이먼, 애플, 김태중, 기획실장, 스티브, 이영한, 박만덕, 고승택, 강 대위, 이일석","회장실, 부회장실, 청와대, 강 대위 사무실, 태우, 외환은행, CL카드, 명동, 애플, 태우전자",김민재<=FIRST_PERSON_EXCEPTION(0); 태우<=태우(96); 다이먼<=다이먼(37); 애플<=애플(28); 김태중<=할아버지(18); 기획실장<=기획실장(17); 스티브<=스티브(14); 이영한<=이영한(12); 박만덕<=박만덕(8); 고승택<=고승택(7); 강 대위<=강 대위(5); 이일석<=이일석(4),회장실<=회장실(8); 부회장실<=부회장실(7); 청와대<=청와대(3); 강 대위 사무실<=강 대위 사무실(2); 태우<=태우(96); 외환은행<=외환은행(61); CL카드<=CL카드(59); 명동<=명동(36); 애플<=애플(28); 태우전자<=태우전자(22),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N17,167,176,30225,32080,"김민재, 태우, 천민정, 서정준, 강 대위, 서광수, 기획실장, 힌톤, 데이비드, 김태중, 마크, 우성일","부회장실, 회장실, 강 대위 사무실, 태우병원, 태우, 한국, 미국, 태우전자, 검찰, 경기",김민재<=김민재(6); 태우<=태우(122); 천민정<=천민정(100); 서정준<=서정준(31); 강 대위<=강 대위(26); 서광수<=서광수(20); 기획실장<=기획실장(20); 힌톤<=힌톤(12); 데이비드<=데이비드(9); 김태중<=할아버지(7); 마크<=마크(7); 우성일<=우성일(4),부회장실<=부회장실(9); 회장실<=회장실(9); 강 대위 사무실<=강 대위의 사무실(1); 태우병원<=태우병원(1); 태우<=태우(122); 한국<=한국(47); 미국<=미국(26); 태우전자<=태우전자(17); 검찰<=검찰(13); 경기<=경기(11),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N18,177,180,32081,32797,"김민재, 태우, 천민정, 머스크, 데이비드, 다이먼, 김태중, 힌톤, 애플, 기획실장, 스티브, 피터 틸","강 대위 사무실, 한국, 미국, 태우, SAVE, 중국, 외환은행, 삼진전자, 애플, 러시아",김민재<=김민재(2); 태우<=태우(23); 천민정<=천민정(17); 머스크<=머스크(14); 데이비드<=데이비드(12); 다이먼<=다이먼(12); 김태중<=할아버지(9); 힌톤<=힌톤(5); 애플<=애플(4); 기획실장<=기획실장(3); 스티브<=스티브(2); 피터 틸<=피터 틸(2),강 대위 사무실<=강 대위의 사무실(1); 한국<=한국(26); 미국<=미국(25); 태우<=태우(23); SAVE<=SAVE(12); 중국<=중국(8); 외환은행<=외환은행(7); 삼진전자<=삼진전자(5); 애플<=애플(4); 러시아<=러시아(4),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N18B,181,183,32798,33294,"김민재, 태우, 서광수, 강 대위, 서문영, 임재범, 애플, 김정빈, 박동희, 기획실장, 살만, 스티브","강 대위 사무실, 부회장실, 국회, 회장실, 검찰, 태우, 한국, CES, 미국, 애플",김민재<=FIRST_PERSON_EXCEPTION(0); 태우<=태우(20); 서광수<=서광수(18); 강 대위<=강 대위(11); 서문영<=서문영(6); 임재범<=임재범(5); 애플<=애플(5); 김정빈<=김정빈(4); 박동희<=박동희(2); 기획실장<=기획실장(2); 살만<=살만(1); 스티브<=스티브(1),강 대위 사무실<=강 대위의 사무실(2); 부회장실<=부회장실(1); 국회<=국회(1); 회장실<=회장실(1); 검찰<=검찰(21); 태우<=태우(20); 한국<=한국(11); CES<=CES(9); 미국<=미국(6); 애플<=애플(5),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N18C,184,186,33295,33838,"김민재, 스티브, 태우, 애플, 힌톤, 다이먼, 데이비드, 천민정, 구글, 로만, 마크, 할 핀니","태우, 애플, 태우전자, 한국, 구글, CES, 미국, 중국, SAVE, 태우IT",김민재<=김민재(9); 스티브<=스티브(33); 태우<=태우(32); 애플<=애플(17); 힌톤<=힌톤(12); 다이먼<=다이먼(7); 데이비드<=데이비드(5); 천민정<=천민정(4); 구글<=구글(4); 로만<=로만(2); 마크<=마크(1); 할 핀니<=할 핀니(1),태우<=태우(32); 애플<=애플(17); 태우전자<=태우전자(15); 한국<=한국(9); 구글<=구글(4); CES<=CES(4); 미국<=미국(4); 중국<=중국(4); SAVE<=SAVE(3); 태우IT<=태우IT(2),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N19,187,191,33839,34776,"김민재, 태우, 델핀, 애플, 데이비드, 미모안 싱, 델핀 아노르, 우성일, 스티브, 기획실장, 김태중, 로만","부회장실, 회장실, 베트남 공장, 태우, 인도, 한국, 태우전자, 중국, IIT, 애플",김민재<=김민재(16); 태우<=태우(91); 델핀<=델핀(18); 애플<=애플(16); 데이비드<=데이비드(14); 미모안 싱<=미모안 싱(13); 델핀 아노르<=델핀 아노르(10); 우성일<=우성일(7); 스티브<=스티브(6); 기획실장<=기획실장(5); 김태중<=할아버지(3); 로만<=로만(2),부회장실<=부회장실(7); 회장실<=회장실(7); 베트남 공장<=베트남 공장(5); 태우<=태우(91); 인도<=인도(67); 한국<=한국(51); 태우전자<=태우전자(28); 중국<=중국(21); IIT<=IIT(19); 애플<=애플(16),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N20,192,199,34777,36165,"김민재, 태우, 추영택, 천민우, 천민정, 최재석, 델핀, 김태중, 기획실장, 조영희, 강 대위, 서정준","국회, 부회장실, 강 대위 사무실, 회장실, 태우, 한국, 미국, 검찰, 칠레, 중국",김민재<=김민재(30); 태우<=태우(98); 추영택<=추영택(50); 천민우<=천민우(41); 천민정<=천민정(28); 최재석<=최재석(25); 델핀<=델핀(18); 김태중<=할아버지(17); 기획실장<=기획실장(16); 조영희<=조영희(12); 강 대위<=강 대위(11); 서정준<=서정준(9),국회<=국회(8); 부회장실<=부회장실(4); 강 대위 사무실<=강 대위의 사무실(4); 회장실<=회장실(4); 태우<=태우(98); 한국<=한국(38); 미국<=미국(12); 검찰<=검찰(10); 칠레<=칠레(8); 중국<=중국(8),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N20B,200,202,36166,36693,"김민재, 태우, 김익수, 천민정, 우성일, 데이비드, 애플, 기획실장, 구글, 스티브, 천민우, 채드 헐리","부회장실, 회장실, 태우, 태우전자, 미국, 한국, SAVE, 태우증권, 애플, CES",김민재<=김민재(1); 태우<=태우(47); 김익수<=김익수(21); 천민정<=천민정(13); 우성일<=우성일(10); 데이비드<=데이비드(7); 애플<=애플(6); 기획실장<=기획실장(6); 구글<=구글(4); 스티브<=스티브(3); 천민우<=천민우(2); 채드 헐리<=채드 헐리(1),부회장실<=부회장실(6); 회장실<=회장실(6); 태우<=태우(47); 태우전자<=태우전자(14); 미국<=미국(12); 한국<=한국(11); SAVE<=SAVE(8); 태우증권<=태우증권(6); 애플<=애플(6); CES<=CES(5),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N20C,203,206,36694,37418,"김민재, 태우, 리사, 최재석, 살만, 천민정, 빈 살만, 기획실장, 우성일, 데이비드, 스티브, 애플","국회, 부회장실, 회장실, 태우, 태우전자, 한국, 사우디, 태우IT, 미국, 태우반도체",김민재<=김민재(1); 태우<=태우(75); 리사<=리사(54); 최재석<=최재석(24); 살만<=살만(10); 천민정<=천민정(9); 빈 살만<=빈 살만(8); 기획실장<=기획실장(8); 우성일<=우성일(6); 데이비드<=데이비드(5); 스티브<=스티브(4); 애플<=애플(4),국회<=국회(15); 부회장실<=부회장실(4); 회장실<=회장실(4); 태우<=태우(75); 태우전자<=태우전자(40); 한국<=한국(21); 사우디<=사우디(10); 태우IT<=태우IT(9); 미국<=미국(9); 태우반도체<=태우반도체(5),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N20D,207,209,37419,37935,"김민재, 천민정, 최재석, 태우, 리사, 강 대위, 미모안 싱, 기획실장, 제프리, 스티브, 김태중, 웨이","국회, 부회장실, 회장실, 태우, 한국, 인도, 태우반도체, IIT, 미국, 태우전자",김민재<=김민재(2); 천민정<=천민정(25); 최재석<=최재석(21); 태우<=태우(21); 리사<=리사(17); 강 대위<=강 대위(5); 미모안 싱<=미모안 싱(4); 기획실장<=기획실장(3); 제프리<=제프리(2); 스티브<=스티브(2); 김태중<=김태중(1); 웨이<=웨이(1),국회<=국회(4); 부회장실<=부회장실(2); 회장실<=회장실(2); 태우<=태우(21); 한국<=한국(15); 인도<=인도(14); 태우반도체<=태우반도체(7); IIT<=IIT(7); 미국<=미국(6); 태우전자<=태우전자(4),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
DCA-N20E,210,211,37936,38260,"김민재, 태우, 최재석, 다이먼, 박만덕, 강 대위, 미모안 싱, 기획실장, 우성일, 로만","강 대위 사무실, 부회장실, 회장실, 인도, 한국, 태우, IIT, 태우증권, 미국, SAVE",김민재<=FIRST_PERSON_EXCEPTION(0); 태우<=태우(20); 최재석<=최재석(10); 다이먼<=다이먼(9); 박만덕<=박만덕(8); 강 대위<=강 대위(6); 미모안 싱<=미모안 싱(3); 기획실장<=기획실장(2); 우성일<=우성일(1); 로만<=로만(1),강 대위 사무실<=강 대위의 사무실(3); 부회장실<=부회장실(2); 회장실<=회장실(2); 인도<=인도(23); 한국<=한국(23); 태우<=태우(20); IIT<=IIT(9); 태우증권<=태우증권(8); 미국<=미국(7); SAVE<=SAVE(2),66f3e7df3123343c14a7134108dc59940511f40372493a549cba8ae709df4b45
