arc_id,start_sequence,end_sequence,pacing_reading,avg_tension,avg_reward,avg_hook,peak_tension_sequence,peak_tension_label,peak_tension_event,peak_tension_score,peak_reward_sequence,peak_reward_label,peak_reward_event,peak_reward_score,peak_hook_sequence,peak_hook_label,peak_hook_event,peak_hook_score,avg_information,avg_action,avg_relationship,avg_emotion,avg_material_or_status
DCA-N08,98,101,합병 설명은 앞에서 압축하고 독자는 린지 접속자·HTS 수수료가 오르는 화면에 오래 머문다. 101화의 숫자 봉우리 뒤 장례식 악수가 정서를 급랭시킨다.,5.50,7.50,7.00,100,100화,"임진태에게 100억 원·지분 20%와 린지 및 향후 전 게임 독점 유통을 제안해 계약하고, 한 팀장에게 해외 게임 권리·저작권 확보를 맡겨 5천 종을 모은 플랫폼을 출시한다",6,98,98화,사장단에 태우건설 수주를 공개하고 다이먼이 CL·신세계·태우 통신 3사를 한 달 만에 합병한다,8,100,100화,"임진태에게 100억 원·지분 20%와 린지 및 향후 전 게임 독점 유통을 제안해 계약하고, 한 팀장에게 해외 게임 권리·저작권 확보를 맡겨 5천 종을 모은 플랫폼을 출시한다",8,0.238,0.218,0.252,0.085,0.208
DCA-N09,102,111,장례식 불신과 병원·조폭 추적을 길게 끌어 위협의 얼굴을 유지한다. 마지막 명동 접수보고는 현금보다 관계·지위 보상으로 조용히 지급된다.,7.00,6.50,7.20,109,109화,"피습 소식을 듣자 특수부대 출신을 부산 반대세력에 붙이고 경찰·검찰·국세청에 차명계좌를 추적시키며, 명동 3인방을 만나 일본계 배후와 이준수의 암살 관여를 알리고 양지 금융 진출을 제안한다",9,107,107화,"월가 여러 회사와 10시간 넘게 협상해 200억 달러 규모 주식을 나누고 블리야드 지분 100%를 10억 달러에 사며 넷플릭스 등 콘텐츠 지분을 받은 뒤, 애플에서 아이폰 시제품과 태우 특허 적용을 점검한다",8,104,104화,"김태중의 압박으로 법정최고금리 66%를 만들고, 의사를 심문해 박광도·청산가스를 알아낸 뒤 이준수의 공장 구매내역과 상세정보를 확인하고 그 단서를 양 진영에 흘린다",9,0.280,0.245,0.264,0.091,0.120
DCA-N10,112,116,통신사 회의는 압박을 빠르게 올리고 강민의 배움과 선택에서 속도를 늦춘다. 기업승리와 한 사람의 성장보상을 같은 화폐로 처리하지 않는 구간이다.,6.00,6.80,6.60,114,114화,"트럼프를 1박 2일 안내한 뒤 인터넷 TV를 직접 시험하고, LCD 공급처 다변화·3년 태우통신 약정 시 TV 무상 제공·인터넷 TV 특허 사용 대가로 태우 OTT와 음원 사용을 지시한다",7,116,116화,"공무원·자격증·리눅스·자바 강의와 대회 입상자 채용·미국 유학을 지시하고, 귀국한 한 팀장에게 300억 달러 계약을 보고받은 뒤 아마존·구글·애플만 남기고 다른 IT 주식을 매도시킨다",8,113,113화,"이영한이 박동하와 마지막 대면을 치르는 동안 민재는 다이먼과 엔화 압박·수익률 300%·만기 2년짜리 300억 달러 IT 파생상품을 설계하고, 조지의 발언과 한 팀장 영업을 붙인다",9,0.258,0.226,0.244,0.068,0.204
DCA-N11,117,124,표결 숫자와 장수영의 고립을 교차해 관계긴장을 만든 뒤 발령에서 보상을 준다. 푸틴 장면은 짧지만 다음 국제사업의 규모를 크게 열어 둔다.,6.12,7.12,6.62,120,120화,"일본에서는 현금·부동산·주식·채권을 받아내고, 뉴욕 회의에서는 현재가보다 5% 높게 IT 주식을 사주겠다며 파생계약을 원가 1.5배에 팔아 그 대금을 IT 지분으로 받는다",7,120,120화,"일본에서는 현금·부동산·주식·채권을 받아내고, 뉴욕 회의에서는 현재가보다 5% 높게 IT 주식을 사주겠다며 파생계약을 원가 1.5배에 팔아 그 대금을 IT 지분으로 받는다",8,122,122화,"부회장 임명을 받아들이며 파벌 해체·능력 인사·고액 보상을 선언하고, 언론 비난을 억누르지 않은 채 태우건설 인사 명령을 내린 뒤 모스크바 외곽 다차로 향한다",9,0.252,0.198,0.291,0.091,0.168
DCA-N12,125,134,"부도장부와 인수조건이 길어 중반 압박이 무겁고, 직원 고용·공장 간판 교체가 실제 체류 지점이다. 아이폰 수요는 다음 제품전으로 속도를 올린다.",6.30,6.80,6.80,127,127화,SAVE의 달러 채권을 앞세워 현 건설 처분을 다이먼에게 맡기고 장경준이 감당할 최고가를 요구한다,8,134,134화,1월 9일 CES에서 잡스가 음악·OTT·록키를 담은 아이폰을 공개하고 300만 대 대기 수요를 확인한다,9,132,132화,11월 21일 인수를 공식화하고 유석재를 책임자로 세운 뒤 흑자 전 세금 감면을 요구한다,8,0.265,0.205,0.277,0.060,0.193
DCA-N13,135,142,검찰 질문과 증거 반전을 오래 붙잡아 긴장을 유지한다. 무혐의 발표 뒤 가족대화는 짧고 낮게 내려앉아 법정승리의 감정값을 확인한다.,6.75,6.50,7.50,137,137화,게임사에 개발 유인을 제시하다 김태중 구속 위험을 듣고 지연전과 비리 자료 수집을 명한다,8,141,141화,태우의 회계·부채 자료로 혐의를 방어한 뒤 미국·중국·러시아 비리 자료를 내밀어 윤현길의 항복을 받는다,9,137,137화,게임사에 개발 유인을 제시하다 김태중 구속 위험을 듣고 지연전과 비리 자료 수집을 명한다,10,0.268,0.221,0.335,0.091,0.085
DCA-N14,143,146,정책 설명은 빠르게 넘기고 부품사들이 어느 편에 설지 망설이는 회의에 관계압박을 둔다. WIPI 연기 직후 실제 판매·예약 숫자가 터지고 국내 생산은 미실행 훅으로 남아 다음 완판 Arc로 가속한다.,7.00,6.75,7.25,144,144화,미국 흥행을 근거로 무역 압박과 공동성명을 가동해 방송위원회 철회 지시를 끌어낸다,8,144,144화,미국 흥행을 근거로 무역 압박과 공동성명을 가동해 방송위원회 철회 지시를 끌어낸다,8,144,144화,미국 흥행을 근거로 무역 압박과 공동성명을 가동해 방송위원회 철회 지시를 끌어낸다,8,0.270,0.270,0.282,0.060,0.118
DCA-N15,147,150,완판 숫자를 초반 보상으로 주고 충전망·지분조건·로봇계약을 계단처럼 쌓는다. 150화 말 WTC 임차 제안은 기술봉우리 뒤 생존전의 불안으로만 남긴다.,5.25,7.25,6.75,150,150화,아마존과 로봇·스마트팩토리 공동개발을 체결하고 데이비드에게 세계무역센터 장기임차를 알아보게 한다,6,147,147화,초도 10만 대가 일주일 만에 매진되자 500곳 넘는 매장에 와이파이·충전망을 설치한다,8,148,148화,두 달간 주가 회복을 확인하고 AI 공동개발 비용과 지분을 50대50으로 합의한다,7,0.250,0.225,0.252,0.052,0.220
DCA-N15B,151,153,151화 계약은 짧고 152~153화의 비움·대피·붕괴 순간에 시간과 감정을 몰아준다. 정치적 보상은 구조 뒤에 붙여 인명구조가 물질거래에 묻히지 않는다.,7.33,7.67,7.67,152,152화,9·11 직후 공매도·매도를 금지하고 크레인과 구조 인력을 투입해 붕괴를 통제한다,9,152,152화,9·11 직후 공매도·매도를 금지하고 크레인과 구조 인력을 투입해 붕괴를 통제한다,9,151,151화,99년 32억 달러 임차를 확정하고 모든 보험을 든 뒤 두 동을 비우는 리모델링과 구조 인력 배치를 지시한다,10,0.223,0.297,0.243,0.123,0.113
DCA-N16,154,159,154화는 승계·미국방패·제품·직원보상을 충분히 지급하고 세이월드는 마지막 한 줄만 연다. 155~159화는 창업자 면담과 기능제작에 오래 머물러 관계협상의 결을 살린다.,5.67,6.50,6.17,155,155화,서광수와 투자·독립 경영을 논의한 뒤 기획실 보고로 KS의 70억 원 주식 인수와 박동희의 동문 압박을 확인한다,7,154,154화,"김태중의 회장직 제안과 베트남 귀환 뒤에도 혼자면 승계하겠다는 결혼 최후통첩을 받는다. 백악관의 명예시민권 발표와 태우자동차 반덤핑 재량을 확인하고, 아이폰 40만 대·조너선이 참여한 애플-태우 TV 진행을 보고받아 추석 상여금 200~300%와 TV 개발진 최고등급 지급을 지시한다. 마지막에 세이월드 대표 면담 약속을 알아보게 한다.",8,157,157화,다이먼에게 CL카드 인수를 지시하고 데이비드에게 마크 30% 지분 제안을 맡긴 뒤 오희건과 특허 협상을 시작한다,7,0.273,0.185,0.327,0.068,0.147
DCA-N16B,160,166,학생 카드발급과 부실숫자로 압박을 먼저 키우고 협상·회수 장면에서 물질보상을 집중한다. 은행 간판보다 다이먼의 재등장에 관계 체류를 준다.,6.86,6.43,6.71,161,161화,고승택과 2조 원·부채 인수안을 협상하고 김태중을 불러 정부·채권단의 탕감을 끌어낸다,8,161,161화,고승택과 2조 원·부채 인수안을 협상하고 김태중을 불러 정부·채권단의 탕감을 끌어낸다,7,160,160화,박만덕과 이영한에게 CL카드 채권·10조 원대 유동성을 설명하고 대출 차단·채권 압박·부실 발급 가속을 맡긴다,8,0.247,0.263,0.256,0.057,0.177
DCA-N17,167,176,천민정의 집·경찰·면담과 가족 사정에 거래숫자보다 오래 머문다. 채용 뒤 곧바로 기술시연을 붙여 보호가 능력지급으로 이어짐을 보여 준다.,5.70,6.80,6.80,168,168화,연봉·복지·법률 보호를 제시하고 강 대위에게 정호영 일가를 감시시킨 뒤 정신수에게 차장검사 승진과 아들 유학을 맞바꿀 거래를 건다,8,176,176화,대전으로 내려가 서광수에게 페이스북 한국 법인장과 지분을 제안하고 미니홈피 특허들을 보여 주며 옛 동료들에게 즉시 연락하게 한다,10,176,176화,대전으로 내려가 서광수에게 페이스북 한국 법인장과 지분을 제안하고 미니홈피 특허들을 보여 주며 옛 동료들에게 즉시 연락하게 한다,8,0.234,0.239,0.324,0.123,0.080
DCA-N18,177,180,"177화 가족 허락에서 감정을 길게 쉬고, 뒤의 페이팔·기술협상은 속도를 높여 처리한다. 180화는 작동하는 음성인식 수치에 기술보상을 주고 IIT 캠퍼스는 계획으로만 남겨 관계봉우리 뒤 작은 제품봉우리를 세운다.",5.25,7.50,6.75,178,178화,20억 달러를 제시해 페이팔 인수를 확정하고 피터 일행에게 향후 창업 우선투자를 약속한 뒤 프랑스 식당에서 일론 머스크와 처음 만난다,6,177,177화,김태중은 과거 결혼 압박을 사과하며 손자 곁에 있어 달라고 말하고 민재는 다이먼에게 실리콘밸리 영업 지원을 약속한 뒤 천민정과 호텔 회의실로 간다,8,178,178화,20억 달러를 제시해 페이팔 인수를 확정하고 피터 일행에게 향후 창업 우선투자를 약속한 뒤 프랑스 식당에서 일론 머스크와 처음 만난다,7,0.268,0.152,0.338,0.102,0.140
DCA-N18B,181,183,자금흐름과 증거확보가 빠르게 진행되고 서광수의 선택에서 잠시 멈춘다. 공개 역공은 짧은 훅으로 남아 다음 기술시연과 대비된다.,7.00,7.33,8.33,181,181화,강 대위와 국세청 인맥을 움직여 KS해운 비자금·현금 차량을 추적하고 야당과 검찰에 정보를 흘리게 한다,8,182,182화,100억 원을 넘는 선거자금·약 2천억 원 비자금 장부와 현금차 사진을 검찰에 넘기고 태우SNS가 세이월드를 밀어낸 실적을 보고받는다,9,183,183화,페이스북 한국 법인에 있던 서광수에게 세이월드·하두리 장점을 합친 숏폼을 제안하고 서문영과 공동대표로 즉시 합류시킨다,9,0.273,0.260,0.313,0.077,0.077
DCA-N18C,184,186,결제 실험은 짧고 기능시연의 반응에 시간을 쓴다. 숫자보상보다 관객이 시리와 IoT를 목격하는 공개성이 Arc의 리듬을 만든다.,5.00,8.00,7.00,185,185화,스티브의 아이폰 발표에 이어 무대에 올라 시리로 에어컨·TV·세탁기와 태우자동차 시동까지 실시간 작동시킨다,6,185,185화,스티브의 아이폰 발표에 이어 무대에 올라 시리로 에어컨·TV·세탁기와 태우자동차 시동까지 실시간 작동시킨다,9,184,184화,태우IT 회의에 게임사 대표들을 불러 채굴 보상·아이템 결제·국경 없는 거래를 제안하고 사용량 제한과 지역락 방어책을 확인한 뒤 샌프란시스코로 간다,8,0.277,0.253,0.263,0.053,0.153
DCA-N19,187,191,정부협상과 학교조건은 정보밀도가 높아 압축하고 공장·브랜드 문이 열리는 순간에 보상을 준다. 귀국 뒤 천민우 사건이 들이닥치며 정서가 급격히 바뀐다.,5.60,7.00,6.80,187,187화,우성일에게 과소 생산계획 책임을 묻고 베트남 공장 확대와 인도 대규모 가전 공장 신설을 검토시킨다,6,191,191화,아노르 가문과 한국 매장·브랜드 전략을 조율한 뒤 불법 대선자금 수사 국면을 보며 깨끗한 경제인·정치인 연합을 검토한다,8,189,189화,허황후 관련 다큐와 문화 사업을 지시하고 10조 원대 인도 투자 계획을 알리며 베트남·인도 생산라인 확대를 확정한다,8,0.310,0.188,0.316,0.082,0.104
DCA-N20,192,199,192화 폭행영상의 구체 행동과 194화 교실 보호에 관계·감정 체류를 집중한다. 후보명단·정당·희토류 지시는 보호결산 뒤 빠르게 펼쳐 다음 공적 Arc를 연다.,6.75,6.75,7.25,193,193화,경호원들이 하굣길 폭행을 막고 천민우를 집까지 지킨 뒤 기획실이 학교·추영택 부모·담임의 유착을 조사한다,8,195,195화,화원정밀을 태우 협력망에서 끊고 추영택 아버지의 상급 검찰선을 움직여 가족에게 공개 사과와 전학을 받아낸다,10,193,193화,경호원들이 하굣길 폭행을 막고 천민우를 집까지 지킨 뒤 기획실이 학교·추영택 부모·담임의 유착을 조사한다,9,0.266,0.230,0.325,0.102,0.076
DCA-N20B,200,202,200화 첫 면담은 병목과 신뢰를 확인하는 저점이고 201화 지장·50억 계약에서 보상이 솟는다. 202화 슈퍼볼·인재영입은 짧게 확장해 플랫폼의 다음 속도를 만든다.,5.00,6.67,7.33,200,200화,투자 제안서를 다시 찾아 김익수를 부회장실로 부른 뒤 국내 서비스만으로는 서버와 저작권 비용을 버티기 어렵고 세계화에는 수백억 원이 든다고 경고한다,6,201,201화,판타지TV에 50억 원을 제시하고 천민정이 만든 알파 버전을 보여 준 뒤 애플·구글·아마존이 참여할 회사를 김익수가 관리하게 한다,8,200,200화,투자 제안서를 다시 찾아 김익수를 부회장실로 부른 뒤 국내 서비스만으로는 서버와 저작권 비용을 버티기 어렵고 세계화에는 수백억 원이 든다고 경고한다,8,0.240,0.217,0.270,0.097,0.177
DCA-N20C,203,206,연봉과 직함보다 천민정과의 밤샘 대화에 오래 머물러 영입의 감정적 납득을 만든다. 취임 발령과 리튬 권리는 뒤에서 명확한 지위·물질 영수증을 준다.,5.75,6.75,7.00,204,204화,최재석의 촛불 연설과 SNS 확산을 지원하면서 태우상사에 칠레·볼리비아 광산을 먼저 조사·계약하게 한다,7,206,206화,천민정과의 기술 토론 뒤 마음을 바꾼 리사 수와 악수하고 한 달 후 태우전자 사장에 공식 임명하며 임원 교체 전권을 공표한다,9,205,205화,우유니 염호와 리튬 트라이앵글 광구 열 곳 이상을 계약하고 방한한 리사 수에게 태우전자·반도체·IT 현장을 안내한다,8,0.220,0.195,0.260,0.162,0.162
DCA-N20D,207,209,CEO 무대와 AI 시연은 빠르게 보여 주고 개표 숫자가 움직이는 밤에 긴장을 유지한다. 38석 발표와 학습량이 정치·기술의 이중 봉우리다.,6.00,7.33,7.00,208,208화,출구조사 방송을 지켜보며 천민정이 영어 영화 음성을 곧바로 한글 자막으로 바꾸는 딥러닝 기능을 시연하고 지역별 개표를 추적한다,7,209,209화,비밀리에 최재석을 만나 회유에도 중심을 지키겠다는 약속을 받고 천민정에게 번역 논문 2만 건과 영화·드라마·소설·만화를 학습시킨 뒤 음성인식 추가를 지시한다,9,208,208화,출구조사 방송을 지켜보며 천민정이 영어 영화 음성을 곧바로 한글 자막으로 바꾸는 딥러닝 기능을 시연하고 지역별 개표를 추적한다,8,0.243,0.227,0.200,0.120,0.210
DCA-N20E,210,211,두 화 모두 보상보다 위험관찰에 머무는 낮은 보상구간이다. 빈집·대출서류와 보험조건을 천천히 쌓아 이후 AIZ·CITI 수확의 신뢰를 선불한다.,6.00,5.50,6.50,210,210화,10년간 10조 원 인도 투자안을 준비하는 한편 다이먼에게 NINA 대출과 저신용 주택담보 사례를 조사하게 한다,6,210,210화,10년간 10조 원 인도 투자안을 준비하는 한편 다이먼에게 NINA 대출과 저신용 주택담보 사례를 조사하게 한다,6,210,210화,10년간 10조 원 인도 투자안을 준비하는 한편 다이먼에게 NINA 대출과 저신용 주택담보 사례를 조사하게 한다,7,0.335,0.165,0.185,0.100,0.215
DCA-N20F,212,215,입법과 교육여론은 압축하고 정밀지도 병목·사용권 협상에 시간을 쓴다. 앱 출시는 미지급으로 남겨 계획보상 뒤 신사옥 장면으로 전환한다.,5.00,6.25,7.00,214,214화,현재자동차 장경준에게 태우가 외국 자본을 캐피탈 시장에 끌어오지 않겠다고 약속하고 그 대가로 씽크윈 박태수와 자리를 마련받아 회사 인수를 제안한다,6,212,212화,"IIT 한국 캠퍼스의 한국인 20퍼센트·태우 공채 20퍼센트 확대·빅테크 연구소 유치를 설명해 최재석의 지지를 얻고, 태우자동차의 전기차 투자와 테슬라 경쟁 구도를 점검한다.",7,212,212화,"IIT 한국 캠퍼스의 한국인 20퍼센트·태우 공채 20퍼센트 확대·빅테크 연구소 유치를 설명해 최재석의 지지를 얻고, 태우자동차의 전기차 투자와 테슬라 경쟁 구도를 점검한다.",7,0.250,0.208,0.230,0.110,0.202
DCA-N21,216,221,부지·승계·한전의 큰 거래를 계단식으로 압축한 뒤 221화 태우맵 사용자 숫자에서 생활보상을 준다. 말미 택시 콜 독점이 안정된 리듬을 깨뜨린다.,5.33,6.33,7.00,220,220화,김태중이 산업부·한전 앞에서 러시아 측 요구를 밀어붙인 뒤 결렬 가능성을 연기하고 민재는 최재석에게 행정부처와 함께 공기업도 지역으로 옮기자고 제안한다,6,218,218화,러시아 로만에게 극동 유전·가스전의 한러 공동개발을 제안해 5000억 달러 규모 사업을 만들고 귀국해 진호균과 아노르·중국 지원 조건의 가계약을 맺는다,7,219,219화,델핀을 설득해 아노르 계열 다섯 브랜드를 샤롯면세점에 입점시키고 중국 사업 인맥을 붙인 뒤 러시아 국영 에너지 기업 대표들을 맞는다,8,0.242,0.212,0.245,0.108,0.193
DCA-N22,222,226,횡령조사와 닷새 파업은 행동압박을 오래 유지하고 조폭 100명 충돌에서 정점을 찍는다. 기사 가입률은 소란 뒤 차분한 대중반응 보상으로 놓인다.,7.80,7.20,7.60,225,225화,강인식이 상납 피해와 공동 처벌 가능성을 상기시키고 양쪽 호출망을 함께 써도 된다고 설득해 사장들이 차봉훈 치부를 검찰에 내놓게 한다,9,226,226화,강인운수 기사들이 20분 만에 습격대를 제압하고 경찰이 영신운수 배후를 잡는 동안 가맹 지역을 수도권·광역시로 넓힌다,10,223,223화,경찰·검찰·국세청에 차봉훈 자료를 동시에 넘기고 새 택시 호출 앱·단말기를 완성해 무료 가맹 신청을 개인기사와 중소회사에 퍼뜨린다.,9,0.178,0.354,0.172,0.114,0.182
DCA-N23,227,234,토지계약은 빠르게 지급하고 항공규제와 Su-47 교환조건에서 정보체류가 길어진다. 착공 가능성이 확정되는 순간 다음 우주·콘텐츠 투자선으로 시야를 넓힌다.,5.75,7.88,7.88,230,230화,현재캐피탈을 태우·카이 파트너로 3년 쓰는 조건을 받아 장경준이 입찰서를 찢게 한 뒤 4조 서류를 제출하고 6조1705억 비상안을 장경준에게 보낸다,8,228,228화,중국에 나흘 머물며 샤롯백화점 허가를 성사시킨 뒤 한·미·일 감정가 평균에 50%를 얹어 진호균·김태중이 계약서에 도장 찍게 한다,9,233,233화,미국 대사에게 부시의 감사와 수호이 비밀 반입 허용을 확인하고 강인식에게 코코아택시 전국 가맹·대리운전·렌터카 확장을 맡긴다,9,0.208,0.241,0.214,0.108,0.230
