sequence,visible_label,arc_id,arc_phase,tension_1_10,reward_1_10,hook_1_10,information_weight,action_weight,relationship_weight,emotion_weight,material_or_status_weight,ribbon_rationale,source_lines
52,52화,DCA-N03,N03·이노폰과 박진훈 축출,8,10,9,0.14,0.28,0.22,0.10,0.26,"정정기사 뒤 이노폰 국내 재고 30만 대가 팔리고 미국 30만·유럽 10만·한국 10만 주문이 붙는다. 박진훈 축출과 사장 추천까지 받은 뒤 김민재가 사장직이 아니라 지분을 요구해, 판매 절정이 곧 소유권 질문으로 꺾인다.",L9579~L9758
53,53화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,10,7,0.13,0.17,0.28,0.14,0.28,"김태중의 지분 상속과 이사회 만장일치로 태우전자 사장 자리가 한꺼번에 지급되어 조손 승인과 지위 상승이 가장 무겁다. 후반의 현재그룹 자금난과 SAVE 차입 미끼는 이미 받은 경영권 다음에 붙는 새 위험일 뿐, 태우 지분 회수 결과까지 나아가지는 않는다.",L9759~L9940
54,54화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,6,8,0.25,0.26,0.30,0.11,0.08,"공장 세 곳 전환과 불량품 교환을 지시한 뒤 사무직·연구원·개발팀 1,500명을 전수 검토한다. 실제 이동 규모는 아직 산정 단계라 조직 정보와 관계 체류가 앞선다.",L9941~L10126
55,55화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,7,8,0.20,0.22,0.34,0.16,0.08,"산업스파이의 금전 흔적을 잡고 사무직 20퍼센트, 원문 표현 수백 명을 적성에 맞춰 옮긴다. 조사 결과가 실제 자리 이동으로 이어지지만 스파이 배후와 후속 처벌은 남는다.",L10127~L10326
56,56화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,9,8,0.19,0.18,0.40,0.12,0.11,"웨일에서 모욕당한 다이먼에게 독립 금융회사와 전권을 내밀어 영입하고, 곧바로 애플 이사회에서 잡스 복귀 표를 모은다. SAVE의 3년 뒤 주가 보증이 이사들을 돌려세운 뒤 넥스트 인수금 5억 달러의 부담 주체가 미지급 질문으로 남는다.",L10327~L10491
57,57화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,8,9,0.19,0.22,0.31,0.07,0.21,SAVE가 넥스트 인수금 5억 달러를 내고 미래 소프트웨어 권리를 챙기는 계약으로 잡스의 CEO 복귀를 결산한다. 귀국 뒤 다이먼이 태우중공업의 그룹 27퍼센트·김태중 개인 10퍼센트 지분을 훑는 후반은 축하보다 적대인수 설계에 빠르게 무게를 옮긴다.,L10492~L10663
58,58화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,6,9,0.28,0.17,0.28,0.13,0.14,명동 13퍼센트와 현재그룹 구매력·태우 주식 교환을 설계해 지분 정보와 40퍼센트 인수전 준비가 앞선다.,L10664~L10840
59,59화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,5,7,0.29,0.13,0.30,0.09,0.19,6개 은행과 지분 양도 가능성·10억 달러 예금 조건·다음 날 날인 일정을 맞추는 장면이다. 소유권 지급 전이라 협상 정보와 관계에 오래 머문다.,L10841~L11024
60,60화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,8,8,0.18,0.26,0.31,0.08,0.17,"살만에게 표트르 대제의 검을 건네 아람코 협력의 온도를 올린 뒤, 아크만 명의로 태우 중소계열사 세 곳의 경영권을 실제 가져온다. 다이먼이 비리 자료를 지렛대로 제안하는 끝에서는 가족을 다치지 않게 하면서 남은 지분을 얻어야 한다는 제약이 승리감을 눌러 준다.",L11025~L11199
64,64화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,7,5,8,0.27,0.21,0.34,0.12,0.06,애플 주식 교환·공동브랜드로 김태중의 검토 승인을 얻지만 오강철 파업이 떠 관계 협상과 훅이 강하다.,L11746~L11893
67,67화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,8,5,9,0.23,0.25,0.36,0.12,0.04,김태중 허락 없이 주총 의결을 택하고 우호표를 모아 조손 감정보다 공식 권력관계 대결에 체류한다.,L12284~L12471
68,68화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,9,8,7,0.16,0.27,0.29,0.10,0.18,국민연금·명동·은행 표를 합쳐 이사회에서 30대25를 만들고 김태중의 반대를 넘어선다. 표결 숫자가 김민재의 독립경영권으로 환전돼 조손 대립의 결론을 눈앞에서 보여 준다.,L12472~L12681
70,70화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,6,9,6,0.18,0.18,0.21,0.06,0.37,애플 10퍼센트 교환·공동로고와 구글 49퍼센트 매입이 이어져 계약 자산과 지배블록 지급이 절정이다.,L12850~L13024
71,71화,DCA-N04,N04·태우전자 소유와 조선·애플 교환,5,6,7,0.20,0.19,0.31,0.12,0.18,"500대도 못 판 엠피맨 뒤 황영철이 디지털케이스 지분 전량을 넘기겠다고 하고, 김민재는 직원 보너스용 50억 원을 당일 입금하겠다고 약속한다. 직원·황영철의 애플 재출발, MCA 지분 협상 출발, 기획실 이동 동의가 이어지지만 사장 임명·기획실 발령·MCA 지분 취득은 아직 전이라 보상은 합의와 담당 확정에 둔다.",L13025~L13225
73,73화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,7,8,0.20,0.21,0.41,0.09,0.09,중국 권력자의 아들 안전과 체면을 지켜 준 대가로 판매허가와 관세우대를 받는다. 이어 포드 합작을 꺼내 가족비밀에서 시작한 거래를 자동차 시장의 공식 조건으로 넓힌다.,L13418~L13604
75,75화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,8,7,0.18,0.24,0.30,0.06,0.22,중국 판매실적을 근거로 포드·태우·상하이차 합작을 체결한다. 앞서 쥔 허가와 관세우대가 공장·수출 계약으로 굳어져 중국 진입의 영수증이 된다.,L13787~L13971
77,77화,DCA-N05,N05·중국 자동차와 인터넷 외화 출구,6,7,7,0.18,0.28,0.40,0.08,0.06,IT 인재와 자유출퇴근 팀을 만든 뒤 제프리가 낡은 보고·결재 구조를 30분 만에 뒤엎는다. 새 사람을 뽑는 데서 멈추지 않고 일하는 방식 자체가 즉시 바뀐다.,L14142~L14342
82,82화,DCA-N06,N06·외환위기 무부채와 사우디 정유,5,7,7,0.28,0.16,0.34,0.12,0.10,"잡스와 냅스터를 먼저 띄우는 음원전략 논의는 비교적 짧고, 재계 총수들이 침묵한 김태중을 차기 전경련 회장으로 일제히 추대하는 반전이 후반을 차지한다. 정부 빅딜 창구가 될 가능성은 열리지만 당사자의 수락은 아직 들리지 않는다.",L15041~L15242
83,83화,DCA-N06,N06·외환위기 무부채와 사우디 정유,6,8,8,0.18,0.16,0.40,0.18,0.08,조선·휴대폰 매각대금 3조 원을 위기기업 인수금으로 돌리고 김태중의 지휘권을 되살린다. 자산매각의 상실감보다 살아난 총수가 다시 선택하는 장면이 외환위기 반전을 확인한다.,L15243~L15431
84,84화,DCA-N06,N06·외환위기 무부채와 사우디 정유,7,9,9,0.18,0.22,0.16,0.07,0.37,환율 정점에 100억 달러를 옮겨 모든 부채를 갚고 SS오일을 협상해 재무 지위 보상이 절정이다.,L15432~L15607
85,85화,DCA-N06,N06·외환위기 무부채와 사우디 정유,6,8,8,0.20,0.22,0.31,0.06,0.21,김태중이 압둘라에게서 6조 원 정유계약과 원유 공급을 받아낸다. 왕실 친분이 말뿐인 환대가 아니라 계약서와 물량으로 환전되는 회차다.,L15608~L15801
86,86화,DCA-N06,N06·외환위기 무부채와 사우디 정유,5,9,8,0.19,0.27,0.24,0.07,0.23,IMF 앞에서 무부채 신뢰를 얻는 동안 아이팟은 사흘 만에 완판되고 애플 주가는 두 배가 된다. 장부상의 생존과 매장 안 제품반응이 동시에 나타나 태우의 선택이 시장에서 검증된다.,L15802~L15983
88,88화,DCA-N07,N07·카이자동차 51%와 카를로스 곤 독립경영,7,8,9,0.17,0.25,0.24,0.06,0.28,현재자동차의 출자전환안과 맞붙은 채권단 회의에서 김태중이 달러 현금 3조5천억 원을 못 박는 순간이 협상의 봉우리다. 가장 강한 조건과 후계 신뢰는 얻었으나 카이자동차 지분 51퍼센트의 최종 이전은 다음 판단으로 남는다.,L16166~L16347
90,90화,DCA-N07,N07·카이자동차 51%와 카를로스 곤 독립경영,5,8,7,0.19,0.18,0.42,0.11,0.10,카를로스 곤에게 전권을 주어 사장으로 세운 뒤 김태중에게 직접 소개한다. 세계급 경영자를 데려오는 결정과 새 총수의 승인이 한 자리에서 맞물린다.,L16548~L16721
91,91화,DCA-N07B,N07B·CL 카드·백화점과 통신·배터리 빅딜,6,5,7,0.29,0.20,0.38,0.08,0.05,고연진에게 장녀 승계를 부추기고 아이돌 팬덤 후원을 지시해 CL 내부 관계 조작과 시장 정보가 길다.,L16722~L16900
94,94화,DCA-N07B,N07B·CL 카드·백화점과 통신·배터리 빅딜,6,8,8,0.23,0.21,0.34,0.06,0.16,고승택에게 카드·백화점과 통신·배터리를 맞바꾸고 현재그룹을 견제할 이익까지 제시한다. 계열사 목록을 주고받는 대화가 서로의 적을 이용하는 재벌 동맹으로 굳어진다.,L17272~L17445
98,98화,DCA-N08,N08·태우통신 HTS·게임 플랫폼,5,8,5,0.25,0.19,0.30,0.06,0.20,건설 수주를 사장단에 공개하고 한 달 만에 통신 3사를 합병해 조직 관계와 시장 지위가 앞선다.,L17954~L18127
104,104화,DCA-N09,N09·이선일 죽음과 이영한 명동 후계,8,6,9,0.36,0.25,0.24,0.10,0.05,의사 진술로 박광도의 강요와 박 팀 배신을 한꺼번에 확인해 폭로 정보와 추적 긴장이 높다.,L19010~L19211
105,105화,DCA-N09,N09·이선일 죽음과 이영한 명동 후계,7,7,6,0.23,0.19,0.38,0.10,0.10,이영한의 오만이 위장이었다는 속내를 듣고 10조 원 금리전을 맡긴다. 시험하던 관계가 실제 자금을 움직이는 후계 동맹으로 바뀌어 명동 승계의 무게가 생긴다.,L19212~L19368
109,109화,DCA-N09,N09·이선일 죽음과 이영한 명동 후계,9,7,8,0.18,0.39,0.27,0.10,0.06,경찰·검찰·특수부대·국세청을 동시에 움직여 오성파 재산을 치고 명동 원로 셋을 끌어들인다. 여러 기관과 세대가 한 시각에 움직여 사채판의 세력교체를 실행한다.,L19881~L20080
110,110화,DCA-N09,N09·이선일 죽음과 이영한 명동 후계,9,8,9,0.15,0.34,0.32,0.13,0.06,야쿠자 습격을 버틴 이영한을 원로 앞에 세워 공식 후계 승인을 받아 행동·관계 보상이 절정이다.,L20081~L20250
113,113화,DCA-N10,N10·통신 카르텔과 강민 교육 역전,6,6,9,0.27,0.20,0.37,0.07,0.09,엔화·금리 양면 공격을 정하고 모델하우스에서 트럼프를 맞아 금융 전략과 새 인맥 관계가 앞선다.,L20585~L20769
115,115화,DCA-N10,N10·통신 카르텔과 강민 교육 역전,7,7,6,0.20,0.29,0.33,0.09,0.09,유해론 시위에 강민 영입과 저가 강의로 맞선다. 거리의 비난을 교육상품과 새 강사의 얼굴로 되받아 여론전의 방향을 바꾼다.,L20950~L21122
117,117화,DCA-N11,N11·35대3 부회장·푸틴·장수영 축출,5,5,6,0.34,0.12,0.31,0.16,0.07,김태중의 결혼 압박과 현 그룹 여섯 아들 분할을 함께 분석해 가족 관계·승계 정보에 머문다.,L21298~L21474
118,118화,DCA-N11,N11·35대3 부회장·푸틴·장수영 축출,6,7,6,0.24,0.19,0.38,0.06,0.13,장경준·장영준과 선총수·현건설·반도체를 맞바꾸는 계약을 맺는다. 후계자끼리의 대화가 각 가문의 지배권과 산업자산을 교환하는 동맹으로 굳어진다.,L21475~L21647
122,122화,DCA-N11,N11·35대3 부회장·푸틴·장수영 축출,6,8,9,0.18,0.18,0.39,0.10,0.15,90퍼센트 지지로 부회장이 된 직후 푸틴의 다차에 들어간다. 그룹 안 승진의 여운이 가시기도 전에 국가 최고권력과 마주해 지위 상승의 체감이 커진다.,L22201~L22405
123,123화,DCA-N11,N11·35대3 부회장·푸틴·장수영 축출,7,8,8,0.31,0.17,0.31,0.06,0.15,올리가르히 해체 지원 범위와 한국 에너지 권리를 교섭해 자원 조건과 푸틴 동맹에 오래 머문다.,L22406~L22595
124,124화,DCA-N11,N11·35대3 부회장·푸틴·장수영 축출,7,8,6,0.16,0.26,0.32,0.19,0.07,푸틴 취임식과 러시아 자원·현지공장 성과를 김태중에게 보고한 뒤 장수영 인사 문제로 조손 대화가 무거워진다. 김태중은 직접 결판내라고 보호를 거둘 뿐 사표 제출이나 해임은 아직 실행되지 않아 성과보다 관계 비용이 길게 남는다.,L22596~L22793
128,128화,DCA-N12,N12·현재건설 부도에서 태우반도체 인수·아이폰 수요,7,6,7,0.23,0.22,0.39,0.10,0.06,장영주가 다른 총수들에게 입찰 포기를 호소하고 김태중에게 살려 달라고 청한다. 한때 우위였던 재벌가가 선택권을 잃고 태우의 판단을 기다리는 장면이 권력역전을 보여 준다.,L23306~L23477
130,130화,DCA-N12,N12·현재건설 부도에서 태우반도체 인수·아이폰 수요,6,7,7,0.27,0.19,0.30,0.05,0.19,부시에게 100억 달러 공장을 약속하고 잡스에게 독점 공급을 제시해 정치·수요처 관계와 투자 규모가 크다.,L23645~L23831
132,132화,DCA-N12,N12·현재건설 부도에서 태우반도체 인수·아이폰 수요,6,8,8,0.22,0.21,0.31,0.05,0.21,11월 21일 현 반도체 인수를 공식화하고 유석재를 책임자로 세우는 조직 출범이 먼저 지급된다. 김태중이 인수 거부까지 거론하며 청와대에 흑자 전 세금 감면을 요구하는 후반은 확정된 지휘선 위에 아직 미결인 정책 혜택을 얹는다.,L24030~L24220
133,133화,DCA-N12,N12·현재건설 부도에서 태우반도체 인수·아이폰 수요,5,6,6,0.22,0.14,0.38,0.08,0.18,낮은 주가를 이용한 상속 절차가 거의 끝나 가고 유석재·웨이 공동 부사장 임명 계획이 공개된다. 실제 명의이전과 인사는 남은 상태에서 김태중이 자기 업무까지 넘기려 하자 민재가 은퇴 가능성을 붙드는 가족 장면으로 닫힌다.,L24221~L24408
134,134화,DCA-N12,N12·현재건설 부도에서 태우반도체 인수·아이폰 수요,5,9,6,0.16,0.30,0.20,0.08,0.26,CES 공개와 300만 대 대기 수요·애플 주가 반등이 한꺼번에 터져 제품 행동과 시장 보상이 솟는다.,L24409~L24613
135,135화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,5,6,7,0.27,0.17,0.38,0.05,0.13,부시의 공장 약속을 고정하고 쩡홍친을 만나러 가며 미·중 최고위 관계 관리에 오래 머문다.,L24614~L24799
137,137화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,8,5,10,0.33,0.25,0.25,0.13,0.04,게임 투자 이야기가 이어지다 윤현길 수사와 김태중 구속 위험이 끼어든다. 성장사업을 보던 시선이 가족과 그룹을 지킬 역공 시한표로 급히 돌아선다.,L24981~L25166
138,138화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,7,6,8,0.37,0.17,0.31,0.08,0.07,장영주 장례식에 모인 푸틴과 중국·미국 인맥에게서 윤현길 비리 자료가 차례로 들어오며 외교 관계가 증거 묶음으로 바뀐다. 가장 약한 건 하나만 언론에 흘린 뒤 상대 반응을 기다리는 절제가 전면 폭로보다 긴장을 오래 붙든다.,L25167~L25375
139,139화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,8,6,7,0.27,0.29,0.33,0.07,0.04,사진·영상·장부를 차례로 내밀어 윤현길 측근을 떼어 내고 장영준 메모를 장경준에게 보여 준다. 증거가 사람의 충성을 실제로 바꾸며 복수작전이 내부 붕괴 단계로 들어간다.,L25376~L25549
140,140화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,7,5,7,0.24,0.21,0.42,0.09,0.04,"장경준과 오해를 풀고, 축출된 장수영에게 희생양 역할을 거부하게 만든다. 배신자로 몰린 사람이 오히려 민재를 지키는 선택을 하며 관계의 방향이 뒤집힌다.",L25550~L25727
141,141화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,8,9,7,0.20,0.28,0.30,0.10,0.12,태우 무혐의를 확인하고 국제 비리 자료로 윤현길을 항복시켜 가족 보호·정치 복수 보상이 절정이다.,L25728~L25921
142,142화,DCA-N13,N13·윤현길 미끼와 김태중 무혐의 보호,6,7,7,0.19,0.17,0.41,0.17,0.06,윤현길을 미끼로 묶은 뒤 은퇴하려는 김태중에게 베트남 체류를 허용한다. 총수권 싸움의 날선 계산 끝에 조손이 서로의 퇴로를 인정하는 감정이 남는다.,L25922~L26107
145,145화,DCA-N14,N14·WIPI 통상압력과 부품 분열,7,6,7,0.24,0.29,0.37,0.05,0.05,"장경준의 정치망과 300만 대 부품계약, 일본 대체압박을 이용해 삼진과 CL 내부 이해를 갈라놓는다. 같은 편이던 기업들이 서로 다른 손익표를 보며 흔들려 다음 계약의 틈이 생긴다.",L26460~L26621
151,151화,DCA-N15B,N15B·WTC 99년 임차와 9·11 생존·미국 방패,7,6,10,0.27,0.34,0.18,0.10,0.11,"보험, 전면 리모델링, 입주자 비우기와 구조장비 배치를 차례로 점검한다. 세계무역센터의 위험을 아는 독자에게 준비항목 하나하나가 카운트다운처럼 작동한다.",L27464~L27639
152,152화,DCA-N15B,N15B·WTC 99년 임차와 9·11 생존·미국 방패,9,9,6,0.14,0.39,0.16,0.22,0.09,9·11 직후 크레인·구조대를 투입해 건물 내부 사망을 막고 붕괴를 통제해 행동·생존 감정이 최고점이다.,L27640~L27823
153,153화,DCA-N15B,N15B·WTC 99년 임차와 9·11 생존·미국 방패,6,8,7,0.26,0.16,0.39,0.05,0.14,토론토대의 제임스 힌톤을 영입한 뒤 미국 식당에서 조지 슐츠와 반덤핑 예외·SAVE 보호를 맞바꾼다. 연구인재 확보와 미국 정치거래가 연속해 김민재의 활동반경을 넓힌다.,L27824~L28005
155,155화,DCA-N16,N16·세이월드 대신 SNS·메신저·숏폼 창업자 계약,7,5,6,0.31,0.25,0.31,0.09,0.04,70억 원 계약과 박동희 강압을 확인하고 독자 SNS로 계약을 독으로 만들겠다고 선언해 정보·관계·행동이 팽팽하다.,L28172~L28345
157,157화,DCA-N16,N16·세이월드 대신 SNS·메신저·숏폼 창업자 계약,6,5,7,0.24,0.17,0.43,0.05,0.11,다이먼에게 CL카드 인수를 맡기고 데이비드에게 마크 지분 30퍼센트 제안을 전달하게 한 뒤 오희건과 스마트폰 특허 협상을 시작한다. 지시와 협상판만 열린 회차라 투자·특허 계약을 지급처럼 소비하지 않고 세 상대의 답을 기다린다.,L28516~L28676
159,159화,DCA-N16,N16·세이월드 대신 SNS·메신저·숏폼 창업자 계약,5,8,6,0.22,0.17,0.44,0.05,0.12,임재범과 서문영에게 지분과 50억 원을 내밀어 메신저·숏폼 개발을 맡긴다. 아이디어만 있던 서비스가 두 개발자와 소유조건을 얻어 실제 팀으로 출발한다.,L28839~L29001
161,161화,DCA-N16B,N16B·CL카드·태우카드·외환은행 회수,8,7,7,0.23,0.27,0.31,0.06,0.13,현금서비스 중단 뒤 2조 원·부채 조건과 정부 탕감을 협상해 채권단 관계와 인수 행동이 앞선다.,L29176~L29348
165,165화,DCA-N16B,N16B·CL카드·태우카드·외환은행 회수,6,7,7,0.18,0.27,0.34,0.05,0.16,CES 공동제품 공개와 이수현 회유를 병행해 발표 행동과 외환은행 내부 관계가 앞선다.,L29859~L30047
167,167화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,7,5,7,0.26,0.29,0.30,0.11,0.04,5만여 지원서를 다시 훑어 A급 다섯 명을 인턴으로 넣고 프로그래밍·알고리즘 두 항목 S급인 천민정을 찾아 술집에서 처음 마주한다. 악수와 대면만 성립했으므로 구조·특채·입사수락은 다음 회차의 관계 과제다.,L30225~L30423
168,168화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,8,5,7,0.16,0.32,0.34,0.13,0.05,"천민정에게 연봉·복지·법률 보호를 제시하고 강 대위에게 정호영 일가 감시를 맡긴 뒤, 정신수에게 차장검사 승진과 아들 유학을 맞바꿀 거래를 건다. 보호판은 구체화됐지만 상대 수락과 실제 출국은 아직 일어나지 않는다.",L30424~L30612
169,169화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,5,7,7,0.36,0.19,0.33,0.05,0.07,천민정과 암호학자들에게 채굴·분산장부 구조를 설명하고 극비팀을 시작한다. 낯선 기술설명이 사람과 보안조직을 얻으면서 비트코인 구상이 연구실 안 실제 과제로 내려온다.,L30613~L30819
171,171화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,5,8,6,0.15,0.18,0.34,0.22,0.11,4강 광고를 결산한 뒤 천민정 부친의 사채를 정리해 준다. 국가적 축제의 소음이 가족 빚을 조용히 없애는 장면으로 가라앉아 회사가 개인의 안전망이 되는 순간을 남긴다.,L31016~L31200
172,172화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,5,6,6,0.36,0.19,0.32,0.05,0.08,천민정을 힌톤 연구에 붙인 뒤 밤샘 통화로 이용자 데이터 기반 맞춤광고와 댓글 푸시 알림 아이디어를 구체화한다. 두 제품 후보와 협업 관계는 얻었지만 알고리즘 구현·배포·매출은 전혀 지급되지 않았다.,L31201~L31388
173,173화,DCA-N17,N17·천민정 보호와 비트코인·AI·SNS 실전배치,6,5,7,0.22,0.28,0.38,0.08,0.04,"서정준에게 태우증권 지분 인수와 옹호 계약을 제안해 한 달의 숙고 시간을 주고, 안상수 동조 임원 명단과 베트남 전보안을 준비시킨다. 사람을 실제 옮기거나 서정준을 영입하지 않은 채 제안과 인사설계만 열린다.",L31389~L31569
